No.,Timecode In,Timecode Out,Subtitle
"1","00:00:23:04","00:00:25:05","[잔잔한 음악]"
"2","00:01:03:24","00:01:05:24","[관중들의 환호]"
"3","00:01:06:03","00:01:07:12","(스키 점프 진행자)
시청자 여러분, 안녕하십니까?"
"4","00:01:07:14","00:01:10:19","여기는 2002년 스키 점프 월드컵
2차 대회가 열리고 있는"
"5","00:01:10:21","00:01:13:09","일본 나가노 스키 점프 경기장입니다"
"6","00:01:13:11","00:01:17:02","한국의 두 번째 선수, 차헌태가
점프를 준비하고 있습니다"
"7","00:01:17:10","00:01:20:05","차헌태는 1차 대회에서
개인 최고 기록인"
"8","00:01:20:07","00:01:22:23","비거리 134m를 보여 줬는데요"
"9","00:01:23:01","00:01:25:05","이번에 자신의 개인 기록을
경신할 수 있을지..."
"10","00:01:25:07","00:01:27:03","[관중들의 환호]
차헌태가 출발했습니다"
"11","00:01:27:16","00:01:28:17","속도 좋습니다"
"12","00:01:29:08","00:01:32:03","웅크린 자세 아주 좋습니다
속도도 좋고요"
"13","00:01:32:05","00:01:34:01","그대로 차헌태, 테이크 오프!"
"14","00:01:35:03","00:01:38:01","날아갑니다, 바람 제대로 탔습니다
양력을 제대로 받고 있는 차헌태입니다"
"15","00:01:38:03","00:01:39:19","(손님1)
뭐 이런 걸 봐, 야, 쇼트 트랙 보자"
"16","00:01:39:21","00:01:42:19","(쇼트 트랙 진행자)
2002 쇼트 트랙 세계 선수권
3차 대회가 펼쳐지고 있는"
"17","00:01:42:21","00:01:44:21","몬트리올 국제 빙상 경기장입니다
[사람들의 탄성]"
"18","00:01:44:23","00:01:47:18","잠시 뒤 여자 500m
결승전이 열릴 예정입니다"
"19","00:01:47:20","00:01:49:12","(쇼트 트랙 해설자)
박채경 선수 올라왔죠?"
"20","00:01:49:24","00:01:52:18","네, 국민 요정 이보미 선수 보이네요
이보미 선수는 이번 500m 경기로..."
"21","00:01:52:20","00:01:55:18","- (손님2) 파이팅
- (광태) 어? 이보미! 이보미!
[TV에서 해설이 흘러나온다]"
"22","00:01:55:20","00:01:57:23","(쇼트 트랙 해설자)
명실공히 한국 쇼트 트랙
간판 선수라고 할 수 있겠습니다"
"23","00:01:58:00","00:01:59:05","[사람들이 응원한다]"
"24","00:01:59:07","00:02:01:10","[TV에서 총성이 흘러나온다]
(쇼트 트랙 진행자)
신호와 함께 경기 시작합니다"
"25","00:02:01:12","00:02:03:23","[사람들이 응원한다]
빠르게 선두로 치고 나오는 박채경
그 뒤를 한국의 이보미, 중국 양양"
"26","00:02:04:01","00:02:05:18","(광태)
야, 야, 야, 조용히 좀 하자우
지금 중요한 경기 하잖네"
"27","00:02:05:20","00:02:08:05","(쇼트 트랙 진행자)
아, 말씀드리는 순간 이보미 선수
선두로 치고 나옵니다"
"28","00:02:08:07","00:02:10:05","(쇼트 트랙 해설자)
현재 1, 2위 모두가 대한민국!"
"29","00:02:10:07","00:02:12:23","이보미 선수가 선두에
그 뒤를 박채경이 따르고 있습니다
[사람들이 응원한다]"
"30","00:02:13:00","00:02:14:10","아, 박채경 선수, 인코스로 파고듭니다"
"31","00:02:14:12","00:02:17:00","- (쇼트 트랙 진행자) 네, 좋습니다
- (쇼트 트랙 해설자) 좋아요, 아
[쇼트 트랙 진행자의 탄식]"
"32","00:02:17:02","00:02:18:12","(쇼트 트랙 진행자)
넘어졌습니다
[사람들의 탄식]"
"33","00:02:18:14","00:02:20:12","(쇼트 트랙 해설자)
아, 이게, 이게 무슨 일인가요?"
"34","00:02:20:14","00:02:23:06","(광태)
아니, 거기서 치고 들어오면 어카네!"
"35","00:02:23:08","00:02:24:14","[채경의 짜증 섞인 신음]"
"36","00:02:24:16","00:02:27:03","(쇼트 트랙 해설자)
박채경 선수의 무리한 플레이로
이보미 선수까지 탈락했습니다"
"37","00:02:27:05","00:02:29:09","- (손님3) 아, 너무 아쉽다
- (손님4) 아, 저, 박채경 밉상!"
"38","00:02:29:12","00:02:31:16","(쇼트 트랙 진행자)
아, 박채경 선수
도대체 왜 그랬을까요?"
"39","00:02:32:20","00:02:36:00","(협회장)
이 두꺼운 명단 중에
감독 할 놈이 없다는 게 말이 되냐?"
"40","00:02:36:02","00:02:38:15","동계 올림픽 유치를 위한
임시 팀이라는 걸 눈치 깠는지"
"41","00:02:38:17","00:02:40:12","그, 지원하는 놈들이 아무도 없습니다"
"42","00:02:40:14","00:02:42:19","아무리 임시 팀이라도 그렇지"
"43","00:02:43:18","00:02:45:13","명색이 국가 대표 감독인데"
"44","00:02:45:18","00:02:47:13","연락 안 한 사람 한 명 있는데"
"45","00:02:51:05","00:02:52:24","(협회장)
뭐야, '강대웅'?"
"46","00:02:53:01","00:02:55:12","야, 조 양아, 얘는 빼라고 했잖아"
"47","00:02:55:14","00:02:56:20","그런 말 안 하셨는데?"
"48","00:02:57:21","00:03:00:10","그래도 레벨이 있는데
얘는 아니지, 진짜..."
"49","00:03:00:12","00:03:01:11","얘로 가자"
"50","00:03:01:24","00:03:02:21","(경수)
예?"
"51","00:03:03:06","00:03:04:24","근데 얘 요즘 뭐 하냐?"
