No.,Timecode In,Timecode Out,Subtitle
"1","00:00:38:08","00:00:40:08","[부산 사투리로 웅성대는 소리]"
"2","00:01:02:22","00:01:04:24","[뱃고동 소리]"
"3","00:01:06:16","00:01:08:16","[잔잔한 음악]"
"4","00:01:32:05","00:01:34:03","[자동차 경적]"
"5","00:01:41:11","00:01:43:11","[상인들의 호객 소리]"
"6","00:02:12:07","00:02:14:11","(상인1)
언니야, 언니야
이리 온나, 이리 온나"
"7","00:02:16:13","00:02:17:22","(상인2)
이쪽으로 오이소!"
"8","00:02:38:18","00:02:39:20","영자야"
"9","00:02:40:13","00:02:41:15","예"
"10","00:02:42:17","00:02:45:09","니는 내 어릴 적 꿈이
뭐였는지 아나?
[갈매기 울음소리]"
"11","00:02:47:00","00:02:48:08","뭐였는데요?"
"12","00:02:51:12","00:02:52:16","[뱃고동 소리]
선장"
"13","00:02:54:06","00:02:57:02","저래 커다란 배를 모는 선장"
"14","00:02:57:23","00:02:59:01","(영자)
그래요?"
"15","00:03:00:18","00:03:02:24","근데 왜 이제까지
말 안 했어요?"
"16","00:03:04:07","00:03:05:18","난 오늘 처음 알았네"
"17","00:03:05:20","00:03:06:20","(덕수)
쯧"
"18","00:03:06:22","00:03:09:03","그, 뭐
말해봐야 뭐 하노"
"19","00:03:10:08","00:03:12:11","옛날에 얘기 한 번 했었는데"
"20","00:03:20:21","00:03:22:11","(덕수)
아이고, 참..."
"21","00:03:22:17","00:03:23:23","[발소리]
나이 들수록"
"22","00:03:24:10","00:03:27:08","지 몸은 지가 알아서
챙기든가 해야지, 아이고"
"23","00:03:27:10","00:03:30:18","[영자의 앓는 소리]
그, 죽 해놨으니까
묵고 난 다음에"
"24","00:03:31:01","00:03:32:12","이, 꼭 약 챙기라"
"25","00:03:33:06","00:03:35:08","오늘 같은 날은 집에 좀 있지"
"26","00:03:35:15","00:03:37:07","아들도 온다는데"
"27","00:03:37:09","00:03:38:16","[현관문 여는 소리]"
"28","00:03:38:19","00:03:40:19","- (선주) 엄마, 우리 왔으예
- 이 뭔 소리고? 왔나?"
"29","00:03:40:21","00:03:42:08","- (도주) 저희 왔어요
- (손주들) 할머니~"
"30","00:03:42:10","00:03:43:16","[손주들 발소리]
아이고, 내 새끼들"
"31","00:03:43:18","00:03:45:13","- 아이고, 아이고
- (손주들) 할머니~"
"32","00:03:45:24","00:03:47:14","- (선주) 천천히!
- (영자) 내 새끼들 왔나"
"33","00:03:47:16","00:03:49:01","- (도주) 어디 가요?
- (덕수) 응응"
"34","00:03:49:03","00:03:50:08","- (선주) 아빠
- (기주) 아버지, 왔어요"
"35","00:03:50:10","00:03:51:13","- (덕수) 어, 그래
- (선주) 엄마 와 여 누워 있노?"
"36","00:03:51:16","00:03:52:19","(도주)
엄마, 어디 아파예?"
"37","00:03:52:22","00:03:54:03","(기주)
엄마, 오늘 어디 아프나?"
"38","00:03:54:05","00:03:55:10","- (영자) 아, 괘안타
- (기주) 어?"
"39","00:03:55:12","00:03:57:20","- 하이고, 내 못 산다 진짜
- (기주 처) 어머니, 왜 그러세요"
"40","00:03:57:22","00:04:00:15","아빠는 뭐 하노?
엄마 좀 잘 쫌 안 돌보고?"
"41","00:04:00:18","00:04:04:09","병원을 먼저 데려가야지
이런 약 쪼가리 먹고 낫겠으야?"
"42","00:04:04:11","00:04:06:21","(도주)
하여튼 보고 있으면 진짜
아휴, 내..."
"43","00:04:07:15","00:04:09:17","(덕수)
이번에 또 어데 간다고?"
"44","00:04:09:19","00:04:12:00","(도주)
김 서방 아는 사람이 초대해줘 가꼬
태국으로 가요"
"45","00:04:12:13","00:04:13:19","- (덕수) 태국?
- (도주) 예"
"46","00:04:13:21","00:04:16:09","(도주 처)
죄송해서 어떡해요
같이 가시면 좋을 텐데..."
"47","00:04:16:15","00:04:17:22","내 생각도 그렇다"
"48","00:04:18:10","00:04:20:24","서연아, 할배하고
할매 말 잘 듣고"
"49","00:04:21:01","00:04:22:05","- 말썽 부리면 안 된다
- 응응"
"50","00:04:22:07","00:04:23:20","(선주)
엄마, 애들 좀 잘 부탁한데이"
"51","00:04:23:22","00:04:25:19","[아이들 웃음소리]
그리고 이거는 제수 돈"
"52","00:04:25:21","00:04:27:22","그래, 걱정하지 말고
재밌게 놀다 온나"
"53","00:04:27:24","00:04:29:08","- 어, 자, 가자, 가자
- (기주) 근데..."
"54","00:04:29:10","00:04:31:13","우리끼리만 갈라니
진짜 미안하네"
"55","00:04:31:16","00:04:33:00","(덕수)
그라믄 가지 말든가"
"56","00:04:33:02","00:04:34:00","아!"
"57","00:04:34:02","00:04:35:20","할매 제삿날 도착하니까
그때 봐요"
"58","00:04:35:22","00:04:38:14","(영자)
그래, 오랜만의 가족 여행이니까
재밌게 놀다 온나"
"59","00:04:38:16","00:04:39:23","- 그럼 엄마, 갔다 올게요
- (영자) 오야"
"60","00:04:40:01","00:04:40:24","- (기주 처) 갈게요
- (기주) 아버지, 갔다 올게요"
"61","00:04:41:00","00:04:42:09","- (영자) 바이바이
- (아이들) 안녕~"
"62","00:04:42:20","00:04:44:14","(서연)
엄마, 아빠, 잘 가~"
"63","00:04:44:16","00:04:46:04","[아이들이 인사하는 소리]"
"64","00:04:47:04","00:04:48:04","(덕수)
가족 여행?"
"65","00:04:48:20","00:04:51:10","지랄하네
우리는 가족 아이가?"
"66","00:04:52:04","00:04:53:08","(영자)
하이고"
"67","00:04:53:15","00:04:54:17","(덕수)
아, 와?"
"68","00:04:56:20","00:04:59:07","[웅성웅성, 탁, 탁]
(청년회장)
하하, 아버님"
"69","00:04:59:09","00:05:00:17","가라, 이씨!"
"70","00:05:00:20","00:05:03:07","아버님, 아버님
말로 하입시더, 말로, 아버님"
"71","00:05:03:09","00:05:05:09","(덕수)
아버님 같은 소리 하고 자빠짔네"
"72","00:05:05:11","00:05:06:20","내가 와 느그 아버지고?"
"73","00:05:07:04","00:05:08:10","(청년회장)
그게 아니고요, 아버님"
"74","00:05:09:00","00:05:12:03","저희가 가격 좋게 쳐드릴 때
그냥 도장 찍으시는 게 어떻겠느..."
"75","00:05:12:05","00:05:14:24","(덕수)
도장? 도장으로 확
대구빡을 쪼사뿔라!"
"76","00:05:16:06","00:05:19:00","내 눈에 흙이 들어가기 전까지는
가게 안 넘긴다캤제"
"77","00:05:19:11","00:05:21:02","하, 진짜 말이 안 통하네"
"78","00:05:21:17","00:05:23:19","아버님이 아무리 그래도
소용없어요"
"79","00:05:23:22","00:05:25:04","인자는 법이 바끼 가꼬"
"80","00:05:25:08","00:05:27:18","여 상가 사람들 80 이상이
오케이 해뿌믄"
"81","00:05:28:00","00:05:30:11","우리가 도장 안 찍어도
그냥 강제적으로 수용돼 뿐다니까요"
"82","00:05:30:13","00:05:32:09","[팍]
빨리 안 꺼지나, 이 새끼들아!"
"83","00:05:32:11","00:05:33:15","아하하, 나..."
"84","00:05:33:17","00:05:35:15","이런 호로놈의 새끼들이 진짜로"
"85","00:05:35:17","00:05:36:24","(청년회장)
아이고, 참..."
"86","00:05:37:01","00:05:38:19","예, 알겠습니다
들어가 보겠습니다, 아버님"
"87","00:05:38:22","00:05:40:11","내일 뵈께예
[청년회장의 기침 소리]"
"88","00:05:41:10","00:05:43:10","(청년회장)
진짜 앞뒤가 저래 꽉 막혀서..."
"89","00:05:44:09","00:05:45:20","(청년회장)
어허, 참..."
"90","00:05:46:19","00:05:48:04","여 봐라, 봐라, 봐라!"
"91","00:05:48:06","00:05:50:03","여다 차를 세우면 우짜노
빨리 차 빼라!"
"92","00:05:50:04","00:05:51:05","5분이면 됩니다, 5분"
"93","00:05:51:06","00:05:52:19","여가 뭐, 니네만 장사하는 데가!"
"94","00:05:53:23","00:05:55:00","[탁]"
"95","00:05:55:02","00:05:56:08","너무하신 거 아입니까?"
"96","00:05:56:10","00:05:58:13","우리도 물건을 받아야
장사할 것 아입니까!"
"97","00:05:58:15","00:06:00:11","- 뭐라?
- 와 그리 이기적이신데예?"
"98","00:06:01:12","00:06:04:05","혼자 가게 알박기해 갖고
주변 상인들, 여 피해 다 주면서"
"99","00:06:04:08","00:06:05:23","이젠 물건도 못 받게 합니까?"
"100","00:06:06:00","00:06:07:11","우린 뭐 굶어 죽을까예?"
"101","00:06:08:00","00:06:09:05","빨리 옮기라!"
"102","00:06:09:17","00:06:10:21","[상자 쌓는 소리]"
