No.,Timecode In,Timecode Out,Subtitle
"1","00:00:57:02","00:00:58:21","[탁탁거리는 소리가 들린다]"
"2","00:01:04:09","00:01:06:06","[밝은 음악]"
"3","00:02:39:11","00:02:43:20","[잔잔한 피아노 연주]
(신도들)
♪ 나의 소리 들으라 ♪"
"4","00:02:44:23","00:02:49:11","♪ 나의 자매여 ♪"
"5","00:02:50:15","00:02:56:06","♪ 다 같이 갈 길은 ♪"
"6","00:02:56:08","00:03:00:15","♪ 어디에 있는가 ♪"
"7","00:03:01:23","00:03:06:14","♪ 만나고 인사할 곳 ♪"
"8","00:03:06:16","00:03:07:15","[들뜬 탄성]"
"9","00:03:09:12","00:03:11:21","♪ 어느 곳인가 ♪"
"10","00:03:13:06","00:03:17:19","♪ 나의 소리 들으라 ♪"
"11","00:03:18:15","00:03:22:20","♪ 나의 형제여 ♪"
"12","00:03:23:08","00:03:25:23","[신도들이 저마다 인사한다]
- (인숙) 진태야
- (진태) 네"
"13","00:03:26:16","00:03:31:15","(인숙)
이 엄마는 진태가
피아노도 잘 치고 너무너무 좋은데"
"14","00:03:32:03","00:03:36:18","니 성당에서 미사 볼 때
핸드폰 그기 악마인 기라"
"15","00:03:36:21","00:03:40:02","핸드폰은 성당에서는 고마
악마다, 알제?"
"16","00:03:40:04","00:03:41:01","(진태)
네"
"17","00:03:42:00","00:03:47:12","(인숙)
우리 진태 성당에서만
핸드폰 고거 안 보믄 꼭 천당 갈 끼다"
"18","00:03:47:15","00:03:48:14","(진태)
네"
"19","00:03:49:11","00:03:51:07","(인숙)
진태도 천당 가고 싶제?"
"20","00:03:51:09","00:03:52:05","(진태)
네"
"21","00:03:53:22","00:03:56:01","- (인숙) 니 천당 가기 싫나?
- (진태) 네"
"22","00:03:56:03","00:03:57:17","[리드미컬한 음악]"
"23","00:03:59:15","00:04:01:11","(인숙)
야, 오진태"
"24","00:04:01:13","00:04:03:10","니 엄마하고 같이 안 갈 끼가?"
"25","00:04:08:18","00:04:10:17","집에 가서 라면 묵을까?"
"26","00:04:10:19","00:04:12:05","(진태)
네!
[인숙의 옅은 웃음]"
"27","00:04:13:03","00:04:14:00","(인숙)
라면이 그래 좋나?"
"28","00:04:14:02","00:04:15:00","(진태)
네"
"29","00:04:16:12","00:04:17:11","[복서1의 힘겨운 신음]"
"30","00:04:18:17","00:04:19:22","(코치)
야, 물수건!"
"31","00:04:19:24","00:04:21:15","가만있어, 씁, 가만있어, 가만있어!"
"32","00:04:22:04","00:04:23:08","야, 물수건!"
"33","00:04:24:13","00:04:25:20","가만있어, 가만있어, 가만있어"
"34","00:04:25:22","00:04:26:21","(복서2)
저, 여기요"
"35","00:04:26:23","00:04:28:09","[복서1의 힘겨운 신음]
(코치)
가만있어"
