No.,Timecode In,Timecode Out,Subtitle
"1","00:01:07:07","00:01:08:10","[종이 뜯는 소리]"
"2","00:01:08:12","00:01:10:11","[기차가 덜컹덜컹 지나간다]
[기차 경적 소리]"
"3","00:01:22:21","00:01:25:10","[사람들이 도란도란 떠든다]"
"4","00:01:25:12","00:01:27:24","(노숙자)
어이, 아가씨"
"5","00:01:30:23","00:01:32:21","불 있나?"
"6","00:01:39:19","00:01:40:23","[한숨]"
"7","00:01:42:24","00:01:44:22","(노숙자)
이 담배 언제 피우나..."
"8","00:01:46:00","00:01:47:18","[기차 신호음]"
"9","00:01:47:20","00:01:50:07","[기차 안내 음성]
지금은 열차가 들어오고 있습니다"
"10","00:01:50:24","00:01:53:23","[기차 안내 음성]
타는 곳 안쪽으로
한 걸음 물러서 주시기 바랍니다"
"11","00:01:54:00","00:01:55:17","[기차 경적 소리]"
"12","00:01:56:13","00:01:58:17","[기차가 덜컹덜컹 들어온다]"
"13","00:02:04:21","00:02:06:09","[기차 안 소리]"
"14","00:02:10:00","00:02:11:09","[바람 소리]"
"15","00:02:14:13","00:02:16:13","[멀리서 들리는 차 소리]"
"16","00:02:17:09","00:02:18:18","[바람 소리]"
"17","00:02:18:20","00:02:20:03","[허탈한 웃음]"
"18","00:02:24:05","00:02:25:16","[의자 움직이는 소리]"
"19","00:02:25:18","00:02:26:23","[사람들이 도란도란 떠든다]"
"20","00:02:27:00","00:02:29:00","[수진 발소리]"
"21","00:02:29:06","00:02:31:06","[슬픈 음악]"
"22","00:02:34:06","00:02:35:19","[우는 수진]"
"23","00:02:36:07","00:02:38:16","[흐느끼는 수진]"
"24","00:02:42:08","00:02:43:16","[훌쩍이는 수진]"
"25","00:02:43:18","00:02:45:22","[기차 움직이는 소리]"
"26","00:02:49:06","00:02:51:11","[기차 안내 음성이 흘러나온다]"
"27","00:02:51:23","00:02:53:23","[소란스러운 사람들]"
"28","00:03:00:02","00:03:01:07","[편의점 내 발라드 음악]"
"29","00:03:01:09","00:03:02:11","[가까워져 오는 발소리]"
"30","00:03:02:13","00:03:03:17","[문에 흔들린 병 소리]"
"31","00:03:06:05","00:03:07:22","[물품 정리하는 직원]"
"32","00:03:13:03","00:03:14:19","[바코드 인식음]
(직원)
700원입니다"
"33","00:03:14:21","00:03:15:21","[캔 내려놓는 소리]"
"34","00:03:21:19","00:03:23:04","[동전이 잘그랑거린다]"
"35","00:03:24:23","00:03:26:08","(직원)
1,000원 받았습니다"
"36","00:03:26:18","00:03:28:16","[계산대 인식음]"
"37","00:03:28:18","00:03:30:16","(직원)
아이씨, 또 시작이네"
"38","00:03:30:18","00:03:32:18","[휴지로 캔 닦는 소리]"
"39","00:03:35:02","00:03:36:14","[동전이 잘그랑거린다]"
"40","00:03:38:06","00:03:39:12","(직원)
여기요"
"41","00:03:41:01","00:03:42:05","[동전 소리]"
"42","00:03:45:15","00:03:46:21","[가방을 툭 든다]"
"43","00:03:46:23","00:03:48:23","[수진 발소리]"
"44","00:03:50:21","00:03:52:21","[도로의 소음]"
"45","00:03:58:17","00:04:00:16","[짜증 섞인 한숨]
[가방 내려놓는 소리]"
"46","00:04:04:15","00:04:05:12","[문에 부딪친 철수]"
"47","00:04:06:13","00:04:07:17","[못마땅한 숨소리]"
"48","00:04:07:21","00:04:09:21","[편의점 내 발라드]"
"49","00:04:16:17","00:04:17:23","[가로막는 수진 발소리]"
"50","00:04:19:07","00:04:20:24","[옅은 한숨]"
