No.,Timecode In,Timecode Out,Subtitle
"1","00:00:37:13","00:00:40:01","[긴장되는 음악]"
"2","00:01:00:17","00:01:02:03","[바람이 휭 분다]"
"3","00:01:45:04","00:01:47:17","[하늘이 우르릉거린다]"
"4","00:01:58:20","00:02:01:08","[프로펠러가 윙 돌아간다]"
"5","00:02:09:05","00:02:11:19","[사람들이 웅성거린다]"
"6","00:02:15:24","00:02:17:01","(부조종사)
[영어]
타세요!"
"7","00:02:17:03","00:02:18:08","- (남자1) 네
- (부조종사) 어서요!"
"8","00:02:18:10","00:02:19:13","(남자1)
알겠습니다"
"9","00:02:19:15","00:02:21:20","[무전기에서 영어 음성이 흘러나온다]"
"10","00:02:21:22","00:02:23:01","선생님, 빨리요!"
"11","00:02:23:16","00:02:25:20","(혜원)
[한국어]
가자, 선배, 가자, 시간 없어"
"12","00:02:25:22","00:02:27:04","[저마다 캄보디아어로 인사한다]"
"13","00:02:28:05","00:02:29:24","(부조종사)
[영어]
어서 오세요! 빨리요!"
"14","00:02:32:22","00:02:33:18","타세요!"
"15","00:02:33:20","00:02:36:18","[의미심장한 음악]"
"16","00:02:39:01","00:02:41:08","[아기 울음이 들린다]"
"17","00:02:44:14","00:02:45:16","(혜원)
[한국어]
한 선배!"
"18","00:02:45:18","00:02:48:18","홍수 때문에 지금 못 타면
보름이나 묶인다니까!
[조종사가 영어로 재촉한다]"
"19","00:02:49:03","00:02:49:24","타!"
"20","00:02:50:01","00:02:52:08","(조종사)
[영어]
날씨 좀 봐요, 심상치 않네요"
"21","00:02:52:10","00:02:53:19","[주변이 소란스럽다]"
"22","00:02:53:22","00:02:55:11","(혜원)
[한국어]
한국에도 스케줄 많잖아"
"23","00:02:56:14","00:02:57:10","(부조종사)
[영어]
가세요!"
"24","00:02:57:22","00:02:59:07","(혜원)
[한국어]
이게 마지막 헬기래"
"25","00:03:00:04","00:03:01:00","벨트 매"
"26","00:03:01:05","00:03:05:01","[조종사가 영어로 계속 소리친다]"
"27","00:03:05:21","00:03:06:20","(혜원)
한 선배!"
"28","00:03:07:04","00:03:08:16","- (혜원) 아, 뭐야?
- (수현) 가방 줘, 가방"
"29","00:03:08:18","00:03:10:08","- (혜원) 어떻게 할 건데?
- (수현) 먼저 가, 연락할게, 어"
"30","00:03:10:11","00:03:12:03","(혜원)
아, 선배, 아, 선배!"
"31","00:03:12:16","00:03:14:11","아휴, 한 선배!"
"32","00:03:15:15","00:03:16:13","야, 한수현!"
"33","00:03:26:08","00:03:27:22","[부글부글 끓는 소리가 난다]"
"34","00:03:27:24","00:03:30:10","[물이 똑똑 떨어진다]
[닭 울음]"
"35","00:03:32:08","00:03:35:03","[새가 지저귄다]"
"36","00:03:36:00","00:03:38:04","[아기가 옹알거린다]"
"37","00:03:38:12","00:03:39:08","[수현의 한숨]"
"38","00:03:43:10","00:03:45:00","[아기가 옹알거린다]"
"39","00:03:45:16","00:03:47:12","[코끼리 울음소리가 들린다]"
"40","00:03:48:12","00:03:49:19","[벌레들이 윙윙댄다]
[라이터 뚜껑을 탁 닫는다]"
"41","00:03:51:02","00:03:53:09","[멀리서 아이들이 저마다 떠든다]"
"42","00:04:00:04","00:04:01:08","[아기의 보채는 신음]"
"43","00:04:01:10","00:04:02:10","[수현이 연기를 후 내뿜는다]"
"44","00:04:04:16","00:04:07:03","[아기의 보채는 신음]"
"45","00:04:11:18","00:04:14:05","(노인)
[캄보디아어]
감사합니다"
