No.,Timecode In,Timecode Out,Subtitle
"1","00:00:46:02","00:00:48:08","[긴장감 있는 음악]"
"2","00:00:48:13","00:00:49:16","[다급한 발소리]"
"3","00:00:51:08","00:00:54:19","[호루라기 소리가 연신 들려온다]"
"4","00:00:54:21","00:00:56:18","(군인)
[일본어]
저기다! 저쪽이다!"
"5","00:00:56:21","00:00:57:18","[다급한 숨소리]"
"6","00:00:57:20","00:00:59:09","(김 선생)
[한국어]
기미년 만세 운동 때"
"7","00:00:59:18","00:01:01:07","나도 급하게 조선을 떠나느라"
"8","00:01:02:07","00:01:04:14","이것밖에는 챙기지 못했네"
"9","00:01:07:17","00:01:11:06","자네가 찾고 있던
주시경 선생의 원고일세"
"10","00:01:12:04","00:01:13:00","(정환)
감사합니다"
"11","00:01:13:02","00:01:14:10","(군인)
[일본어]
저기다! 쫓아가!"
"12","00:01:14:12","00:01:15:20","(김 선생)
[한국어]
나라를 빼앗은 일본이"
"13","00:01:15:22","00:01:16:18","(장교)
[일본어]
쏴라"
"14","00:01:16:20","00:01:17:20","(김 선생)
[한국어]
이제 우리의 정신을"
"15","00:01:17:22","00:01:18:21","빼앗으려 하지 않겠나"
"16","00:01:19:19","00:01:21:24","[총소리가 연신 들린다]
곧 조선의 모든 학교에서"
"17","00:01:22:02","00:01:23:16","우리 말과 글을 못 쓰게 할 걸세"
"18","00:01:23:18","00:01:25:02","[총소리]"
"19","00:01:25:04","00:01:27:06","일본의 감시가 만만치 않을 텐데"
"20","00:01:27:17","00:01:29:10","[총소리]
[정환의 비명]"
"21","00:01:31:00","00:01:32:01","[정환의 고통스러운 비명]"
"22","00:01:33:00","00:01:34:24","[정환의 고통스러운 신음]"
"23","00:01:35:14","00:01:36:18","[거친 숨소리]"
"24","00:01:37:08","00:01:38:05","(정환)
가방"
"25","00:01:38:11","00:01:39:16","[다급한 숨소리]"
"26","00:01:42:06","00:01:43:08","[고통스러운 신음]"
"27","00:01:43:17","00:01:44:19","[군인들이 소리친다]"
"28","00:01:44:21","00:01:47:05","(정환)
그럴수록
누군가는 꼭 해야 할 일 아닙니까"
"29","00:01:49:17","00:01:51:04","(장교)
[일본어]
전부 흩어져서 찾아라!"
"30","00:01:51:06","00:01:52:02","(군인들)
네!"
"31","00:01:58:08","00:01:59:24","[의미심장한 음악]"
"32","00:02:03:13","00:02:04:17","(정환)
[한국어]
동지들과 함께"
"33","00:02:04:22","00:02:07:18","반드시 말모이를 완성하겠습니다"
"34","00:02:19:08","00:02:21:10","[밝은 음악]
[거리가 소란스럽다]"
"35","00:02:27:13","00:02:29:11","(판수)
그런 썩어 빠진 정신으로"
"36","00:02:29:13","00:02:31:14","어떻게 이런 험한 세상을
살아간다고 말이야"
"37","00:02:31:16","00:02:34:03","정신 똑바로 차리고 살아도, 어?"
"38","00:02:34:05","00:02:35:22","살기 어려운 판에, 이놈의 새끼들"
"39","00:02:36:00","00:02:38:00","손 똑바로 안 들어? 어?"
"40","00:02:38:21","00:02:39:24","이놈의 새끼들, 그냥"
"41","00:02:40:23","00:02:44:10","바늘을 훔치면
나중에 뭐를 훔치게 돼 있어, 응?"
"42","00:02:46:04","00:02:48:17","- 자, 줄을 똑바로 서라고, 똑바로!
- (영화관 손님1) 여기요"
"43","00:02:49:14","00:02:53:14","(판수)
나 어렸을 때는
이놈의 새끼들아, 아이고"
"44","00:02:54:16","00:02:57:00","[춘삼의 멋쩍은 웃음]
[자동차 경적]"
"45","00:02:58:12","00:03:01:09","(봉두)
[변사 톤으로]
아, 홍도야, 울지 마라"
"46","00:03:01:11","00:03:02:17","오빠가 있다!"
"47","00:03:02:19","00:03:03:24","(아이들)
'오빠가 있다!'"
"48","00:03:04:01","00:03:05:09","(봉두)
기생이 된 홍도의"
"49","00:03:05:11","00:03:07:22","- (봉두) 가슴 아픈 사랑의 역사!
- (아이들) '사랑의 역사!'"
"50","00:03:07:24","00:03:10:07","(봉두)
사랑에 속고 돈에 울고!
[아이들이 계속 따라 한다]"
"51","00:03:10:09","00:03:11:15","(판수)
야, 박봉두!"
"52","00:03:12:03","00:03:14:07","어우, 씨, '사랑의 역사!'
[아이들의 웃음소리]"
"53","00:03:14:24","00:03:16:05","이 새끼가 진짜"
"54","00:03:16:17","00:03:17:22","야, 인마"
"55","00:03:18:00","00:03:20:06","'사랑의 역사', 이게 뭐야, 이게?
[아이들의 웃음소리]"
"56","00:03:20:08","00:03:21:16","내가 몇 번을 얘기했어?"
"57","00:03:21:18","00:03:23:16","내려와, 이 새끼야
내가 우러러봐야 되겠어?"
"58","00:03:24:10","00:03:25:14","자, 쫓아 해 봐"
"59","00:03:25:21","00:03:27:20","호흡을 이빠이 한 다음에"
"60","00:03:28:08","00:03:31:18","[숨을 들이마시며 변사 톤으로]
'사랑의 여윽사', 해 봐"
"61","00:03:31:20","00:03:33:18","(봉두)
[찢어지는 목소리로]
'사랑의 역사!'"
"62","00:03:33:20","00:03:36:03","- (아이들) '사랑의 역사!'
- (판수) 아, 저리 가!"
"63","00:03:36:05","00:03:37:01","[아이들이 웃는다]"
"64","00:03:37:03","00:03:38:14","네가 인마, 어떻게 하느냐에 따라서"
"65","00:03:38:16","00:03:41:12","극장, 많은 사람의
식구들의, 이 자식아, 어?"
"66","00:03:41:14","00:03:44:22","네가 엄청난 이거
어깨를 느껴야 되는 거야, 어?"
"67","00:03:44:24","00:03:45:22","(봉두)
내가 어깨를..."
"68","00:03:45:24","00:03:47:17","(판수)
그럼, 새끼야, 네 어깨지
[실랑이하는 소리]"
"69","00:03:47:19","00:03:49:17","- (봉두) 어? 저기
- (춘삼) 놔 보라고!"
"70","00:03:49:19","00:03:51:09","[춘삼의 고통스러운 신음]
(판수)
왜, 왜 이래?"
"71","00:03:51:12","00:03:52:09","왜 이러는 거야?"
"72","00:03:52:14","00:03:53:09","(판수)
뭐야, 당신?"
"73","00:03:53:18","00:03:54:17","(기도부장)
오셨습니까?"
"74","00:03:54:19","00:03:55:16","(이 부장)
응"
"75","00:03:55:24","00:03:56:20","(판수)
응?"
"76","00:03:56:22","00:03:58:08","[속삭이며]
야, 이 새끼야
오늘 이 부장 안 나온다며"
"77","00:03:58:10","00:03:59:08","(봉두)
[속삭이며]
어떡해요?"
"78","00:03:59:10","00:04:01:00","(판수)
어, 이 부장 왔어? 왜 쉬지 않고?"
"79","00:04:01:02","00:04:01:23","[판수의 멋쩍은 웃음]"
"80","00:04:02:00","00:04:03:14","(기도부장)
손님 지갑 터는 걸 잡았습니다"
"81","00:04:03:22","00:04:05:00","경찰서 데려갈까요?"
"82","00:04:05:14","00:04:08:04","(판수)
아, 이 새끼 완전 쓰레기 같은 새끼네"
"83","00:04:08:06","00:04:11:04","이런 새끼 때문에
기도부장이 욕먹는 거거든"
"84","00:04:11:06","00:04:13:02","경찰서 넘겨야지, 그렇지? 허허허"
"85","00:04:13:04","00:04:15:07","- (춘삼) 성님!
- (판수) 어
[판수의 당황한 신음]"
"86","00:04:16:01","00:04:18:03","어? 저, 저 알아요?"
"87","00:04:18:07","00:04:20:01","(판수)
[멋쩍게 웃으며]
누구보고 형님이라는 거야?"
"88","00:04:20:03","00:04:21:09","- (이 부장) 김 씨
- (판수) 어"
"89","00:04:21:11","00:04:23:01","- (이 부장) 내일부터 나오지 마!
- (판수) 어?"
"90","00:04:23:03","00:04:23:24","(이 부장)
요즘 극장에서"
"91","00:04:24:01","00:04:25:22","물건 없어진다는 얘기
나오는 거 모를 줄 알아?"
"92","00:04:26:03","00:04:27:04","(이 부장)
그러게 왜"
"93","00:04:27:12","00:04:30:09","쥐새끼 같은 놈들을
극장에 끌어들이고 그래, 자꾸"
"94","00:04:30:11","00:04:31:23","(판수)
아, 끌어들이긴 누가 끌어들여?"
"95","00:04:32:00","00:04:33:22","나 진짜로 모르는 사람이라니까!"
"96","00:04:33:24","00:04:34:22","한번 물어봐 봐"
"97","00:04:34:24","00:04:36:20","(판수)
어? 이 새끼 어디 갔어?
이 쌍놈의 새끼"
"98","00:04:37:01","00:04:38:12","아! 물어봐 봐, 진짜
[이 부장의 한숨]"
"99","00:04:38:14","00:04:41:07","이 부장! 아, 얘기나 한번 해 보고 가
[이 부장의 짜증 나는 신음]"
"100","00:04:41:09","00:04:42:09","(판수)
뭐야?"
"101","00:04:42:11","00:04:44:05","아, 잠깐만, 잠깐만 나와 봐"
"102","00:04:44:17","00:04:45:23","나와 보라고!"
"103","00:04:46:07","00:04:48:12","[기도부장의 짜증 나는 한숨]
(판수)
어쭈! 어쭈!"
"104","00:04:48:14","00:04:49:18","나와 보라고, 어?"
"105","00:04:50:19","00:04:52:01","당신하고 할 얘기 없으니까..."
"106","00:04:52:08","00:04:53:06","아이, 씨"
"107","00:04:53:08","00:04:54:04","[판수의 신음]"
"108","00:04:54:06","00:04:55:02","[행인들의 놀라는 소리]"
"109","00:04:55:04","00:04:56:00","(행인1)
아이고, 아이고"
"110","00:04:56:02","00:04:57:22","아이고야, 완전 배지기네, 배지기"
"111","00:04:57:24","00:04:59:08","[익살스러운 음악]
[판수의 허탈한 웃음]"
"112","00:04:59:11","00:05:02:03","(판수)
제법 맷집이 있는데, 어?"
