No.,Timecode In,Timecode Out,Subtitle
"1","00:00:21:05","00:00:23:11","[의미심장한 음악]"
"2","00:00:43:05","00:00:44:19","(앵커1) 북한의
마지막 남은 핵무기"
"3","00:00:44:21","00:00:47:03","즉 ICBM 6기의 반출을 위해"
"4","00:00:47:05","00:00:49:23","오는 16일 오후
미군 수송선 왓슨호가"
"5","00:00:50:00","00:00:51:24","북한 청진항에 도착합니다
[앵커2가 중국어로 보도한다]"
"6","00:00:52:01","00:00:54:03","이로써 북한의 핵 폐기 프로그램은
[앵커3이 영어로 보도한다]"
"7","00:00:54:05","00:00:56:17","마침내
마지막 수순에 이르렀습니다"
"8","00:00:56:22","00:00:59:18","(앵커3) [영어] 16일 오후에
진행될 예정입니다"
"9","00:00:59:20","00:01:02:01","이로써 북한의 핵 폐기 프로그램은"
"10","00:01:02:03","00:01:03:17","마침내
마지막 수순에 이르렀습니다"
"11","00:01:40:13","00:01:41:14","[사이렌 소리가 들린다]"
"12","00:01:41:16","00:01:43:13","(경찰1) [한국어] 1392, 1392
통제 시작합니다"
"13","00:01:43:15","00:01:45:18","자, 사람들 안으로 못 들어가게
통제해 주세요"
"14","00:01:45:20","00:01:46:23","이쪽 가드 라인 쳤습니다"
"15","00:01:47:00","00:01:48:05","(인창) 지금 이 순간"
"16","00:01:48:07","00:01:50:16","[경찰들이 계속 말한다]
내 눈앞에 놓인 이 녹슨 괴물은"
"17","00:01:50:22","00:01:52:17","[기계 작동음]
한국 전쟁의 비극적 산물"
"18","00:01:52:19","00:01:54:20","AN-M64
[바람이 쉭 나온다]"
"19","00:01:55:01","00:01:57:20","파이프 렌치로 신관을 돌린 후"
"20","00:01:57:22","00:01:59:16","천천히 뽑는다"
"21","00:01:59:18","00:02:01:20","(태식) 에이, 거참 되게 시끄럽네"
"22","00:02:01:22","00:02:02:21",""폭발물 처리반""
"23","00:02:02:23","00:02:04:11","아이, 지금 작업 중이잖아요, 예?"
"24","00:02:05:18","00:02:06:20","[태식의 당황한 소리]
(인창) 태식아"
"25","00:02:06:22","00:02:10:00","너 불발탄이
안 터지니까 불발탄이지"
"26","00:02:10:02","00:02:11:05","나 군 생활 하는 동안"
"27","00:02:11:07","00:02:12:10","(무전 속 인창) 불발탄
터졌다는 소리를"
"28","00:02:12:12","00:02:13:18","들어본 적이 없어, 이 사람아"
"29","00:02:13:21","00:02:15:03","(김 상사) 왜 저런다니?"
"30","00:02:15:05","00:02:18:00","(민 중사) 전역식 앞두고 좀
싱숭생숭하신가 봅니다"
"31","00:02:18:02","00:02:20:02","(인창) 아니, 난 이것도
왜 입는지 모르겠어, 이거"
"32","00:02:20:04","00:02:21:20","두꺼운데 따뜻하지도 않아, 이거"
"33","00:02:21:22","00:02:24:08","(태식) [짜증 내며] 아
나 지금 작업 중이라고"
"34","00:02:24:17","00:02:25:17","(인창) 작업해야지"
"35","00:02:26:11","00:02:27:23","근데 어떻게 생각해 보면은"
"36","00:02:28:04","00:02:30:04","이게 또 우리 직업만큼
안전한 직업이 없어"
"37","00:02:30:07","00:02:31:13","(인창) 어? 안 그래?"
"38","00:02:31:18","00:02:34:15","근데 그거를 이해를 못 해
우리 지영이가"
"39","00:02:34:17","00:02:35:21","[태식의 헛웃음]"
"40","00:02:35:23","00:02:37:17","(태식) 아, 어차피 이제
현장 나올 일도 없으면서"
"41","00:02:37:19","00:02:39:00","무슨 걱정이래?
[쓱쓱 바닥 긁는 소리]"
"42","00:02:39:02","00:02:40:05","뭐, 허해"
"43","00:02:40:07","00:02:41:17","허하다, 허해"
"44","00:02:41:19","00:02:44:00","(인창) 오늘 뭐
뭐 있었던 거 같은데, 오늘?"
"45","00:02:44:03","00:02:45:12","(무전 속 김 상사) 회식, 회식"
"46","00:02:45:14","00:02:47:05","아, 그래, 맞아, 맞아
회식 있었어"
"47","00:02:47:07","00:02:48:24","[쓱쓱 긁으며] 아, 만리성만
아니면 좋겠는데"
"48","00:02:49:01","00:02:50:06","(민 중사) 만리성입니다"
"49","00:02:50:08","00:02:53:02","(무전 속 인창) 쳇, 내가 봤을 때
민 교수 만리성에 지분 있다"
"50","00:02:53:12","00:02:54:13","(인창) 아닌데?"
"51","00:02:54:15","00:02:56:20","회식 말고 오늘
뭐 있었던 거 같은데, 오늘 우리?
[부드러운 음악]"
"52","00:02:56:22","00:02:59:13","(의사) 남편분은? 또 지각?"
"53","00:03:00:07","00:03:03:00","몰라요
또 출동을 했는지 어쨌는지"
"54","00:03:04:12","00:03:05:15","(지영) 근데 쌤"
"55","00:03:05:17","00:03:08:09","다른 데는 그냥
눈치껏 다 알려주고 그러던데
[키보드 조작음]"
"56","00:03:08:12","00:03:09:15","어떻게 32주를 꽉 채우냐?"
"57","00:03:09:17","00:03:10:23","빡빡하네"
"58","00:03:11:00","00:03:12:18","원래 법이 그래요, 법이"
"59","00:03:12:20","00:03:16:00","(지영) 그러니까
병원이 아니라 법원인 줄"
"60","00:03:16:02","00:03:17:16","궁금해서 어떻게 참았대?"
"61","00:03:17:18","00:03:20:21","그래서 우리 꼬물이
공주예요, 왕자예요, 응?"
"62","00:03:22:07","00:03:24:08","[휴대전화 진동음]"
"63","00:03:24:10","00:03:25:19","[깊은 한숨]"
"64","00:03:27:14","00:03:29:09","[문 닫히는 소리]"
"65","00:03:29:20","00:03:31:06","[숨을 크게 내쉰다]"
"66","00:03:32:02","00:03:33:12","[통화 연결음]"
"67","00:03:33:14","00:03:34:18","(인창) 어, 우리 큐티 쁘띠"
"68","00:03:34:21","00:03:36:24","빨리 얘기 좀 해줘 봐봐
아들이래, 딸이래?
[경적이 여기저기서 울린다]"
"69","00:03:37:03","00:03:38:09","(지영) 실례지만 누구시죠?"
"70","00:03:38:11","00:03:40:12","- 저 아세요?
- (인창) 아이, 지영 씨, 왜 그래"
"71","00:03:40:14","00:03:43:01","나 다 왔어, 지금
나 다 왔어요, 지금"
"72","00:03:43:03","00:03:45:04","(지영) 오빠, 오늘 출동 나갔어?"
"73","00:03:45:07","00:03:47:02","(인창) 어, 아니?"
"74","00:03:47:04","00:03:49:11","(지영) 아니, 왜 출동을 나가면
나간다고 말을 안 할까?"
"75","00:03:49:14","00:03:50:18","아…"
"76","00:03:50:20","00:03:52:01","쯧, 걱정하니까 그렇지"
"77","00:03:52:03","00:03:53:08","이 봐, 이 봐, 나갔네, 나갔어"
"78","00:03:53:11","00:03:56:00","(인창) 출동을 나가고 싶어도
이제 출동을 나갈 수가 없어"
"79","00:03:56:02","00:03:57:22","오늘이 마지막이라고"
"80","00:03:57:24","00:04:00:11","근데 그, 의사가 뭐래?
빨리 얘기해 봐"
"81","00:04:00:13","00:04:02:03","(지영) 왜, 뭐를?"
"82","00:04:02:06","00:04:03:05","아, 우리 꼬물이"
"83","00:04:03:24","00:04:05:21","[버튼 조작음]
아, 의사가 뭐라냐면은…"
"84","00:04:05:23","00:04:07:03","어"
"85","00:04:07:05","00:04:09:01","늦었으니까 절대 말해주면 안 된대"
"86","00:04:09:03","00:04:10:19","(인창) 아이, 의사 새끼가 그래?"
"87","00:04:10:21","00:04:12:10","- (지영) 여자야
- (인창) 딸이야, 그럼? 진짜?"
"88","00:04:12:12","00:04:14:04","선생님 여자라고"
"89","00:04:14:06","00:04:15:22","아이, 썰렁하게, 무슨…
[지영의 웃음]"
"90","00:04:15:24","00:04:17:12","[엘리베이터 도착음]
(인창) 농담을…"
"91","00:04:17:14","00:04:18:22","나 엘리베이터 왔어"
"92","00:04:18:24","00:04:20:15","(지영) 빨리 집에 오면 말해 줄게"
"93","00:04:20:17","00:04:21:24","- (인창) 아이…
- (지영) 이상"
"94","00:04:22:01","00:04:22:23","[휴대전화 조작음]"
"95","00:04:23:00","00:04:24:19","(뉴스 속 앵커4) 그럼
대회장에 나가 있는
[답답해한다]"
"96","00:04:24:21","00:04:26:12","[개가 왈왈 짖는다]
YTN 평양지국 이석철 특파원"
"97","00:04:26:15","00:04:27:24","[인창이 입소리를 투투 낸다]
불러보겠습니다"
"98","00:04:28:01","00:04:30:08","(뉴스 속 특파원) 네, 저는 지금
조선 노동당 대회가 열리는"
"99","00:04:30:10","00:04:32:06","4.25 문화회관 앞에 나와 있습니다
[볼륨 키우는 소리]"
"100","00:04:32:09","00:04:35:00","북한 수뇌부가 총동원된
이번 대회에서는
[개가 계속 짖는다]"
"101","00:04:35:02","00:04:37:02","핵 폐기 프로그램의 완수를
재확인하며"
"102","00:04:37:04","00:04:39:14","한반도의 완전한 비핵화를
선언할 것으로 보입니다"
"103","00:04:39:16","00:04:42:06","북한의 마지막 남은
ICBM의 반출을 위해"
"104","00:04:42:08","00:04:43:16","오는 16일 오후"
"105","00:04:43:18","00:04:45:18","미국의 왓슨호가
청진항에 입항하는데요"
"106","00:04:45:20","00:04:47:16","이번 ICBM 반출을 위해"
"107","00:04:47:18","00:04:49:21","완전한 비핵화를 대내외적으로
과시하게 되는 거…"
"108","00:04:49:23","00:04:51:12","[강풍 소리가 흘러나온다]"
"109","00:04:52:22","00:04:54:24","[사람들이 웅성거린다]"
"110","00:04:55:01","00:04:56:12","- (남자1) 뭐야?
- (여자1) 어떡해"
"111","00:04:56:14","00:04:58:16","[영상이 지직거린다]
(뉴스 속 특파원) 현재
갑작스러운 지진으로 인해"
"112","00:04:58:18","00:05:00:13","[긴장되는 음악]
현장 상황이 원활하지가 않습니다"
"113","00:05:00:15","00:05:02:23","[사람들의 비명]
어, 말씀드리는 순간"
"114","00:05:03:00","00:05:04:21","[영상이 계속 지직거린다]
4.25 문화회관이
붕괴되고 있습니다!"
"115","00:05:04:23","00:05:06:20","다시 한번 말씀드리겠습니다
[인창의 놀란 숨소리]"
"116","00:05:06:22","00:05:08:16","어! 4.25 문화회관이
[사람들이 웅성거린다]"
"117","00:05:09:17","00:05:11:11","갑작스러운 지진으로 인해…"
"118","00:05:12:07","00:05:14:15","[긴급 재난 문자 알림음]"
"119","00:05:16:07","00:05:18:12","[긴장한 숨소리]"
"120","00:05:18:14","00:05:20:10","[여기저기서 알림음이 울린다]"
"121","00:05:20:12","00:05:21:20","[왈왈 짖는다]"
"122","00:05:21:22","00:05:23:21","[긴급 재난 문자 알림음]
[탁 집어 드는 소리]"
"123","00:05:26:10","00:05:27:11","[긴장되는 효과음]"
"124","00:05:33:07","00:05:34:07","[놀란 숨소리]"
"125","00:05:36:15","00:05:38:16","[연달아 깨지는 소리가 난다]"
"126","00:05:41:08","00:05:43:10","[사람들의 비명]"
"127","00:05:43:13","00:05:45:06","[쾅 떨어지는 소리]
[인창의 놀란 소리]"
"128","00:05:46:09","00:05:48:14","[경적이 울린다]
[긴박한 음악]"
"129","00:05:51:14","00:05:53:02","[다급한 목소리로] 지영아
아, 씨…"
"130","00:05:53:17","00:05:54:20","[자동차 가속음]"
"131","00:05:54:22","00:05:56:14","[타이어 마찰음]"
"132","00:05:56:16","00:05:58:06","[경적이 울린다]"
"133","00:06:04:19","00:06:06:10","[깨지는 소리]
[경적이 여기저기서 울린다]"
"134","00:06:08:21","00:06:09:21","[타이어 마찰음]"
"135","00:06:09:23","00:06:11:16","[인창의 놀란 소리]"
"136","00:06:14:11","00:06:15:19","[부서지는 소리]"
"137","00:06:18:16","00:06:19:17","[인창의 놀란 소리]
[타이어 마찰음]"
"138","00:06:23:11","00:06:25:03","[사람들의 비명]"
"139","00:06:25:05","00:06:27:02","[타이어 마찰음]
[인창의 놀란 소리]"
"140","00:06:30:22","00:06:33:11","[인창의 당황한 소리]
[타이어 마찰음]"
"141","00:06:33:14","00:06:35:02","[사람들의 비명]
[타이어 마찰음]"
"142","00:06:45:19","00:06:47:21","[건물 무너지는 소리]"
