No.,Timecode In,Timecode Out,Subtitle
"1","00:00:28:03","00:00:30:24","[웅장한 음악]"
"2","00:00:44:13","00:00:47:09","[고조되는 웅장한 음악]"
"3","00:00:57:00","00:00:59:16","[떨리는 숨소리]"
"4","00:01:01:24","00:01:03:22","[구성진 노랫가락]"
"5","00:01:05:24","00:01:06:24","[사도의 성난 숨소리]"
"6","00:01:16:19","00:01:18:19","[천둥]"
"7","00:01:32:01","00:01:33:15","[별감이 손잡이를 달그락 올린다]"
"8","00:01:40:22","00:01:41:24","(혜경궁)
어머니"
"9","00:01:42:03","00:01:43:11","[다급한 숨소리]"
"10","00:01:43:14","00:01:44:18","어머니!"
"11","00:01:46:24","00:01:51:06","지금 세자가 경희궁으로
칼을 들고 갔습니다, 어머니"
"12","00:01:51:11","00:01:52:11","[힘겨운 신음]"
"13","00:01:53:02","00:01:54:05","[놀란 숨소리]"
"14","00:01:55:10","00:01:58:02","(혜경궁)
주상 전하께서
화를 당하실지도 모릅니다"
"15","00:01:58:05","00:02:00:04","지금이라도 막지 않으면"
"16","00:02:00:15","00:02:03:11","(혜경궁)
세자에 세손까지
모두 다 죽습니다, 어머니"
"17","00:02:06:01","00:02:07:05","[혜경궁의 답답한 신음]"
"18","00:02:07:07","00:02:08:12","어머니!"
"19","00:02:33:07","00:02:35:15","[긴장되는 효과음]"
"20","00:02:39:10","00:02:41:15","[새들이 지저귄다]
[의미심장한 효과음]"
"21","00:02:45:00","00:02:46:23","어젯밤 있었던 일을"
"22","00:02:48:03","00:02:49:15","[떨리는 숨소리]"
"23","00:02:49:17","00:02:52:16","세자의 어미인 제가 아뢰는 것은"
"24","00:02:55:11","00:02:59:02","(영빈)
오로지 전하의 목숨을
지키기 위함이옵니다"
"25","00:03:01:11","00:03:02:19","영빈"
"26","00:03:04:23","00:03:06:17","자네가 충신일세"
"27","00:03:07:18","00:03:09:02","충신이야"
"28","00:03:10:22","00:03:12:21","내 편은 자네뿐이야"
"29","00:03:16:11","00:03:17:11","(영빈)
하오나"
"30","00:03:18:23","00:03:22:04","세자가 그리한 것은
마음의 병 때문이니"
"31","00:03:23:18","00:03:26:08","처분은 하시되 은혜를 베푸시고"
"32","00:03:27:19","00:03:30:03","세손만은 보존하게 하소서"
"33","00:03:33:01","00:03:35:13","[무거운 음악]"
"34","00:03:35:17","00:03:36:21","[떨리는 숨소리]"
"35","00:03:40:23","00:03:42:23","[문이 스르륵 열린다]"
"36","00:03:47:03","00:03:48:23","[새들이 지저귄다]"
"37","00:03:52:07","00:03:53:07","(채제공)
전하"
