No.,Timecode In,Timecode Out,Subtitle
"1","00:00:58:00","00:01:00:00","[신나는 음악]"
"2","00:01:04:03","00:01:05:20","(앵커)
김영삼 대통령은 신년사에서"
"3","00:01:05:22","00:01:09:06","세계와 미래를 위한
개혁과 전진을 강조하면서…"
"4","00:01:09:09","00:01:14:16","(대통령)
1995년은 세계화의 원년으로 만듭시다"
"5","00:01:14:18","00:01:16:13","(기자1)
서울 도심의 한 외국어 학원"
"6","00:01:16:15","00:01:20:06","이른 시간인데도 각 강의실에는
빈자리가 거의 없습니다"
"7","00:01:34:13","00:01:36:14","(자영)
[영어]
내 이름은 자영입니다"
"8","00:01:36:16","00:01:37:23","이자영"
"9","00:01:39:01","00:01:42:00","영어 이름은 도로시입니다"
"10","00:01:42:02","00:01:43:10","[한국어]
번데기 '시'"
"11","00:01:45:02","00:01:46:02","[영어]
나는"
"12","00:01:46:04","00:01:47:17","나는…"
"13","00:01:49:16","00:01:51:06","나는 사과를 좋아합니다"
"14","00:01:52:15","00:01:54:17","(유나)
내 이름은 유나입니다"
"15","00:01:55:04","00:01:56:11","정유나"
"16","00:01:57:01","00:01:59:12","영어 이름은"
"17","00:02:00:00","00:02:01:03","미쉘입니다"
"18","00:02:01:20","00:02:03:15","내 취미는 독서입니다"
"19","00:02:03:17","00:02:06:16","연애 소설이 아닌
추리 소설을 좋아합니다"
"20","00:02:06:18","00:02:08:07","이해했어요?"
"21","00:02:10:10","00:02:12:04","특히"
"22","00:02:13:00","00:02:15:24","나는 나 자신을 사랑합니다"
"23","00:02:17:13","00:02:18:17","감사합니다"
"24","00:02:22:03","00:02:25:00","(보람)
내 이름은 심보람입니다"
"25","00:02:27:06","00:02:29:05","(상인)
[한국어]
네, 네, 맛있게 먹어요, 예"
"26","00:02:29:07","00:02:31:18","(보람)
[영어]
영어 이름은 실비아입니다"
"27","00:02:31:20","00:02:32:17","[보람의 당황한 신음]"
