No.,Timecode In,Timecode Out,Subtitle
"1","00:00:06:22","00:00:08:22","‪[의미심장한 음악]‬"
"2","00:00:30:20","00:00:35:11","‪"NETFLIX 제공"‬"
"3","00:01:36:20","00:01:40:04","‪"UTS 낙하물 연구소 통합 창고"‬"
"4","00:01:46:10","00:01:48:11","‪[분위기가 고조되는 음악]‬"
"5","00:01:53:17","00:01:55:01","‪[옅은 신음]‬"
"6","00:01:55:03","00:01:56:17","‪[코를 훌쩍인다]‬"
"7","00:01:56:19","00:01:58:19","‪[익살스러운 음악]‬"
"8","00:02:04:18","00:02:05:15","‪[태호의 헛기침]‬"
"9","00:02:05:17","00:02:07:01","‪마침 현금이 딱 떨어졌어‬"
"10","00:02:07:03","00:02:08:22","‪(태호)‬
‪분자 합성 아니고 진짜 쌀‬"
"11","00:02:09:00","00:02:10:02","‪이거 한번 씹어 보면 이게 딱…‬"
"12","00:02:10:04","00:02:12:00","‪(연구소장)‬
‪[영어]‬
‪젠장맞을, 이건 또 왜 지랄이야!‬"
"13","00:02:12:14","00:02:14:11","‪통역기가 또 말썽이잖아‬"
"14","00:02:14:13","00:02:16:00","‪[연구소장의 한숨]‬"
"15","00:02:16:02","00:02:18:20","‪넌 늘 현금이 떨어지는 게‬
‪큰 문제더구나‬
‪[태호가 코를 훌쩍인다]‬"
"16","00:02:18:22","00:02:19:22","‪(연구원)‬
‪꺼져, 태호‬"
"17","00:02:19:24","00:02:21:16","‪(태호)‬
‪[한국어]‬
‪하, 잠깐만‬"
"18","00:02:21:18","00:02:23:06","‪아, 자, 자, 자, 자, 잠깐만‬"
"19","00:02:23:08","00:02:24:22","‪아니, 그, 잠깐 쓱 보기만 하는 거를‬"
"20","00:02:24:24","00:02:27:03","‪그걸 어떻게 돈을 꼬박‬
‪꼬박꼬박 받아 처먹습니까! 좀…‬"
"21","00:02:27:05","00:02:28:06","‪(연구원)‬
‪[영어]‬
‪볼 필요 없다니까!‬"
"22","00:02:28:08","00:02:29:23","‪그 아이가 맞는다면‬
‪이거부터 울렸겠지‬"
"23","00:02:30:00","00:02:31:07","‪(태호)‬
‪[한국어]‬
‪뭘 알아, 네가!‬"
"24","00:02:31:10","00:02:32:07","‪놔 봐, 놔‬
‪[연구원의 힘주는 신음]‬"
"25","00:02:32:10","00:02:33:19","‪[차분한 음악]‬
‪아, 좀 한 번만 보여 줘, 좀!‬"
"26","00:02:33:21","00:02:34:17","‪[영어]‬
‪됐다‬"
"27","00:02:34:19","00:02:36:16","‪[태호의 가쁜 숨소리]‬
‪(연구소장)‬
‪보여 줘라‬"
"28","00:02:38:12","00:02:40:01","‪아무튼 이 쌀로는‬
‪비용이 모자랄 것 같은데‬"
"29","00:02:40:04","00:02:42:04","‪네 마그네틱 슈즈가‬
‪좋아 보이는구나‬
‪[태호의 탄성]‬"
"30","00:02:42:06","00:02:43:08","‪(태호)‬
‪[한국어]‬
‪이거 어제 주운 건데‬"
"31","00:02:43:10","00:02:46:06","‪고쳐 신는 거지, 뭐, 아이고‬"
"32","00:02:46:08","00:02:48:09","‪아, 우리 배에서 나만 없었는데‬
‪이거 일할 때 얼마나 불편…‬"
"33","00:02:48:11","00:02:49:11","‪[영어]‬
‪두고 가렴‬"
"34","00:02:52:05","00:02:55:10","‪(연구원)‬
‪5일 전 우주 교통사고‬
‪쿠부치 사막에 낙하‬"
"35","00:02:56:00","00:02:57:20","‪절반쯤 불탄 탈출 캡슐 안에서 발견‬"
"36","00:02:59:04","00:03:00:05","‪"결제 완료"‬"
"37","00:03:00:07","00:03:01:11","‪[잠금장치 작동음]‬"
"38","00:03:03:20","00:03:08:22","‪시신이 7세 여아이긴 한데…‬"
"39","00:03:14:05","00:03:15:15","‪아니라고 했잖아‬"
"40","00:03:16:05","00:03:17:02","‪[연구원이 지퍼를 직 잠근다]‬"
"41","00:03:17:04","00:03:20:01","‪궤도 밖으로 나가는 시신을‬"
"42","00:03:20:15","00:03:23:00","‪[문을 탁 닫으며]‬
‪왜 지구에 와서 찾아?‬"
"43","00:03:23:02","00:03:24:10","‪[차분한 음악]‬
‪[태호의 한숨]‬"
"44","00:03:24:12","00:03:26:14","‪태호야, 올라갈 차비는 있냐?‬"
"45","00:03:28:15","00:03:30:17","‪[한숨 쉬며]‬
‪불쌍한 놈‬"
"46","00:03:41:09","00:03:43:07","‪[바람이 횡 분다]‬"
"47","00:03:45:22","00:03:48:11","‪(설리반)‬
‪모든 희망이 사라졌습니다‬"
"48","00:03:49:10","00:03:52:18","‪지구는 숨만 붙어 있을 뿐‬
‪죽은 것이나 마찬가지죠‬"
"49","00:03:55:06","00:03:56:14","‪[홍채 인식음]‬"
"50","00:03:59:22","00:04:00:23","‪[홍채 인식음]‬"
"51","00:04:01:00","00:04:03:22","‪"노동 비자"‬"
"52","00:04:22:04","00:04:27:00","‪(설리반)‬
‪땅이 병들었으니 갈 곳은 하늘뿐이었죠‬"
"53","00:04:37:05","00:04:39:00","‪"인공 중력"‬"
"54","00:04:39:02","00:04:40:09","‪[안내 방송 알림음]‬"
"55","00:04:40:11","00:04:42:09","‪[안내 음성]‬
‪승객 여러분‬"
"56","00:04:42:11","00:04:46:13","‪[사람들이 웅성거린다]‬
‪조금 전 UTS 영공에 진입하였습니다‬"
"57","00:04:46:15","00:04:49:10","‪위성 궤도에 오신 것을 환영합니다‬"
"58","00:05:21:14","00:05:22:24","‪[독수리 울음]‬"
"59","00:05:24:17","00:05:27:21","‪(설리반)‬
‪과거, 지구는 생명의 근원이요‬
‪우주는 죽음의 공간이었지만‬"
"60","00:05:27:23","00:05:30:14","‪지금은 완전히 반대가 되었습니다‬"
"61","00:05:30:16","00:05:32:21","‪기적의 기술로‬
‪[새가 지저귄다]‬"
"62","00:05:32:23","00:05:35:15","‪이제 사람들은‬
‪우주에서 낚싯대를 드리우고‬
‪[개가 왈왈 짖는다]‬"
"63","00:05:35:17","00:05:39:14","‪아이들은 나비를 쫓아 들판을 뛰어요‬"
"64","00:05:39:16","00:05:43:02","‪하지만 UTS는‬
‪여기서 멈추지 않을 것입니다‬"
"65","00:05:44:00","00:05:45:09","‪(비서)‬
‪바로 이 목소리의 주인공이시죠‬"
"66","00:05:45:24","00:05:47:21","‪여러분이 곧 만나실 바로 그분‬"
"67","00:05:48:13","00:05:51:20","‪의사이자 물리학자‬
‪우주 공학자, 역사학자이며‬"
"68","00:05:51:22","00:05:55:06","‪현존하는 인류 중 가장 부자에 고령‬"
"69","00:05:55:08","00:05:58:06","‪올해 152세죠‬"
"70","00:05:58:08","00:06:02:16","‪여러분, UTS의 창업주이자‬"
"71","00:06:02:18","00:06:05:17","‪우주 낙원의 창조자‬"
"72","00:06:05:19","00:06:07:18","‪그리고 인류의 구원자인‬"
"73","00:06:09:07","00:06:11:11","‪제임스 설리반 회장님‬"
"74","00:06:18:23","00:06:21:10","‪[문이 스르륵 닫힌다]‬"
"75","00:06:21:12","00:06:25:03","‪[새가 짹짹 지저귄다]‬
‪(비서)‬
‪회장님, 설리반 회장님‬"
"76","00:06:25:05","00:06:26:19","‪지구에서 기자분들이 오셨습니다‬"
"77","00:06:26:21","00:06:28:00","‪[힘주는 신음]‬"
"78","00:06:28:15","00:06:29:18","‪[설리반의 탄성]‬"
"79","00:06:30:05","00:06:31:09","‪[옅은 웃음]‬"
"80","00:06:32:03","00:06:33:11","‪[설리반의 힘주는 신음]‬"
"81","00:06:34:20","00:06:36:01","‪(설리반)‬
‪안녕하십니까‬"
"82","00:06:36:18","00:06:41:24","‪개량된 홍콩야자 묘목이오‬"
"83","00:06:42:17","00:06:45:19","‪기존 종과 비교해 산소 배출량이‬
‪여덟 배라면 믿겠습니까?‬"
"84","00:06:46:10","00:06:50:20","‪천연 퇴비에도 잘 반응해서‬
‪생장 속도가 엄청납니다‬"
"85","00:06:51:09","00:06:57:07","‪전부 화성에서‬
‪퍼 온 흙인데 말이에요‬"
"86","00:06:57:09","00:06:58:20","‪[거친 숨소리]‬"
"87","00:06:58:22","00:07:00:04","‪환영합니다‬"
"88","00:07:02:06","00:07:03:06","‪[기자1의 어색한 웃음]‬"
"89","00:07:04:06","00:07:05:09","‪[웃음]‬"
"90","00:07:06:10","00:07:09:01","‪장난이에요, 자, 가시죠‬"
"91","00:07:10:01","00:07:13:19","‪(설리반)‬
‪UTS는‬"
"92","00:07:13:21","00:07:17:23","‪생명의 나무 슈퍼플랜트로‬"
"93","00:07:18:17","00:07:22:11","‪화성을 일구어 왔습니다‬
‪[차분한 음악]‬"
"94","00:07:23:10","00:07:25:13","‪사흘 후‬"
"95","00:07:26:22","00:07:29:19","‪15년 만에‬
‪화성이 가장 크게 빛나는 그날‬"
"96","00:07:29:21","00:07:33:20","‪화성 이주 선포식이 있어요‬"
"97","00:07:36:11","00:07:37:14","‪이거요?‬"
"98","00:07:38:12","00:07:39:21","‪이런 건 더럽지 않아요‬"
"99","00:07:40:24","00:07:41:22","‪[한숨]‬"
"100","00:07:42:10","00:07:44:03","‪더러운 건 인간의 야만성이죠‬"
"101","00:07:45:07","00:07:47:01","‪낙원을 망가뜨리는 건‬"
"102","00:07:47:24","00:07:52:04","‪여기 존재할 수 없어요‬"
"103","00:07:52:06","00:07:55:10","‪(기자2)‬
‪없는 건 그뿐이 아닙니다‬"
"104","00:07:55:23","00:07:58:12","‪아직 인류의 95%가‬"
"105","00:07:58:15","00:08:03:01","‪지옥 같은 지구에 남아 있어요‬"
"106","00:08:05:00","00:08:07:11","‪문제는 지구에 남은 사람들과‬"
"107","00:08:07:13","00:08:09:13","‪지구 출신의 우주 노동자들입니다‬"
"108","00:08:09:15","00:08:13:24","‪그들의 삶은 아직도‬
‪처참하고 위험합니다‬"
"109","00:08:14:01","00:08:15:14","‪(비서)‬
‪오늘 회견과 관련 없는 문제를…‬"
"110","00:08:15:16","00:08:16:23","‪기자님 말이 맞아‬"
"111","00:08:17:00","00:08:20:12","‪(설리반)‬
‪무엇보다도 가장 중요한 문제이며‬"
