No.,Timecode In,Timecode Out,Subtitle
"1","00:00:21:08","00:00:23:08","[어두운 음악]"
"2","00:01:20:15","00:01:22:24","(염라대왕)
왜 우는 것이냐"
"3","00:01:26:04","00:01:28:06","슬퍼서 우는 것이냐"
"4","00:01:29:06","00:01:31:18","억울해서 우는 것이냐"
"5","00:01:36:19","00:01:39:08","(덕춘)
차사님, 차사님!"
"6","00:01:39:10","00:01:40:24","차사님, 일어나세요!"
"7","00:01:41:09","00:01:43:00","차사님! 차사님!"
"8","00:01:43:02","00:01:44:19","아, 차사님!"
"9","00:01:44:21","00:01:46:14","[긴장되는 음악]
어, 차사님, 괜찮으세요?"
"10","00:01:46:16","00:01:47:13","(수홍)
빨리 일어나!"
"11","00:01:47:15","00:01:50:03","무슨 저승 차사가
한 방 맞고 이불을 깔아! 씨"
"12","00:01:52:22","00:01:54:04","(해원맥)
아, 대장"
"13","00:01:54:07","00:01:57:10","거, 충분히 주무셨으면
이제 좀 도와주셔야 될 거 같은데?"
"14","00:01:57:12","00:01:58:09","[해원맥의 힘주는 신음]"
"15","00:01:58:19","00:01:59:19","[강림의 힘주는 신음]"
"16","00:02:05:20","00:02:06:22","[강림의 힘주는 신음]"
"17","00:02:13:12","00:02:16:06","[땅이 쿵쿵 울린다]"
"18","00:02:18:18","00:02:22:04","[웅장한 음악]"
"19","00:02:39:15","00:02:40:13","(수홍)
오, 뭐야"
"20","00:02:42:15","00:02:44:04","[기침]"
"21","00:02:47:16","00:02:48:17","[칼이 댕그랑 떨어진다]"
"22","00:02:48:19","00:02:49:22","(해원맥)
안녕하세요"
"23","00:03:07:18","00:03:09:19","[차분한 음악]"
"24","00:03:12:16","00:03:14:03","[해원맥의 신음]
(판관1)
대왕님!"
"25","00:03:14:06","00:03:17:13","저승 차사가 자기 저승을 공격했습니다"
"26","00:03:17:15","00:03:20:01","(판관2)
어떻게 저승 차사가 저승에 테러를 해?"
"27","00:03:20:03","00:03:23:05","그것도 소멸시켜야 마땅한
원귀까지 데리고 와서"
"28","00:03:23:13","00:03:26:14","(강림)
여기 있는 망자 김수홍의 재판을
허락해 주십시오"
"29","00:03:27:04","00:03:29:22","김수홍의 적패지에
귀인으로 분명히 표시되어 있습니다"
"30","00:03:30:00","00:03:33:04","(판관1)
아닙니다, 대왕님께서는 지금
저승의 율법을 어긴 원귀를"
"31","00:03:33:07","00:03:35:02","- 정의로운 망자로 둔갑시키는...
- (강림) 그게 아니라면"
"32","00:03:35:24","00:03:39:00","(강림)
명부와 상관없는 억울한 죽음을 당한
망자일 수 있습니다"
"33","00:03:39:02","00:03:40:07","(판관2)
아니야!"
"34","00:03:40:09","00:03:43:00","총기 오발로 인한 단순 사고사야"
"35","00:03:43:02","00:03:44:20","과실 치사라고"
"36","00:03:44:22","00:03:46:18","입에서 손 빼, 이 새끼야
똑바로 앉고"
"37","00:03:46:20","00:03:47:16","[해원맥의 못마땅한 숨소리]"
"38","00:03:47:18","00:03:49:11","- (수홍) 응?
- (해원맥) 똑바로 앉아, 씨"
"39","00:03:50:18","00:03:53:23","(강림)
과실 치사에 의한 죽음인지
억울한 죽음인지는"
"40","00:03:54:00","00:03:55:17","제가 밝히겠습니다"
"41","00:03:55:19","00:03:57:06","재판을 받게 해 주십시오"
"42","00:04:02:16","00:04:03:12","[해원맥의 놀란 신음]"
"43","00:04:04:04","00:04:06:04","[긴장되는 음악]"
"44","00:04:06:09","00:04:10:03","저승을 지키라고 준 검을
거꾸로 들어 저승을 겨눈 죄"
"45","00:04:10:17","00:04:13:10","(염라대왕)
이승을 어지럽히고
저승을 위험에 빠뜨린"
"46","00:04:13:12","00:04:16:12","원귀를 데리고 올라온 저승법 위반죄!"
"47","00:04:16:14","00:04:21:05","재판을 받아야 할 놈은
저 원귀 놈이 아니라 차사 강림!"
"48","00:04:21:08","00:04:23:00","바로 네놈이라는 걸 잘 알아라!"
"49","00:04:25:09","00:04:28:09","(강림)
염라께서 내리시는 모든 벌을
저희가 받겠습니다"
"50","00:04:28:11","00:04:32:19","그러니 망자 김수홍의 재판도
반드시 받게 해 주십시오"
"51","00:04:33:02","00:04:34:11","- (강림) 그의 죽음엔
- 왜?"
"52","00:04:34:13","00:04:35:22","(강림)
밝혀야 될 진실이 있습니다"
"53","00:04:35:24","00:04:37:09","[작은 목소리로]
왜 우리가 받아야 되는 건데"
"54","00:04:37:11","00:04:39:15","(강림)
밝히지 못한다면 벌을 받겠습니다"
"55","00:04:41:10","00:04:44:03","(덕춘)
벌받을게요, 달게 받겠습니다"
"56","00:04:44:06","00:04:46:19","제발 재판도 받게 해 주세요, 대왕님"
"57","00:04:46:21","00:04:50:10","(염라대왕)
허, 밝혀야 될 진실이 있다고?"
"58","00:04:51:22","00:04:53:13","판관들에게 먼저 묻는다"
"59","00:04:53:15","00:04:54:12","(판관1)
예"
"60","00:04:54:14","00:04:57:13","(염라대왕)
너희들은 김수홍의 죽음이
억울한 죽음이 아닌"
"61","00:04:57:15","00:05:00:05","단순 사고사임을 확신하느냐?"
"62","00:05:00:24","00:05:02:14","- 아, 예...
- (판관2) 저희들의 목을 내놓겠습니다"
"63","00:05:02:16","00:05:03:19","목을...
[흥미진진한 음악]"
"64","00:05:09:16","00:05:10:23","음, 그래"
"65","00:05:11:00","00:05:13:06","(염라대왕)
판관들은 목을 내놓는 걸로 하고
[판관2의 놀란 신음]"
"66","00:05:14:07","00:05:15:09","너 일로 와 봐, 인마"
