No.,Timecode In,Timecode Out,Subtitle
"1","00:00:26:02","00:00:28:02","[긴장되는 음악]"
"2","00:01:13:02","00:01:15:02","[웅장한 음악]"
"3","00:02:48:03","00:02:51:13","[사이렌이 울린다]"
"4","00:02:57:07","00:02:59:07","[긴장되는 음악]"
"5","00:03:01:18","00:03:02:16","(자홍)
안 돼"
"6","00:03:03:20","00:03:04:24","(소방관1)
잡아
[자홍의 신음]"
"7","00:03:06:03","00:03:07:02","잡아!"
"8","00:03:07:15","00:03:09:14","애부터 먼저 보내, 잡아, 잡아!"
"9","00:03:09:16","00:03:11:03","[자홍의 신음]
잡아!"
"10","00:03:11:17","00:03:12:21","팔 좀 뻗어 봐!"
"11","00:03:13:00","00:03:15:10","빨리, 빨리!"
"12","00:03:15:22","00:03:18:02","[자홍의 신음]
불! 저거 위의 불!"
"13","00:03:18:05","00:03:19:21","[자홍의 놀란 신음]
잡아!"
"14","00:03:19:23","00:03:22:08","[자홍의 비명]
- (소방관1) 안 돼!
- (소방관2) 자홍아, 안 돼!"
"15","00:03:23:20","00:03:24:20","[자홍의 신음]"
"16","00:03:28:22","00:03:30:22","[웅장한 음악]"
"17","00:03:31:00","00:03:32:01","[자홍의 신음]"
"18","00:03:33:04","00:03:34:17","[굉음]
[자홍의 신음]"
"19","00:03:34:19","00:03:36:09","[자홍의 기합]"
"20","00:03:37:16","00:03:39:14","[소란스럽다]
[거친 신음]"
"21","00:03:39:16","00:03:42:07","[헬리콥터 엔진음]"
"22","00:03:42:09","00:03:43:23","아, 살았다, 살았다"
"23","00:03:44:00","00:03:45:15","아, 괜찮아, 괜찮아"
"24","00:03:45:17","00:03:46:24","(아이1)
엄마!"
"25","00:03:47:22","00:03:49:19","엄마!
[자홍의 힘주는 신음]"
"26","00:03:51:15","00:03:53:19","(소방관3)
야, 주봉아, 주봉아, 빨리 와!"
"27","00:03:55:03","00:03:58:08","[자홍의 거친 신음]"
"28","00:03:58:10","00:04:00:01","(자홍)
아유, 죽을 뻔했네"
"29","00:04:00:16","00:04:02:08","어유, 진짜 큰일 날 뻔했어
[사람들이 흐느낀다]"
"30","00:04:03:00","00:04:05:22","아, 우리 꼬마 아가씨 이름이 뭐예요?"
"31","00:04:06:03","00:04:07:15","(덕춘)
김자홍
[덕춘의 목소리가 울린다]"
"32","00:04:07:17","00:04:09:12","(자홍)
아, 그건 아저씨 이름이고"
"33","00:04:09:14","00:04:11:17","아저씨 이름은
또 어떻게 알았어, 이 와중에"
"34","00:04:11:21","00:04:13:13","이름이 뭐야, 어?"
"35","00:04:14:05","00:04:15:12","이름, 이름이..."
"36","00:04:15:17","00:04:17:20","(덕춘)
김자홍"
"37","00:04:17:23","00:04:20:04","[의미심장한 음악]"
"38","00:04:20:06","00:04:21:23","김자홍"
"39","00:05:03:04","00:05:04:16","(자홍)
아유, 아저씨!"
"40","00:05:04:19","00:05:06:11","아유, 나와, 나와
거기 있으면 위험해요!
[소방관들이 소란스럽다]"
"41","00:05:06:13","00:05:07:14","(소방관4)
자홍이 형!
[자홍의 놀란 신음]"
"42","00:05:07:17","00:05:09:07","- (소방관4) 아, 정신 차려요!
- (소방관3) 들것 가져와, 새끼야"
"43","00:05:09:09","00:05:11:06","- (소방관3) 빨리!
- (소방관4) 자홍이 형!"
"44","00:05:11:08","00:05:12:06","(해원맥)
김자홍 씨"
"45","00:05:12:09","00:05:13:22","이야..."
"46","00:05:14:18","00:05:16:23","아니, 어떻게 저기서
그냥 뛰어내릴 생각을 다 했어?"
"47","00:05:17:00","00:05:18:17","죽으려고, 겁도 없이, 어?"
"48","00:05:18:19","00:05:22:06","(덕춘)
이렇게 높은 곳에서
다른 사람하고 떨어져서 장렬하게 운명"
"49","00:05:22:09","00:05:23:09","[놀란 신음]"
"50","00:05:23:13","00:05:24:11","'귀인'"
"51","00:05:24:13","00:05:26:11","장렬하게 운명하신 거"
"52","00:05:26:13","00:05:28:07","422년 만이에요"
"53","00:05:28:12","00:05:30:07","감동입니다, 김자홍 씨"
"54","00:05:30:09","00:05:33:03","(해원맥)
1593년 논개 이모 다음으로, 그렇지?"
"55","00:05:33:05","00:05:34:04","귀인이야?"
"56","00:05:34:06","00:05:35:07","(덕춘)
예"
"57","00:05:36:22","00:05:39:19","김자홍 씨께서는
2017년 4월 28일 오늘"
"58","00:05:39:22","00:05:42:03","예정대로 무사히 사망하셨습니다"
"59","00:05:42:05","00:05:44:24","저희는 저승에서 피고이자 망자이신
김자홍 씨에게"
"60","00:05:45:01","00:05:46:21","앞으로 49일 동안 진행될"
"61","00:05:46:23","00:05:49:24","[소방관들이 소란스럽다]
일곱 재판의 변호와 경호를 맡은
저승 삼차사입니다"
"62","00:05:50:01","00:05:53:17","(해원맥)
하, 난 재판 몰라요
경호 담당 일직 차사 해원맥"
"63","00:05:53:24","00:05:57:09","(덕춘)
아, 그, 보조 변호사 월직 차사 덕춘
인사 올리겠습니다"
"64","00:05:57:12","00:05:58:14","잘 부탁드리겠습니다"
"65","00:05:58:16","00:06:00:08","영광입니다, 김자홍 씨"
"66","00:06:02:03","00:06:04:17","(해원맥)
자, 삼차사인데 왜 두 명이야? 그렇지?"
"67","00:06:04:19","00:06:06:08","아주 자연스러운 질문이야"
"68","00:06:06:10","00:06:07:15","다른 한 분은..."
"69","00:06:07:24","00:06:10:05","어, 지금 아저씨 장례식장에 있어
[자홍의 거친 숨소리]"
"70","00:06:10:07","00:06:11:20","기본 절차긴 한데"
"71","00:06:11:22","00:06:13:24","내가 봤을 땐
젯밥 먹으러 가는 거 같아"
"72","00:06:14:02","00:06:15:17","이상한 취향이야, 그렇지?"
"73","00:06:15:19","00:06:18:10","김자홍 씨, 아저씨, 뭐 해? 어?"
"74","00:06:18:12","00:06:20:08","어, 어, 괜찮아, 괜찮아"
"75","00:06:20:11","00:06:22:01","[자홍의 놀란 신음]
아저씨 오늘 처음 죽어 봐서 그래"
"76","00:06:22:03","00:06:23:21","그래서 막 낯설고 서툴고"
"77","00:06:23:23","00:06:24:23","뭐, 그런 거야"
"78","00:06:25:17","00:06:26:24","아니, 아니요"
"79","00:06:27:22","00:06:29:24","전 아직 죽으면 안 됩니다"
"80","00:06:30:01","00:06:31:07","(자홍)
어머니를..."
"81","00:06:32:08","00:06:33:20","어머니를 두고는 못 갑니다"
"82","00:06:33:22","00:06:36:08","(해원맥)
씁, 저승 차사법 제3조 1항!"
"83","00:06:36:11","00:06:38:01","'망자는 구천을 떠돌 자격이 없으며'"
"84","00:06:38:03","00:06:40:15","[자홍의 놀란 신음]
'누군가와 작별할 시간은 더더욱 없고'"
"85","00:06:40:17","00:06:41:24","'묵비권을 행사할'..."
"86","00:06:42:01","00:06:44:19","'사용할수록 더 불리해진다는 것을'..."
"87","00:06:44:21","00:06:47:16","귀인은 귀인인가 보다
매뉴얼대로 움직여 주네?"
"88","00:06:47:18","00:06:49:09","그래요, 계속 뒤로 가!"
"89","00:06:49:12","00:06:53:05","쭉, 쭉, 쭉!"
"90","00:06:54:03","00:06:57:08","(자홍)
어머니를, 어머니를 한 번만
보고 갈게요, 네?"
"91","00:06:57:10","00:06:59:00","제가 할 말이 있어서 그래요
어머니께!"
"92","00:06:59:02","00:07:01:00","저 효심은 또 어쩔 거야"
"93","00:07:01:02","00:07:02:20","(자홍)
제발요, 부탁드립니다!"
"94","00:07:04:01","00:07:05:00","[다급한 신음]"
"95","00:07:05:02","00:07:06:20","어머니를 한 번만요!"
"96","00:07:07:17","00:07:09:02","어머니를, 어머니..."
"97","00:07:09:04","00:07:11:15","[자홍의 신음]"
"98","00:07:27:10","00:07:28:13","[툭 뱉는다]"
"99","00:07:30:15","00:07:31:13","[퉤 뱉는다]"
"100","00:07:32:24","00:07:33:20","[강림의 힘주는 신음]"
"101","00:07:33:22","00:07:35:12","(강림)
나도 이건 못 먹겠다"
"102","00:07:40:16","00:07:43:06","[안내 방송 알림음]
[차분한 음악]"
"103","00:07:43:08","00:07:46:21","(안내 방송 속 관계자)
3호실 김자홍 씨 입관 진행합니다"
"104","00:07:47:06","00:07:49:03","다시 한번 말씀드립니다"
"105","00:07:49:05","00:07:52:19","3호실 김자홍 씨 입관 진행합니다"
"106","00:07:54:03","00:07:55:07","(수홍)
엄마"
"107","00:07:56:08","00:07:57:12","엄마"
"108","00:07:59:06","00:08:01:18","정신 차려 봐, 엄마"
"109","00:08:03:06","00:08:06:22","입관한대, 가자, 응?"
"110","00:08:09:03","00:08:10:10","엄마"
"111","00:08:11:13","00:08:13:12","가자고!"
"112","00:08:21:06","00:08:23:06","[웅장한 음악]"
"113","00:08:42:22","00:08:44:09","- (덕춘) 귀인이에요!
- (해원맥) 충성!"
"114","00:08:44:12","00:08:46:22","[덕춘이 소리친다]
(해원맥)
아, 염라, 저분이 염라대왕"
