No.,Timecode In,Timecode Out,Subtitle
"1","00:00:24:11","00:00:26:17","[흥미로운 음악]"
"2","00:01:04:00","00:01:05:03","[용남의 힘주는 신음]"
"3","00:01:06:03","00:01:07:10","[용남의 힘주는 신음]"
"4","00:01:07:12","00:01:08:18","[용남이 숨을 후 내쉰다]"
"5","00:01:16:21","00:01:17:20","[용남의 거친 숨소리]"
"6","00:01:20:07","00:01:21:15","[용남의 힘주는 신음]"
"7","00:01:26:18","00:01:27:15","[숨을 후 내쉰다]"
"8","00:01:30:15","00:01:31:12","[용남의 힘주는 신음]"
"9","00:01:48:11","00:01:49:10","[철봉이 댕 울린다]"
"10","00:01:49:12","00:01:51:10","[매미 울음]
[아이들이 시끌시끌하다]"
"11","00:01:53:19","00:01:54:24","[숨을 고른다]"
"12","00:02:01:18","00:02:03:06","[당황한 신음]"
"13","00:02:11:06","00:02:12:22","(아이1)
빨리 와, 빨리
[용남의 힘주는 신음]"
"14","00:02:12:24","00:02:14:01","(아이2)
오늘 술래 누가 할래?"
"15","00:02:14:03","00:02:15:22","[용남의 힘주는 신음]
(아이3)
야, 오늘은 내가 한다, 내가"
"16","00:02:17:22","00:02:19:21","(아이1)
어? 봉남이다, 진봉남"
"17","00:02:20:15","00:02:22:15","(아이2)
진봉남? 그게 누군데?"
"18","00:02:23:02","00:02:25:17","(아이1)
진격의 철봉남이라고 동네에서 유명해"
"19","00:02:26:04","00:02:29:11","옛날에 저 아저씨 애인이
철봉 하다가 떨어져서 죽었대"
"20","00:02:29:13","00:02:32:16","그래서 미쳐 가지곤
철봉만 보면 저러는데"
"21","00:02:33:05","00:02:35:18","원래는 엄청난 천재였대"
"22","00:02:35:20","00:02:37:08","(아이2)
그럼 지금은?"
"23","00:02:37:22","00:02:39:03","(아이1)
동네 바보지, 뭐"
"24","00:02:39:16","00:02:41:21","[아이2의 탄성]
(지호)
야, 가자, 우리 딴 데 가서 하자"
"25","00:02:42:11","00:02:45:03","(아이2)
야, 갑자기 뭔 소리야? 그냥 여기서 해
[지호의 못마땅한 신음]"
"26","00:02:45:05","00:02:47:13","(용남)
지호야! 한지호, 너 여기서 뭐 해?"
"27","00:02:47:15","00:02:49:02","학원 안 갔어?"
"28","00:02:51:12","00:02:52:16","[철봉을 탁 잡는다]"
"29","00:02:52:18","00:02:54:10","너희들이 지호 친구들이니?"
"30","00:02:55:05","00:02:56:14","(아이들)
안녕하세요"
"31","00:02:57:14","00:02:58:14","[용남의 힘주는 신음]"
"32","00:02:58:16","00:02:59:18","(용남)
인사 잘하네"
"33","00:03:00:08","00:03:02:20","삼촌이 뭐, 마실 것 좀 사 줄까?"
"34","00:03:02:22","00:03:03:19","(아이2)
전 초코몽요!"
"35","00:03:03:21","00:03:05:20","(지호)
됐어, 안 먹어, 야, 가자"
"36","00:03:05:22","00:03:08:01","(아이2)
아, 왜? 나 목마르단 말이야"
"37","00:03:08:03","00:03:09:07","나 당 떨어진 거 같아"
"38","00:03:09:09","00:03:11:20","(지호)
아, 그만 좀 가자고, 빨리 가"
"39","00:03:12:20","00:03:14:23","(용남)
야, 지호야, 야, 한지호"
"40","00:03:15:00","00:03:16:06","삼촌이 초코몽 사 줄게"
"41","00:03:16:09","00:03:19:14","(아이1)
야, 한지호, 진봉남 저 아저씨가
너희 삼촌이야?"
"42","00:03:19:16","00:03:21:10","- (지호) 아니야, 삼촌 아니라고
- (용남) 지호야!"
"43","00:03:21:12","00:03:24:01","- (아이1) 아, 그럼 누군데?
- (용남) 아…
[아이들이 저마다 궁금해한다]"
"44","00:03:24:04","00:03:25:06","(지호)
아, 몰라!"
"45","00:03:25:08","00:03:27:15","아이, 녀석이 왜 이렇게 쑥스러워해?"
"46","00:03:27:17","00:03:28:14","[휴대전화 알림음]"
"47","00:03:33:18","00:03:34:14","[휴대전화 조작음]"
"48","00:03:36:06","00:03:37:18","[익살스러운 효과음]"
"49","00:03:39:03","00:03:40:13","[밝은 음악이 흘러나온다]"
"50","00:03:40:15","00:03:41:12","[술잔을 탁 내려놓는다]"
"51","00:03:43:07","00:03:44:03","[기백의 한숨]"
"52","00:03:44:19","00:03:48:08","(기백)
안 보여, 앞이 하나도 안 보여"
"53","00:03:48:10","00:03:49:10","(용남)
눈을 떠"
"54","00:03:50:22","00:03:53:19","(기백)
어디로 어떻게 가야 되는지를 모르겠어"
"55","00:03:53:21","00:03:57:11","어렸을 때 나도
장래 희망이 있었던 거 같은데"
"56","00:03:58:20","00:04:00:04","그게 뭔지를 모르겠어"
"57","00:04:00:07","00:04:03:17","형이 그때 생각했던 그 장래는
애초에 지났고"
"58","00:04:03:19","00:04:07:10","지금 우리 그냥
좆밥 개쓰레기야, 뭘, 아유"
"59","00:04:07:12","00:04:08:16","[입소리를 쩝 낸다]"
"60","00:04:08:18","00:04:10:22","(용남)
아니, 딴 애들 취업 준비할 때
우리가 뭐 했는데, 뭐?"
"61","00:04:11:12","00:04:13:08","아, 왜 아까부터
이상한 소리만 하고 있어?"
"62","00:04:13:10","00:04:14:17","아, 뭐, 요즘 도 닦아?"
"63","00:04:16:15","00:04:18:09","머리나 좀 어떻게 했으면 좋겠다"
"64","00:04:21:08","00:04:22:24","[재난 문자 알림음]"
"65","00:04:23:01","00:04:24:15","[재난 문자 알림음이 요란하다]"
"66","00:04:26:18","00:04:28:18","아, 또 지진이네, 씨, 쯧"
"67","00:04:28:20","00:04:29:19","[휴대전화를 툭 내려놓는다]"
"68","00:04:29:21","00:04:31:10","아, 우리 동네 아니라 다행이다"
"69","00:04:32:04","00:04:34:13","아, 새끼, 아직 뭘 모르는구먼?"
"70","00:04:34:15","00:04:36:18","(기백)
너, 네가 안전하다고 생각하냐?"
"71","00:04:36:20","00:04:38:07","너 지금 재난 속에 있어"
"72","00:04:38:10","00:04:41:02","지진, 쓰나미
그런 것만이 재난이 아니라"
"73","00:04:41:04","00:04:44:10","우리 지금 상황이 재난 그 자체라고"
"74","00:04:44:12","00:04:45:22","[TV 소리가 흘러나온다]
[한숨]"
"75","00:04:53:16","00:04:55:21","[장수의 한숨]"
"76","00:05:07:12","00:05:11:17","(현옥)
아이고, 나 이거 보려고
며칠 전부터 기다렸는지 알아?"
"77","00:05:11:19","00:05:15:17","남자가 뭔 놈의 그냥
드라마라면 그냥 환장을 하는지"
"78","00:05:15:19","00:05:17:01","처음 봤네, 처음 봤어"
"79","00:05:17:03","00:05:19:04","아, 왜 맨날 독점이야?"
"80","00:05:19:06","00:05:20:22","저 텔레비전이 당신 거야? 어?"
"81","00:05:21:10","00:05:22:21","[장수의 힘주는 신음]
아이고, 왜, 왜 이래, 정말?"
"82","00:05:22:23","00:05:23:21","(현옥)
아, 왜 그래?"
"83","00:05:23:23","00:05:25:10","아이, 가만히 좀 있어 봐"
"84","00:05:25:22","00:05:27:06","[현옥의 힘겨운 신음]
[쨍그랑거리는 소리가 들린다]"
"85","00:05:27:21","00:05:28:24","또 뭐 깼어?"
"86","00:05:29:01","00:05:30:19","아, 또 뭐야? 안 다쳤어?"
"87","00:05:30:21","00:05:31:19","(용남)
미끄러진 거야"
"88","00:05:32:07","00:05:34:18","(현옥)
아이고, 시키지도 않는 짓을 그냥…
[문이 달칵 여닫힌다]"
"89","00:05:34:20","00:05:36:05","[정현의 못마땅한 신음]"
"90","00:05:36:07","00:05:38:14","뭐가 이렇게 시끄러워?"
"91","00:05:38:16","00:05:39:20","밖에까지 다 들려"
"92","00:05:39:23","00:05:41:01","(현옥)
넌 왜 또 왔어?"
"93","00:05:41:03","00:05:42:16","(정현)
나도 오기 귀찮아"
"94","00:05:43:09","00:05:46:24","근데 애들이 할머니 김치 아니면
밥을 못 먹는데 어떡해?"
"95","00:05:47:01","00:05:50:11","(현옥)
지금 시간이 몇 시인데
애들 밥도 안 줬어?"
"96","00:05:50:13","00:05:52:06","(정현)
아까 카레 먹였어"
"97","00:05:52:08","00:05:55:24","애들이 인도 사람도 아니고
그냥 허구한 날 그놈의 카레는, 아유"
"98","00:05:56:01","00:05:57:12","(정현)
애들이 좋아해"
"99","00:05:57:14","00:06:01:07","(현옥)
자기가 귀찮으니까 그냥
한솥 끓여 가지고는 일주일 내내"
"100","00:06:01:10","00:06:03:21","아이고, 저것도 어미라고
[리모컨 조작음]"
"101","00:06:07:10","00:06:09:15","하, 옌장"
"102","00:06:12:00","00:06:13:05","[놀란 숨소리]"
"103","00:06:13:21","00:06:14:21","[냄새를 킁킁 맡는다]"
"104","00:06:17:24","00:06:18:23","[냄새를 킁킁 맡는다]"
"105","00:06:19:00","00:06:20:00","(정현)
이거 최근에 빨았냐?"
"106","00:06:20:02","00:06:21:18","이번엔 똥 냄새가 안 나네?"
"107","00:06:21:20","00:06:24:00","(용남)
좀 나가라, 제발 부탁이야"
"108","00:06:24:21","00:06:26:10","(정현)
봐 봐, 이렇게 해 봐"
"109","00:06:27:19","00:06:29:12","- (용남) 아, 아, 놔, 놔, 놔
- 너 내가 머리 감으라고 했어"
"110","00:06:29:14","00:06:30:19","- (정현) 했지, 했다
- 놔주세요"
"111","00:06:32:05","00:06:35:02","(정현)
시간, 시간도 처남아 도는 새끼가
이씨, 쯧"
"112","00:06:35:04","00:06:36:21","아, 나 미치겠네, 얘 때문에"
"113","00:06:36:23","00:06:39:19","왜 그러냐?
한 번 말하면 못 알아들어?"
"114","00:06:39:21","00:06:41:17","자, 오천 원이면 되지?"
"115","00:06:41:19","00:06:42:24","남는 건 그냥 너 갖고"
"116","00:06:43:24","00:06:44:22","[지폐가 툭 떨어진다]"
"117","00:06:44:24","00:06:46:23","(용남)
누굴 거지로 아나, 쯧"
"118","00:06:47:12","00:06:49:08","내일 깎을 거야, 내일"
"119","00:06:49:10","00:06:50:12","[용남의 짜증 섞인 신음]"
"120","00:06:50:14","00:06:53:04","아, 내가 거지꼴로 가든
뭐, 누나가 뭔 상관인데?"
"121","00:06:53:23","00:06:55:05","괜히 들어와 가지고는"
"122","00:06:55:07","00:06:56:18","(정현)
너 때문에 그래, 이 새끼야? 어?"
"123","00:06:56:20","00:06:59:11","너 때문에 그래?
너 때문에, 너, 너 때문에? 어?"
"124","00:07:00:14","00:07:01:11","[정현이 혀를 쯧 찬다]"
"125","00:07:01:13","00:07:04:14","엄마가 말을 안 해서 그렇지
얼마나 생각이 많으시겠냐?"
"126","00:07:05:04","00:07:07:20","어유, 어유, 진짜"
"127","00:07:07:22","00:07:10:07","이건 뭐, 칠순 잔치 한다고
사람들 다 불러 놓고"
"128","00:07:10:09","00:07:12:10","아들이라고 하나 소개하려고 그러는데"
"129","00:07:12:12","00:07:14:08","할 말이 없어, 할 말이, 그냥"
"130","00:07:14:10","00:07:17:15","내세울 게 없으면
깔끔하게라도 하고 가야 될 거 아니야"
"131","00:07:17:17","00:07:19:00","(용남)
제발 좀, 제발"
"132","00:07:19:02","00:07:20:21","(정현)
아유, 못 살겠다, 진짜 내가…"
"133","00:07:20:23","00:07:22:01","[정현의 한숨]"
"134","00:07:22:03","00:07:23:10","[덜컹거리는 소리가 들린다]
너 이거 다 뭐야?"
"135","00:07:23:12","00:07:25:20","[용남의 한숨]
너 여기다가 고물상 차릴 거야, 혹시?"
"136","00:07:25:22","00:07:27:02","너 이거 다 안 갖다 버릴 거야?"
"137","00:07:27:04","00:07:29:02","제자리에 둬, 좋은 말 할 때"
"138","00:07:29:04","00:07:32:08","(정현)
아니, 이 좁은 방에
뭘 이렇게 다 이렇게 어질러…"
"139","00:07:32:10","00:07:34:13","아, 나 또 빡치네, 진짜"
"140","00:07:34:15","00:07:38:15","동아리를 하려면 제대로 된 거
영양가 있는 걸 했어야지, 어?"
"141","00:07:38:17","00:07:40:09","산악부가 뭐야, 산악부가!"
"142","00:07:40:11","00:07:42:03","너 심마니 할 거야?"
"143","00:07:42:05","00:07:44:00","- (용남) 누나, 손 좀 봐 봐
- 손 왜, 손 왜!"
"144","00:07:44:02","00:07:46:00","- 아까 뭐 묻은 거 같더라고
- (정현) 뭐, 뭐?"
"145","00:07:46:02","00:07:47:09","[정현의 아파하는 신음]
[비너가 잘그랑 떨어진다]"
"146","00:07:47:11","00:07:48:24","- 너 뭐 하는 거야? 어, 너…
- (용남) 나가, 나가, 나가"
"147","00:07:49:01","00:07:50:03","- 야, 야, 오십견 와
- (용남) 나가, 나가"
"148","00:07:50:05","00:07:52:03","- 엄마! 오십견, 너 죽을래?
- (용남) 나가, 나가, 나가
[현옥이 소리친다]"
"149","00:07:52:05","00:07:54:04","- (용남) 아유, 나가 좀!
- (정현) 너, 이씨, 야…"
"150","00:07:54:06","00:07:57:03","[용남과 정현이 소란스럽다]
[문고리가 달그락거린다]"
"151","00:07:57:05","00:08:00:00","(용남)
어유, 어유, 저 힘센, 힘센 거 봐
[정현이 소리친다]"
"152","00:08:00:02","00:08:01:17","[문이 달칵 잠긴다]
(정현)
너 이제 용돈 없어, 이 새끼야!"
"153","00:08:01:19","00:08:03:14","(용남)
와, 힘센 거 봐
[정현의 짜증 섞인 신음]"
"154","00:08:04:01","00:08:05:14","[가쁜 숨소리]"
"155","00:08:06:13","00:08:09:08","매형 존나 대단하다
어떻게 같이 살아? 아씨"
"156","00:08:10:00","00:08:11:03","[용남의 한숨]"
"157","00:08:11:06","00:08:12:17","아유, 불쌍한 매형
[스위치를 달칵 켠다]"
"158","00:08:13:14","00:08:14:23","맞지나 않고 사는지"
"159","00:08:16:01","00:08:17:15","[용남이 비너를 탁 집는다]
[용남의 한숨]"
"160","00:08:20:19","00:08:21:18","[한숨]"
"161","00:08:23:19","00:08:24:15","[혀를 쯧 찬다]"
"162","00:08:24:17","00:08:27:08","[흥미로운 음악]
(기백)
클라이밍 전 가장 먼저 해야 할"
"163","00:08:27:10","00:08:30:03","기본 중의 기본이 루트 파인딩이야"
"164","00:08:30:05","00:08:31:17","루트 파인딩이 뭐냐?"
"165","00:08:31:20","00:08:33:03","길 찾기, 길 찾기"
"166","00:08:33:05","00:08:34:04","[산악부원1의 탄성]"
"167","00:08:34:06","00:08:36:08","우리가 목적지는 설정했는데"
"168","00:08:36:10","00:08:39:05","가는 길이나 방법을 모르면
도착할 수가 없잖아?"
"169","00:08:39:20","00:08:44:00","시작 지점부터 완등 지점까지
상세하게 관찰하면서"
"170","00:08:44:15","00:08:48:16","난이도나 이 안전성, 오르는 방법"
"171","00:08:48:18","00:08:52:04","이 동작 등을 머릿속으로
미리 상상해 보는 걸"
"172","00:08:52:07","00:08:53:24","루트 파인딩이다라고 하는 거야"
"173","00:08:54:14","00:08:55:15","(산악부원2)
잘하고 있어!
[가쁜 숨소리]"
"174","00:08:55:17","00:08:57:04","[산악부원3이 조언한다]"
"175","00:08:57:06","00:08:58:01","(산악부원4)
그렇지, 올라가"
"176","00:08:58:04","00:08:59:10","[산악부원들의 놀란 신음]
[의주의 힘주는 신음]"
"177","00:08:59:12","00:09:00:23","[산악부원들이 응원한다]"
"178","00:09:01:01","00:09:03:13","- (산악부원5) 그렇지, 그렇지!
- (산악부원2) 누나, 좀만 더 힘내!"
"179","00:09:04:10","00:09:06:09","[심호흡]"
"180","00:09:06:11","00:09:07:11","[용남의 힘주는 신음]"
"181","00:09:07:13","00:09:08:20","[용남의 놀란 신음]
[산악부원들의 탄식]"
"182","00:09:08:23","00:09:10:18","(기백)
야, 이 새끼야! 길 좀 봐라, 제발"
"183","00:09:10:21","00:09:12:12","- (산악부원2) 잘한다, 잘한다
- (기백) 아씨, 진짜"
"184","00:09:12:14","00:09:14:04","(산악부원2)
누나, 좀만 더 힘내요!"
"185","00:09:14:18","00:09:15:21","[의주의 힘주는 신음]
완등이다, 완등!"
"186","00:09:15:23","00:09:17:06","[산악부원들의 환호성]"
"187","00:09:17:08","00:09:18:07","완등!"
"188","00:09:18:09","00:09:19:07","[산악부원2의 환호성]"
"189","00:09:19:09","00:09:20:06","[의주의 환호성]"
"190","00:09:20:08","00:09:22:03","(기백)
의주 나이스!
[웃음]"
"191","00:09:23:13","00:09:24:23","[용남이 피식 웃는다]
[용남이 빗을 탁 집는다]"
"192","00:09:36:16","00:09:38:04","(현옥)
야, 어디, 어디"
"193","00:09:38:06","00:09:43:13","너는 가르마가 이쪽으로
이렇게 와야 정말 멋있어, 자"
"194","00:09:43:15","00:09:45:03","[휴대전화를 탁 집으며]
어디 봐 봐"
"195","00:09:45:05","00:09:46:24","웃어, 웃어, 웃어, 어이"
"196","00:09:47:01","00:09:48:07","[카메라 셔터음]
[현옥의 웃음]"
"197","00:09:48:09","00:09:49:12","아이고, 좋다"
"198","00:09:49:14","00:09:51:09","- (현옥) 야, 멋있다
- 뭐 한 거야?"
"199","00:09:51:24","00:09:53:18","[용남의 한숨]"
"200","00:09:53:21","00:09:54:23","(용남)
아니, 내 가르마야
[카메라 셔터음]"
"201","00:09:55:00","00:09:57:15","내, 내 가르마야!"
"202","00:09:57:18","00:09:59:14","아, 내가 엄마 머리
함부로 막 만지고 하면 좋아?"
"203","00:09:59:17","00:10:00:22","내가 한번 해 볼까? 어?"
"204","00:10:00:24","00:10:02:22","(현옥)
어이구, 이 녀석이, 아이고, 돌았나?"
"205","00:10:02:24","00:10:05:18","아이, 성질머리가 이따위로 돼 가지고
얻다 써먹는대?
[씩씩거린다]"
"206","00:10:05:20","00:10:07:03","- 자, 야, 야, 웃어, 웃어
- (용남) 가르마…"
"207","00:10:07:05","00:10:08:13","(장수)
[버럭하며]
안 갈 거야?"
"208","00:10:08:15","00:10:10:21","간다 간다 해 놓고 벌써 한 시간째야!"
"209","00:10:10:23","00:10:12:16","가지 마, 가지 말라고"
"210","00:10:12:18","00:10:14:23","당장 취소해, 전화하라고!"
"211","00:10:15:00","00:10:16:07","옌장, 씨, 쯧"
"212","00:10:16:09","00:10:19:00","[자동차 경적]
(장수)
옌장, 참 멀리도 간다"
"213","00:10:19:13","00:10:20:23","뭐 대단한 거 한다고"
"214","00:10:21:00","00:10:24:06","아, 먼저 도착해서
손님들도 맞고 해야 될 거 아니야"
"215","00:10:24:08","00:10:26:07","(용남)
아, 다 왔으니까 그만 좀 하세요"
"216","00:10:26:09","00:10:27:20","(현옥)
아이고, 이렇게 좀 대 봐"
"217","00:10:27:22","00:10:30:19","애들이 어련히 알아서 하겠지
[못마땅한 신음]"
