No.,Timecode In,Timecode Out,Subtitle
"1","00:00:51:14","00:00:53:21","[총성이 빗발친다]"
"2","00:01:04:04","00:01:06:04","[포탄이 펑 터진다]"
"3","00:01:07:14","00:01:09:19","[전투기 엔진음]"
"4","00:01:11:03","00:01:13:04","[총성과 포탄 소리가 계속된다]"
"5","00:01:17:04","00:01:19:05","[새가 지저귄다]
[풀벌레 울음]"
"6","00:01:26:17","00:01:29:05","[아련한 음악]"
"7","00:01:59:05","00:02:01:01","[다가오는 전투기 엔진음]"
"8","00:02:09:22","00:02:12:12","[다급한 비명]"
"9","00:02:13:16","00:02:15:20","[웅장한 음악]"
"10","00:02:17:04","00:02:19:10","[스미스의 가쁜 숨소리]
[심장이 쿵쿵 뛴다]"
"11","00:02:22:22","00:02:24:15","[다급한 비명]"
"12","00:02:25:01","00:02:27:10","[긴박한 음악]"
"13","00:02:34:14","00:02:36:09","[힘겨운 신음]"
"14","00:02:37:14","00:02:40:06","[다급한 비명]"
"15","00:02:45:04","00:02:46:21","[전투기가 쿵 쓰러진다]"
"16","00:02:47:11","00:02:49:08","[레이더 작동음]"
"17","00:02:52:00","00:02:54:01","[무거운 음악]"
"18","00:02:57:16","00:02:59:03","[영어]
장군께 보고하라"
"19","00:03:00:06","00:03:01:07","네, 알겠습니다"
"20","00:03:17:21","00:03:19:22","[잔잔한 음악]"
"21","00:03:37:23","00:03:39:15","[멀리서 까마귀가 운다]"
"22","00:03:41:12","00:03:43:11","[인민군들의 지친 숨소리]"
"23","00:03:50:18","00:03:51:17","[한국어]
상위 동지"
"24","00:03:53:01","00:03:54:15","이 상태로 가다간 끝장입니다"
"25","00:04:06:20","00:04:07:23","[부상병들의 겁먹은 숨소리]"
"26","00:04:08:00","00:04:09:14","[긴장되는 음악]"
"27","00:04:10:03","00:04:11:02","(부관)
명령하시라요"
"28","00:04:21:09","00:04:22:15","(인민군1)
상위 동지, 살려주십시오"
"29","00:04:22:18","00:04:23:13","(인민군2)
살려주시라요"
"30","00:04:23:15","00:04:25:11","- (인민군3) 살려주십시오
- (인민군1) 살려주시라요"
"31","00:04:25:13","00:04:27:06","- (인민군4) 살려주십시오
- (인민군5) 상위 동지!"
"32","00:04:27:08","00:04:28:13","(인민군5)
나 좀 데려가 주시라요"
"33","00:04:29:06","00:04:33:03","[인민군5가 살려달라고 애원한다]
상급의 명령대로 따르디 않는
이유가 뭡네까?"
"34","00:04:34:02","00:04:37:16","(인민군5)
[울먹이며]
나 좀 데려가 주시라요, 동무들"
"35","00:04:37:18","00:04:39:06","(부관)
매번 이딴 식으로는 안 됩네다!"
"36","00:04:39:09","00:04:40:08","나 갈 수 있시오"
"37","00:04:40:19","00:04:42:17","나 갈 수 있시오, 보시라요"
"38","00:04:43:16","00:04:44:14","(인민군5)
보시라요"
"39","00:04:45:14","00:04:46:15","나 혼자 갈 수 있시오"
"40","00:04:47:12","00:04:49:20","(인민군5)
나 혼자 갈 수 있시오, 제발"
"41","00:04:49:22","00:04:50:21","상위 동지!"
"42","00:04:56:10","00:04:58:11","직살하갔으면
한 마디만 더 지껄이라우"
"43","00:05:13:04","00:05:14:05","그냥 데빌고 가자우"
"44","00:05:14:16","00:05:16:11","[수화의 멀어지는 발걸음]"
"45","00:05:17:19","00:05:18:20","[권총을 철컥 장전한다]"
"46","00:05:27:23","00:05:29:09","[총알이 빗발친다]"
"47","00:05:29:11","00:05:31:00","[인민군들의 고통스러운 신음]"
"48","00:05:32:08","00:05:34:13","[포탄이 펑 터진다]
[총알이 빗발친다]"
"49","00:05:34:21","00:05:36:08","[인민군들의 비명]
[포탄이 펑 터진다]"
"50","00:05:36:13","00:05:38:00","[총알이 빗발친다]
[영희의 놀라는 신음]"
"51","00:05:38:18","00:05:40:08","[인민군6의 신음]
[택기의 놀라는 신음]"
"52","00:05:41:21","00:05:44:01","[총알이 빗발친다]"
"53","00:05:44:03","00:05:45:06","[인민군들의 고통스러운 신음]"
"54","00:05:46:08","00:05:47:23","[인민군7의 고통스러운 신음]"
"55","00:05:50:21","00:05:51:20","[택기가 따발총을 갈겨댄다]"
"56","00:05:51:22","00:05:53:00","(수화)
피하라우!"
"57","00:05:53:16","00:05:54:23","[인민군8의 신음]"
"58","00:05:55:03","00:05:56:13","[총성이 빗발친다]"
"59","00:05:58:07","00:05:59:10","일나라우!"
