No.,Timecode In,Timecode Out,Subtitle
"1","00:00:00:18","00:00:04:15","[라디오가 지직거린다]"
"2","00:00:05:15","00:00:07:19","[라디오 채널이 돌아간다]"
"3","00:00:08:13","00:00:10:09","[라디오 채널이 계속 돌아간다]"
"4","00:00:13:17","00:00:14:18","[라디오에서 음성이 흘러나온다]"
"5","00:00:14:20","00:00:15:21","[라디오 채널이 돌아간다]"
"6","00:00:15:23","00:00:17:04","(라디오 속 남자1)
팩스로 처리하도록..."
"7","00:00:17:08","00:00:18:11","[라디오 채널이 돌아간다]"
"8","00:00:18:13","00:00:21:15","(라디오 속 리포터)
전국이 대체로 맑겠고
아침에는 안개..."
"9","00:00:22:17","00:00:24:18","(라디오 속 아나운서1)
57분 교통 정보입니다"
"10","00:00:24:20","00:00:27:02","출근길 절정에서 벗어나긴 했지만"
"11","00:00:27:04","00:00:29:06","여전히 많이 밀리고 있습니다"
"12","00:00:29:09","00:00:33:02","서울 외곽 순환 고속 도로
하남에서 서울 하일 나들목 구간은
[발소리가 난다]"
"13","00:00:33:04","00:00:34:24","하일 나들목 들어서는 부근에서"
"14","00:00:35:02","00:00:39:15","[문발이 잘그락거린다]
승용차 관련 사고까지 발생해서
서하남부터 3킬로미터 정체고요"
"15","00:00:39:17","00:00:42:21","이전 송파 나들목 부근 정체도
늘어나는 상황입니다"
"16","00:00:42:23","00:00:44:14","경부 고속 도로 서울 쪽으로 있던"
"17","00:00:44:16","00:00:47:14","잠원 나들목 부근 추돌 사고는
정리가 됐지만"
"18","00:00:47:16","00:00:51:07","달래내 부근에서 반포 쪽 진행이
더 어려워진 상태입니다"
"19","00:00:51:09","00:00:55:03","강변 북로 마포 대교와 원효 대교 사이
추돌 사고도 정리는 됐는데요"
"20","00:00:55:05","00:00:57:07","정체가 가중된 상황이고요
[미수의 힘주는 숨소리]"
"21","00:00:57:09","00:01:00:10","올림픽 대로 노량 대교에서
반포 대교 쪽으로 가는 데
[엔진음이 들려온다]"
"22","00:01:00:12","00:01:02:10","30분 이상 걸리고 있습니다"
"23","00:01:02:13","00:01:04:05","다리 위에서는 성수 대교, 동호 대교"
"24","00:01:04:07","00:01:07:06","한남 대교 모두 양방향으로
건너가기 어렵고요"
"25","00:01:07:08","00:01:10:10","천호 대교는 이제
강북 쪽으로 밀리기 시작했습니다"
"26","00:01:10:12","00:01:14:01","강변 북로가 마포 대교에서
한강 대교 쪽으로 속도 떨어지고
[뚜껑을 달그락 닫는다]"
"27","00:01:14:03","00:01:15:21","동부 간선 도로 의정부 쪽으로는"
"28","00:01:15:23","00:01:18:05","이화교 부근부터
정체가 되고 있습니다"
"29","00:01:18:10","00:01:20:13","[라디오에서 방송이 계속 흘러나온다]"
"30","00:01:20:15","00:01:22:07","[문이 탁 여닫힌다]
[미수의 놀라는 숨소리]"
"31","00:01:24:20","00:01:27:00","아직 오픈을 안 했..."
"32","00:01:27:24","00:01:28:19","[미수가 컵을 탁 내려놓는다]"
"33","00:01:28:22","00:01:30:17","(미수)
혹시 찾으시는 거 있으세요?"
"34","00:01:32:02","00:01:34:23","콩으로 만든 거 없나? 두부나..."
