No.,Timecode In,Timecode Out,Subtitle
"1","00:00:35:07","00:00:37:08","[잔잔한 음악]"
"2","00:00:42:11","00:00:44:15","(내레이터)
인생의 나침반과 같은 이름"
"3","00:00:45:09","00:00:48:03","할머니"
"4","00:00:49:12","00:00:53:18","일찍이 부모님을 여윈 제게
할머니는 말씀하셨습니다"
"5","00:00:54:21","00:00:58:03","'어려운 사람을 살피고
정직하게 살아라'"
"6","00:00:59:24","00:01:03:04","산나물을 팔아 모은 돈으로 산
황무지가 개발되면서"
"7","00:01:03:18","00:01:05:08","큰돈을 벌게 되었지만"
"8","00:01:06:03","00:01:07:22","사회에 다 환원하시곤"
"9","00:01:08:19","00:01:11:21","아픈 몸을 끌고 시장에 가셨습니다"
"10","00:01:13:10","00:01:16:09","당시 저는 거대 보험사를 상대로"
"11","00:01:16:22","00:01:18:21","외로운 싸움을 하고 있었습니다"
"12","00:01:19:23","00:01:21:04","꼼수 약관 때문에"
"13","00:01:21:21","00:01:26:01","할머니 앞으로 든 암 보험을
보장받지 못한 겁니다"
"14","00:01:27:18","00:01:30:04","모두 질 거라던 싸움에서 승리한 저는"
"15","00:01:30:22","00:01:34:00","할머니의 지지에 힘입어
국회로 갔습니다"
"16","00:01:37:13","00:01:40:05","비록 할머니는 자연으로 돌아가셨지만"
"17","00:01:41:08","00:01:43:03","그 아름다운 뜻을 받들어"
"18","00:01:43:22","00:01:46:18","더 나은 세상을 위해
달립니다"
"19","00:01:47:22","00:01:50:23","약속을 지키는
진실한 정치인"
"20","00:01:51:19","00:01:53:15","기호 1번 주..."
"21","00:01:53:17","00:01:55:02","(상숙)
스톱!
[키보드 치는 소리가 들린다]"
"22","00:01:56:15","00:01:57:13","[화장 도구가 달그락거린다]"
"23","00:01:58:08","00:01:59:04","내려"
"24","00:02:00:07","00:02:01:15","저기, 앞으로 돌려 봐"
"25","00:02:04:05","00:02:06:12","저기, 저기, 저 십자가 말이야"
"26","00:02:06:14","00:02:07:21","좀 더 부각시킬 수 없어?
[보좌진들이 수군거린다]"
"27","00:02:08:01","00:02:08:22","(보좌진1)
십자가가 어디 있지?"
"28","00:02:09:00","00:02:10:23","(상숙)
요즘 기독교 표가 좀 빠지는 것 같아"
"29","00:02:11:11","00:02:13:10","(정민)
저거는 의원님께서 그"
"30","00:02:13:12","00:02:15:09","해병 불자회 때 108배를 하셔서"
"31","00:02:15:11","00:02:16:21","- (상숙) 그러니까
- (희철) 더 타이트하게"
"32","00:02:16:23","00:02:18:07","(희철)
스케줄을 짰었어야 됐는데요"
"33","00:02:18:09","00:02:20:05","인사만 하고 딱 빠지실 수 있게"
"34","00:02:20:18","00:02:21:13","죄송합니다"
"35","00:02:23:00","00:02:25:08","(상숙)
아, 그리고 초반에
남편이랑 뽀뽀하는 장면"
"36","00:02:25:10","00:02:26:09","좀 이상하지 않아?"
"37","00:02:27:02","00:02:27:23","이상하다"
"38","00:02:28:15","00:02:29:11","안 이상하다"
"39","00:02:30:05","00:02:31:12","(희철)
아름답죠, 예"
"40","00:02:32:11","00:02:35:18","(상숙)
부부끼리 누가 뽀뽀를 해?
그것도 맨정신에"
"41","00:02:36:15","00:02:38:06","(희철)
요즘 저, 의원님 이미지가"
"42","00:02:38:08","00:02:40:15","조금 대장부 쪽으로
좀 쌓이시다 보니까"
"43","00:02:40:22","00:02:41:18","(상숙)
잘라"
"44","00:02:43:00","00:02:44:10","(희철)
예, 다 자르겠습니다"
"45","00:02:44:18","00:02:45:15","(정민)
[작은 목소리로]
뽀뽀 빼"
"46","00:02:46:01","00:02:47:03","자, 오늘 여기까지 하실까요?"
"47","00:02:47:05","00:02:48:11","- (정민) 네
- (희철) 네, 수고하셨습니다"
"48","00:02:48:13","00:02:49:20","[저마다 인사한다]
(상숙)
수고하셨습니다"
"49","00:02:49:22","00:02:51:01","- (보좌진2) 자, 갑니다
- (정민) 기호 1번!"
"50","00:02:51:09","00:02:52:19","(보좌진2)
기호 1번, 파이팅, 파이팅
[저마다 응원한다]"
"51","00:02:53:24","00:02:55:20","(희철)
자, 고, 고! 고 포 잇
[희철의 기합]"
"52","00:02:55:22","00:02:56:17","(보좌진3)
알겠습니다"
"53","00:02:58:10","00:02:59:12","- (상숙) 박 보
- (희철) 예"
"54","00:03:00:05","00:03:01:17","(상숙)
잘 좀 하자, 응?"
"55","00:03:02:07","00:03:04:06","4선의 품격이란 게 있지 않겠어?"
"56","00:03:04:20","00:03:05:18","(희철)
아유, 그럼요"
"57","00:03:05:20","00:03:06:24","자, 자, 자, 그거 기스 안 나게"
"58","00:03:07:03","00:03:08:03","- (정민) 아...
- (희철) 예"
"59","00:03:08:22","00:03:10:15","[희철이 걱정한다]
(정민)
의원님, 조심하세요, 조심하세요"
"60","00:03:10:20","00:03:12:16","- (정민) 괜찮으세요?
- (상숙) 응, 가자"
"61","00:03:13:07","00:03:14:23","(희철)
의원님, 잠깐만요"
"62","00:03:18:04","00:03:19:02","뭐야, 더럽게?"
"63","00:03:19:13","00:03:21:03","아, 이게 별로 안 낡아 보여 가지고"
"64","00:03:23:09","00:03:24:08","(상숙)
이쪽도"
"65","00:03:25:13","00:03:26:12","[희철의 장난스러운 신음]"
"66","00:03:26:14","00:03:27:15","[리드미컬한 음악]
오케이"
"67","00:03:27:21","00:03:29:08","(희철)
자, 후보님 나가십니다"
"68","00:03:29:10","00:03:32:13","(상숙)
아, 안녕하세요
기호 1번 주상숙입니다"
"69","00:03:32:15","00:03:33:16","기호 1번 주상숙"
"70","00:03:33:18","00:03:35:12","안녕하세요, 기호 1번 주상숙입니다
[희철이 인사한다]"
"71","00:03:35:14","00:03:36:21","- 안녕하세요, 어머니
- (희철) 기호 1번입니다"
"72","00:03:36:23","00:03:38:02","(여자1)
아니, 찍어 주면 뭐 해 주나?"
"73","00:03:38:04","00:03:39:13","(상숙)
아유, 해 달라는 거 다 해 드리죠"
"74","00:03:39:15","00:03:41:09","어떻게, 남편부터 바꿔 드릴까?
[함께 웃는다]"
"75","00:03:41:13","00:03:43:10","(상숙)
안녕하세요, 주상숙입니다
[사람들이 환호한다]"
"76","00:03:45:11","00:03:46:22","주상숙 마리아입니다"
"77","00:03:47:22","00:03:48:19","(정민)
[속삭이며]
뒤에 있습니다"
"78","00:03:49:13","00:03:51:14","(상숙)
스님, 성불하십시오, 스님"
"79","00:04:01:11","00:04:03:05","[상숙의 반가운 탄성]
(오 장로)
아이고, 이게 얼마 만이에요, 권사님"
"80","00:04:03:07","00:04:05:19","(상숙)
아유, 그러니까요, 장로님
[오 장로의 웃음]"
"81","00:04:06:01","00:04:07:04","(오 장로)
예
[상숙의 웃음]"
"82","00:04:07:21","00:04:08:20","(상숙)
잘 지내셨죠?"
"83","00:04:17:22","00:04:19:16","(기자1)
8년 전 12표 차로 역전승을 했던"
"84","00:04:19:18","00:04:21:14","남용성 후보와 다시 붙게 됐습니다"
"85","00:04:21:16","00:04:22:16","한 말씀만 부탁드립니다"
"86","00:04:24:05","00:04:28:01","(상숙)
이건 대답을 잘해도
본전 찾기 힘든 질문이다"
"87","00:04:28:23","00:04:31:24","참자, 내 한마디 한마디가 모두"
"88","00:04:33:09","00:04:34:05","표다"
"89","00:04:34:13","00:04:36:03","[기자들이 저마다 질문한다]"
"90","00:04:36:05","00:04:38:20","(기자2)
후보님, 국민 사이다답게
시원하게 한 말씀 해 주십시오"
"91","00:04:40:00","00:04:41:22","(사회자)
네, 1차 토론회
현탄시 과학 도시화에 대한"
"92","00:04:41:24","00:04:43:09","집중 토론 진행하고 있습니다"
"93","00:04:43:13","00:04:45:01","자, 발언 순서에 따라서 이제는"
"94","00:04:45:08","00:04:47:18","주상숙 후보에게
신지선, 남용성 후보가"
"95","00:04:47:20","00:04:50:08","보충 질문 하십시오
제한 시간은 2분입니다"
"96","00:04:50:12","00:04:51:22","- (용성) 네, 그...
- (지선) 한 가지 더 질문드릴게요"
"97","00:04:52:04","00:04:54:06","(지선)
엑스포 끝나면
시설 유지는 누가 합니까?"
"98","00:04:54:17","00:04:55:16","누구 돈으로 합니까?"
"99","00:04:56:08","00:04:58:00","혈세 낭비 걱정하는 국민들 의견"
"100","00:04:58:02","00:05:00:10","지금 무시하고 계신다는 생각은
안 하십니까, 주 후보님?"
"101","00:05:00:18","00:05:03:11","전혀요, 지금 엄청
귀 기울이고 있잖아요"
"102","00:05:04:11","00:05:06:04","제일 반대하시는 신 후보님"
"103","00:05:06:22","00:05:08:18","오늘 안에 설득하고 가겠습니다"
"104","00:05:08:20","00:05:10:03","- (지선) 아...
- (용성) 제가 시장 시절에"
"105","00:05:10:05","00:05:12:03","(용성)
현탄대 인수 허가해 드렸습니다
기억하시죠?"
"106","00:05:12:05","00:05:13:04","아, 감사했습니다"
"107","00:05:13:06","00:05:15:05","(용성)
예, 뭐, 무너져 가던 학교
옥희 과학대로 바꾸면서"
"108","00:05:15:07","00:05:17:11","제2의 포항 공대
만든 건 좋습니다, 그런데"
"109","00:05:18:01","00:05:20:17","이 옥희 재단 자금 투명성 의혹
해명 안 하십니까?"
"110","00:05:20:19","00:05:23:12","항간에는 '탈세 목적이다'
뭐, 이런 얘기도 있고"
"111","00:05:23:14","00:05:25:24","아, 그 말에
법적 책임 질 수 있습니까?"
"112","00:05:26:05","00:05:27:09","아, 지금 저는 해명할 기회를..."
"113","00:05:27:11","00:05:28:24","(상숙)
남 후보님이야말로"
"114","00:05:29:12","00:05:33:01","주식으로 수억 벌었다는 말이
항간에 파다해요"
"115","00:05:33:03","00:05:34:01","(윤경)
3번 카메라, 인"
"116","00:05:34:03","00:05:35:10","(모니터 속 용성)
근거 없는 얘기 하지 마시고요"
"117","00:05:35:12","00:05:37:21","(윤경)
2번, 남 후보 빡친 얼굴 클로즈업
[모니터 속 용성이 계속 말한다]"
"118","00:05:37:24","00:05:41:05","(모니터 속 용성)
아드님 이중 국적 문제
어떻게, 언제 해명하실 겁니까?"
"119","00:05:41:07","00:05:43:19","(사회자)
남 후보님, 주제에 벗어나는 질문은 좀"
"120","00:05:43:21","00:05:46:02","지금 제 시간이니까
잠깐 기다려 주세요"
"121","00:05:46:05","00:05:47:01","(용성)
말씀하시죠"
"122","00:05:47:15","00:05:48:17","[작은 목소리로]"
