No.,Timecode In,Timecode Out,Subtitle
"1","00:00:56:20","00:01:00:10","[탁구공 튀기는 소리]"
"2","00:01:05:17","00:01:09:03","[잔잔한 음악]"
"3","00:01:29:09","00:01:32:22","[긴장감 있는 음악]"
"4","00:02:16:01","00:02:19:11","[탁구공 튀는 소리]
[선수들 기합 소리]"
"5","00:02:24:03","00:02:27:16","[긴장감 있는 음악]"
"6","00:02:34:06","00:02:36:16","(캐스터)
네, 역시
현정화, 이분희 선수"
"7","00:02:36:18","00:02:39:04","라이벌답게 정말 치열한
랠리를 펼치고 있습니다"
"8","00:02:39:19","00:02:42:01","[계속되는 탁구 소리]"
"9","00:02:42:23","00:02:45:21","아, 네, 네트에
걸리고 마네요"
"10","00:02:45:24","00:02:48:00","다시 한 점 따라붙는
북한의 이분희"
"11","00:02:49:00","00:02:51:10","야, 현정화
지금 적선하냐?"
"12","00:02:51:15","00:02:53:06","(이 코치)
봐주지 말고 빨리 끝내!"
"13","00:02:57:02","00:03:00:13","여기서 너무 힘 빼지 말라우
얼른 끝내고 결승 가야디"
"14","00:03:01:22","00:03:03:22","[함성]"
"15","00:03:05:08","00:03:06:14","파이팅!"
"16","00:03:08:10","00:03:11:03","(캐스터)
네, 말씀드리는 순간
현정화의 서브, 이분희 리시브"
"17","00:03:11:05","00:03:14:00","(해설자)
야, 두 선수
이건 뭐, 거의 탁구 전쟁이네요"
"18","00:03:21:12","00:03:22:18","(캐스터)
성공!
[함성]"
"19","00:03:22:20","00:03:25:14","우리 대한민국의 현정화
세계 랭킹 3위의 이분희를 꺾고"
"20","00:03:25:16","00:03:27:17","당당하게 결승에
진출합니다"
"21","00:03:28:06","00:03:30:13","[응원 소리]"
"22","00:03:36:24","00:03:41:11","[함성]
아, 결국 이렇게 또 중국에게
금메달을 내주고 마네요"
"23","00:03:41:13","00:03:45:17","(해설자)
네, 이번에도 결국 세계 최강
중국의 벽을 넘지 못했습니다"
"24","00:03:45:19","00:03:47:19","너무 아쉽네요"
"25","00:03:48:10","00:03:50:10","[박수 소리]
[함성]"
"26","00:03:51:21","00:03:55:10","죽을 것같이 치더니
은메달이가?"
"27","00:03:57:04","00:03:59:13","축하해, 동메달"
"28","00:03:59:15","00:04:02:13","[장내 방송 영어로]
금메달은 중국이 차지합니다"
"29","00:04:02:15","00:04:05:01","(캐스터)
네, 이로써 5개 대회 연속
금메달을 목에 거는"
"30","00:04:05:04","00:04:06:22","중국의 덩야령 선수"
"31","00:04:07:05","00:04:09:21","정말 천하무적이란 표현을
안 쓸 수가 없네요"
"32","00:04:10:02","00:04:11:13","정말 부러운 모습입니다"
"33","00:04:11:20","00:04:14:02","(해설자)
뭐, 아쉽지만
실망할 필요는 없습니다"
"34","00:04:14:11","00:04:16:01","내년 세계 선수권 대회가
있으니까요"
"35","00:04:16:03","00:04:17:09","(캐스터)
네, 그렇습니다"
"36","00:04:17:18","00:04:19:23","다음 세계 선수권 대회에서는
반드시"
"37","00:04:20:10","00:04:22:24","만리장성을 넘기를
기대해보겠습니다"
"38","00:04:24:03","00:04:28:13","[웅장한 음악]"
"39","00:04:45:19","00:04:47:22","[잔잔한 음악]"
"40","00:04:55:07","00:04:58:01","[정화 숨소리]
[경쾌한 음악]"
"41","00:05:00:22","00:05:05:00","- 아저씨, 안녕하세요?
- 어, 오늘도 일찍 나왔네"
"42","00:05:25:19","00:05:30:00","(기자)
6개월 전, 아시안 게임
은메달의 아쉬움을 달래듯"
"43","00:05:30:03","00:05:32:22","대한민국은 그야말로
탁구 열풍입니다"
"44","00:05:32:24","00:05:35:09","자, 한 달 후에 열리는
지바 세계 선수권 대회"
"45","00:05:35:12","00:05:36:21","어떻게 예상하시나요?"
"46","00:05:37:05","00:05:38:16","무조건 금메달입니다"
"47","00:05:38:19","00:05:40:23","현정화, 이번에 반드시
금메달 땁니다!"
"48","00:05:41:09","00:05:43:19","사랑해요, 현정화!
믿어요, 한국 탁구!"
"49","00:05:44:01","00:05:45:18","현정화, 파이팅!
[함성]"
"50","00:05:45:20","00:05:48:21","아...
언니 억수로 부담되겠다
[계속되는 TV 소리]"
"51","00:05:49:01","00:05:51:20","저래 난리 블루스인데
금메달 못 따봐라"
"52","00:05:51:24","00:05:53:10","이민 가야 되는 거
아이가?"
"53","00:05:53:21","00:05:54:24","[퍽]
[짧은 신음]"
"54","00:05:55:22","00:05:57:01","아, 왜?"
"55","00:05:57:16","00:06:01:00","시끄럽다, 가시나야
니 빨리 학교 안 가나?"
"56","00:06:06:21","00:06:09:06","탁구 국가 대표 언니야"
"57","00:06:09:08","00:06:11:11","(정화 동생)
동생 용돈 좀 신경 써라"
"58","00:06:11:13","00:06:13:20","세계 선수권 며칠
안 남았는데"
"59","00:06:14:01","00:06:16:01","니 자꾸 언니야
귀찮게 할래?"
"60","00:06:16:19","00:06:18:17","내는 의사 표현도 몬 하나?"
"61","00:06:19:05","00:06:21:08","[신발 찍찍이 떼는 소리]"
"62","00:06:29:05","00:06:31:18","언니야!
[소리 지르는 정화 동생]"
"63","00:06:32:15","00:06:35:10","- 언니야, 고맙데이, 사랑한데이
- (정화) 알았다, 알았다!"
"64","00:06:35:13","00:06:37:08","(정화)
알았다, 아이참"
"65","00:06:38:01","00:06:39:24","[드르륵]"
"66","00:06:42:05","00:06:43:06","(정화 모)
아나"
"67","00:06:43:22","00:06:45:17","냉동실에 얼려놓고"
"68","00:06:45:19","00:06:48:01","아침저녁으로
꼭꼭 챙겨 묵으래이"
"69","00:06:48:19","00:06:50:07","뭐 이래 많이 쌌노?"
"70","00:06:50:09","00:06:52:10","용 넣어서 달였다 아이가"
"71","00:06:53:06","00:06:56:19","귀찮아도 엄마 정성이다 생각하고
단디 챙겨 묵으래이"
"72","00:06:57:19","00:06:59:19","아빠 챙기기도 힘들 긴데"
"73","00:07:00:20","00:07:03:04","내는 신경 쓰지 마라"
"74","00:07:03:22","00:07:06:14","가시나, 알았다"
"75","00:07:08:17","00:07:10:01","고마 묵자"
"76","00:07:10:14","00:07:14:05","[달그락]
[잔잔한 음악]"
"77","00:07:26:03","00:07:29:17","(정화)
아빠, 내 오늘
태릉 올라간다"
"78","00:07:30:17","00:07:34:21","세계 선수권 대회 끝날 때까지
못 올 기다"
"79","00:07:39:06","00:07:40:21","은메달 지겹제?"
"80","00:07:41:13","00:07:44:08","이번엔 꼭
색깔 바까가 올게"
"81","00:07:44:15","00:07:46:06","금 색깔로"
"82","00:07:51:20","00:07:53:12","[단체 구령 소리]"
"83","00:07:54:00","00:07:55:07","(코치)
다들 모여!"
"84","00:07:59:20","00:08:04:18","자, 제41회 세계 선수권 대회
국가 대표로 차출된 여러분을"
"85","00:08:04:21","00:08:06:18","(이 코치)
온몸으로
환영하는 바이다"
"86","00:08:07:18","00:08:09:11","[웃음소리]"
"87","00:08:09:13","00:08:10:17","자"
"88","00:08:11:14","00:08:12:22","나로 말씀드릴 것 같으면"
"89","00:08:12:24","00:08:15:06","새삼스럽게 무슨
통성명입니까?"
"90","00:08:15:11","00:08:17:09","이 코치님 모르는 사람이
여기 어디 있다고
[웃음]"
"91","00:08:17:21","00:08:19:09","코치?"
"92","00:08:19:21","00:08:22:05","노, 노, 노!"
"93","00:08:22:24","00:08:25:02","두만아
그리고 여러분"
"94","00:08:25:23","00:08:28:06","이제 우리는 새로운 호칭으로
거듭날 때이다"
"95","00:08:28:24","00:08:30:13","나, 이은일!"
