No.,Timecode In,Timecode Out,Subtitle
"1","00:00:55:11","00:00:57:11","[부드러운 음악]"
"2","00:01:30:10","00:01:32:09","[정혜의 비명]"
"3","00:01:32:11","00:01:35:15","(나영)
숨 몰아쉬고, 조금만 더
조금만 더 힘내봐요"
"4","00:01:35:18","00:01:37:18","선생님, 아직 안 나왔어요?
[밝은 음악]"
"5","00:01:37:20","00:01:38:18","자, 다 됐어요"
"6","00:01:38:20","00:01:41:06","조금만 더, 조금, 한 번
한 번, 한 번만 더 숨 몰아쉬고"
"7","00:01:41:08","00:01:43:20","[나영이 격려한다]
[정혜의 힘주는 비명]"
"8","00:01:43:22","00:01:47:05","자, 한 번 더 숨 몰아쉬고
한 번에 힘주고, 힘, 나온다!"
"9","00:01:47:07","00:01:50:16","[정혜의 힘주는 비명]
어, 나온다, 나온다
나온다, 나온다, 나온다"
"10","00:01:50:18","00:01:52:08","이번에도 한 시간 지났거든요!"
"11","00:01:52:10","00:01:54:12","아, 이제 나왔다니까
한 번만 더, 좀만 더"
"12","00:01:54:14","00:01:55:14","아, 거짓말하지 마요"
"13","00:01:55:16","00:01:58:00","아니야, 진짜야!
마지막으로 한 번만 더!"
"14","00:01:58:02","00:02:00:17","(의사)
힘, 힘!
[정혜의 힘주는 비명]"
"15","00:02:00:19","00:02:02:16","- 진짜 나온다!
- (나영) 어, 나온다!"
"16","00:02:02:18","00:02:04:24","[아이의 울음]
[정혜의 힘겨운 신음]"
"17","00:02:06:04","00:02:07:19","[정혜의 지친 숨소리]"
"18","00:02:07:21","00:02:09:09","[간호사의 기뻐하는 신음]"
"19","00:02:09:11","00:02:10:18","홍정혜 씨"
"20","00:02:12:15","00:02:15:01","아들이에요, 아들, 축하합니다"
"21","00:02:15:13","00:02:17:14","- 축하해요, 아들이래요
- (간호사) 아유, 예뻐라"
"22","00:02:17:16","00:02:20:08","- (나영) 수고 많았어요
- (간호사) 엄마 앞으로 가자"
"23","00:02:20:10","00:02:22:10","[옅은 웃음]
(나영)
조심, 조심, 조심"
"24","00:02:22:12","00:02:23:21","[간호사의 웃음]"
"25","00:02:23:23","00:02:26:05","[극적인 음악]
[정혜의 벅찬 웃음]"
"26","00:02:29:15","00:02:31:00","[웃음]"
"27","00:02:44:10","00:02:46:02","[밝은 음악]"
"28","00:02:46:04","00:02:47:23","[재봉틀 작동음]"
"29","00:02:52:15","00:02:53:17","[문옥의 웃음]"
"30","00:02:56:06","00:02:57:17",""하모니""
"31","00:03:00:05","00:03:01:09","[숨을 깊게 들이켠다]"
"32","00:03:02:12","00:03:03:12","[웃음]"
