No.,Timecode In,Timecode Out,Subtitle
"1","00:00:41:04","00:00:43:04","[스산한 바람 소리]"
"2","00:01:08:21","00:01:11:16","[역동적이고 긴박한 음악]"
"3","00:01:15:16","00:01:17:16","[폭풍우 소리]"
"4","00:01:19:07","00:01:21:15","[고함과 비명]
(만식)
아저씨!"
"5","00:01:22:08","00:01:24:11","[절규하며]
아저씨, 정신 차리시소"
"6","00:01:25:08","00:01:27:19","[선원 일동 힘겨운 소리로]
으아, 으아!"
"7","00:01:29:18","00:01:31:04","[만식 격앙된 목소리로]
뭐 하노, 이 새끼들아"
"8","00:01:31:11","00:01:34:21","[선원 일동 힘쓰는 신음과 고함]"
"9","00:01:35:23","00:01:37:11","(만식)
더 씨게!"
"10","00:01:38:11","00:01:40:18","[온 힘을 다해 울부짖으며]
으아!"
"11","00:01:40:20","00:01:45:14","[거센 폭풍우와 파도 소리]"
"12","00:01:49:20","00:01:51:02","[영어로 이야기한다]"
"13","00:01:51:05","00:01:52:02","(김휘)
제임스!"
"14","00:01:52:11","00:01:53:13","[다급하게]
제임스! 제임스!"
"15","00:01:54:14","00:01:55:24","[영어로]
이것 좀 보세요"
"16","00:01:56:01","00:01:57:07","뭔가 이상해요"
"17","00:01:57:11","00:01:58:13","[제임스 영어로]
세상에!"
"18","00:01:58:16","00:02:00:03","[영어로]
내가 왜 농담을 합니까?
[경보음]"
"19","00:02:00:05","00:02:01:07","[김휘 영어로]
내 말 들으세요!"
"20","00:02:01:18","00:02:03:13","[영어로]
사람들을 높은 곳으로
대피시켜요, 알겠습니까?"
"21","00:02:03:15","00:02:04:16","쓰나미라고요!"
"22","00:02:04:18","00:02:08:06","[긴박한 효과음]
[거친 폭풍우와 헬기 소리]"
"23","00:02:14:11","00:02:15:16","[헬기 조종사 영어로 교신]"
"24","00:02:16:13","00:02:17:20","발견했어요?"
"25","00:02:18:13","00:02:19:21","억조호 맞지예?"
"26","00:02:20:00","00:02:20:23","(할머니)
아이고... 아이고"
"27","00:02:21:00","00:02:22:02","[억조 단호하게]
확실하지예?"
"28","00:02:23:02","00:02:25:02","우쨌든에 꼭 살려야 됩니데이!"
"29","00:02:25:04","00:02:26:17","[연희 흐느끼는 소리]
(억조)
예!"
"30","00:02:27:04","00:02:28:18","[탁!]
찾았어예?"
"31","00:02:29:01","00:02:30:10","우리 아부지 찾았어예?"
"32","00:02:30:12","00:02:32:09","연희야... 찾았다!"
"33","00:02:32:19","00:02:33:23","[연희의 울먹이는 소리]
(억조)
걱정하지 마라!"
"34","00:02:34:15","00:02:35:12","여러분!"
"35","00:02:35:17","00:02:37:01","억조호를 찾았답니다!
[감동적인 음악]"
"36","00:02:37:03","00:02:40:19","[안심하는 사람들의 환호]"
"37","00:02:41:17","00:02:42:18","[헬기 소리]"
"38","00:02:42:20","00:02:44:03","[구조대원 영어로]
문제가 생겼다"
"39","00:02:44:08","00:02:47:09","3시 방향에 거대한 파도가
몰려오고 있다, 오버!"
"40","00:02:47:12","00:02:48:18","[영어로]
시간 얼마나 있나?"
"41","00:02:49:16","00:02:50:18","[구조대원 영어로]
5분 정도다"
"42","00:02:50:20","00:02:53:22","상황이 나빠지면 임무를 중단하고
빠져나와라, 오버!"
"43","00:02:54:17","00:02:56:16","[헬기 조종사 영어로]
서둘러, 잭!
쓰나미가 왔어"
"44","00:02:57:07","00:02:58:15","빨리! 서두르라고!"
"45","00:02:58:18","00:02:59:18","[구조대원 영어로]
알았어, 올라간다"
"46","00:03:00:03","00:03:01:11","얼마나 가까이 왔나?"
"47","00:03:02:21","00:03:05:00","[헬기 조종사 영어로]
2분 후면 여길 덮칠 거야
가자!"
"48","00:03:05:02","00:03:09:00","[영어로 서두르는 고함]"
"49","00:03:09:10","00:03:12:17","[선원들 울부짖는 소리]
개새끼야, 빨리 가자!
개새끼야!"
"50","00:03:13:11","00:03:14:06","[체념한 듯]
만식아..."
"51","00:03:15:02","00:03:16:04","이제 됐다"
"52","00:03:16:16","00:03:18:17","[울부짖으며]
아입니다, 아입니다!"
"53","00:03:19:11","00:03:21:09","뭐 하냐, 이 개새끼들아
일로 안 오나..."
"54","00:03:22:16","00:03:23:13","[힘쓰는 만식의 신음]"
"55","00:03:23:15","00:03:24:19","[힘겹게]
만식아..."
"56","00:03:25:12","00:03:26:18","예, 아저씨"
"57","00:03:27:23","00:03:29:02","[연희 부의 힘겨운 호흡]"
"58","00:03:29:16","00:03:32:24","[나지막한 소리로]
우리 연희 잘 좀 부탁한데이"
"59","00:03:33:11","00:03:35:03","(만식)
그런 말 하지 마이소!"
"60","00:03:36:01","00:03:38:12","[울먹이며]
제가 금방 구해드릴 테니까..."
"61","00:03:39:00","00:03:40:16","끝까지 내 말 안 들을 기가?"
"62","00:03:40:23","00:03:42:24","(연희 부)
빨리 가라, 이 새끼야
[울부짖는 만식]"
"63","00:03:43:01","00:03:45:06","[구조대원이 소리 지른다]
[만식의 울먹임]"
"64","00:03:45:15","00:03:47:21","(만식)
이거 놔라! 이거 못 놔!"
"65","00:03:48:07","00:03:50:08","[만식 울부짖으며]
아저씨!"
"66","00:03:50:10","00:03:52:00","아저씨!"
"67","00:03:53:05","00:03:54:11","[구조대원의 고함]"
"68","00:03:54:14","00:03:57:02","[긴박한 음악]
[헬기 소리 계속]"
"69","00:03:59:15","00:04:01:07","아저씨!"
"70","00:04:02:09","00:04:04:04","(만식)
아저씨..."
"71","00:04:05:12","00:04:09:03","[천둥, 번개, 폭풍우 소리]
(만식)
안 돼, 아저씨!"
"72","00:04:09:20","00:04:13:01","아저씨!"
"73","00:04:19:07","00:04:21:10","[뉴스 속 앵커]
동남아 일대에
최악의 지진이 일어나"
"74","00:04:21:22","00:04:24:17","사망, 실종자가
수천 명을 헤아리고 있습니다"
"75","00:04:25:00","00:04:26:23","먼저 조성원 기자가 보도합니다"
"76","00:04:27:20","00:04:30:24","[뉴스 속 소음]
(기자)
거센 파도가 해안을 휩쓸고 들어오자"
"77","00:04:31:01","00:04:32:08","급히 몸을 피합니다"
"78","00:04:33:01","00:04:36:12","해일이 쓸고 지나간 해안은
폐허와 주검만이 남았습니다"
"79","00:04:37:00","00:04:38:23","인도네시아 수마트라섬 인근에서"
"80","00:04:39:00","00:04:42:02","리히터 규모 8.9의
강진이 발생했습니다"
"81","00:04:42:18","00:04:44:14","그 여파로 일어난 거대한 해일은"
"82","00:04:44:18","00:04:47:13","인도와 스리랑카
인도네시아, 태국 등지에..."
"83","00:04:47:15","00:04:52:14","[뉴스 소리 계속]
[울부짖으며]
아버지..."
"84","00:04:53:23","00:04:55:24","[연희의 오열]"
"85","00:05:08:18","00:05:11:17","[신나는 음악]"
"86","00:05:23:04","00:05:25:08","[물장난하는 사람들의 비명]"
"87","00:05:44:03","00:05:44:24","[구호]"
"88","00:05:48:04","00:05:52:22","[뉴스 속 앵커]
그동안 일본의 강진은 주로
열도 동쪽에서 많이 발생했지만"
"89","00:05:52:24","00:05:54:07","최근엔 열도의 서쪽"
"90","00:05:54:10","00:05:58:07","그러니까 우리 동해와 맞닿는 쪽에서
자주 일어나고 있습니다
[징징대는 승현]"
"91","00:05:58:16","00:06:01:10","[뉴스 소리 계속]
자, 됐다!
우리 승현이 노래 시작!"
"92","00:06:01:16","00:06:03:10","하나, 둘, 셋, 넷!"
"93","00:06:03:17","00:06:06:08","♪ 노는 게 제일 좋아 ♪"
"94","00:06:06:10","00:06:09:17","[만식의 박수]
(승현)
♪ 친구들 모여라 ♪"
"95","00:06:09:19","00:06:11:05","[웃으며]
아이고, 잘한다, 우리 승현이"
"96","00:06:11:07","00:06:13:16","♪ 언제나 즐거워 ♪"
"97","00:06:13:18","00:06:15:09","[승현의 노래 계속]
누나, 밥 좀 도"
"98","00:06:15:11","00:06:17:08","[노래 부르다 말고]
삼촌!"
"99","00:06:17:10","00:06:18:12","승현아~"
"100","00:06:18:24","00:06:20:02","[탁!]"
"101","00:06:20:04","00:06:23:17","[승현의 울음]
[만식의 웃음]"
"102","00:06:24:08","00:06:26:05","어휴
[승현의 울음 계속]"
"103","00:06:26:07","00:06:28:12","[형식의 한숨]
[만식 웃으며]
뭐 하노, 안 할게!"
"104","00:06:28:14","00:06:29:21","그래 살살 때려가 되나?"
"105","00:06:29:23","00:06:32:09","승현아, 안 할게, 안 할게!"
"106","00:06:32:11","00:06:33:17","- (만식) 안 할게, 안 할게
- 연희 누나는?"
"107","00:06:33:19","00:06:35:07","(만식)
안 할게... 배달, 배달"
"108","00:06:35:11","00:06:36:16","[징징대는 승현]"
"109","00:06:36:19","00:06:38:15","약속! 약속, 약속..."
"110","00:06:38:17","00:06:39:19","[당황해 떠드는 상렬]
(만식)
응?"
"111","00:06:39:21","00:06:40:22","야야야, 큰일 났다, 큰일, 큰일"
"112","00:06:40:24","00:06:42:04","- (상렬) 나와봐, 나와봐, 나와봐
- (만식) 어?"
"113","00:06:42:11","00:06:44:05","에이씨, 연희, 인마
연희, 연희!"
"114","00:06:44:09","00:06:45:04","(만식)
연희가 와?"
"115","00:06:45:08","00:06:47:00","아이씨, 일단 나와봐라
빨리 좀!"
"116","00:06:47:07","00:06:49:11","- (만식) 아, 나 진짜
- (상렬) 빨리 나온나, 온나
[팅!]"
"117","00:06:49:24","00:06:51:24","[목 놓아 우는 승현]"
"118","00:06:53:00","00:06:54:03","[쾅!]"
"119","00:06:54:05","00:06:56:07","- 나가 하지 마라캤지! 으이?
- 하지 마라캤지"
"120","00:06:56:09","00:06:58:17","- (동춘) 에헤...
- 분명히 하지 말라캤지!
[계속 말리는 동춘]"
"121","00:06:58:19","00:07:00:17","(금련)
아 좀, 비기 봐라 좀!"
"122","00:07:00:20","00:07:03:13","아이, 버젓이 장시하는
넘의 횟집 앞에서"
"123","00:07:03:15","00:07:06:10","이, 생선 파는 이런
빌어 처먹을 년이 세상천지 어디 있노
[동춘 말리는 소리]"
"124","00:07:06:12","00:07:08:05","- 여기 안 되지, 그라믄
- (금련) 어이?"
"125","00:07:08:07","00:07:09:23","에이, 고만!
가시나야, 니 뭐 하노?"
"126","00:07:10:00","00:07:11:01","빨리 사과 안 하고!"
"127","00:07:11:05","00:07:12:24","- 빨리!
- 할 말 없제! 할 말 있나?"
"128","00:07:13:01","00:07:14:01","할 말 없지"
"129","00:07:14:03","00:07:15:05","(금련)
할 말 있으면 어디 해봐라
이놈의 가시나야!"
"130","00:07:15:08","00:07:16:04","(동춘)
해봐라"
"131","00:07:16:06","00:07:18:15","(금련)
하이튼 간에
애미, 애비 없는 것들은"
"132","00:07:18:18","00:07:19:23","꼭 표시를 내고 댕긴다"
"133","00:07:20:00","00:07:21:22","표시를 내고 댕기고
그런 건 아이지~"
"134","00:07:22:12","00:07:25:04","이년이 어데 눈깔을
똑바로 뜨고 째려보노!
[휙!]"
"135","00:07:25:06","00:07:26:14","- (금련) 이놈의 가시나야
- 가시나, 이, 진짜"
"136","00:07:26:16","00:07:28:24","- 내가 뭐 틀린 말 했나? 어?
- 에이, 에이..."
"137","00:07:29:01","00:07:30:10","- 지가 은제 티 내고 댕겼써예?
- (동춘) 씁!"
"138","00:07:30:12","00:07:31:23","이놈의 가시나가 지금 뭐라...
[퍽!]"
"139","00:07:32:00","00:07:32:22","(금련)
뭐 어째?"
"140","00:07:32:24","00:07:36:07","그라고 어무이가 우리 엄마, 아부지
죽을 때 뭐 보태준 거 있쓰예?"
"141","00:07:36:20","00:07:37:16","(금련)
뭐라?"
"142","00:07:38:03","00:07:40:16","뭐 우째? 이 빌어먹을 년이
그래도 정신을 몬 차리고..."
"143","00:07:40:18","00:07:41:14","(동춘)
에헤, 에!"
"144","00:07:41:16","00:07:42:23","(금련)
이년, 이년...
[연희의 신음]"
"145","00:07:43:06","00:07:45:05","[동춘 말리는 소리]
아! 아, 꺼지라"
"146","00:07:45:07","00:07:46:09","[퍽!]
(만식)
와 이라능교"
"147","00:07:47:05","00:07:48:14","느 와 이라노, 어이?"
"148","00:07:48:16","00:07:49:12","- (금련) 야, 이놈아!
- 아야!"
"149","00:07:49:23","00:07:52:09","니가 이년한테 여기서 장시해도
괘안타고 시켰나?
[동춘의 신음]"
"150","00:07:52:20","00:07:54:00","- (금련) 어?
- (동춘) 너 뭐야, 이 새..."
"151","00:07:54:16","00:07:57:00","야, 이 등신, 도다리 같은 놈
이노무 자슥"
"152","00:07:57:11","00:07:59:14","니가 상가 번영회
회장이라카는 놈이"
"153","00:08:00:02","00:08:01:17","상가 사람들은 내 몰라라카고
[상렬의 한숨]"
"154","00:08:02:01","00:08:04:01","으이? 허구한 날
이년만 싸고도니께"
"155","00:08:04:03","00:08:06:14","이년이 아래웃대가리 없이
이래 막 설친다 아이가"
"156","00:08:06:16","00:08:08:01","엄마, 그게 아이고요"
"157","00:08:08:03","00:08:09:18","아이기는 뭐시 아니라!"
"158","00:08:09:20","00:08:11:04","내 인제 도저히 몬 참는다!
[만식의 한숨]"
"159","00:08:11:07","00:08:12:10","니 오늘 니 죽고..."
"160","00:08:12:12","00:08:13:14","(만식)
에헤! 엄마, 엄마"
"161","00:08:13:16","00:08:14:18","(상렬)
엄마, 엄마, 일로..."
"162","00:08:14:20","00:08:16:07","(만식)
아, 에헤!
[상렬 말리는 소리]"
"163","00:08:16:11","00:08:17:23","- 엄마!
- 아, 진짜"
"164","00:08:18:02","00:08:19:01","- (만식) 엄마!
- (동춘) 앉아"
"165","00:08:19:07","00:08:21:04","- 와 이라요, 진짜
- 전부 앉아!"
"166","00:08:22:17","00:08:23:21","[구슬픈 음악]
(만식)
그니까 오빠야가"
"167","00:08:23:24","00:08:26:05","상가 쪽에는 드가지 마라 했잖아"
"168","00:08:26:15","00:08:29:15","상가 사람들 두 눈 시뻘겋게 뜨고
치다보고 있는데"
"169","00:08:30:17","00:08:33:00","니가 그기서 장사하믄
내 얼굴이 우째 되노"
"170","00:08:34:23","00:08:37:22","아무튼 이유야 어찌 됐든
어른한테 그라는 거는..."
"171","00:08:38:00","00:08:40:00","으른이면 으른답게
행동해야 되는 거 아이가"
"172","00:08:40:10","00:08:42:19","아니... 그거는 맞는데"
"173","00:08:43:12","00:08:46:03","그래도 오빠야가 아무리
니 편의를 봐줄라 해도"
"174","00:08:46:05","00:08:48:09","누가 언제 내 편의 봐달라캤나!"
"175","00:08:49:15","00:08:50:24","아, 봐달라 한 건 아닌데..."
"176","00:08:56:00","00:08:57:11","아, 가스나, 씨..."
"177","00:09:00:07","00:09:01:10","(연희)
안녕하세요"
"178","00:09:01:18","00:09:02:14","(억조)
어어"
"179","00:09:04:01","00:09:05:09","의원님도 아시겠지마는"
"180","00:09:05:14","00:09:08:05","해운대 카믄 이기
세계적인 휴양지 아닙니까?"
"181","00:09:08:15","00:09:11:13","그 해운대에 제대로 된 쇼핑센터
하나 없다카는 게 이게..."
"182","00:09:11:15","00:09:12:12","(만식)
쳇..."
"183","00:09:14:05","00:09:15:15","[만식 침 뱉는 소리]"
"184","00:09:15:18","00:09:17:09","(억조)
하나 없다카는 게
말이 돼, 안 돼, 어디"
"185","00:09:18:01","00:09:19:11","그라니께 의원님이 잘..."
