No.,Timecode In,Timecode Out,Subtitle
"1","00:01:07:18","00:01:09:24","[펄럭거리는 소리가 들린다]
[발소리가 들린다]"
"2","00:01:12:13","00:01:14:12","[힘주는 신음이 들린다]
[긴장되는 음악]"
"3","00:01:15:23","00:01:17:15","(캐스터)
자, 유효 하나씩을 주고받은 두 선수"
"4","00:01:17:17","00:01:20:08","결승전답게 분위기가 아주 팽팽합니다
[두영의 거친 숨소리]"
"5","00:01:20:15","00:01:21:18","자, 신경전인데요, 이게"
"6","00:01:21:23","00:01:23:11","초반에 서로의 컨디션을
[다마다와 두영의 힘주는 신음]"
"7","00:01:23:13","00:01:25:09","확인해 볼 수 있는 그런 움직임이죠
[수현의 초조한 숨소리]"
"8","00:01:25:15","00:01:28:00","[수감자들이 소란스럽다]"
"9","00:01:28:24","00:01:30:16","(수감자1)
잘 빠졌다
[수감자2의 웃음]"
"10","00:01:30:18","00:01:32:03","(캐스터)
말씀드린 순간 고두영 선수"
"11","00:01:32:05","00:01:33:15","발 기술 들어갑니다! 좋은 기술!
[두영의 힘주는 신음]"
"12","00:01:33:17","00:01:35:11","(해설자1)
고두영 선수 안 뒤축 감아 치기"
"13","00:01:35:13","00:01:37:14","네, 좋아요, 딱 걸렸습니다
좋은 시도입니다
[선수들의 환호]"
"14","00:01:37:17","00:01:40:06","(캐스터)
유효를 하나 추가하고 있는
고두영 선수입니다"
"15","00:01:45:22","00:01:47:07","(캐스터)
고두영 선수 밀리면 안 될 텐데요"
"16","00:01:47:09","00:01:49:20","지금 다마다가 상당히 거세게
밀어붙이고 있습니다
[다마다의 힘주는 신음]"
"17","00:01:49:22","00:01:51:19","- (해설자1) 그렇죠, 네, 아, 위험해요
- (캐스터) 잡혔습니다, 잡혔어요"
"18","00:01:51:21","00:01:52:23","(해설자1)
위험해요! 아!
[수현의 탄식]"
"19","00:01:53:00","00:01:54:12","(캐스터)
절반을 뺏기고 마는 고두영 선수입니다"
"20","00:01:54:14","00:01:56:08","(해설자1)
네, 고두영 선수 빠져나와야 됩니다
[두영의 힘주는 신음]"
"21","00:01:56:10","00:01:58:05","[다마다의 힘주는 신음]
누르기까지 연결이 됐거든요
빠져나와야죠"
"22","00:01:58:07","00:01:59:11","(캐스터)
자, 빠져나와야 되는 고두영인데요"
"23","00:02:01:23","00:02:03:24","고두영 선수가
잡기에서 밀리면 안 되겠습니다
[두영의 힘주는 숨소리]"
"24","00:02:04:02","00:02:05:08","- (해설자1) 그렇죠, 네
- (캐스터) 자, 뿌리치고"
"25","00:02:05:10","00:02:06:17","(해설자1)
찬스를 잡았어요, 네
허벅다리 걸기!"
"26","00:02:06:19","00:02:08:04","- (캐스터) 걸었어요
- (해설자1) 좋습니다, 좋아요"
"27","00:02:08:06","00:02:09:09","[다마다의 괴성]
[캐스터의 당황한 신음]"
"28","00:02:11:08","00:02:12:05","[쿵 하는 효과음]"
"29","00:02:12:16","00:02:15:02","[정적이 흐르는 효과음]"
"30","00:02:17:11","00:02:18:11","[콜록거린다]"
"31","00:02:18:18","00:02:20:19","[어두운 음악]"
"32","00:02:22:18","00:02:24:12","[힘겨운 신음]"
"33","00:02:39:14","00:02:40:18","두영아"
"34","00:02:50:02","00:02:52:05","(의사1)
시신경이 크게 손상되었습니다"
"35","00:02:53:01","00:02:56:18","시신경 손상은 이식이나
그 어떤 치료도 불가능하고요"
"36","00:02:57:17","00:02:58:13","[수현의 한숨]"
"37","00:02:58:15","00:03:01:19","안타깝지만 시력을 완전히 잃었습니다"
