No.,Timecode In,Timecode Out,Subtitle
"1","00:01:08:22","00:01:11:05","[무거운 음악]"
"2","00:01:23:04","00:01:25:08","[소란스럽다]"
"3","00:01:30:15","00:01:33:08","[정겨운 음악이 흘러나온다]"
"4","00:01:44:14","00:01:46:01","(학생1)
38선이 웬 말이냐!"
"5","00:01:46:03","00:01:48:04","통일만이 살길이다!"
"6","00:01:48:06","00:01:50:13","(학생2)
통일만이 살길입니다, 여러분!"
"7","00:01:50:15","00:01:52:19","(학생1)
38선이 웬 말이냐!"
"8","00:01:52:21","00:01:54:22","통일만이 살길이다!"
"9","00:01:54:24","00:01:57:07","(학생들)
통일만이 살길이다!"
"10","00:01:58:01","00:02:00:01","[학생들이 계속 구호를 외친다]"
"11","00:02:53:05","00:02:56:00","[대화 소리가 들린다]"
"12","00:03:00:23","00:03:03:02","(은표)
1차 북송 포로 정리 명단입니다"
"13","00:03:03:04","00:03:05:12","거제도 포로수용소도
최종 확인만 하면 됩니다"
"14","00:03:10:11","00:03:11:19",""애록 고지""
"15","00:03:14:09","00:03:18:23","[영어]
이 선처럼 군사 분계선은
다시 그어져야 합니다"
"16","00:03:19:15","00:03:23:04","(연합군 대표)
0.5킬로미터
지도로는 1센티미터 위가 맞습니다"
"17","00:03:26:10","00:03:29:02","3일 전 남한 측이
애록 고지를 점령했습니다"
"18","00:03:31:10","00:03:32:06","[한국어]
길쎄"
"19","00:03:33:12","00:03:35:12","거기는 우리 군이 장악했고"
"20","00:03:40:09","00:03:41:20","(북한군 대표)
선이 틀렸다니까"
"21","00:03:51:06","00:03:52:02","[연필을 탁 내려놓는다]"
"22","00:03:53:02","00:03:54:17","[영어]
그렇게 계속 우길 거면"
"23","00:03:55:03","00:03:57:22","전장을 돌며 확인해 보면
될 거 아니오"
"24","00:03:58:02","00:03:59:19","[속삭인다]"
"25","00:04:03:23","00:04:04:19","[한숨]"
"26","00:04:05:19","00:04:06:15","장군님"
"27","00:04:08:14","00:04:12:17","어제 애록 고지가
북한 측에 넘어갔다고 합니다"
"28","00:04:18:15","00:04:19:17","[한국어]
또 결렬되겠군"
"29","00:04:21:02","00:04:21:23","(최 대령)
강 중위"
"30","00:04:22:03","00:04:23:20","휴전되면 바로 전역이지?"
"31","00:04:25:06","00:04:27:24","(은표)
그 휴전 얘기 나온 지가
벌써 1년 반입니다"
"32","00:04:28:13","00:04:30:05","(최 대령)
아, 그러게"
"33","00:04:31:03","00:04:31:24","너"
"34","00:04:32:15","00:04:35:05","회담 마무리될 동안만
조사부에 가 있어"
"35","00:04:35:19","00:04:38:00","곧 전출 명령 내려올 거야"
"36","00:04:38:19","00:04:39:15","(은표)
예?"
"37","00:04:40:18","00:04:41:16","거긴 싫습니다"
"38","00:04:41:24","00:04:42:23","(최 대령)
어쩔 수 없어"
"39","00:04:43:20","00:04:45:19","요즘 그쪽에 인원이 부족해서 난리야"
"40","00:04:46:14","00:04:47:24","뭐, 어차피 전쟁 끝나면"
"41","00:04:48:07","00:04:50:03","남쪽에 남아 있는 부역자들, 빨갱이들"
"42","00:04:50:12","00:04:52:13","다 색출하고 숙청해야 돼"
"43","00:04:53:00","00:04:54:22","(은표)
그 사람들 다 빨갱이 아닙니다"
"44","00:04:55:14","00:04:57:01","그중엔 억울한 사람도 많습니다"
"45","00:04:57:03","00:04:57:24","(최 대령)
강 중위"
"46","00:04:58:24","00:05:00:18","입조심해
[주변이 시끌시끌하다]"
"47","00:05:00:21","00:05:02:09","(은표)
아니, 아무것도 모르고, 응?"
"48","00:05:02:11","00:05:05:14","총 든 놈이 밥 달라니까 밥 주고
물 달라니까 물 주고"
"49","00:05:05:22","00:05:07:09","그런 민간인들 많습니다"
"50","00:05:07:16","00:05:08:13","- (최 대령) 물론...
- 그게 어떻게"
"51","00:05:08:16","00:05:10:07","빨갱이고 공산주의자입니까?"
"52","00:05:11:02","00:05:12:18","(최 대령)
그래도 여기서 청산하고 가야 돼"
"53","00:05:12:20","00:05:14:21","안 그러면 대한민국 단결이 안 돼"
"54","00:05:15:02","00:05:16:24","뭐, 다소 희생이 따르더라도"
"55","00:05:17:01","00:05:17:22","[은표의 한숨]"
"56","00:05:18:05","00:05:20:04","(은표)
친일파도 그렇게 청산했으면
참 좋았을 텐데"
"57","00:05:20:06","00:05:21:12","(최 대령)
[놀라며]
너 이 새끼!"
"58","00:05:24:24","00:05:25:22","[카메라 셔터음]"
"59","00:05:27:05","00:05:28:07","[깊은 한숨]"
"60","00:05:29:23","00:05:32:08","(최 대령)
어휴, 너 때문에 미치겠다"
"61","00:05:33:14","00:05:36:03","이건 일반 장교가 말실수한 거랑
상황이 달라"
"62","00:05:37:16","00:05:39:01","너 방첩대 장교야!"
"63","00:05:43:06","00:05:44:07","도대체 왜 그랬어?"
"64","00:05:46:19","00:05:47:17","영창 갑니까?"
"65","00:05:47:22","00:05:48:18",""특무부대장 대령""
"66","00:05:48:20","00:05:50:08","회담 끝날 때까지 그것도 못 참아?"
"67","00:05:50:21","00:05:52:14","우리 방첩대에 군기 문란은 없어"
"68","00:05:52:23","00:05:53:24","있어서도 안 되고"
"69","00:05:58:09","00:05:59:14","너 영창 못 보내"
"70","00:06:02:24","00:06:04:01","동부 전선으로 가"
"71","00:06:07:07","00:06:08:18","동부 전선요?"
"72","00:06:09:06","00:06:10:09",""경상남도 김해읍 내룡리 573
김희복 귀하""
"73","00:06:11:05","00:06:12:05","가서 이거 수사해 와"
"74","00:06:15:05","00:06:17:12","(은표)
'어머니, 보고 싶은 어머니'"
"75","00:06:17:14","00:06:19:24","'휴전이 된다고 한 지가
2년이 넘었는데'"
"76","00:06:20:01","00:06:22:13","'휴전될 기미는 전혀 보이지 않고'"
"77","00:06:22:24","00:06:25:24","'매일매일 많은 인민군'"
"78","00:06:26:01","00:06:28:05","'동무들이 죽어 나가고 있...'
[의미심장한 음악]"
"79","00:06:28:07","00:06:29:06","[편지를 부스럭거린다]"
"80","00:06:29:08","00:06:31:05","이건 인민군 편지 아닙니까?"
"81","00:06:31:10","00:06:32:06","(최 대령)
그래"
"82","00:06:33:04","00:06:36:20","그거 일주일 전에 천안에 사는
오숙자라는 여자가 받은 건데"
"83","00:06:38:07","00:06:40:05","아군 군사 우편으로 받았어"
"84","00:06:42:21","00:06:45:03","(은표)
아니, 인민군이 어떻게
아군 군사 우편으로..."
"85","00:06:45:05","00:06:47:02","(최 대령)
전선에 내통자가 있다는 거지"
"86","00:06:48:03","00:06:50:05","더구나 그 편지 악어 중대에서 나왔어"
"87","00:06:50:13","00:06:52:13","(은표)
악어 중대라면 얼마 전"
"88","00:06:52:24","00:06:55:03","북쪽에 고지를 빼앗긴..."
"89","00:06:55:05","00:06:56:01","(최 대령)
그래"
"90","00:06:56:08","00:06:59:12","개새끼들, 그냥 싹 다 소환해 가지고
족쳤으면 좋겠는데"
"91","00:07:00:07","00:07:02:13","꼴에 전쟁 영웅에다가"
"92","00:07:02:23","00:07:06:13","또 그 고지가 휴전 회담에
워낙 중요해서 그러지도 못해"
"93","00:07:09:12","00:07:10:22","근데 최근에"
"94","00:07:11:19","00:07:13:22","악어 중대 중대장 기철진이가 죽었어"
"95","00:07:14:21","00:07:17:03","뭐, '전투 중 전사'라고
보고는 올라왔는데"
"96","00:07:17:14","00:07:18:17","이상한 건"
"97","00:07:20:04","00:07:22:04","누군가 바로 옆에서 총을 갈겼는데"
"98","00:07:22:24","00:07:25:17","사용된 권총이 아군 지휘관용이야"
"99","00:07:27:03","00:07:28:15","아무래도 뒤가 구리지 않아?"
"100","00:07:30:23","00:07:33:21","곧 신임 중대장 출발할 거니까 같이 가"
"101","00:07:34:05","00:07:35:13","[한숨]"
"102","00:07:37:00","00:07:37:22","고맙습니다"
"103","00:07:38:14","00:07:40:21","가 봐라, 그런 소리 나오는지"
"104","00:07:45:19","00:07:46:15","(최 대령)
아참"
"105","00:07:48:00","00:07:49:10","혹시 김수혁이라고 알아?"
"106","00:07:50:06","00:07:51:22","예전에 강 중위 소대원이었던"
"107","00:07:52:02","00:07:54:06","예, 대학 친구입니다"
"108","00:07:55:16","00:07:57:10","전쟁 중에 실종됐습니다"
"109","00:07:57:19","00:07:58:15","아니야"
"110","00:08:00:12","00:08:02:04","그 친구 악어 중대에 있다는데?"
"111","00:08:05:05","00:08:06:11","살아 있습니까?"
"112","00:08:07:10","00:08:08:24","[총성이 요란하다]
[수혁이 중얼거린다]"
"113","00:08:09:01","00:08:10:03","[대포 발사음]
[소대원1의 아파하는 신음]"
"114","00:08:10:05","00:08:12:03","[계속 중얼거린다]"
"115","00:08:12:06","00:08:13:01","[소대원2의 비명]"
"116","00:08:13:03","00:08:15:21","[총성이 연신 울린다]"
"117","00:08:20:06","00:08:21:07","[소대원3의 비명]
[대포 발사음]"
"118","00:08:21:09","00:08:23:00","- (은표) 수혁아!
- 은표, 은표 어디 있어!"
"119","00:08:23:02","00:08:24:20","[대포 발사음]"
"120","00:08:24:23","00:08:26:11","- (은표) 수혁아!
- (소대원4) 수혁아!"
"121","00:08:26:18","00:08:28:11","[소대원4가 다급하게 외친다]"
"122","00:08:28:13","00:08:30:09","[소대원5의 비명]"
"123","00:08:30:11","00:08:31:07","(은표)
수혁아, 괜찮아?"
"124","00:08:31:16","00:08:32:15","정신 차려, 어?"
"125","00:08:32:18","00:08:34:13","은표야, 나 좀 살려 줘!"
"126","00:08:35:04","00:08:36:20","(은표)
살고 싶으면 일어나, 알았지?"
"127","00:08:36:22","00:08:37:24","[대포 발사음]
[소대원5의 비명]"
"128","00:08:38:01","00:08:38:22","가자"
"129","00:08:38:24","00:08:41:10","(소대원4)
뒤돌아보지 말고 어서 퇴각해!"
"130","00:08:41:13","00:08:42:08","[소대원6의 비명]"
"131","00:08:42:10","00:08:45:04","[대포 발사음]
[총성이 연신 울린다]"
"132","00:08:45:08","00:08:47:17","- (은표) 수혁아, 일어나
- (수혁) 은표야, 살려 줘
[은표의 힘주는 신음]"
"133","00:08:47:19","00:08:49:18","[대포 발사음]
[수혁과 은표의 비명]"
"134","00:08:53:11","00:08:55:24","[수혁과 은표의 가쁜 숨소리]"
"135","00:08:56:01","00:08:57:01","[은표의 힘겨운 신음]"
"136","00:08:57:04","00:08:58:06","(인민군1)
빨리빨리 가라우!"
"137","00:08:58:08","00:08:59:04","[총성이 울린다]"
"138","00:08:59:06","00:09:00:19","(인민군2)
앉으라우!
[수혁의 힘겨운 숨소리]"
"139","00:09:01:09","00:09:03:01","(소대원7)
소대장님
[인민군1이 소리친다]"
"140","00:09:03:03","00:09:04:24","[은표의 한숨]
[총성이 들린다]"
"141","00:09:05:08","00:09:06:04","(인민군3)
꿇으라우!"
"142","00:09:07:01","00:09:07:23","[총성이 울린다]"
"143","00:09:08:23","00:09:09:18","(인민군 장교)
일어나라우"
"144","00:09:11:11","00:09:12:07","일어나라!"
"145","00:09:12:20","00:09:15:03","[소대원들이 웅성거린다]"
"146","00:09:15:05","00:09:16:04","(인민군 장교)
일어나라우!"
"147","00:09:17:04","00:09:19:07","[수혁이 울먹인다]"
"148","00:09:19:09","00:09:20:11","전부 뒤돌으라우"
"149","00:09:20:13","00:09:21:24","[수혁이 계속 울먹인다]"
"150","00:09:22:01","00:09:23:01","전부 뒤돌아!"
"151","00:09:25:03","00:09:26:23","빨리빨리 움직여!
[소대원8의 힘겨운 신음]"
"152","00:09:31:01","00:09:33:12","[수혁의 겁먹은 신음]"
"153","00:09:33:14","00:09:34:24","[총성이 연신 울린다]"
"154","00:09:38:23","00:09:40:22","(정윤)
어리바리들
[수혁의 겁먹은 신음]"
"155","00:09:40:24","00:09:44:10","너들이 와 전쟁에서 지는 줄 아니, 응?
[어두운 음악]"
"156","00:09:45:07","00:09:48:11","너들이 와 도망치기 바쁜 줄 알아?"
"157","00:09:48:13","00:09:51:09","[은표의 가쁜 숨소리]"
"158","00:09:52:00","00:09:52:21","[수혁의 힘겨운 신음]"
"159","00:09:56:02","00:09:56:23","기건"
"160","00:09:58:12","00:10:00:09","와 싸우는지를 모르기 때문이야"
"161","00:10:00:21","00:10:02:10","[가쁜 숨소리]"
"162","00:10:06:07","00:10:09:00","이 전쟁 일주일이면 끝난다"
"163","00:10:09:17","00:10:10:14","전쟁이 끝나면"
"164","00:10:11:07","00:10:13:08","이 조국에 정말 필요한 건 너들이야"
"165","00:10:14:19","00:10:18:00","고향에 가서 조용히 숨어 있다가
전쟁이 끝나문"
