No.,Timecode In,Timecode Out,Subtitle
"1","00:00:34:07","00:00:37:12","[바람이 윙윙 분다]"
"2","00:00:49:05","00:00:51:03","[극적인 음악]"
"3","00:00:59:22","00:01:00:21","[노인의 겁먹은 숨소리]"
"4","00:01:03:14","00:01:04:17","[기합]"
"5","00:01:06:04","00:01:09:17","(노인)
네놈들이 내 목을 베러 왔구나"
"6","00:01:10:13","00:01:12:16","(의원1)
[겁먹은 목소리로]
아니, 목을 베다니요?"
"7","00:01:13:10","00:01:16:17","아, 소인들은 그저
약을 달이고 있었습니다요"
"8","00:01:16:19","00:01:17:17","(노인)
비켜라!"
"9","00:01:18:18","00:01:21:19","내 분명히 그놈 목소리를 들었다"
"10","00:01:25:09","00:01:26:14","[노인의 거친 숨소리]"
"11","00:01:29:12","00:01:32:03","(의원1)
분부대로 군졸들을
두 배로 늘렸습니다요"
"12","00:01:32:12","00:01:33:08","[노인의 떨리는 숨소리]"
"13","00:01:33:10","00:01:36:11","누가 감히 대감을
해할 수 있단 말입니까?"
"14","00:01:36:19","00:01:39:07","이 나라 최고 권세가인 대감을요"
"15","00:01:39:09","00:01:41:01","[바람이 계속 윙윙 분다]"
"16","00:01:45:10","00:01:46:24","(노인)
권세는 무슨"
"17","00:01:48:22","00:01:50:07","아무것도 없네"
"18","00:01:51:00","00:01:52:20","아무것도 없어"
"19","00:01:53:15","00:01:57:03","마누라도 딸아이도 다 죽고"
"20","00:01:58:03","00:02:02:09","내게는 아무것도 남지 않았네"
"21","00:02:04:19","00:02:07:20","(의원2)
아, 그래도 전하께서
친히 약도 내리시고"
"22","00:02:08:08","00:02:11:12","저기 의자와 지팡이도
이번에 하사하신 것 아닙니까요?"
"23","00:02:12:06","00:02:15:00","(노인)
그러니 방비를 해야지"
"24","00:02:15:10","00:02:17:01","이런 거 아무리 먹어 본들"
"25","00:02:17:15","00:02:20:02","내 목이 잘리면 무슨 소용 있겠나?"
"26","00:02:20:10","00:02:21:18","목이 잘리다니요?"
"27","00:02:22:01","00:02:24:05","어찌 그리 끔찍한 소리를 하십니까요?"
"28","00:02:25:24","00:02:28:23","내 끝이 좋지 않을 거라고 그랬네"
"29","00:02:29:17","00:02:31:15","목이 잘릴 상이라고 말이야"
"30","00:02:31:19","00:02:35:09","누가 감히 그런 험한 소리를
한다는 말입니까요?"
"31","00:02:36:01","00:02:37:03","있었네"
"32","00:02:38:02","00:02:39:00","[그릇을 탁 내려놓는다]"
"33","00:02:39:23","00:02:42:09","관상쟁이가 그랬어
[어두운 음악]"
"34","00:02:42:11","00:02:43:22","상학 말입니까?"
"35","00:02:44:07","00:02:45:23","그건 미신 아니옵니까?"
"36","00:02:46:16","00:02:49:03","자네들이 그를 보지 못해서
하는 말일세"
"37","00:02:49:20","00:02:53:08","그는 말일세, 모르는 게 없었네"
"38","00:02:54:23","00:02:56:22","얼굴을 한번 보기만 하면"
"39","00:02:58:05","00:03:02:02","그 사람의 전부를
다 알아내었다는 말일세"
"40","00:03:03:03","00:03:04:12","(노인)
그는 말일세"
"41","00:03:05:14","00:03:10:20","조선 최고의 관상쟁이였어"
"42","00:03:15:18","00:03:17:15","[우아한 음악]"
"43","00:03:27:03","00:03:30:06","(연홍)
이런 바닷가 촌구석에
어디 집이 있다는 게야?"
"44","00:03:31:10","00:03:34:11","(박 첨지)
분명히 이 근처에 있다고 했습니다요"
"45","00:03:35:12","00:03:36:13","[박 첨지의 당황한 신음]"
"46","00:03:37:11","00:03:39:04","[박 첨지의 헛기침]"
"47","00:03:42:13","00:03:43:09","[연홍의 힘겨운 숨소리]"
"48","00:03:43:17","00:03:46:13","(연홍)
어휴, 나 못 가, 못 가!"
"49","00:03:47:05","00:03:48:21","[연홍의 가쁜 숨소리]"
"50","00:04:00:23","00:04:02:09","[까마귀 울음]"
"51","00:04:03:14","00:04:04:13","(팽헌)
뭐야?"
"52","00:04:07:03","00:04:08:03","[헛웃음]"
"53","00:04:09:06","00:04:10:07","[박 첨지의 힘겨운 신음]"
"54","00:04:12:24","00:04:15:08","(박 첨지)
[말을 더듬으며]
여기다, 다, 다 왔습니다요"
"55","00:04:15:14","00:04:16:11","[박 첨지의 힘주는 신음]"
"56","00:04:16:13","00:04:17:10","[연홍의 한숨]"
"57","00:04:17:12","00:04:19:01","(박 첨지)
아이고, 아이고"
"58","00:04:19:03","00:04:20:03","[가쁜 숨을 내쉰다]"
"59","00:04:20:21","00:04:23:01","아이고, 무겁다, 무거워
[연홍의 기분 좋은 숨소리]"
"60","00:04:23:21","00:04:24:21","공기 좋네"
"61","00:04:27:07","00:04:28:07","경치 좋고"
"62","00:04:29:18","00:04:30:15","(팽헌)
뉘시오?"
"63","00:04:30:17","00:04:32:22","(박 첨지)
아, 소문 듣고 왔소만"
"64","00:04:33:08","00:04:36:16","여기, 그, 용한 관상쟁이가
있다고 해서"
"65","00:04:36:24","00:04:38:00","[팽헌의 다급한 숨소리]"
"66","00:04:39:14","00:04:40:10","뭣이오!"
"67","00:04:43:02","00:04:46:14","(팽헌)
아, 아, 삼촌이 얘기 안 했나? 어?"
"68","00:04:46:16","00:04:47:18","그, 저, 붓"
"69","00:04:47:20","00:04:49:08","어, 붓 사러 손님 오신다고, 어"
"70","00:04:49:16","00:04:51:13","뭐, 족제비 털 찾는다 그러지 않았소?"
"71","00:04:51:22","00:04:53:13","[까마귀 울음이 계속된다]"
"72","00:04:53:15","00:04:56:02","(박 첨지)
아, 뭐, 그, 그, 그런 거지"
"73","00:04:56:04","00:04:57:01","(팽헌)
어"
"74","00:04:58:06","00:04:59:06","[팽헌의 어색한 웃음]"
"75","00:04:59:10","00:05:00:17","(진형)
저는 장에 좀 다녀오겠습니다"
"76","00:05:01:00","00:05:02:04","(팽헌)
어, 어, 어, 그래"
"77","00:05:02:23","00:05:04:01","다녀오거라, 그, 천천히"
"78","00:05:04:09","00:05:05:18","느긋하게, 응"
"79","00:05:08:12","00:05:12:02","우리, 그, 조카 놈이 원래, 그, 이
관상, 뭐, 이런 걸 굉장히 싫어하오"
"80","00:05:12:09","00:05:13:21","이해들 하시고, 이쪽으로, 자"
"81","00:05:14:04","00:05:16:09","(박 첨지)
자, 가시죠, 들어가시죠"
"82","00:05:17:01","00:05:19:12","[문이 달그락 열린다]
[익살스러운 음악]"
"83","00:05:20:01","00:05:21:06","[웃으며]
일로"
"84","00:05:21:17","00:05:22:18","[문이 달그락 닫힌다]"
"85","00:05:24:08","00:05:27:12","(팽헌)
이게, 이게 족제비 꼬리요, 이게, 어
이게 아주 비싼 거, 이게"
"86","00:05:27:17","00:05:28:21","붓은 관심 없으시고?"
"87","00:05:29:12","00:05:30:19","아, 그, 형님"
"88","00:05:30:21","00:05:33:07","아휴, 이게 웃통을
이렇게 또 벗으셨어, 아이"
"89","00:05:33:16","00:05:36:07","그, 흠, 형님, 일어나시오
어? 일어나시오"
"90","00:05:37:03","00:05:39:14","형님, 형님, 일어나시오, 어?
[내경의 피곤한 신음]"
"91","00:05:39:16","00:05:40:14","(내경)
쑥떡이 맛있어"
"92","00:05:40:16","00:05:41:18","(팽헌)
쑥떡이 맛있... 거, 아유"
"93","00:05:41:21","00:05:43:13","[멋쩍게 웃으며]
그만 자십시다"
"94","00:05:43:15","00:05:45:12","잠꼬대요, 이해들 하시고"
"95","00:05:45:14","00:05:47:10","저, 우리 형님이 이래 봬도"
