No.,Timecode In,Timecode Out,Subtitle
"1","00:00:21:06","00:00:23:06","[닭 울음 효과음]
[흥미로운 음악]"
"2","00:00:36:07","00:00:37:21","[닭 울음 효과음]"
"3","00:00:43:16","00:00:45:05","[사이렌이 울린다]"
"4","00:00:52:14","00:00:54:07","[무전기 작동음]"
"5","00:00:54:09","00:00:56:15","(영호)
용의자 위치 조명 완료, 작전지 종둘"
"6","00:00:56:18","00:00:59:01","(장 형사)
작전 1조, 옥상 종셋, 장비 세팅"
"7","00:00:59:16","00:01:01:10","(영호)
작전 2조 위치 종셋"
"8","00:01:02:02","00:01:03:07","(장 형사)
레펠, 준비 완료"
"9","00:01:04:03","00:01:07:04","(고 반장)
모든 출구를 봉쇄하고
신호에 맞춰 일시에 진입한다"
"10","00:01:07:06","00:01:10:11","돌발 상황에 대비
안전에 만전을 기하도록 한다"
"11","00:01:11:02","00:01:14:15","쓰리, 투, 원, 하강"
"12","00:01:14:17","00:01:15:14","[무전기 작동음]"
"13","00:01:15:16","00:01:17:06","[로프가 쓱 풀린다]
[덜컹거리는 소리가 들린다]"
"14","00:01:21:19","00:01:22:19","[건달1이 숨을 후 내쉰다]"
"15","00:01:23:15","00:01:25:13","[흥겨운 음악이 흘러나온다]"
"16","00:01:27:03","00:01:28:00","[환동의 힘주는 신음]"
"17","00:01:29:08","00:01:32:01","니 새끼 어련해가 아직도 뽕 맞나?"
"18","00:01:32:03","00:01:35:19","건강 검진 받았다, 이 새끼야
소화가 안 돼 가지고"
"19","00:01:35:21","00:01:39:23","소화가 안 되면, 이 미친 새끼야
카베진을 무야지 뽕을 처맞노?"
"20","00:01:40:00","00:01:43:04","내 간접흡연하다 몸 베렸다
환기 좀 시켜라, 어?"
"21","00:01:43:06","00:01:46:18","야, 도박하는 애들이
패가망신으로 뒤지는 게 아니라"
"22","00:01:46:20","00:01:48:11","폐 질환으로 뒤지는 거야"
"23","00:01:48:13","00:01:51:11","(환동)
야, 저거 기능이 뭐야? 선풍기냐?"
"24","00:01:51:13","00:01:53:01","[장 형사의 힘겨운 신음]
[환풍기가 쿵 떨어진다]"
"25","00:01:53:03","00:01:55:10","[건달들의 놀란 신음]
(장 형사)
아유, 쌍, 어유, 씨발"
"26","00:01:56:00","00:01:57:22","[건달2의 못마땅한 신음]
(건달3)
뭐야, 저거?"
"27","00:01:57:24","00:01:59:01","[장 형사의 힘겨운 신음]"
"28","00:02:02:18","00:02:05:11","(건달2)
아씨, 놀라라, 뭐고, 이거?
[장 형사의 아파하는 신음]"
"29","00:02:05:13","00:02:07:13","[흥미로운 음악]
(장 형사)
아유, 쌍, 아유, 야, 어, 잠깐만"
"30","00:02:07:15","00:02:09:06","[장 형사가 중얼거린다]
(건달2)
청소 도구가 없네?"
"31","00:02:09:08","00:02:10:20","창문 때 벳기시는 분은 아니고
[장 형사의 힘주는 신음]"
"32","00:02:10:23","00:02:13:01","그럼 뭐, 경찰, 형사, 뭐, 그런 건가?"
"33","00:02:13:03","00:02:16:24","(장 형사)
오, 야, 이러고 있는데 알아봐 주니까
씨, 되게 고맙다, 야, 어?"
"34","00:02:17:13","00:02:19:04","아유, 나, 씨발, 정말, 진짜, 쌍, 정말"
"35","00:02:19:06","00:02:22:12","(건달2)
아니, 점 백짜리
고스톱 치는 거 잡겠다고"
"36","00:02:22:15","00:02:24:00","이러고 위험하게 있어요?"
"37","00:02:24:02","00:02:26:00","넌 고마우니까 내가 안 잡을게"
"38","00:02:26:13","00:02:28:21","(장 형사)
야, 너희, 저쪽 가 손 들고 서 있어"
"39","00:02:29:08","00:02:30:11","우린 약쟁이 담당이니께"
"40","00:02:30:13","00:02:31:13","(건달들)
예"
"41","00:02:33:01","00:02:34:17","(장 형사)
야, 환동아, 가자, 밥시간 다 됐다"
"42","00:02:35:12","00:02:37:00","너 어디 가냐? 도망가게?"
"43","00:02:37:02","00:02:39:04","(환동)
아, 그럼 뭐, 진짜 밥 먹게?"
"44","00:02:39:07","00:02:42:03","나 일일 일식 하잖아, 아까 밥 묵었어"
"45","00:02:42:05","00:02:43:24","(장 형사)
야, 여기 동선 몇 개 안 나오더라"
"46","00:02:44:02","00:02:46:18","그 문 열고 나가면 거기 누구 있겠니?"
"47","00:02:46:20","00:02:47:23","[경찰봉 조작음]
[재훈의 기합]"
"48","00:02:49:10","00:02:50:09","[재훈의 기합]"
"49","00:02:53:07","00:02:54:04","[재훈의 기합]"
"50","00:02:54:06","00:02:55:13","(영호)
가만히 좀 있어"
"51","00:02:55:15","00:02:56:22","일로 안 나와"
"52","00:02:57:11","00:02:59:05","제가 범인을 잡아 본 적이 없어서
설레 가지고"
"53","00:02:59:07","00:03:00:03","[살짝 웃는다]"
"54","00:03:00:18","00:03:03:00","[장 형사의 당황한 신음]"
"55","00:03:03:02","00:03:06:18","(환동)
아하, 이거 열면 뭐
또 누구 나오는 거야? 어?"
"56","00:03:09:01","00:03:10:05","그렇지
[익살스러운 음악]"
"57","00:03:10:07","00:03:13:02","아이고, 이건 또
왜 내려가고 있어? 어?"
"58","00:03:13:04","00:03:14:07","(고 반장)
아, 이거 어떻게 하는 거야, 씨"
"59","00:03:14:10","00:03:15:08","(환동)
저기랑, 저, 일행 아니야?"
"60","00:03:16:20","00:03:18:10","[장 형사와 고 반장이 살짝 웃는다]"
"61","00:03:19:00","00:03:20:11","[덜컹거리는 소리가 들린다]
[고 반장의 당황한 신음]"
"62","00:03:22:12","00:03:23:24","나 좀 잡아 줘, 어어!
[환동의 못마땅한 신음]"
"63","00:03:24:01","00:03:26:24","모양새 빠지게
이게 뭐냐, 이게, 이게, 어?"
"64","00:03:27:12","00:03:30:15","밧줄 연결했으면은
어? 점프 쫙 해 가지고
[흥미진진한 음악]"
"65","00:03:30:17","00:03:32:24","(환동)
창문 와장창 깨고"
"66","00:03:33:01","00:03:34:24","여기서 앞 구르기 쫙 하고"
"67","00:03:35:01","00:03:36:03","경찰봉 쫙 하고, 어?"
"68","00:03:36:05","00:03:37:11","한 대도 안 맞고, 응?"
"69","00:03:37:13","00:03:39:07","깔 때까지 까고, 어?"
"70","00:03:39:09","00:03:40:21","확 엎어트리고"
"71","00:03:41:18","00:03:45:07","수갑 딱 채우고
미란다 원칙 헥헥거리면서 읊고"
"72","00:03:45:20","00:03:47:04","아, 그런 모양새 아니야?"
"73","00:03:47:06","00:03:50:08","돈 없어, 이 새끼야
창문 깨지면 누가 변상해!"
"74","00:03:50:10","00:03:51:14","(환동)
하여간, 응?"
"75","00:03:51:16","00:03:54:23","대한민국 짭새들 가난한 거
그거 인권 문제야
[환동이 지퍼를 직 연다]"
"76","00:03:55:00","00:03:56:11","[고 반장의 힘주는 신음]
사람이 먼저인 건데"
"77","00:03:59:13","00:04:00:15","[고 반장의 힘겨운 신음]"
"78","00:04:00:17","00:04:03:10","- (고 반장) 그거 뭐, 에어백 하시게?
- (환동) 아시네?"
"79","00:04:03:12","00:04:05:00","어디서 본 건 있어 가지고, 씨"
"80","00:04:06:01","00:04:08:03","그거 안 돼, 이 병신아
[환동의 의아한 신음]"
"81","00:04:11:22","00:04:12:19","[무전기 작동음]
진입해!"
"82","00:04:12:21","00:04:14:15","[박진감 넘치는 음악]"
"83","00:04:15:17","00:04:17:09","[환동의 비명]"
"84","00:04:17:11","00:04:18:07","[환동의 아파하는 신음]"
"85","00:04:18:09","00:04:19:17","(고 반장)
환동이 나갔다, 막아!"
"86","00:04:19:20","00:04:20:22","(영호)
나가, 나가"
"87","00:04:22:08","00:04:23:14","[다급한 숨소리]"
"88","00:04:23:17","00:04:25:04","(환동)
에어백 안 되네, 씨, 어유"
"89","00:04:26:10","00:04:27:16","[덜컹거리는 소리가 들린다]
[놀란 신음]"
"90","00:04:27:18","00:04:29:07","[의아한 신음]"
"91","00:04:29:09","00:04:30:19","[고 반장의 비명]"
"92","00:04:34:02","00:04:35:02","[고 반장의 놀란 신음]"
"93","00:04:35:04","00:04:36:11","[고 반장의 비명]"
"94","00:04:40:11","00:04:42:00","[아파하는 신음]
(장 형사)
반장님!"
"95","00:04:42:20","00:04:44:18","(고 반장)
가, 가, 가, 가"
"96","00:04:46:00","00:04:47:14","[환동의 가쁜 숨소리]"
