No.,Timecode In,Timecode Out,Subtitle
"1","00:00:33:08","00:00:35:06","[흥미로운 음악]"
"2","00:00:46:04","00:00:47:07","[멀리서 개가 왈왈 짖는다]"
"3","00:00:52:02","00:00:53:06","[동네가 시끌벅적하다]"
"4","00:01:07:01","00:01:08:02","[자전거 벨이 딸랑 울린다]"
"5","00:01:19:12","00:01:20:19","[물소리가 들린다]"
"6","00:01:28:07","00:01:29:17","(기우)
아, 망했다, 이거"
"7","00:01:30:05","00:01:31:15","공짜 와이파이 못 쓴다, 이제"
"8","00:01:32:07","00:01:34:10","씁, 야, 기정아"
"9","00:01:34:12","00:01:35:10","(기정)
어"
"10","00:01:35:12","00:01:39:17","야, 윗집 아줌마네 iptime
암호를 거셨다, 드디어"
"11","00:01:39:19","00:01:41:11","(기정)
아, 암호"
"12","00:01:41:13","00:01:43:00","1에서 9까지 눌러 봤어?"
"13","00:01:43:02","00:01:44:04","(기우)
어, 안 돼"
"14","00:01:44:06","00:01:45:23","(기정)
반대 순서로도 해 봐"
"15","00:01:46:00","00:01:47:05","(기우)
아, 안 된다니까"
"16","00:01:47:18","00:01:49:16","아이씨, 뭐야, 그럼"
"17","00:01:49:18","00:01:51:17","그, 문자고 카톡이고 다 안 되는 거야?"
"18","00:01:51:19","00:01:52:16","(기우)
그렇지"
"19","00:01:53:14","00:01:54:21","(충숙)
야, 김기택"
"20","00:01:56:06","00:01:58:03","이, 씨발, 자는 척하지 말고"
"21","00:01:58:06","00:01:59:09","어떻게 생각하셔?"
"22","00:02:00:07","00:02:02:18","핸드폰도 다 끊기고"
"23","00:02:02:20","00:02:05:20","와이파이도 다 끊기고, 응?"
"24","00:02:06:18","00:02:09:15","씨발, 계획이 뭐야, 응?"
"25","00:02:10:07","00:02:11:04","[충숙의 한숨]"
"26","00:02:12:08","00:02:13:13","- (기택) 기우야
- (기우) 예, 아버지"
"27","00:02:13:15","00:02:16:22","와이파이 높게 들어야 돼, 높게"
"28","00:02:18:10","00:02:21:24","(기택)
구석구석, 그, 샅샅이…
그, 저, 해야 돼"
"29","00:02:26:06","00:02:27:06","아씨"
"30","00:02:28:14","00:02:29:24","꼽등이, 이…"
"31","00:02:30:14","00:02:31:17","(기우)
오, 여기
[기택의 짜증 섞인 신음]"
"32","00:02:31:19","00:02:33:00","잡힌다"
"33","00:02:33:02","00:02:34:11","(기정)
진짜? 잡혔어?"
"34","00:02:34:13","00:02:36:10","(기우)
어, 잡히지?"
"35","00:02:36:12","00:02:39:03","이거 '커피 나라 2G'"
"36","00:02:39:06","00:02:40:24","이 근처에 카페 새로 생긴 건가?"
"37","00:02:41:12","00:02:43:00","(기정)
뭐야, 왜 난 안 잡히지?"
"38","00:02:43:03","00:02:44:16","(기우)
일로 바싹 올라와 봐"
"39","00:02:44:18","00:02:45:15","(충숙)
얘들아"
"40","00:02:46:19","00:02:48:09","- (충숙) 되는 거야?
- (기우) 어, 돼"
"41","00:02:48:11","00:02:50:17","아, 저, 그러면은 카톡 한번 확인해 봐"
"42","00:02:50:19","00:02:53:17","저, 피자시대 연락 준다 그랬거든"
"43","00:02:54:06","00:02:55:12","(기우)
어, 잠깐만"
"44","00:02:56:05","00:02:58:11","어, 여기 있네, 피자시대"
"45","00:02:58:13","00:03:00:15","[변기 물이 솨 내려간다]"
"46","00:03:00:18","00:03:01:15","[문이 삐걱 열린다]"
"47","00:03:01:18","00:03:04:13","(기우)
와, 아, 이것 좀 한번 보세요들"
"48","00:03:05:15","00:03:06:16","우리도 이 속도로 하면"
"49","00:03:06:18","00:03:08:08","오늘 중에
이거 다 끝낼 수 있을 거 같은데"
"50","00:03:08:10","00:03:10:00","[기택의 감탄]
오늘 돈 다 받는 거죠?"
"51","00:03:10:02","00:03:11:11","[윙 소리가 난다]
(기택)
이, 서서 하는구나, 이게"
"52","00:03:11:13","00:03:13:11","(충숙)
아유, 얘는 달인이구먼, 뭘"
"53","00:03:14:00","00:03:14:23","뭐야?"
"54","00:03:15:00","00:03:16:12","[힘주며]
소독해?"
"55","00:03:17:21","00:03:20:16","- (기택) 어, 요즘도 저런 걸 하네
- (기우) 그러게요"
"56","00:03:20:18","00:03:22:00","(기정)
창문 닫아"
"57","00:03:22:02","00:03:24:14","(기택)
놔둬 봐, 공짜로 집 안에 소독도 하고"
"58","00:03:24:16","00:03:25:21","꼽등이도 없애고"
"59","00:03:26:14","00:03:28:12","(충숙)
그래그래, 요새 꼽등이 너무 많아"
"60","00:03:30:19","00:03:32:11","[가족들이 콜록거린다]
아유, 냄새"
"61","00:03:32:13","00:03:35:00","[가족들의 힘겨운 신음]"
"62","00:03:35:02","00:03:38:02","(기정)
아유, 아유, 내가 아까 닫으라 그랬지?"
"63","00:03:38:04","00:03:39:02","(기우)
닫을까요?"
"64","00:03:39:04","00:03:40:18","[충숙의 짜증 섞인 신음]"
"65","00:03:41:14","00:03:42:23","(기우)
아씨"
"66","00:03:43:12","00:03:45:01","[가족들이 연신 콜록거린다]"
"67","00:03:45:20","00:03:47:10","(기정)
진짜, 아유, 냄새"
"68","00:03:50:14","00:03:52:07","(충숙)
구체적으로 뭐가 문제예요?"
"69","00:03:53:20","00:03:56:17","(가게 사장)
아니, 예를 들면 여기 한번 봐요, 어?"
"70","00:03:56:19","00:03:58:19","라인이 아주 더럽게 접혔죠?"
"71","00:03:59:11","00:04:01:06","이거 왜, 이건 왜 접혀 있는 건데, 어?"
"72","00:04:01:08","00:04:02:21","이거 왜 튀어나와요?
[멀리서 개가 왈왈 짖는다]"
"73","00:04:03:10","00:04:05:10","그럼 접다 만 거잖아요, 지금"
"74","00:04:06:22","00:04:10:21","아까 전체 다 보니까
박스 네 개의 한 개꼴로 이런 상태야"
"75","00:04:10:23","00:04:12:22","넷 중 하나는 불량인 거지"
"76","00:04:16:22","00:04:20:02","(충숙)
그래서 정말 돈 10% 떼고
주겠다는 거예요, 지금?"
"77","00:04:20:21","00:04:24:01","(가게 사장)
아, 불량률에 비하면
페널티 적은 거지, 안 그래요?"
"78","00:04:25:07","00:04:26:24","아, 인건비 이거 얼마나 한다고
[툭툭 소리가 난다]"
"79","00:04:27:01","00:04:28:06","아, 너무한 거 아니에요?"
"80","00:04:29:08","00:04:30:10","[가게 사장의 한숨]"
"81","00:04:30:13","00:04:31:22","아, 이봐요"
"82","00:04:31:24","00:04:34:14","이게 그렇게 간단한 문제가 아니야"
"83","00:04:34:16","00:04:37:24","이런 불량 박스 하나하나가
얼마나 큰 대미지를 주는 줄 알아요?"
"84","00:04:38:01","00:04:39:08","[기택의 한숨]
(가게 사장)
우리 브랜드 이미지에?"
"85","00:04:39:10","00:04:41:00","(충숙)
[헛웃음 치며]
'브랜드'"
"86","00:04:41:02","00:04:43:03","박스 접을 사람도
하나 없는 것들이, 어? 이씨"
"87","00:04:43:06","00:04:44:10","뭐라고?"
"88","00:04:44:12","00:04:45:09","[기우의 어색한 웃음]"
"89","00:04:45:22","00:04:49:03","(기우)
사장님, 이게 다 그 친구 때문이죠?"
"90","00:04:49:05","00:04:50:04","(가게 사장)
뭔 소리?"
"91","00:04:50:06","00:04:52:02","(기우)
그, 원래 일하던 알바생 말입니다"
"92","00:04:52:04","00:04:53:18","그 친구가 배 째고 잠수 탔죠?"
"93","00:04:54:06","00:04:56:14","이, 주사랑교회에서
단체 주문이 막 들어오고 있는"
"94","00:04:56:16","00:04:58:11","- 이 중요한 시점에
- (가게 사장) 하, 참"
"95","00:04:58:13","00:05:00:14","아니, 그런 디테일은
또 어떻게 다 알아요?"
"96","00:05:00:16","00:05:01:16","어디서 들었어?"
"97","00:05:01:18","00:05:04:01","(기우)
[웃으며]
그 친구가 제 동생 지인이에요"
"98","00:05:04:14","00:05:06:13","(기정)
아이, 그 오빠가 원래 좀 이상해요"
"99","00:05:06:15","00:05:08:23","이 동네에서 평판이 되게 안 좋은데"
"100","00:05:09:00","00:05:10:17","(기우)
그래서 말입니다, 사장님"
"101","00:05:10:19","00:05:13:16","씁, 페널티 10% 좋습니다"
"102","00:05:13:18","00:05:14:20","그 대신에"
"103","00:05:14:22","00:05:15:22","(가게 사장)
대신에?"
"104","00:05:16:11","00:05:18:23","(기우)
이참에 알바생
새로 뽑으실 생각 없으세요?"
"105","00:05:19:00","00:05:22:21","- (직원1) 누나, 우리 사람 뽑아야 돼
- (기우) 응"
"106","00:05:22:23","00:05:24:08","(기정)
원래 알바는 자르세요
[가게 사장의 한숨]"
"107","00:05:24:10","00:05:25:23","해고 페널티를 주시라고"
"108","00:05:26:16","00:05:28:24","(기우)
내일 정식으로다가
면접 보러 가겠습니다"
"109","00:05:29:01","00:05:30:00","몇 시가 좋을지…"
"110","00:05:30:03","00:05:31:10","(가게 사장)
아니, 저기, 잠깐만"
"111","00:05:32:11","00:05:34:08","일단 생각을 좀 해 보고"
"112","00:05:34:10","00:05:36:04","(기우)
아, 그러면
[가게 사장의 헛기침]"
"113","00:05:36:06","00:05:37:20","저희 박스 돈부터…"
"114","00:05:43:20","00:05:44:15","[가게 사장의 한숨]"
"115","00:05:44:17","00:05:48:20","(기택)
자, 이렇게 우리 모처럼들
이렇게 둘러앉아 가지고, 어"
"116","00:05:48:22","00:05:50:24","일부 핸드폰은 그, 재개통"
"117","00:05:51:01","00:05:54:20","아, 그리고
쏟아지는 와이파이를 축하하며"
"118","00:05:54:22","00:05:56:03","어, 자, 자"
"119","00:05:56:05","00:05:58:24","아이, 저 새끼 저거
또 초저녁부터, 저…
[취객1의 술 취한 신음]"
"120","00:05:59:01","00:06:01:09","(취객1)
오줌보 터지네
[충숙의 한숨]"
"121","00:06:01:11","00:06:03:24","(충숙)
도대체 왜
소변 금지 팻말 안 붙이는 거냐?"
"122","00:06:04:01","00:06:05:11","- (충숙) 내가 얘기했지?
- (기택) 아니야, 아니야"
"123","00:06:05:13","00:06:07:19","(기택)
그런 팻말을 보면은
더 싸고 싶어진다니깐"
"124","00:06:07:21","00:06:09:17","저런 술 취한 놈들은
[취객1의 술 취한 신음]"
"125","00:06:09:19","00:06:11:13","(기정)
아, 소리라도 좀 질러 봐"
"126","00:06:11:15","00:06:13:06","- (취객1) 아이씨
- (기택) 지르지 마, 지르지 마"
"127","00:06:13:08","00:06:15:12","(기택)
싸지 마세요, 아이고, 씨발
[기정의 헛웃음]"
"128","00:06:17:03","00:06:18:00","(기정)
응?"
"129","00:06:18:17","00:06:19:19","민혁이 오빠인가?"
"130","00:06:19:21","00:06:21:23","[취객1이 중얼거린다]
(민혁)
아저씨, 왜 그래?"
"131","00:06:22:00","00:06:23:02","거 화장실 아니야"
"132","00:06:23:04","00:06:24:07","(충숙)
오, 맞네, 민혁이"
"133","00:06:24:09","00:06:26:06","(취객1)
야, 야, 인마"
"134","00:06:26:08","00:06:29:18","(민혁)
뭐, 뭐, 뭐, 뭘 잘했다고 쳐다봐?"
"135","00:06:29:20","00:06:31:09","(취객1)
너 일로 와"
"136","00:06:31:11","00:06:34:19","이런, 씨, 이 개새끼야, 내 자지가…"
"137","00:06:34:21","00:06:37:00","(민혁)
정신 차려, 정신!"
"138","00:06:38:06","00:06:40:15","[가족들의 감탄]
(기택)
으아, 네 친구 박력 있다, 어"
"139","00:06:40:17","00:06:43:15","(충숙)
역시 대학생이라 그런가
기세가 다르다, 기세가, 응?"
"140","00:06:43:17","00:06:44:19","(기정)
오빠랑은 다르지"
"141","00:06:44:21","00:06:45:21","(기택)
어, 근데 뭐야"
"142","00:06:45:23","00:06:48:04","지금 우리 집에 오는 거야?
오기로 했었냐?"
"143","00:06:48:07","00:06:49:07","(기우)
아니요"
"144","00:06:49:09","00:06:50:15","[문이 달칵 열린다]
(민혁)
안녕하세요!"
"145","00:06:50:17","00:06:51:21","(기택)
어, 민혁이 왔구나"
"146","00:06:51:23","00:06:53:19","[기택의 아파하는 신음]
(기우)
야, 뭐야, 너"
"147","00:06:53:21","00:06:55:06","- (민혁) 아버님, 안녕하세요
- (기택) 어, 그럼, 어"
"148","00:06:55:08","00:06:56:12","(기우)
[말을 더듬으며]
야, 너 웬, 웬일이야?"
"149","00:06:57:02","00:06:58:14","문자 보냈잖아, 못 봤어?"
"150","00:06:58:16","00:07:00:09","- (기택) 어, 어, 어, 어, 어
- (민혁) 어, 죄송합니다, 식사 중에"
"151","00:07:00:11","00:07:02:02","(기택)
아니야, 이거 밥 먹는 거 아니야
[기택의 어색한 웃음]"
"152","00:07:02:04","00:07:04:03","- (민혁) 기정이, 잘 지냈어?
- (기정) 어, 어, 오빠도?
[기정의 어색한 웃음]"
"153","00:07:04:05","00:07:07:02","(기우)
야, 밖에서 보자 그러지
뭘 집까지 찾아왔어"
"154","00:07:07:04","00:07:08:02","(민혁)
아, 이것 때문에"
"155","00:07:08:04","00:07:10:20","이게, 너 주려고
이게 워낙 무거운 거라"
"156","00:07:10:22","00:07:12:21","(기택)
어, 그래? 이, 여기다 놔, 어"
"157","00:07:15:06","00:07:16:20","와, 뭐야, 이게?"
"158","00:07:16:22","00:07:18:10","(민혁)
기우 만나러 간다고 하니까"
"159","00:07:18:13","00:07:21:13","저희 할아버지께서
이걸 꼭 갖다주라고 하셔 가지고"
"160","00:07:22:24","00:07:25:23","[기택의 감탄]
[민혁의 웃음]"
"161","00:07:26:00","00:07:28:05","(기택)
오, 이게 산수경석인가?"
"162","00:07:29:15","00:07:31:14","추상석으로 볼 수도 있고"
"163","00:07:31:16","00:07:33:11","(민혁)
오, 아시네요"
"164","00:07:33:13","00:07:37:05","아, 저희 할아버지께서 육사 시절부터
이 수석 수집을 쭉 해 오셔 가지고"
"165","00:07:37:07","00:07:41:02","[기택의 탄성]
지금은 뭐
저희 집 아래층, 위층, 거실, 서재"
"166","00:07:41:04","00:07:43:01","이 수석들이 꽉 차 있는 상태입니다"
"167","00:07:43:03","00:07:44:23","[기정의 탄성]
근데 특히 이 돌은"
"168","00:07:45:00","00:07:47:03","가정에 많은 재물 운과 합격 운을
몰고 온다고 하시면서…"
"169","00:07:47:05","00:07:48:18","(기우)
민혁아"
"170","00:07:48:21","00:07:51:24","야, 이거 진짜 상징적인 거네"
"171","00:07:52:01","00:07:53:00","(기택)
그러게"
"172","00:07:53:02","00:07:55:02","참으로 시의적절하다, 어"
"173","00:07:55:04","00:07:56:02","(민혁)
하, 그렇죠?"
"174","00:07:56:04","00:07:59:18","할아버님께
꼭 감사의 말씀을 전해 드리고"
"175","00:07:59:20","00:08:02:00","푸, 먹을 거 사 오지"
"176","00:08:02:02","00:08:03:04","[기정이 탁 때린다]"
"177","00:08:12:08","00:08:15:10","(기우)
야, 아까 그, 뭐라고? 산수경석?"
"178","00:08:15:12","00:08:17:00","너도 그런 돌멩이 모으냐?"
"179","00:08:17:03","00:08:20:05","야, 그래도 그 돌멩이 때문에
부모님 얼굴도 뵙고 좋더라"
"180","00:08:20:07","00:08:21:08","건강들 하시고"
"181","00:08:23:03","00:08:26:17","하, 건강, 건강은 하신데
일거리가 없으셔들"
