No.,Timecode In,Timecode Out,Subtitle
"1","00:00:32:01","00:00:34:01","[다가오는 발걸음]"
"2","00:00:40:13","00:00:41:10","(무명의 남자1)
기억이 안 나?"
"3","00:00:41:12","00:00:43:22","(무명의 남자2)
[흐느끼며]
정말 기억이 없어요"
"4","00:00:44:12","00:00:45:16","[비닐봉지가 바스락거린다]"
"5","00:00:45:19","00:00:47:07","(무명의 남자1)
기억이 안 난다?"
"6","00:00:47:16","00:00:48:18","[비닐봉지가 확 걷힌다]"
"7","00:00:48:24","00:00:50:00","[무명의 남자2가 숨을 헐떡인다]"
"8","00:00:50:02","00:00:51:01","[무명의 남자2가 콜록거린다]"
"9","00:00:51:03","00:00:52:00","(무명의 남자1)
죽여"
"10","00:00:52:02","00:00:53:15","[긴장되는 효과음]
[무명의 남자2가 헐떡인다]"
"11","00:00:53:19","00:00:56:06","[날카로운 효과음]
[진석의 놀란 숨소리]"
"12","00:00:59:15","00:01:00:17","[거친 숨을 몰아쉰다]"
"13","00:01:01:06","00:01:02:03","(진석 모)
어머"
"14","00:01:02:24","00:01:04:08","어머, 이 땀 좀 봐"
"15","00:01:04:23","00:01:06:15","진석아, 괜찮아?"
"16","00:01:08:01","00:01:09:00","엄마"
"17","00:01:09:10","00:01:10:06","(진석 모)
그래, 진석아"
"18","00:01:10:10","00:01:13:08","우리 진석이, 뭐 나쁜 꿈 꿨나 보네?"
"19","00:01:13:17","00:01:14:14","아버지..."
"20","00:01:15:08","00:01:17:08","(유석)
너 그러니까 형이 어저께 일찍 자랬지?"
"21","00:01:17:10","00:01:19:14","아침 일찍 이사하려면
푹 자 둬야 된다고"
"22","00:01:20:08","00:01:21:05","[진석 부의 웃음]
(진석)
형..."
"23","00:01:21:07","00:01:22:14","[유석이 피식한다]"
"24","00:01:22:20","00:01:25:05","새집으로 이사하는 게
너무 설레네 어쩌네 그러더니"
"25","00:01:25:07","00:01:27:06","밤새 잠을 못 자더라고요"
"26","00:01:28:10","00:01:29:24","(진석 부)
거의 다 왔어, 우리 집"
"27","00:01:30:03","00:01:32:01","(유석)
아버지, 오늘 점심 뭐 먹을까요?"
"28","00:01:32:09","00:01:34:16","(진석 부)
아, 이사 날에는 짜장면이지"
"29","00:01:34:20","00:01:35:22","[유석의 유쾌한 웃음]"
"30","00:01:36:00","00:01:37:13","(유석)
아유, 짜장면이죠"
"31","00:01:37:15","00:01:39:04","[유석의 웃음]
[잔잔한 음악]"
"32","00:01:57:08","00:01:58:20","(진석)
처음 본 새집"
"33","00:02:00:00","00:02:01:16","분명 처음 본 집인데"
"34","00:02:02:14","00:02:05:06","왠지 모르게 낯설지가 않고
친숙한 느낌이다"
"35","00:02:06:21","00:02:09:20","마치 과거의 언젠가"
"36","00:02:10:09","00:02:13:08","이렇게 서서 이 집을 바라본 적이
있었던 것 같은"
"37","00:02:13:10","00:02:15:00","그런 기분이 든다"
"38","00:02:15:02","00:02:16:07","(유석)
어때, 맘에 들어?"
"39","00:02:19:23","00:02:21:01","어떠냐고"
"40","00:02:21:03","00:02:22:24","네가 딱 기대하던 그런 집이야?"
"41","00:02:23:01","00:02:24:03","[진석이 피식 웃는다]"
"42","00:02:29:24","00:02:33:24","(진석)
초등학교 때부터 학창 시절 내내
1등을 놓치지 않았던 형은"
"43","00:02:34:16","00:02:38:03","모두가 부러워하는
최고의 명문대를 나온 수재다"
"44","00:02:39:14","00:02:43:15","(진석)
어린 시절부터 모든 분야에서
일찌감치 두드러진 재능을 보였던 형"
"45","00:02:46:23","00:02:48:13","(진석)
특유의 강한 승부욕에"
"46","00:02:48:16","00:02:51:05","타고난 운동 신경을 가진
만능 스포츠맨인 데다가"
"47","00:02:51:08","00:02:52:08","[힘주는 신음]"
"48","00:02:52:10","00:02:53:22","[유석의 기합]
[여학생들이 환호한다]"
"49","00:02:54:04","00:02:56:20","(진석)
손재주까지 좋아
집 안의 웬만한 문제는"
"50","00:02:56:22","00:02:59:08","사람을 부르지 않고서도
해결이 가능했다"
"51","00:03:00:03","00:03:01:02","(유석)
봤지?
[진석이 감탄한다]"
"52","00:03:01:04","00:03:02:20","(진석)
술, 담배는 물론"
"53","00:03:02:22","00:03:05:14","(진석)
저속한 말은 입에 담지도 않는
매너남이자"
"54","00:03:05:16","00:03:09:02","[유석이 강연한다]
논리적이면서 유쾌한 달변가인 형은"
"55","00:03:09:13","00:03:12:24","모든 이들의 부러움과 경외심을
한 몸에 받았다"
"56","00:03:14:06","00:03:17:02","물론 나 역시 그런 형을 좋아했다"
"57","00:03:17:21","00:03:20:04","아니, 존경했다"
"58","00:03:22:17","00:03:25:22","(진석)
삼수생에, 만성적인
신경 쇠약증에 시달리는 내게"
"59","00:03:26:09","00:03:31:02","형은 유일한 자랑거리이자
가슴 벅찬 자부심이었다"
"60","00:03:31:05","00:03:32:08","(진석 모)
유석아"
"61","00:03:33:04","00:03:35:04","어, 엄마, 주세요, 여기"
"62","00:03:38:10","00:03:43:02","(진석)
일 년 전 교통사고로
왼쪽 다리에 장애를 얻었지만"
"63","00:03:43:23","00:03:48:21","나와 우리 가족에게
형은 변함없이 완벽한 영웅이었다"
"64","00:03:50:23","00:03:51:24","(인부1)
아, 여기 턱 조심하시고"
"65","00:03:52:01","00:03:53:11","- (인부1) 이거 어디다...
- (진석 부) 아, 이거"
"66","00:03:53:13","00:03:55:17","- (진석 부) 거실 중간에 놔 줘요
- (인부1) 아, 네, 알겠습니다"
"67","00:03:55:19","00:03:57:01","(진석 부)
아, 이쪽으로..."
"68","00:03:58:11","00:04:00:06","- (진석 부) 그거 저기 기둥
- (인부2) 아"
"69","00:04:00:08","00:04:02:08","- (진석 부) 기둥 옆에 좀 붙여 줘요
- (인부2) 알겠습니다"
"70","00:04:02:13","00:04:04:19","[인부들이 분주하다]"
"71","00:04:05:06","00:04:06:21","(진석 모)
거기 조심해 주세요"
"72","00:04:07:03","00:04:07:23","(인부3)
예"
"73","00:04:11:10","00:04:12:14","(인부4)
이거 어디다 둘까요?"
"74","00:04:12:24","00:04:13:20","(진석)
예"
"75","00:04:13:23","00:04:16:10","아, 그거 책 상자죠?
저 주세요, 저 주세요"
"76","00:04:19:16","00:04:20:13","(유석)
자"
"77","00:04:23:06","00:04:24:05","(인부5)
조심, 조심"
"78","00:04:24:07","00:04:26:00","[인부들이 말을 주고받는다]"
"79","00:04:26:20","00:04:28:00","[진석의 힘겨운 신음]"
"80","00:04:29:18","00:04:32:07","[인부들의 분주한 목소리]"
"81","00:04:39:10","00:04:40:09","(진석)
형"
"82","00:04:40:21","00:04:42:14","형 방 따로 쓰는 거 아니었어?"
"83","00:04:42:24","00:04:44:11","아, 얘기 못 들었구나?"
"84","00:04:44:23","00:04:48:13","그 2층 작은방은 전에 살던 집주인이
짐 넣어 놓고 갔다잖아"
"85","00:04:48:15","00:04:49:18","아..."
"86","00:04:50:06","00:04:52:15","그럼 앞으로도
저 방은 계속 못 쓰는 거야?"
"87","00:04:52:18","00:04:54:11","(유석)
아니, 아니, 그건 아닌 거 같은데?"
"88","00:04:55:09","00:04:56:21","그 사람이 그렇게 사정을 하더래"
"89","00:04:57:00","00:04:59:14","맘 약하신 우리 아버지가
또 거절 못 하신 거고"
"90","00:05:00:07","00:05:01:12","(유석)
금방 빼겠지, 뭐"
"91","00:05:03:18","00:05:06:07","근데 너 나랑 같은 방 쓰기
되게 싫은가 보다?"
"92","00:05:06:19","00:05:07:18","(진석)
어"
"93","00:05:07:23","00:05:09:09","(유석)
쯧, 그럴 줄 알았어"
"94","00:05:09:16","00:05:11:08","그런 것 같았어
[진석의 웃음]"
"95","00:05:11:23","00:05:12:24","장난이야"
"96","00:05:13:02","00:05:14:18","(진석)
그냥 궁금해서"
"97","00:05:14:20","00:05:16:01","(진석 모)
유석아!"
"98","00:05:16:15","00:05:17:13","(유석)
예, 엄마!"
"99","00:05:17:16","00:05:19:17","(진석 모)
잠깐 와서 엄마 좀 도와줄래?"
"100","00:05:22:10","00:05:23:20","[유석의 힘주는 신음]"
"101","00:05:24:16","00:05:25:17","(유석)
아유
[진석의 짜증 섞인 신음]"
"102","00:05:25:20","00:05:28:08","(진석)
머리 때리지 말라니까, 뇌세포 죽어!"
"103","00:05:28:20","00:05:29:21","(유석)
안 죽어!"
"104","00:05:33:09","00:05:35:09","[다가오는 발걸음]"
"105","00:05:35:12","00:05:36:19","(인부6)
[힘겨운 숨을 내쉬며]
저기요"
"106","00:05:36:21","00:05:38:20","- (진석) 예?
- (인부6) 이거 어디다 놓을까요?"
"107","00:05:39:03","00:05:41:18","(진석)
아, 그거는...
저기 침대 옆에 놔 주세요"
"108","00:05:41:22","00:05:43:00","- (인부6) 아, 예
- (진석) 예"
"109","00:05:44:13","00:05:46:00","[물건들이 우당탕 떨어진다]
[인부6의 놀란 신음]"
"110","00:05:46:06","00:05:47:05","(진석)
아이, 괜찮으세요?"
"111","00:05:47:08","00:05:48:17","(인부6)
아유, 아..."
"112","00:05:49:20","00:05:51:21","아유, 고맙습니다
[인부6의 멋쩍은 웃음]"
"113","00:05:51:24","00:05:53:23","(진석)
[웃으며]
아유, 아니, 저희 짐인데요, 뭐"
"114","00:05:56:02","00:05:57:04","아니, 근데 그..."
"115","00:05:57:16","00:05:59:18","방금 나가신 분이 형이세요?"
"116","00:06:00:10","00:06:01:15","네, 왜요?"
"117","00:06:03:00","00:06:04:12","아, 그분이 형이시라고요?"
"118","00:06:05:19","00:06:06:21","[진석의 웃음]"
"119","00:06:06:24","00:06:08:19","그러니까요, 많이 안 닮았죠?"
"120","00:06:08:21","00:06:11:13","아, 그러면
형님 되시는 분은 나이가..."
"121","00:06:11:15","00:06:12:18","- (진석) 왜요?
- (유석) 아저씨"
"122","00:06:14:04","00:06:16:03","부엌에 가 보세요
누가 찾으시는 것 같던데요"
"123","00:06:16:07","00:06:17:10","(인부6)
아, 예"
"124","00:06:23:14","00:06:25:14","(유석)
아유, 아휴"
"125","00:06:25:17","00:06:27:16","[진석의 힘겨운 신음]
[유석의 웃음]"
"126","00:06:28:16","00:06:30:21","(유석)
아이고, 아이고, 아이고
죽겠다, 아이고"
"127","00:06:30:23","00:06:31:22","[유석의 웃음]"
"128","00:06:32:19","00:06:34:09","[천둥이 콰르릉 친다]"
"129","00:06:34:11","00:06:36:06","(진석 모)
자, 진석아"
"130","00:06:36:14","00:06:38:17","집은 어떠니? 맘에 들어? 응?"
"131","00:06:38:19","00:06:40:07","(진석)
좋다니까, 엄마"
"132","00:06:40:17","00:06:42:06","(진석 모)
진짜? 진짜 좋아?"
"133","00:06:42:15","00:06:43:22","- (진석) 아...
- (유석) 아이고"
"134","00:06:43:24","00:06:45:10","(유석)
맘에 든대, 엄청"
"135","00:06:45:13","00:06:47:16","(유석)
뭐, 나랑 같은 방 쓰는 거 빼고는"
"136","00:06:47:19","00:06:48:16","[진석 모와 진석 부의 웃음]"
"137","00:06:48:18","00:06:49:15","(진석)
아이, 진짜..."
"138","00:06:49:18","00:06:50:24","(진석 부)
거 좀만 기다려"
"139","00:06:51:06","00:06:53:18","한 달 있으면 그 짐
다 가져간대, 전 주인이"
"140","00:06:53:21","00:06:55:04","(진석)
아이, 아니에요, 아버지"
"141","00:06:55:07","00:06:56:23","형 괜히 그러는 거예요
[진석의 멋쩍은 웃음]"
"142","00:06:57:01","00:06:59:03","(유석)
야, 너 아까 한 치의 망설임도 없었어"
"143","00:06:59:06","00:07:01:05","(진석)
[피식하며]
아, 뭐, 내가 언제?"
"144","00:07:01:07","00:07:02:10","[유석의 웃음]
(진석 모)
그래"
"145","00:07:02:13","00:07:06:23","어차피 공부하다 모르는 거 있으면
형한테 바로바로 물어보고 좋지, 뭐"
"146","00:07:07:12","00:07:08:14","(진석)
아, 근데 아버지"
"147","00:07:08:16","00:07:10:22","그, 짐은 무슨 짐들이래요?"
"148","00:07:11:00","00:07:11:23","(진석 부)
글쎄"
"149","00:07:12:07","00:07:13:22","뭐, 쓰던 물건이겠지, 뭐"
"150","00:07:14:17","00:07:16:11","(진석)
물건이면 뭐 어떤 물건요?"
"151","00:07:17:03","00:07:19:16","그, 내가 혹시나 해서 얘기하는데"
"152","00:07:19:23","00:07:21:15","(진석 부)
그 방에 절대 들어가면 안 된다"
"153","00:07:21:18","00:07:25:04","신신당부하더라고
들여다보지 말아 달라고"
"154","00:07:25:09","00:07:26:08","[헛웃음]"
"155","00:07:26:18","00:07:29:16","야, 진석아
너 약 잘 챙겨 먹고 있지?"
"156","00:07:29:20","00:07:31:02","(진석)
아이, 그럼요"
"157","00:07:31:05","00:07:32:06","- (진석) 잘 먹고 있어요
- (진석 부) 응"
"158","00:07:32:09","00:07:33:11","[쾅 소리가 들린다]"
"159","00:07:39:23","00:07:41:03","이게 무슨 소리지?"
"160","00:07:42:18","00:07:43:16","무슨 소리?"
"161","00:07:43:22","00:07:45:06","아, 방금 위에서 난 소리"
"162","00:07:45:23","00:07:47:13","뭐 무거운 게 떨어진 것 같은데?"
"163","00:07:47:18","00:07:49:03","(진석 모)
천둥소리 아니야?"
"164","00:07:49:08","00:07:50:22","(진석)
아이, 천둥소리 아니고"
"165","00:07:51:20","00:07:53:15","이 위면 그 작은방 아니에요?"
"166","00:07:53:22","00:07:56:02","응, 이 위에 작은방 맞는데"
"167","00:07:57:00","00:07:58:21","천둥소리 아니었어?"
"168","00:07:59:04","00:08:00:05","아니, 천둥소리는..."
"169","00:08:00:08","00:08:01:20","[천둥이 콰르릉 친다]"
"170","00:08:02:23","00:08:05:03","- 응, 맞네, 천둥소리
- (진석 부) 어, 그래"
"171","00:08:06:09","00:08:08:00","그런가?
[떨떠름한 웃음]"
"172","00:08:08:03","00:08:10:17","내일 아침까지 비 엄청 온대요
일기예보에"
"173","00:08:10:19","00:08:12:13","- (진석 부) 응
- (진석 모) 얼마나 다행이니"
"174","00:08:12:16","00:08:14:21","(진석 모)
이사 마치고 나니까 비 오는 게
[진석 부의 웃음]"
"175","00:08:14:24","00:08:16:13","(진석 부)
생각해 보니까 그러네"
"176","00:08:16:16","00:08:18:10","야, 진짜 무지 고생할 뻔했네
[천둥이 우르릉 울린다]"
"177","00:08:18:12","00:08:19:20","(유석)
그러니까요
[유석의 웃음]"
"178","00:08:21:07","00:08:23:00","[빗소리가 들려온다]"
"179","00:08:31:19","00:08:33:21","[진석의 힘주는 신음]"
"180","00:08:41:18","00:08:42:18","[진석의 옅은 신음]"
"181","00:08:48:19","00:08:50:08","너무 걱정하지 마"
"182","00:08:51:12","00:08:52:11","(진석)
뭘?"
"183","00:08:54:07","00:08:55:22","(유석)
이번엔 꼭 붙을 거야"
"184","00:08:57:24","00:09:00:09","이 집 왠지 느낌이 좋지 않냐, 응?"
"185","00:09:01:11","00:09:02:12","[피식한다]"
"186","00:09:02:16","00:09:03:17","[픽 웃는다]"
"187","00:09:06:19","00:09:07:23","(유석)
아이고"
"188","00:09:09:13","00:09:10:19","자야겠다"
"189","00:09:12:15","00:09:13:20","[유석의 힘주는 신음]"
"190","00:09:21:16","00:09:23:14","[잔잔한 음악이 흘러나온다]"
"191","00:09:39:07","00:09:40:21","[천둥이 우르릉 울린다]"
"192","00:09:46:08","00:09:47:08","[쾅 소리가 들린다]"
