No.,Timecode In,Timecode Out,Subtitle
"1","00:00:18:21","00:00:21:07","[흥미진진한 음악]"
"2","00:01:31:16","00:01:32:12","[관장의 옅은 신음]"
"3","00:01:32:14","00:01:34:01","(관장)
아유, 어머니, 처음 뵙겠습니다"
"4","00:01:34:10","00:01:38:01","제가 당연히 마중 나갔어야 됐는데
아, 오늘따라 인터뷰가 많아 가지고"
"5","00:01:38:03","00:01:40:08","(씹던껌)
첫 만남에 어머님이라니까 좀 무섭네요"
"6","00:01:40:10","00:01:43:02","이해해 주세요, 옷차림이 좀
산에 다녀오느라"
"7","00:01:43:04","00:01:45:22","(관장)
아유, 아유, 말씀 놓으세요, 예?
[씹던껌의 시큰둥한 한숨]"
"8","00:01:46:20","00:01:48:13","- (관장) 여기 녹차 좀 줘요
- (씹던껌) 어, 차는 됐고"
"9","00:01:48:15","00:01:50:23","(씹던껌)
이거 '로열 설루트'인가?
한잔해도 되죠?"
"10","00:01:51:00","00:01:53:09","오늘은 좀 센 게
들어가야 될 거 같아서
[관장의 호응하는 신음]"
"11","00:01:53:11","00:01:54:19","그러니까 우리 딸이"
"12","00:01:54:21","00:01:57:14","이 관장님한테 순결을 줬다 이거죠?"
"13","00:01:57:16","00:02:00:04","(예니콜)
[난감한 듯 웃으며]
우리 엄마 또 일부러 세게 나간다"
"14","00:02:00:06","00:02:02:06","너 벤츠도 한 번 타면 중고다"
"15","00:02:02:19","00:02:04:10","거기 한번 서 보실래요?"
"16","00:02:06:22","00:02:08:14","아니, 아니, 다 보이게"
"17","00:02:12:13","00:02:14:20","흠, 기형은 아니네"
"18","00:02:14:22","00:02:17:03","내가 돌려서 말하는 성격이 아니라"
"19","00:02:20:03","00:02:22:04","우리 이 관장님 돈 많아요?"
"20","00:02:25:14","00:02:27:23","(씹던껌)
그럼 이 미술관도
다 이 관장님 거인가요?"
"21","00:02:28:00","00:02:30:04","(관장)
뭐, 아직까지는 아버지 거죠"
"22","00:02:30:06","00:02:32:21","- (씹던껌) 그림들은요?
- (관장) 아, 위탁 판매 하는 거죠"
"23","00:02:32:23","00:02:35:16","(관장)
뭐, 계속 얘기하면 이거
제, 제 자랑 같아 가지고 좀 그런데"
"24","00:02:35:18","00:02:38:13","제 거는 아주 좀
좀 고가라, 따로 좀..."
"25","00:02:47:08","00:02:48:12","[버튼 조작음]"
"26","00:02:48:22","00:02:50:01","내가 좀 봐도 될까요?"
"27","00:02:50:03","00:02:51:18","(관장)
뭐, 어떤 거..."
"28","00:02:51:20","00:02:53:05","그 작품들"
"29","00:02:54:11","00:02:55:08","[상자가 퍽 떨어진다]"
"30","00:03:07:21","00:03:09:05","- (관장) 그럼요
- (씹던껌) 넌 여기 있어"
