No.,Timecode In,Timecode Out,Subtitle
"1","00:00:35:06","00:00:38:05","- [휭 부는 바람 소리]
- [뽀드득 눈 밟는 소리]"
"2","00:00:38:13","00:00:40:08","- [달칵 열리는 소리]
- [삐거덕거리는 소리]"
"3","00:00:42:15","00:00:44:03","[철렁거리는 소리]"
"4","00:00:48:10","00:00:49:14","[꿀렁꿀렁 기름 들어가는 소리]"
"5","00:00:49:16","00:00:51:13","[어두운 음악]"
"6","00:01:00:22","00:01:02:04","[위치 추적기 작동음]"
"7","00:01:03:22","00:01:05:00","[위치 추적기 작동음]"
"8","00:01:09:22","00:01:11:01","[계속되는 위치 추적기 작동음]"
"9","00:01:11:03","00:01:12:08","[자동차 주행음]"
"10","00:01:50:18","00:01:53:00","- [여자들의 웃음]
- [잔잔한 음악이 흘러나온다]"
"11","00:01:53:06","00:01:54:07","[한숨]"
"12","00:01:54:22","00:01:57:05","[여자1] 어유, 참, 맞지, 맞지?"
"13","00:01:57:07","00:01:59:00","- [여자2] 그치?
- [여자1] 저 봐, 맞잖아"
"14","00:01:59:02","00:02:00:01","[여자1] 맞다니까"
"15","00:02:00:16","00:02:02:07","걔, 약순이 차수정"
"16","00:02:02:09","00:02:03:20","- [여자2] 아, 뭐야?
- [수정] 아, 씨발, 쪽팔리게"
"17","00:02:03:22","00:02:05:02","- 이런 데로 부르고
- [여자2] 쟤 스타킹 봐 봐"
"18","00:02:05:04","00:02:06:17","- [여자1] 어, 웬일이야? [웃음]
- [여자3] 야, 나만 쪽팔리냐?"
"19","00:02:06:19","00:02:07:24","[여자3의 웃음]"
"20","00:02:08:12","00:02:09:22","- [여자2] 저 남자 뭐야?
- 맛있냐?"
"21","00:02:10:00","00:02:12:05","[여자2] 아, 원조 하나? 근데 쟤
뭐 빨다 잘린 거야? 떨이야?"
"22","00:02:12:07","00:02:13:09","나 이거 첫 끼다, 인마, 첫 끼"
"23","00:02:13:11","00:02:14:11","[여자3] 뽕이라던데?"
"24","00:02:14:13","00:02:16:12","- [여자1] 헐, 대박
- [수정] 개씨발년들아! 다 들린다"
"25","00:02:16:14","00:02:18:09","[원호] 어? 야
너 왜 그래, 인마, 어?"
"26","00:02:18:11","00:02:19:24","- [여자1] 야, 야, 일어나, 씨발
- [수정의 한숨]"
"27","00:02:20:01","00:02:21:03","- [원호] 아이, 진짜, 야, 야
- [여자1] 저, 미친"
