No.,Timecode In,Timecode Out,Subtitle
"1","00:00:37:00","00:00:39:13","[리드미컬한 음악]"
"2","00:00:43:11","00:00:45:21","(일현)
숫자 뒤에 0이 열 개면
얼마인지 아는가?"
"3","00:00:46:02","00:00:47:08","[알람 소리 효과음]"
"4","00:00:49:23","00:00:51:14","쉼표 세 개에 두 자리
[계산기 효과음]"
"5","00:00:51:22","00:00:53:02","0이 열 개면"
"6","00:00:53:10","00:00:54:11","백억이다"
"7","00:00:57:18","00:00:59:19","나는 부자가 되고 싶었다"
"8","00:00:59:21","00:01:01:08","[쟁그랑 동전 소리가 난다]"
"9","00:01:04:08","00:01:05:09","[긴장감 있는 효과음]"
"10","00:01:10:24","00:01:12:09","[음악이 고조된다]"
"11","00:01:30:07","00:01:33:22","(일현)
국토의 고작 12,000분의 1밖에
되지 않는 이 작은 섬에는"
"12","00:01:34:00","00:01:35:11","매일 만 명 이상의 유동 인구가"
"13","00:01:35:23","00:01:37:14","부자가 되는 꿈을 꾸며 오간다"
"14","00:01:41:19","00:01:44:05","증권 시장 하루 평균 거래 대금 7조 원
[긴장되는 효과음]"
"15","00:01:44:07","00:01:45:18","[전자 효과음]
대한민국에서"
"16","00:01:45:20","00:01:47:16","가장 많은 돈이 오가는 곳"
"17","00:01:47:24","00:01:50:03","그 막대한 돈을 클릭 한 방에 움직이고"
"18","00:01:50:10","00:01:52:11","거기서 떨어지는 돈을
먹고 사는 사람들"
"19","00:01:53:16","00:01:54:18","기본급 300"
"20","00:01:54:20","00:01:56:02","성과급은 무한대
[한숨]"
"21","00:01:58:18","00:02:00:10","나는 주식 브로커다"
"22","00:02:01:21","00:02:03:18","[도어 록 작동음]
안녕하십니까, 조일현이라고 합니다"
"23","00:02:03:21","00:02:05:03","(변 차장)
어, 너냐?"
"24","00:02:05:22","00:02:07:11","키는 그 정도면 됐고"
"25","00:02:07:21","00:02:09:03","(변 차장)
얼굴마담은..."
"26","00:02:09:05","00:02:10:02","[변 차장의 혀 차는 소리]"
"27","00:02:10:09","00:02:12:03","그냥 계속 내가 해야 되겠다, 어휴"
"28","00:02:12:05","00:02:13:01","(변 차장)
학교는?"
"29","00:02:13:08","00:02:14:18","전대 경제학과 나왔습니다"
"30","00:02:15:03","00:02:16:19","(변 차장)
전대는..."
"31","00:02:16:21","00:02:18:09","여의도에 라인이 없는데
[빗을 탁 내려놓는다]"
"32","00:02:18:11","00:02:19:15","그러면 부모님 뭐 하시고?"
"33","00:02:20:01","00:02:21:11","[변 차장이 손을 탁탁 턴다]
아, 그 조그만..."
"34","00:02:21:13","00:02:22:21","중소기업? 뭐, 종목이 뭐?"
"35","00:02:23:15","00:02:24:24","복분자 농장 하십니다"
"36","00:02:25:06","00:02:26:05","복분자?"
"37","00:02:27:08","00:02:28:09","[변 차장의 탄성]"
"38","00:02:28:12","00:02:30:12","(변 차장)
혹시 면접 봤을 때"
"39","00:02:31:04","00:02:33:15","코스피 종목 코드
죄다 외운 또라이가 너냐?"
"40","00:02:34:00","00:02:35:08","아니, 뭐, 그냥..."
"41","00:02:35:21","00:02:37:10","조금, 제가, 예"
"42","00:02:37:16","00:02:38:15","(변 차장)
한일 제강"
"43","00:02:39:16","00:02:40:15","013862"
"44","00:02:40:17","00:02:42:11","- 한양 제철
- 007246"
"45","00:02:43:03","00:02:45:06","203020, 모르지?
[코웃음]"
"46","00:02:46:03","00:02:47:18","020은 없고요"
"47","00:02:48:09","00:02:50:16","010은 한성 제과
030은 우리 쇼핑입니다"
"48","00:02:51:13","00:02:52:09","알았다"
"49","00:02:55:06","00:02:57:05","[본부장이 손뼉을 친다]
[직원들이 저마다 인사한다]"
"50","00:02:57:07","00:02:59:00","(본부장)
'굿모닝 에브리원'"
"51","00:02:59:06","00:03:00:15","(다 같이)
안녕하십니까"
"52","00:03:01:06","00:03:04:12","(본부장)
악재를 호재로 만드는 것은
여러분들의 손끝에 달려 있어요"
"53","00:03:05:03","00:03:07:24","여러분들이 1초라도 빨리 전화를 받고"
"54","00:03:08:02","00:03:10:21","돈을 긁어다 주기만을
애타게 기다리시는"
"55","00:03:11:07","00:03:14:01","우리의 불쌍한 고객 놈의
새끼들을 위해서"
"56","00:03:14:03","00:03:15:01","[일제히 환호성을 지른다]"
"57","00:03:16:10","00:03:18:02","[일제히 환호성을 지른다]"
"58","00:03:18:18","00:03:19:23","오늘도 우리가"
"59","00:03:20:11","00:03:21:15","우아하게"
"60","00:03:21:23","00:03:23:24","시장을 한번 흔들어 봅시다!"
"61","00:03:24:06","00:03:25:04","[일제히 환호성을 지른다]"
"62","00:03:25:14","00:03:26:11","[소리치며]
만세!"
"63","00:03:26:20","00:03:28:21","(다 같이)
만세, 만세, 만세!"
"64","00:03:29:03","00:03:31:02","[격정적인 음악]"
"65","00:03:31:08","00:03:32:15","[전화벨 소리]"
"66","00:03:32:20","00:03:34:22","(일현)
매일 아침 9시, 장이 열리면
[직원들이 각자 통화한다]"
"67","00:03:35:01","00:03:35:22","업계 1위"
"68","00:03:36:01","00:03:38:02","동명 증권 브로커의 하루가 시작된다"
"69","00:03:38:07","00:03:39:10","[직원들이 저마다 통화한다]"
"70","00:03:39:12","00:03:41:18","(곽 대리)
나머지 절반은 좀 떨어뜨린 다음에"
"71","00:03:42:01","00:03:43:22","[영어]
(직원1)
현 상황에 위험은 없습니다, 고객님"
"72","00:03:43:24","00:03:46:01","[한국어]
이럴 때일수록 남자답게 선수 치셔야죠"
"73","00:03:46:03","00:03:47:16","[사무실이 소란스럽다]"
"74","00:03:50:10","00:03:51:24","(일현)
브로커가 하는 일은 의외로 단순하다"
"75","00:03:52:14","00:03:53:19","[사무실이 계속 소란스럽다]"
"76","00:03:53:21","00:03:56:02","쇼비즈 20만 주 시장가 매수, 확인"
"77","00:03:57:08","00:03:59:02","(일현)
고객님이 시키는 대로 주문 넣고
[프로그램 알림음]"
"78","00:03:59:04","00:04:00:06","체결시키기만 하면"
"79","00:04:00:14","00:04:01:18","수수료가
[프로그램 알림음]"
