No.,Timecode In,Timecode Out,Subtitle
"1","00:00:38:17","00:00:40:17","[잔잔한 음악]"
"2","00:00:44:04","00:00:46:08","(연우)
아버지는 마도로스였다"
"3","00:00:46:10","00:00:47:14","[갈매기가 끼룩 운다]"
"4","00:00:47:18","00:00:50:00","흐릿한 기억 속의 아버지의 모습은"
"5","00:00:51:03","00:00:53:06","눈처럼 하얗던 제복과"
"6","00:00:53:08","00:00:54:05","[파도가 철썩인다]"
"7","00:00:54:07","00:00:56:22","따뜻했던 손의 감촉뿐이다"
"8","00:00:58:17","00:01:01:14","어느 날 아버지는
다시 돌아오지 않았고"
"9","00:01:02:04","00:01:06:22","아버지라는 존재는
내 기억에서 완전히 지워졌다"
"10","00:01:06:24","00:01:10:04","(친척)
어유, 연우 엄마
도대체 이게 무슨 일이래?"
"11","00:01:10:06","00:01:12:11","어휴, 어떡하면 좋아"
"12","00:01:12:13","00:01:15:05","[함께 흐느낀다]"
"13","00:01:18:11","00:01:20:16","(연우)
아버지만 그리워하며 살던 엄마마저
[바구니가 툭 떨어진다]"
"14","00:01:20:18","00:01:22:17","내 곁을 떠나 버리고
[연우 모의 힘겨운 숨소리]"
"15","00:01:23:07","00:01:24:22","결국"
"16","00:01:25:00","00:01:26:15","나는 혼자가 되었다"
"17","00:01:29:13","00:01:30:18","[통곡하는 소리가 들려온다]"
"18","00:01:30:23","00:01:32:03","(연우)
사랑이란"
"19","00:01:32:21","00:01:35:10","아니, 여자한테 남자라는 존재는"
"20","00:01:35:12","00:01:36:19","백해무익이다"
"21","00:01:36:21","00:01:38:19","[통곡하는 소리가 들려온다]
[영어 단어를 중얼거린다]"
"22","00:01:38:21","00:01:40:18","스스로 살아남아야 한다"
"23","00:01:41:15","00:01:43:22","난 누구에게도 의지하지 않고"
"24","00:01:44:15","00:01:46:00","성공할 것이다"
"25","00:02:05:01","00:02:07:01","[밝은 음악]"
"26","00:02:12:24","00:02:17:03","(라디오 속 아나운서)
여대생 성추행 사건이 SNS를 통해
퍼지면서 주목을 받고 있습니다"
"27","00:02:17:06","00:02:19:22","엠티에서 벌어진
성추행 사건의 가해자가"
"28","00:02:19:24","00:02:23:01","거대 재벌 그룹의 아들이라는
루머가 퍼지면서"
"29","00:02:23:03","00:02:26:08","진위 여부에 대한
대중들의 관심이 집중되고 있습니다"
"30","00:02:26:10","00:02:27:08","이 사건에 대해 청소년..."
"31","00:02:27:10","00:02:28:22","(연우)
라디오 꺼"
"32","00:02:30:18","00:02:32:15","쩝, 하여간 저런 개잡놈들은"
"33","00:02:32:17","00:02:34:22","전부 거세를 해 버려야 돼"
"34","00:02:35:05","00:02:37:17","검찰은 뭐 하나 몰라, 쳇"
"35","00:02:38:17","00:02:41:09","정의가 사라졌어, 정의가
[휴대 전화 진동음]"
"36","00:02:43:11","00:02:45:02","네, 회장님, 이연우입니다"
"37","00:02:47:05","00:02:48:04","제가요?"
"38","00:02:50:14","00:02:51:19","알겠습니다"
"39","00:02:51:22","00:02:54:22","제 선에서 잘 처리하겠습니다, 네"
"40","00:02:56:16","00:02:57:14","[코웃음]"
"41","00:02:58:01","00:02:59:15","[연우의 깊은 한숨]"
"42","00:03:02:13","00:03:03:13","차 돌려"
"43","00:03:03:16","00:03:05:06","바로 검찰청으로 간다"
"44","00:03:06:24","00:03:08:10","[타이어 마찰음]"
"45","00:03:17:05","00:03:18:24","(기자1)
어, 이연우 변호사다"
"46","00:03:19:15","00:03:20:16","(기자2)
이연우 변호사님"
"47","00:03:20:18","00:03:22:21","혹시 변호사님께서
이번 회경건설 사건을 맡으셨습니까?"
"48","00:03:22:23","00:03:24:14","[기자들이 저마다 질문한다]
(기자3)
피해자는 만나 보셨나요?"
"49","00:03:24:16","00:03:25:12","(연우)
말은 바로 하시죠"
"50","00:03:25:14","00:03:27:18","회경 그룹 사건이 아니라
한 개인의 문제고"
"51","00:03:27:20","00:03:30:22","무엇보다 아직 사건이라고
명명할 만한 상황은 아닙니다"
"52","00:03:31:00","00:03:32:16","(기자4)
그 말은 회경 그룹 박 회장의 차남"
"53","00:03:32:18","00:03:34:15","박찬진 군의 변호를
맡으셨다는 겁니까?"
"54","00:03:34:17","00:03:36:23","(기자2)
여대생을 성폭행하려다
미수에 그친 건 인정하시는 겁니까?"
"55","00:03:37:00","00:03:38:13","(기자3)
회경 그룹 후계 구도에
변동이 있을 거라고 보십니까?"
"56","00:03:38:15","00:03:41:07","[카메라 셔터음]
(연우)
아직 어떤 것도 결론 난 것은 없습니다"
