No.,Timecode In,Timecode Out,Subtitle
"1","00:00:28:00","00:00:31:00","[경쾌한 음악]"
"2","00:01:01:02","00:01:04:02","[덜컹대는 버스]"
"3","00:01:13:03","00:01:16:19","[안내양 버스를 탁탁탁 치며]
부민동!
부민동 내리이소"
"4","00:01:20:02","00:01:22:02","[끼익 서는 버스]"
"5","00:02:16:02","00:02:17:02","선배님!"
"6","00:02:18:15","00:02:21:10","- 잘 지내셨습니까?
- 니!
[호탕하게 웃는 우석]"
"7","00:02:22:05","00:02:23:11","니 연락도 없이
우짠 일이고?"
"8","00:02:23:14","00:02:25:10","지나가다
고마 함 들렀습니다"
"9","00:02:25:16","00:02:26:16","(상필)
응"
"10","00:02:27:14","00:02:30:13","- 예, 나중에 올까요?
- 야, 인사해라"
"11","00:02:31:01","00:02:33:21","아... 송우석이라꼬
대전지법 판사로 있다"
"12","00:02:33:23","00:02:34:23","(흥기)
아, 그래요?"
"13","00:02:35:00","00:02:36:15","여는 이흥기 변호사"
"14","00:02:36:17","00:02:37:24","송우석이라 캅니다"
"15","00:02:38:14","00:02:39:14","(흥기)
이흥기요"
"16","00:02:41:16","00:02:42:24","(상필)
판사질 재밌드나?"
"17","00:02:43:01","00:02:44:04","[잔에 숟가락 부딪는 소리]"
"18","00:02:44:06","00:02:45:06","(우석)
재미없네예"
"19","00:02:46:13","00:02:48:03","그래서 고마 때리치았습니다"
"20","00:02:48:07","00:02:49:07","(상필)
때리쳐?"
"21","00:02:49:24","00:02:52:23","니 임용될 때
9시 뉴스도 안 나왔나?"
"22","00:02:53:19","00:02:56:10","그래, 내는 니 좀
해볼라고, 응?"
"23","00:02:56:12","00:02:59:08","매스컴에도 얼굴 비차고
일부러 그라는 줄 알았더마"
"24","00:02:59:10","00:03:00:10","아이고마"
"25","00:03:00:12","00:03:01:20","고졸이 판사 됐네 어쩌네"
"26","00:03:01:22","00:03:03:18","그게 다 내 야지 주는 거
아입니까?"
"27","00:03:05:03","00:03:07:08","해서 저는 돈이나 벌라꼬예"
"28","00:03:07:10","00:03:10:13","돈 버는 거야 뭐 고졸이면 어떻고
귀천이 어디 따로 있습니까?"
"29","00:03:11:13","00:03:13:16","정주영이도 중졸인가
국졸이라 카대요"
"30","00:03:14:14","00:03:17:22","근데 그래 짧게 해갖고
전관예우나 받겄나?"
"31","00:03:18:16","00:03:21:13","전관예우요?
아유, 저는 그런 거 잘 모릅니더"
"32","00:03:22:14","00:03:25:11","인자 저도 여 부산 내려와 가
일 좀 해볼라꼬예"
"33","00:03:26:09","00:03:27:20","행님요!"
"34","00:03:29:19","00:03:31:14","저한테 죽이는
아이템이 하나 있거든예"
"35","00:03:32:04","00:03:33:09","뭔데?"
"36","00:03:34:10","00:03:35:11","진짜 죽입니더"
"37","00:03:36:07","00:03:37:09","근데 선배님"
"38","00:03:38:04","00:03:41:08","그랄라면 쪼매마난 사무실이라도
하나 있어야 되는데"
"39","00:03:41:10","00:03:42:22","내 땡거지다 아입니까?"
"40","00:03:44:09","00:03:45:09","돈 좀 꿔 주이소"
"41","00:03:45:11","00:03:46:11","[유쾌한 음악]"
"42","00:03:46:13","00:03:50:07","(우석)
부동산 등기 있지요
그 등기 서류들이..."
"43","00:03:50:09","00:03:53:08","아이구, 이게 마진율이
죽입니다, 이게"
"44","00:03:53:11","00:03:56:14","변호사들 폼 잡고
법원 들락거릴 동안에"
"45","00:03:56:16","00:03:58:18","그 사법서사들은
도장 몇 번 찍어 주고"
"46","00:03:58:20","00:04:02:03","그 돈을 그냥 깔꾸리로
쓸어 담는다니까요"
"47","00:04:02:06","00:04:03:16","(상필)
그걸 변호사가 해도 되나?"
"48","00:04:03:18","00:04:04:19","(우석)
그기 포인트입니더"
"49","00:04:04:21","00:04:07:00","전국이 지금
부동산 열풍 아입니까?"
"50","00:04:07:03","00:04:08:17","일이 막 미어터지가"
"51","00:04:08:19","00:04:10:19","사법서사만으론
일이 감당이 안 된께"
"52","00:04:10:21","00:04:14:06","얼마 전에, 변호사
너그도 함, 같이 함 해봐라"
"53","00:04:14:08","00:04:15:08","허용이 됐다 아입니까?"
"54","00:04:15:10","00:04:17:05","집 사고 땅 살 땐
변호삽니데이"
"55","00:04:19:20","00:04:22:00","금방 갈게, 금방
1시간 안에 간다"
"56","00:04:22:02","00:04:23:01","야야야, 끊..."
"57","00:04:24:00","00:04:25:00","(마담)
또 봬예"
"58","00:04:26:08","00:04:27:16","- (우석) 안녕하십니까?
- (웨이터) 들어가십시오"
"59","00:04:27:18","00:04:29:22","집 사고 땅 살 땐
인제 변호삽니데이"
"60","00:04:29:24","00:04:30:22","문디 자슥이"
"61","00:04:30:24","00:04:32:13","어디 남의 점포 앞에서
찌라시를 돌리노?"
"62","00:04:32:15","00:04:34:06","아입니다, 내 변호삽니다
변호사..."
"63","00:04:34:08","00:04:36:19","변호사 송우석이라 캅니다
이거 한 장 받으이소"
"64","00:04:36:21","00:04:38:18","법은요, 편리하고
가차운 데 있습니다"
"65","00:04:38:20","00:04:40:00","예, 맞습니다
자!"
"66","00:04:40:02","00:04:41:04","- (조직원) 어이!
- 이 집 사고 땅 살 때"
"67","00:04:41:20","00:04:43:00","- (우석) 변호사...
- 저놈 뭐꼬?"
"68","00:04:44:00","00:04:45:00","인제 변호삽니다"
"69","00:04:45:16","00:04:46:16","수고하이소"
"70","00:04:46:18","00:04:47:18","[멀어지는 발소리]
저 자식, 저거"
"71","00:04:47:20","00:04:48:20","변호사?"
"72","00:04:49:09","00:04:50:16","점마 뭔데?"
"73","00:04:51:02","00:04:53:00","변호사 높은 줄 알았더만
별거 아이네"
"74","00:04:56:06","00:04:57:12","[따르릉]"
"75","00:04:58:13","00:05:00:10","- 예, 부동산 등기 전문...
- (수경) 접니더"
"76","00:05:01:08","00:05:02:16","당신이가?"
"77","00:05:02:19","00:05:04:04","점심 묵었어예?"
"78","00:05:05:06","00:05:06:06","묵으야지"
"79","00:05:07:13","00:05:10:03","(수경)
광고 효과가
어데 바로 나겠습니꺼?"
"80","00:05:10:14","00:05:12:15","[문 똑똑똑]
- 너무 초조하이 그라지 말고
- 야야, 손님 왔데이"
"81","00:05:12:17","00:05:13:19","(우석)
끊는데이"
"82","00:05:13:21","00:05:14:24","[철그럭 수화기 놓는 소리]"
"83","00:05:16:00","00:05:17:05","짜장면 왔습니다"
"84","00:05:18:01","00:05:19:01","[철가방 내려놓는 소리]"
"85","00:05:19:22","00:05:20:22","(배달원)
맛있게 드이소"
"86","00:05:22:05","00:05:23:05","단무지는?"
"87","00:05:25:00","00:05:26:14","원래 한 개는 안 오는데요"
"88","00:05:26:16","00:05:28:17","까묵었으면 까묵었다
얘기해라, 인마"
"89","00:05:29:01","00:05:31:05","- 담에 까묵지 마라
- 예"
"90","00:05:32:07","00:05:33:21","[배달원 중얼거리며]
한 개 시키고
맨날 단무지 시키고..."
"91","00:05:38:05","00:05:39:05","[후루룩]"
"92","00:05:41:05","00:05:43:00","여기가..."
"93","00:05:43:15","00:05:44:19","어서 오이소!"
"94","00:05:44:21","00:05:47:10","천천히 드이소
단무지 갖다 드릴게예"
"95","00:05:51:21","00:05:54:21","[멀리서 들리는 대화]"
"96","00:05:58:15","00:06:00:16","[고상한 클래식]"
"97","00:06:06:14","00:06:07:21","(변호사1)
30프로?"
"98","00:06:07:23","00:06:10:00","짜슥들이 우리를 봉으로 아나"
"99","00:06:10:02","00:06:11:23","저그들이
누구 덕에 먹고사는데?"
"100","00:06:12:11","00:06:15:12","(변호사2)
저그들은 저그들 때문에
우리가 먹고사는 줄 아는 기지"
"101","00:06:15:22","00:06:17:07","(변호사3)
뭐가 그리 심각하노?"
"102","00:06:17:17","00:06:19:11","(변호사2)
브로커!
수수료 올리 달라꼬"
"103","00:06:20:01","00:06:23:10","(변호사3)
느그들 그 송 뭐시긴가
대전에서 내려온 아 얘기 들었나?"
"104","00:06:23:12","00:06:27:09","글마 그, 나이트 삐끼들맨치로
찌라시 명함 돌리고 다닌단다"
"105","00:06:27:11","00:06:28:21","(변호사2)
나도 듣긴 들었다"
"106","00:06:28:23","00:06:30:22","(변호사1)
아니, 뭐 하는데
명함을 돌리고 그라노?"
"107","00:06:30:24","00:06:34:16","(변호사3)
그 뭐, 부동산 등기인가 뭔가
그거 한다 카드라"
"108","00:06:34:18","00:06:35:18","(변호사1)
등기?"
"109","00:06:36:14","00:06:38:24","하이고, 문디 등신"
"110","00:06:39:06","00:06:40:16","엔간히 일 없는갑다"
"111","00:06:40:18","00:06:43:03","(변호사2)
그런데 그거
사법서사가 하는 거 아이가?"
"112","00:06:43:11","00:06:44:14","변호사가 해도 되나?"
"113","00:06:45:01","00:06:47:20","얼마 전에 법이 바뀌가
인자 변호사도 된답니다"
"114","00:06:48:12","00:06:50:15","(변호사1)
거, 누가 말려야지
냅둬 가 되겠나?"
"115","00:06:51:04","00:06:52:16","금마 대학은 어디 나왔는데?"
"116","00:06:52:18","00:06:54:21","[변호사3 코웃음 치며]
대학은 무슨 대학?
고졸이라 카던데"
"117","00:06:54:23","00:06:56:15","(변호사1)
고졸?
[비웃는 변호사3]"
"118","00:06:56:17","00:07:01:14","[무릎을 탁 치며]
아, 그라니까네
그라는구만, 응?"
