No.,Timecode In,Timecode Out,Subtitle
"1","00:00:49:12","00:00:51:14","[삐걱삐걱]"
"2","00:00:57:08","00:00:59:08","[다가오는 차]"
"3","00:01:22:14","00:01:23:15","[멈추는 차]"
"4","00:01:24:23","00:01:26:04","아, 뭐여?"
"5","00:01:26:20","00:01:29:03","또 돼지들
싹 잡아다 파묻는 거여?"
"6","00:01:29:20","00:01:31:10","아이구, 구제역이 아니구유"
"7","00:01:31:22","00:01:34:03","아, 그 요 앞에
그 바이오 단지에서 뭐가 찌끔"
"8","00:01:34:08","00:01:35:12","샜다고 이러네유"
"9","00:01:35:14","00:01:38:23","- (공익) 아, 별거 아녀유
- 아, 접때두 그러드만!"
"10","00:01:40:13","00:01:43:04","이번에도 그냥 돼지들
싹 다 파묻는다 그러면"
"11","00:01:43:23","00:01:45:05","나 아주 환장혀!"
"12","00:01:45:16","00:01:46:17","[웃는 공익]"
"13","00:01:47:10","00:01:50:17","아이고, 걱정 붙들어 매고
얼른 들어가서 일 보셔유, 예?"
"14","00:01:51:17","00:01:52:21","아이, 들어가셔유"
"15","00:01:53:06","00:01:54:07","- (김 씨) 으휴
- (공익) 예"
"16","00:01:59:05","00:02:01:19","찌끔 새긴
뭐가 찌끔 샜단 말이여?
[혀 차는 소리]"
"17","00:02:03:02","00:02:05:06","저놈들 하는 말은
믿을 수가 있어야지
[혀 차는 소리]"
"18","00:02:06:20","00:02:08:20","[전화벨 소리]"
"19","00:02:11:02","00:02:13:05","[전화벨 소리]
(김 씨)
아이고, 아이고"
"20","00:02:14:13","00:02:16:01","에잇
[뭔가에 부딪히는 차]"
"21","00:02:16:03","00:02:17:12","아이고
[끼익 멈추는 소리]"
"22","00:02:25:13","00:02:27:07","(김 씨)
하이고, 참"
"23","00:02:28:10","00:02:29:13","[한숨 쉬는 김 씨]"
"24","00:02:36:14","00:02:39:02","에헤이
재수가 없으려니까 진짜, 씨
[혀 차는 소리]"
"25","00:02:40:00","00:02:40:21","[퉤]"
"26","00:02:42:00","00:02:43:01","[한숨 쉬는 김 씨]"
"27","00:02:44:20","00:02:45:21","으휴"
"28","00:03:14:10","00:03:16:10","[불안한 음악]"
"29","00:03:22:08","00:03:28:04","[북소리]"
"30","00:03:28:06","00:03:30:20","[커지는 불안한 음악]"
"31","00:03:34:11","00:03:35:11","상무님"
"32","00:03:35:14","00:03:37:02","(석우)
이 타이밍에 저희가 빠지면"
"33","00:03:37:04","00:03:39:05","남는 사람들 건 전부
휴지 조각 될 텐데요"
"34","00:03:39:19","00:03:41:18","아직 정확히 원인 규명도
안 됐고요"
"35","00:03:42:09","00:03:43:13","그리고 역정보 가능성도..."
"36","00:03:46:05","00:03:47:17","예, 그렇게 하겠습니다"
"37","00:03:49:15","00:03:50:15","예?"
"38","00:03:51:13","00:03:55:07","아휴, 아이, 아닙니다
아직 미천한 실력인데요, 뭐"
"39","00:03:56:11","00:03:59:09","예, 그럼 필드에서
기다리고 있겠습니다"
"40","00:04:00:07","00:04:02:00","예, 예, 들어가십시오"
