No.,Timecode In,Timecode Out,Subtitle
"1","00:00:51:04","00:00:53:00","[새들이 지저귄다]"
"2","00:01:04:00","00:01:06:07","[바람이 살랑살랑 분다]"
"3","00:01:10:23","00:01:13:00","[바람이 살랑살랑 분다]"
"4","00:01:24:07","00:01:26:14","[다가오는 경운기]"
"5","00:01:31:15","00:01:33:21","[잔잔한 음악]"
"6","00:01:40:23","00:01:42:20","[경운기 엔진음]"
"7","00:01:51:00","00:01:53:01","[아이들이 시끄럽게 떠든다]"
"8","00:02:04:19","00:02:06:22","[아이들이 즐겁게 떠든다]"
"9","00:02:10:17","00:02:12:23","(아이들)
똥차, 똥차"
"10","00:02:13:02","00:02:16:00","[아이들이 즐겁게 떠든다]"
"11","00:02:31:10","00:02:32:22","야, 거기 있지 말고 저쪽으로 가"
"12","00:02:37:20","00:02:39:01","[아이들의 웃음]"
"13","00:02:50:14","00:02:51:20","야, 너 저쪽으로 가라니까?"
"14","00:02:53:19","00:02:54:22","[두만의 깊은 한숨]"
"15","00:03:03:04","00:03:05:10","[아이들의 대화 소리가 들린다]"
"16","00:03:15:00","00:03:16:00","[침을 퉤 뱉는 두만]"
"17","00:03:16:02","00:03:19:01","- 야, 집에 가라
- (아이) 야, 집에 가라"
"18","00:03:19:03","00:03:21:09","- 이 새끼가...
- (아이) 이 새끼가"
"19","00:03:21:17","00:03:23:24","[아이들이 놀리는 소리]
저것들은 또 뭐야, 저거?"
"20","00:03:24:01","00:03:25:16","(아이)
저것들은 또 뭐야, 저거?"
"21","00:03:25:18","00:03:27:15","- 야, 인마!
- (아이) 야, 인마!"
"22","00:03:27:17","00:03:29:14","- 그거 제자리에 놔
- (아이) 제자리에 놔"
"23","00:03:29:19","00:03:31:23","[아이들이 시끄럽게 떠든다]"
"24","00:03:32:00","00:03:35:12","(농부)
야, 야, 그거 거기다 놔
거기다 놔! 놓고 가"
"25","00:03:35:14","00:03:36:23","- 야, 인마!
- 야, 인마!"
"26","00:03:37:00","00:03:38:15","그거 중요한 거니까
손대면 안 돼!"
"27","00:03:38:17","00:03:40:10","그거 중요한 거니까
손대면 안 돼!"
"28","00:03:40:13","00:03:43:01","[농부가 아이들과 실랑이한다]
저 새끼들 저..."
"29","00:03:43:03","00:03:44:23","아이, 저 새끼들 저거"
"30","00:03:46:04","00:03:47:11","[두만의 옅은 한숨]"
"31","00:04:04:23","00:04:07:08","[잔잔한 음악]"
"32","00:04:25:19","00:04:27:07","[긴장감 도는 음악]"
"33","00:04:27:09","00:04:28:09","너야?"
"34","00:04:29:04","00:04:31:22","너 죽은 박보희랑 사귀다가
작년 8월에 차였지?"
"35","00:04:32:10","00:04:33:12","맞아, 안 맞아?"
"36","00:04:34:20","00:04:35:18","(용의자1)
맞네요"
"37","00:04:36:11","00:04:37:14","맞네요?"
"38","00:04:37:24","00:04:40:01","이 쌍놈의 새끼
모자 벗어, 이 새끼야"
"39","00:04:42:06","00:04:44:07","(두만)
그래 가지고
여자들이 좋아하겠냐, 인마"
"40","00:04:45:15","00:04:46:13","영화"
"41","00:04:47:22","00:04:52:12","'보디 히트'를 본 후"
"42","00:04:53:03","00:04:55:14","'보디 히트'?
뭐, 액션이야? 응?"
"43","00:04:55:18","00:04:59:10","씁, 아, 액션, 액션, 아휴"
"44","00:04:59:13","00:05:00:21","[두만의 성난 신음]"
"45","00:05:02:23","00:05:04:15","[타자기 작동음]"
"46","00:05:06:03","00:05:07:22","이 새끼가 이거..."
"47","00:05:07:24","00:05:09:17","(두만)
뭐, 이렇게 사, 사건이 이렇게"
"48","00:05:09:19","00:05:12:16","부녀자 강간 살인 사건이니까
이런 질문을 좀 이해를 해 주시고"
"49","00:05:12:18","00:05:13:15","어..."
"50","00:05:14:00","00:05:15:07","뭐, 예를 들면 뭐"
"51","00:05:15:09","00:05:17:02","뭐, 섹, 뭐, 섹시하다든지"
"52","00:05:17:04","00:05:20:02","아니면 뭐, 예쁘다
뭐, 이런, 이런 느낌들 있죠?"
"53","00:05:20:06","00:05:21:09","첫 느낌?"
"54","00:05:22:12","00:05:23:10","그냥, 뭐"
"55","00:05:23:12","00:05:24:22","[용의자2의 헛기침]"
"56","00:05:24:24","00:05:27:17","시골 아가씨답지 않게 세련되고"
"57","00:05:29:06","00:05:30:08","눈 떠"
"58","00:05:31:10","00:05:32:14","[카메라 셔터음]"
"59","00:05:32:22","00:05:34:01","눈 감았지?"
"60","00:05:34:03","00:05:36:20","(두만)
야, 날 봐, 날, 어?"
"61","00:05:39:02","00:05:41:04","야, 하늘 쳐다보지 말고
날 보라고"
"62","00:05:42:10","00:05:44:13","씁, 눈이 원래 저렇나?"
"63","00:05:44:15","00:05:45:23","하나, 둘"
"64","00:05:48:07","00:05:49:22","[카메라 셔터음]"
"65","00:05:50:24","00:05:53:12","[라디오에서 음성이 흘러나온다]"
"66","00:05:58:18","00:06:01:12","(두만)
너 예전에
그 육사 간다고 그러지 않았냐?"
"67","00:06:02:03","00:06:03:19","육사 시험 쳤어, 어?"
"68","00:06:04:16","00:06:07:01","너 공부 잘해야 돼, 인마
육사 가려면, 어?"
"69","00:06:07:03","00:06:08:12","[시끌벅적하다]"
"70","00:06:08:14","00:06:09:17","[두만의 헛기침]"
"71","00:06:09:20","00:06:10:24","(두만)
영수증"
"72","00:06:11:01","00:06:12:14","(배달원)
얘기 안 했는데요?"
"73","00:06:13:03","00:06:15:13","(두만)
뭘 얘기를 안 해, 인마
영수증 가져오라고"
"74","00:06:16:07","00:06:17:15","얘기를 했는데"
"75","00:06:17:17","00:06:19:00","(배달원)
얘기 안 했는데요"
"76","00:06:19:02","00:06:21:17","(두만)
아이, 참, 저번에도 얘기 안 했다고
영수증 안 가져와 가지고"
"77","00:06:21:19","00:06:24:00","(형사)
야, 야, 야, 야, 박 형사"
"78","00:06:24:20","00:06:25:17","(두만)
너 이 새끼"
"79","00:06:25:20","00:06:28:23","전화받고도 얘기 안 했다고
거짓말 자꾸 하고
[형사의 고함 소리]"
"80","00:06:29:00","00:06:29:24","(두만)
아니, 이거 저..."
"81","00:06:30:01","00:06:33:08","(두만)
밥집 영수증을 줘야지
이 뭐, 자전거 영수증..."
"82","00:06:33:10","00:06:34:19","야! 영수증 빨리..."
"83","00:06:35:08","00:06:37:18","[멀리서 시끌벅적한 소리]"
"84","00:06:45:02","00:06:46:24","야, 아직 줄도 안 치고
뭐 하냐, 어?"
"85","00:06:47:01","00:06:48:12","야, 인마 손으로 그리지 말고"
"86","00:06:48:14","00:06:50:20","뭐, 각구목이라도 좀 구해 가지고
박고 그래라, 어?"
"87","00:06:50:22","00:06:52:15","- 이 새끼들 일하는 거 보면...
- (경찰1) 박 형사님!"
"88","00:06:52:17","00:06:54:08","- (두만) 진짜, 씨...
- (경찰1) 여기입니다"
"89","00:06:54:18","00:06:56:17","- (두만) 뭐야, 이거?
- 발자국입니다"
"90","00:06:56:19","00:06:58:01","이거 언제 발견했어?"
"91","00:06:58:03","00:07:00:05","예, 아침에 제가 발견했습니다"
"92","00:07:00:07","00:07:01:19","(두만)
야, 인마, 너
저, 저 새끼 좀 도와줘"
"93","00:07:01:21","00:07:03:22","- (경찰1) 아, 예
- (두만) 아이, 참..."
"94","00:07:03:24","00:07:05:02","야, 감식반들 연락했지?"
"95","00:07:05:04","00:07:07:11","(경찰1)
예, 예, 연락했습니다
금방 올 겁니다"
"96","00:07:07:13","00:07:09:04","[헛기침하며]
아이, 근데"
"97","00:07:09:07","00:07:11:03","그, 현장에 제보자가 없네? 어?"
"98","00:07:11:05","00:07:12:06","(구 반장)
뭐라고?"
"99","00:07:12:08","00:07:14:04","(두만)
아이, 뭐, 감식반도 안 오고"
"100","00:07:14:06","00:07:16:16","완전 지금 현장 보존
개판이야, 지금, 어?"
"101","00:07:16:21","00:07:18:24","에헤, 그 노인네, 거참"
"102","00:07:19:01","00:07:20:18","[아이들이 떠든다]
[아파하는 구 반장]"
"103","00:07:20:20","00:07:23:08","(두만)
야, 인마! 야, 저리 가!"
"104","00:07:23:16","00:07:25:07","야, 야, 야
애들 좀 치워라, 어?"
"105","00:07:25:10","00:07:26:18","(경찰)
야, 야, 일로 와"
"106","00:07:26:20","00:07:28:22","(두만)
아니, 누가
전화를 받았어요, 누가?"
"107","00:07:28:24","00:07:30:01","왜? 신고자 못 찾았냐?"
"108","00:07:30:06","00:07:32:20","아이, 전화를...
지금 현장 보존이 안 돼요"
"109","00:07:32:22","00:07:34:04","감식반 이 새끼들"
"110","00:07:34:13","00:07:36:11","감식반도 안 오고
이거 완전 개판이야, 이거, 어?"
"111","00:07:36:13","00:07:39:04","- (경찰2) 박 순경 어디 갔어?
- (구 반장) 인마, 무슨 얘기를"
"112","00:07:39:06","00:07:40:07","- (두만) 어이, 그 사진을
- (구 반장) 촌구석에서"
"113","00:07:40:09","00:07:41:05","- (구 반장) 이게 웬일이여
- (두만) 사진을..."
"114","00:07:41:07","00:07:42:20","찍으라고 할 때 찍어야지, 거 참"
"115","00:07:42:23","00:07:45:09","(구 반장)
아이, 기자들은
왜 이렇게 또 불렀냐"
"116","00:07:45:11","00:07:46:08","아나, 참말로"
"117","00:07:46:10","00:07:49:04","아이, 나보다, 내가 오니까
다 와 있던데 뭐, 벌써, 어?"
"118","00:07:49:06","00:07:50:08","뭣이야? 아, 이 새끼..."
"119","00:07:50:10","00:07:51:24","빠꿈이 박 기자 새끼 안 보이네?"
"120","00:07:52:01","00:07:53:04","- 어?
- 휴가 갔나?"
"121","00:07:53:06","00:07:54:09","글쎄, 나도 모르겠다"
"122","00:07:54:11","00:07:56:05","씹새끼 그거 안 보니까
속이 시원하네"
"123","00:07:56:07","00:07:58:12","야, 이거 인생 말년에
이거 무슨 꼬라지냐, 이거"
"124","00:07:58:15","00:07:59:10","내가 정말"
"125","00:07:59:14","00:08:02:08","아이, 이게 현장 보존이 돼야
뭐, 수사를 하든가 하지
[구 반장 투덜댄다]"
"126","00:08:02:11","00:08:03:21","- (두만) 어이, 어이! 경운기!
- 여 봐, 여 봐!"
"127","00:08:03:24","00:08:05:13","- 현장 보존 잘해!
- (경찰들) 예예"
"128","00:08:05:15","00:08:06:23","- (두만) 어이, 경운기!
- (구 반장) 잘하라고"
"129","00:08:07:00","00:08:10:21","(두만)
어이, 경운기!
아이, 경운기, 저리 가"
"130","00:08:10:23","00:08:12:10","저리 가요, 저리! 어이!"
"131","00:08:12:12","00:08:14:06","[두만이 농부를 만류한다]"
"132","00:08:14:12","00:08:15:11","어이!"
"133","00:08:16:12","00:08:19:13","아이...
아이, 사람이 손짓을 하면..."
"134","00:08:19:22","00:08:22:14","뭐, 귓구멍에 뭐, 씨발
밟고 가나, 씨발"
"135","00:08:22:16","00:08:23:13","에이"
"136","00:08:23:15","00:08:25:02","야, 이 새끼야, 너 이거..."
"137","00:08:25:11","00:08:27:01","아이고, 씨, 개새끼들"
"138","00:08:27:03","00:08:28:18","이제 나타나고 지랄이야
에휴, 씨발"
"139","00:08:28:21","00:08:30:01","[구 반장이 큰 소리로 지시한다]"
"140","00:08:30:19","00:08:34:08","(두만)
아니, 전화를 언제 했는데
지금 오면 어떡해! 어?"
"141","00:08:34:12","00:08:36:22","아이, 현장이 지금
보존도 안 돼..."
"142","00:08:36:24","00:08:38:10","지랄들 하고 있네, 뭐, 씨바"
"143","00:08:38:12","00:08:41:11","풀, 논두렁에 꿀 발라 놨냐?
콧구멍 처박게 전부 다, 어?"
"144","00:08:41:15","00:08:43:12","야, 이거
어떻게 된 거냐, 이거 씨"
"145","00:08:43:16","00:08:45:16","[전화벨 소리]"
"146","00:08:49:16","00:08:53:03","뭔 사진을 들여다보고 있냐?
자꾸 밥맛 날아가게시리"
"147","00:08:53:23","00:08:55:08","에이, 새끼"
"148","00:08:55:10","00:08:59:22","얘들 얼굴을 딱 보다 보면
어느 순간에 감이 딱 와"
"149","00:08:59:24","00:09:01:18","[구 반장의 어이없는 웃음]
직감적으로"
"150","00:09:01:23","00:09:03:05","네가 점쟁이냐?"
"151","00:09:03:19","00:09:05:22","아예 돗자리 깔아라, 어"
"152","00:09:06:00","00:09:07:04","에헤, 반장님도"
"153","00:09:07:06","00:09:09:18","[헛기침하며]
내가 다른 건 몰라도, 응?"
"154","00:09:09:21","00:09:11:18","이 사람 보는 눈은
있다는 거 아닙니까?"
"155","00:09:11:21","00:09:13:00","[구 반장의 기침 섞인 웃음]"
"156","00:09:13:02","00:09:14:16","그래서 이 순사밥도 먹는 거고"
"157","00:09:14:24","00:09:16:01","애들 다 나보고"
"158","00:09:16:03","00:09:19:08","'무당 눈깔, 무당 눈깔'
하는 이유가 따로 있다니까"
"159","00:09:20:10","00:09:21:17","야, 인마, 그러면"
"160","00:09:22:19","00:09:24:16","저기 앉은 저 두 놈 보이는 겨?"
"161","00:09:27:05","00:09:29:21","(구 반장)
저 둘 중의 한 놈은 강간범이고"
"162","00:09:29:23","00:09:32:11","또 한 명은
피해자 오빠다 그 말이여"
"163","00:09:32:12","00:09:33:09","그러니까"
"164","00:09:33:24","00:09:36:14","피해자 오빠가 자기 여동생"
"165","00:09:36:22","00:09:40:12","아, 이거 한 놈을
잡아 가지고 왔다 그거여, 어?"
"166","00:09:41:17","00:09:42:20","[구 반장이 살짝 웃는다]"
"167","00:09:42:22","00:09:45:09","[흥얼거리는 말투로]
어느 놈이 강간범인지"
"168","00:09:46:09","00:09:48:11","한번 알아맞혀 보시오"
"169","00:09:48:13","00:09:50:03","[고민하는 숨소리]"
"170","00:09:58:01","00:10:00:20","[두만의 신음]
[설영의 신음]"
"171","00:10:01:09","00:10:02:21","- 야
- (설영) 응?"
"172","00:10:02:23","00:10:04:07","빠진 것 같은데?"
"173","00:10:04:09","00:10:05:10","(설영)
진짜?"
"174","00:10:05:14","00:10:07:22","아이, 좀 제대로 좀 하자"
"175","00:10:07:24","00:10:08:24","[설영의 힘주는 신음]"
"176","00:10:10:08","00:10:12:08","[TV에서 음성이 흘러나온다]"
"177","00:10:13:04","00:10:16:04","내가 오늘 특별히
손수 한 방 놔 주겠어"
"178","00:10:16:07","00:10:17:19","아이고, 황송해라"
"179","00:10:17:21","00:10:19:07","[엉덩이를 탁탁 때리는 설영]"
"180","00:10:19:15","00:10:22:04","감기약 한 방 가지고 생색은"
"181","00:10:22:06","00:10:24:11","[기가 찬 숨을 내뱉으며]
이게 얼마짜리인데?"
"182","00:10:24:16","00:10:26:01","[두만이 숨을 깊게 내뱉는다]"
"183","00:10:27:08","00:10:29:06","- 곽설영이
- (설영) 응"
"184","00:10:29:21","00:10:32:21","너 병원 다닐 때보다
훨씬 짭짤하다며?"
"185","00:10:32:23","00:10:34:04","[입바람을 후 부는 설영]"
"186","00:10:34:06","00:10:35:14","(설영)
어휴, 쯧"
"187","00:10:35:19","00:10:39:02","동네 사람들 아프면
병원 안 가고 너만 찾는다는데?"
"188","00:10:39:04","00:10:42:07","(설영)
씁, 가만, 중요한 얘기"
"189","00:10:42:09","00:10:45:16","방앗간 할머니 링거 놨을 때
들은 얘기인데"
"190","00:10:46:18","00:10:50:06","왜 정솔면에
백 씨 고깃집이라고 있지?"
"191","00:10:51:04","00:10:52:04","백 씨?"
"192","00:10:53:00","00:10:54:04","그 집 백 씨가"
"193","00:10:54:06","00:10:56:11","[입바람을 후 불며]
무슨 백 씨인 줄 알아?"
"194","00:10:56:15","00:10:57:16","(두만)
뭔데?"
"195","00:10:57:22","00:11:00:18","[살짝 웃으며]
덮쳐라 백 씨래, 덮쳐라 백"
"196","00:11:02:02","00:11:03:09","여자를 덮치나?"
"197","00:11:03:11","00:11:04:15","(설영)
그렇지"
"198","00:11:05:08","00:11:06:07","근데"
"199","00:11:06:22","00:11:09:02","그 집에 맛이 간
아들놈이 하나 있거든?"
"200","00:11:09:04","00:11:10:06","백광호라고?"
"201","00:11:11:19","00:11:13:01","그 광호란 놈이"
"202","00:11:13:03","00:11:16:04","맨날 좋다고 따라다녔대요
이향숙이를"
"203","00:11:16:18","00:11:17:20","이향숙?"
"204","00:11:18:01","00:11:19:05","죽은 이향숙?"
"205","00:11:19:22","00:11:21:02","그래"
"206","00:11:21:22","00:11:25:13","지난번 겨울에
거들 뒤집어쓰고 죽은 여자"
"207","00:11:25:16","00:11:26:21","이향숙 맞지?"
"208","00:11:26:23","00:11:28:02","(두만)
맞지"
"209","00:11:29:06","00:11:30:20","그리고 더 중요한 건"
"210","00:11:31:12","00:11:33:15","이향숙이 살해되던 그 날 밤"
"211","00:11:34:14","00:11:38:08","광호가 이향숙 뒤를
졸졸 따라다니는 거 봤대요"
"212","00:11:38:24","00:11:39:24","[설영의 놀란 숨소리]"
"213","00:11:40:03","00:11:41:15","아, 진짜 봤대?"
"214","00:11:41:17","00:11:43:05","그렇다니까"
"215","00:11:43:18","00:11:44:17","그 할망구..."
"216","00:11:44:20","00:11:46:20","작년부터 노망났다는
얘기가 있던데?"
"217","00:11:47:02","00:11:48:13","아니야, 멀쩡해"
"218","00:11:53:03","00:11:57:03","씁, 그 아들놈이, 가만있어라"
"219","00:11:57:22","00:11:59:05","광, 뭐, 백광호?"
"220","00:11:59:07","00:12:00:11","그, 어떻게 생겼더라?"
"221","00:12:01:04","00:12:04:09","있잖아, 이쪽 얼굴이
좀..."
"222","00:12:04:11","00:12:06:02","[한숨 쉬며]
...그래"
"223","00:12:06:13","00:12:08:23","뭐, 좀 자세히 얘기해 봐"
"224","00:12:10:04","00:12:11:17","하여튼 좀 안됐어"
"225","00:12:12:24","00:12:14:23","[게임기 작동음]"
"226","00:12:15:21","00:12:17:17","[시끌벅적하다]"
"227","00:12:19:10","00:12:20:18","[광호의 웃음]"
"228","00:12:24:12","00:12:26:04","(광호)
잘하지, 어?"
"229","00:12:29:18","00:12:31:14","어? 어?"
"230","00:12:31:20","00:12:32:17","[광호의 웃음]"
"231","00:12:32:20","00:12:36:05","[찰싹, 찰싹]"
"232","00:12:36:22","00:12:38:22","(두만)
야, 백광호
[자를 탁 내던진다]"
"233","00:12:39:13","00:12:41:09","[작게 어르는 말투로]
그 인마, 남자들끼리
툭 까놓고, 새끼야"
"234","00:12:41:11","00:12:44:18","이쁜 여자 보면 좆도 꼴리고
씨바, 한번 하고 싶고"
"235","00:12:45:13","00:12:47:09","나, 인마
나도 너 나이 때, 새끼야"
"236","00:12:47:11","00:12:50:21","친구들끼리 어울려 다니면서 하고
다 이해해, 인마"
"237","00:12:51:15","00:12:52:13","너도 그..."
"238","00:12:53:09","00:12:54:16","뭐, 이향숙이를 그"
"239","00:12:54:18","00:12:57:04","처음부터 뭐, 죽이려고
그랬던 건 아닐 거야, 응?"
"240","00:12:57:11","00:12:59:21","어떻게 막, 쯧
젖이나 한번 만져 볼까"
"241","00:12:59:23","00:13:01:13","- 뭐, 이런, 어?
- 못 만졌어"
"242","00:13:01:15","00:13:02:16","그래서 죽였구나"
"243","00:13:02:19","00:13:04:09","죽여 놓고 이렇게 만져 보려고"
"244","00:13:04:11","00:13:05:17","아닌데?"
"245","00:13:06:15","00:13:08:16","[문이 철컹 열린다]
인마
[두만의 헛기침]"
"246","00:13:08:18","00:13:09:19","[다가오는 발걸음]"
"247","00:13:09:21","00:13:12:09","아휴, 저 아저씨도 인마
너처럼 참 어렵게 자랐어"
"248","00:13:12:11","00:13:13:08","어렵게 자라 갖고"
"249","00:13:13:19","00:13:15:08","되게 착해, 착하고"
"250","00:13:15:19","00:13:17:05","(두만)
남자가 정도 많고"
