No.,Timecode In,Timecode Out,Subtitle
"1","00:00:43:12","00:00:45:12","[잔잔한 음악]"
"2","00:00:46:03","00:00:47:20","[새가 짹짹 지저귄다]"
"3","00:01:52:04","00:01:53:00","(미소)
고마워"
"4","00:01:53:08","00:01:54:08","(재경)
고맙긴"
"5","00:01:54:15","00:01:55:20","네가 고생이 많지"
"6","00:01:56:04","00:01:57:00","고마워"
"7","00:01:58:22","00:02:00:22","(미소)
글이 잘 안 써지면 차나 마실까?"
"8","00:02:01:15","00:02:02:11","(재경)
아니"
"9","00:02:02:15","00:02:04:10","나 너 가면 논문 써야지"
"10","00:02:05:17","00:02:08:10","(미소)
그래, 난 얼른 퇴장할 테니
파이팅 해"
"11","00:02:08:13","00:02:09:09","(재경)
응"
"12","00:02:13:14","00:02:14:18","[재경의 한숨]"
"13","00:02:24:18","00:02:25:22","(미소)
저기, 재경아"
"14","00:02:26:13","00:02:27:08","(재경)
어?"
"15","00:02:28:15","00:02:30:00","(미소)
쌀 좀 남는 거 있어?"
"16","00:02:31:21","00:02:33:07","집에 쌀이 떨어져서"
"17","00:02:35:12","00:02:37:12","[잔잔한 음악]"
"18","00:03:02:09","00:03:04:09","[공원이 분주하다]"
"19","00:03:20:06","00:03:21:07","[한숨]"
"20","00:03:22:15","00:03:23:17","[사람들이 대화한다]"
"21","00:03:56:00","00:03:58:00","[바람 소리가 휭 들려온다]"
"22","00:04:06:11","00:04:08:11","[바람 소리가 휭 들려온다]"
"23","00:04:15:05","00:04:16:04","[미소의 신음]"
"24","00:04:16:06","00:04:17:05","[미소의 아파하는 신음]
(한솔)
어?"
"25","00:04:17:20","00:04:18:16","[한솔의 신음]"
"26","00:04:20:07","00:04:21:07","(한솔)
앗싸
[미소의 아쉬워하는 한숨]"
"27","00:04:21:19","00:04:23:08","[미소의 신음]"
"28","00:04:23:10","00:04:24:20","(미소)
아, 진짜 세"
"29","00:04:25:00","00:04:26:14","(한솔)
진짜지, 진짜
가짜가 어디 있어, 빨리 대"
"30","00:04:27:00","00:04:28:09","[미소의 겁먹은 신음]
간다"
"31","00:04:29:06","00:04:30:05","[한솔의 아쉬운 숨소리]"
"32","00:04:30:22","00:04:31:18","[한솔의 신음]"
"33","00:04:33:05","00:04:34:14","[미소의 신음]"
"34","00:04:34:16","00:04:35:17","[한솔이 깔깔 웃는다]"
"35","00:04:36:15","00:04:37:13","[미소가 울먹인다]"
"36","00:04:40:20","00:04:41:16","[한솔의 웃음]"
"37","00:04:43:16","00:04:44:13","[미소가 코를 훌쩍인다]"
"38","00:04:47:12","00:04:48:17","[한솔의 어르는 신음]"
"39","00:04:51:01","00:04:51:23","(한솔)
일로 와 봐"
"40","00:04:58:18","00:04:59:14","[한솔이 숨을 후 내뱉는다]"
"41","00:05:01:18","00:05:03:12","우리 안 한 지
너무 오래된 것 같은데"
"42","00:05:07:04","00:05:08:00","응?"
"43","00:05:09:13","00:05:10:23","[차분한 음악]
(미소)
그러네"
"44","00:05:36:12","00:05:37:08","[미소의 힘겨운 신음]"
"45","00:05:45:04","00:05:46:20","[미소의 다급한 숨소리]"
"46","00:05:52:22","00:05:54:10","[미소의 떨리는 숨소리]
[한솔의 거친 숨소리]"
"47","00:05:55:09","00:05:56:17","(미소)
아아, 차가워"
"48","00:05:57:16","00:05:58:15","아, 차가워"
"49","00:06:01:05","00:06:02:03","[미소의 긴장되는 숨소리]"
"50","00:06:02:18","00:06:04:04","(미소)
어유, 너무 춥다"
"51","00:06:05:16","00:06:06:21","[한솔과 미소의 거친 숨소리]"
"52","00:06:07:23","00:06:08:21","[한솔의 깊은 한숨]"
"53","00:06:10:05","00:06:11:03","(한솔)
안 되겠지?"
"54","00:06:13:21","00:06:14:17","[미소의 헛웃음]"
"55","00:06:17:07","00:06:18:05","춥긴 춥다"
"56","00:06:23:02","00:06:24:00","(미소)
추워"
"57","00:06:25:07","00:06:26:22","[한솔이 숨을 후 뱉는다]"
"58","00:06:26:24","00:06:28:11","[바람 소리가 휭 들려온다]"
"59","00:06:28:13","00:06:29:20","[한솔과 미소의 떨리는 숨소리]"
"60","00:06:33:02","00:06:34:01","(한솔)
봄에 하자"
"61","00:06:35:01","00:06:35:23","(미소)
어"
"62","00:06:37:08","00:06:39:11","[미소의 떨리는 숨소리]
[아련한 음악]"
"63","00:06:40:11","00:06:41:14","- (미소) 이거 해
- (한솔) 응?"
"64","00:06:47:16","00:06:48:20","[미소와 한솔의 힘주는 신음]"
"65","00:06:48:22","00:06:49:19","[미소의 웃음]"
"66","00:06:58:15","00:06:59:14","[한솔의 아쉬워하는 신음]"
"67","00:07:00:23","00:07:02:22","[미소의 아쉬워하는 신음]
(한솔)
같이 있고 싶다"
"68","00:07:04:05","00:07:05:18","(미소)
같이 있자"
"69","00:07:07:22","00:07:08:21","(한솔)
가야지"
"70","00:07:11:03","00:07:12:01","[미소의 아쉬워하는 신음]"
"71","00:07:25:10","00:07:26:18","[과자를 아작 씹는다]"
"72","00:07:35:24","00:07:36:23","[동전이 잘그락거린다]"
"73","00:07:45:23","00:07:47:09","[돈통을 드르륵 닫는다]"
"74","00:08:00:02","00:08:00:24","[노크 소리가 들린다]"
"75","00:08:05:22","00:08:06:23","누구세요?"
"76","00:08:07:24","00:08:08:21","(집주인)
주인이다"
"77","00:08:12:20","00:08:13:17","[집주인이 기침한다]"
"78","00:08:14:19","00:08:15:17","[문이 달칵 열린다]"
