No.,Timecode In,Timecode Out,Subtitle
"1","00:00:43:05","00:00:46:10","‪[휴대폰 알람음]‬"
"2","00:00:52:01","00:00:54:24","‪[계속되는 알람]‬"
"3","00:00:58:01","00:01:03:24","‪[힘겹게 손 뻗는 숨소리]‬"
"4","00:01:04:16","00:01:06:11","‪[알람음이 꺼진다]‬
‪[휴대폰 조작음]‬"
"5","00:01:06:13","00:01:07:12","‪[하품한다]‬"
"6","00:01:07:14","00:01:10:12","‪[몸 일으키는 숨소리]‬"
"7","00:01:13:21","00:01:15:11","‪[옅은 한숨]‬"
"8","00:01:15:13","00:01:17:21","‪(나미) 노래 틀어줘‬
‪[기지개하는 숨소리]‬"
"9","00:01:20:11","00:01:22:16","‪[삐삐밴드의 ‘안녕하세요’ 재생]‬"
"10","00:01:23:05","00:01:25:06","‪[연이은 휴대폰 알림음]‬"
"11","00:01:31:17","00:01:32:23","‪[신나는 탄성]‬"
"12","00:01:33:14","00:01:34:24","‪[카메라 셔터음]‬"
"13","00:01:39:03","00:01:40:12","‪[뾰로롱 효과음]‬"
"14","00:01:40:15","00:01:42:12","‪[자동차 경적]‬"
"15","00:01:43:02","00:01:44:18","‪(나미) 안녕하세요‬
‪[삑 소리]‬"
"16","00:01:50:19","00:01:52:21","‪(유튜버) 창업 준비 중이신‬
‪우리 직장인 여러분들‬"
"17","00:01:54:11","00:01:55:16","‪- (나미) 안녕하세요‬
‪- 어‬"
"18","00:02:01:17","00:02:03:13","‪(추영) 샐러드 시킬 건데‬
‪같이할래요?‬"
"19","00:02:03:15","00:02:04:11","‪(수진) 어, 네‬"
"20","00:02:06:01","00:02:07:15","‪[휴대폰 알림음과 진동음]‬"
"21","00:02:07:17","00:02:09:01","‪[‘노’ 영어 효과음]‬"
"22","00:02:09:03","00:02:11:15","‪[게임 속 총소리와 비명]‬"
"23","00:02:13:22","00:02:15:02","‪[휘파람 효과음]‬
‪[비명]‬"
"24","00:02:15:04","00:02:17:02","‪[휴대폰 진동음]‬"
"25","00:02:17:21","00:02:20:12","‪(나미) 네, 안녕하세요‬
‪저희 맛있고냑인데요‬"
"26","00:02:20:14","00:02:21:22","‪[째깍째깍 효과음]‬"
"27","00:02:22:13","00:02:23:19","‪(은미) 잘 가요‬"
"28","00:02:23:21","00:02:25:13","‪[야구 중계 소리]‬"
"29","00:02:30:19","00:02:31:18","‪[삑 소리]‬"
"30","00:02:31:20","00:02:34:02","‪아직 구독을 누르지 않으셨다면…‬"
"31","00:02:39:03","00:02:40:01","‪[초인종 효과음]‬"
"32","00:02:43:24","00:02:45:05","‪[샤라랑 효과음]‬"
"33","00:02:47:03","00:02:48:01","‪[삑 소리]‬"
"34","00:02:50:24","00:02:51:24","‪[삑 소리]‬"
"35","00:02:55:05","00:02:56:02","‪(모두) 짠‬"
"36","00:02:57:03","00:03:01:00","‪[웃음소리]‬
‪(주영) 나 좋아해, 날, 날, 걔가‬
‪(진슬) 널 왜 좋아해?‬"
"37","00:03:01:02","00:03:02:10","‪[딩동 초인종 효과음]‬"
"38","00:03:02:23","00:03:04:18","‪(진슬) 겁나 많이 먹었어‬"
"39","00:03:08:13","00:03:12:10","‪[모두 큰 소리로 노래한다]‬
‪[음악이 느려지며 기괴해진다]‬"
"40","00:03:12:12","00:03:14:14","‪(진슬) [술 취한 말투로]‬
‪야, 그거 같이 찍어야지‬"
"41","00:03:14:16","00:03:16:18","‪- (나미) 아, 알았어‬
‪- (주영) 이리 와, 이리 와‬"
"42","00:03:16:20","00:03:18:04","‪(나미) 오케이, 오케이!‬"
"43","00:03:18:07","00:03:19:13","‪(연교) 야, 붙어, 붙어!‬"
"44","00:03:19:15","00:03:23:12","‪- (나미) 하나, 둘, 셋!‬
‪- (진슬) 냐아…‬"
"45","00:03:24:22","00:03:27:01","‪[버스가 달린다]‬
‪[휴대폰이 툭 떨어진다]‬"
"46","00:03:29:05","00:03:31:05","‪[곤히 잠든 숨소리]‬"
"47","00:03:35:10","00:03:39:00","‪[버스가 끼익 선다]‬
‪[문이 열린다]‬"
"48","00:03:39:02","00:03:40:02","‪(나미) 어?‬"
"49","00:03:40:18","00:03:43:10","‪[다급하게] 어, 아, 잠시만요!‬
‪잠시만요…‬"
