No.,Timecode In,Timecode Out,Subtitle
"1","00:00:48:05","00:00:50:05","[잔잔한 음악]"
"2","00:01:11:03","00:01:13:03","[시계 초침이 째깍째깍한다]"
"3","00:01:16:22","00:01:18:23","[자명종이 울린다]"
"4","00:01:21:14","00:01:22:14","[나미의 옅은 숨소리]"
"5","00:01:30:01","00:01:32:01","[부드러운 음악이 흘러나온다]"
"6","00:01:47:15","00:01:49:01","[나미 남편의 졸린 숨소리]"
"7","00:01:49:10","00:01:50:19","(나미)
예빈아, 일어나"
"8","00:01:51:24","00:01:55:14","일어날 시간이야, 얼른 일어나
[예빈의 귀찮은 신음]"
"9","00:01:59:19","00:02:01:09","[나미가 찰랑 세수를 한다]"
"10","00:02:04:01","00:02:05:09","[개운한 숨소리]"
"11","00:02:13:12","00:02:15:04","[그릇이 달그락거린다]"
"12","00:02:16:21","00:02:17:19","뉴스 좀"
"13","00:02:20:18","00:02:21:16","[라디오 작동음]"
"14","00:02:21:18","00:02:23:05","[라디오에서 음성이 흘러나온다]"
"15","00:02:23:11","00:02:25:01","할머니 병원 좀 가 보지들"
"16","00:02:25:03","00:02:27:22","- 잘 먹었습니다
- 마저 먹어"
"17","00:02:30:18","00:02:32:24","응?
[휴대전화 벨 소리]"
"18","00:02:35:01","00:02:37:07","(나미 남편)
당신 거랑 장모님 거랑 해서"
"19","00:02:38:02","00:02:39:02","백 하나씩 사"
"20","00:02:39:13","00:02:40:12","[문이 달칵 열린다]"
"21","00:02:40:14","00:02:42:14","[다가오는 발걸음]"
"22","00:02:48:17","00:02:49:14","너도 줘?"
"23","00:02:50:20","00:02:51:20","아빠, 사랑해요"
"24","00:02:55:14","00:02:57:12","[신발을 달그락 신는다]"
"25","00:02:59:22","00:03:02:05","[도어 록 작동음]
할머니한테 전화라도 드려"
"26","00:03:05:08","00:03:06:10","[도어 록 작동음]"
"27","00:03:10:11","00:03:13:17","(TV 속 쇼 호스트1)
남편만 조금씩 조금씩 먹이고
이러셨던 거예요"
"28","00:03:13:19","00:03:17:04","(TV 속 쇼 호스트2)
그렇습니다, 이 안에 있는 점액질
끈적끈적한 거"
"29","00:03:21:23","00:03:24:10","(TV 속 성우)
한 여고생에게 벌어진 끔찍한 사건"
"30","00:03:24:12","00:03:26:12","[변조된 음성이 흘러나온다]"
"31","00:03:33:23","00:03:35:07","[옅은 숨소리]"
"32","00:03:38:20","00:03:39:24","[쟁반을 탁 내려놓는다]"
"33","00:03:40:08","00:03:41:11","[나미의 힘겨운 숨소리]"
"34","00:03:41:13","00:03:42:24","[빵을 부스럭 집는다]"
"35","00:03:43:01","00:03:44:05","[숨을 깊게 내뱉는다]"
"36","00:03:50:04","00:03:51:21","[창밖이 시끌벅적하다]"
"37","00:03:53:19","00:03:55:17","[학생들이 시끌벅적하다]"
"38","00:03:56:14","00:03:57:16","[잔잔한 음악]"
"39","00:03:57:18","00:03:59:01","[옅은 웃음]"
"40","00:04:22:09","00:04:23:11","[엘리베이터 도착음]"
"41","00:04:23:13","00:04:25:01","[안내 방송이 흘러나온다]"
"42","00:04:25:03","00:04:27:03","- 안녕하세요?
- (간호사) 안녕하세요?"
"43","00:04:27:05","00:04:29:03","- (나미) 이것 좀
- 아, 아니에요"
"44","00:04:29:04","00:04:30:03","네, 아니에요"
"45","00:04:30:05","00:04:31:17","- (간호사) 감사합니다
- 네"
"46","00:04:32:05","00:04:34:03","왜 날 유혹했죠?
내가 사장 딸이라서?"
"47","00:04:34:05","00:04:35:20","(나미 모)
마음에 들고말고"
"48","00:04:36:17","00:04:38:01","샤넬인디"
"49","00:04:38:12","00:04:39:23","[나미 모의 웃음]
[피식한다]"
"50","00:04:40:16","00:04:41:22","[웃음]"
"51","00:04:42:08","00:04:45:19","아이고, 신경 썼고
고만 일 보소"
"52","00:04:46:01","00:04:47:09","예, 예"
"53","00:04:47:15","00:04:48:24","[웃으며]
아이고, 난"
"54","00:04:49:13","00:04:52:07","아니, 저기
여, 여, 여, 여그"
"55","00:04:52:22","00:04:54:13","우리 사위가"
"56","00:04:55:01","00:04:56:15","샤넬"
"57","00:04:56:17","00:04:58:18","[사람들이 부러워한다]
[나미 모의 웃음]"
"58","00:04:59:05","00:05:00:09","[멋쩍은 웃음]"
"59","00:05:00:11","00:05:01:14","[좋아하는 나미 모]"
"60","00:05:01:16","00:05:04:03","회사 인수라는 게 쉽지가 않나 봐"
"61","00:05:05:23","00:05:10:06","홍 서방이
저리 잘될 줄은 으찌 알았겄어"
"62","00:05:10:23","00:05:12:24","니 오빠 저럴 줄은 또 어째 알고"
"63","00:05:13:16","00:05:17:18","학교 때 노동 운동이다 뭐다
지랄을 허더만은"
"64","00:05:18:04","00:05:20:14","직원들 월급이나 횡령하고 말이야
[한숨]"
"65","00:05:20:21","00:05:23:07","[과일을 슥슥 깎으며]
인생은 아이러니한 거니께"
"66","00:05:23:14","00:05:27:06","너는 인자 사투리가 어색하구마"
"67","00:05:28:20","00:05:31:04","아따, 서울 사람 다 됐는갑지"
"68","00:05:31:23","00:05:32:20","[웃음]"
"69","00:05:32:22","00:05:34:20","(환자)
남매는 아니겠지?
[놀란 숨소리]"
"70","00:05:34:22","00:05:36:09","우린 남매야
[놀란 숨소리]"
"71","00:05:36:11","00:05:39:10","[사람들이 어이없어한다]
(나미 모)
아, 뭐여, 뭐여, 아이고"
"72","00:05:39:12","00:05:41:15","어이가 없네, 그거
아이고, 말, 말도..."
"73","00:05:42:01","00:05:45:02","내가 뭐, 뭐, 뭐, 내가, 뭐라
내가 뭐라 그랬어, 내가"
"74","00:05:45:04","00:05:47:09","[춘화의 고통스러운 신음]
- 수고하세요
- 네"
"75","00:05:47:11","00:05:49:19","(춘화)
나 이제 죽어
[춘화의 고통스러운 신음]"
"76","00:05:49:21","00:05:51:12","(의사)
언제부터 이런 거야, 괜찮으세요?"
"77","00:05:51:15","00:05:53:09","(간호사1)
어제까지만 해도 괜찮으셨거든요?"
"78","00:05:53:10","00:05:55:21","[춘화의 고통스러운 신음]
(간호사2)
좀만 참으세요"
"79","00:05:56:05","00:05:58:04","(간호사1)
좀만 참으세요, 춘화 씨"
"80","00:05:58:06","00:05:59:16","(간호사2)
춘화 씨, 잠깐만"
"81","00:06:01:15","00:06:03:18","[춘화의 고통스러운 신음]"
"82","00:06:29:02","00:06:30:09","[문이 끼익 열린다]"
"83","00:06:30:11","00:06:31:23","[문이 탁 닫힌다]"
"84","00:06:36:07","00:06:37:19","[예빈이 책을 탁 꺼낸다]"
"85","00:06:41:19","00:06:42:23","[당황한 숨을 들이켠다]"
"86","00:06:47:16","00:06:48:20","[옅은 숨소리]"
"87","00:06:49:03","00:06:51:06","[예빈과 나미의 비명]"
"88","00:06:55:10","00:06:57:11","- 돈 줘?
- 왜 거기 있어?"
"89","00:06:57:13","00:07:00:09","- 아빠가 아침에 줬잖아
- 아, 왜 거기 있냐고"
"90","00:07:00:11","00:07:02:22","필요하면 달라 그러지
왜 몰래 꺼내 가"
"91","00:07:02:24","00:07:04:16","몰래 꺼내 가긴
누가 몰래 꺼내 가"
"92","00:07:04:18","00:07:05:16","자는 줄 알았지"
"93","00:07:05:18","00:07:08:04","[문이 달칵 열린다]
(나미)
예빈아, 너 왜 그래"
"94","00:07:08:06","00:07:09:03","무슨 일 있어?"
"95","00:07:09:05","00:07:11:11","(예빈)
진짜 책인 줄 알았단 말이야
[문이 쾅 닫힌다]"
"96","00:07:11:13","00:07:14:10","- (나미) 무슨 일 있었냐고
- (예빈) 없었다고!"
"97","00:07:14:12","00:07:16:10","[애잔한 음악이 흘러나온다]
오로지 너야"
"98","00:07:16:12","00:07:17:10","[한숨]"
"99","00:07:17:13","00:07:20:14","그 나이가 다 폭풍의 계절이고
청춘의 덫인 거여"
"100","00:07:20:16","00:07:22:19","엄마는 뿔이 났어도
사랑이 뭐길래"
"101","00:07:23:04","00:07:26:18","아들과 딸을 둔 채로
완전한 사랑을 요구받는 게
[나미의 어이없는 웃음]"
"102","00:07:27:10","00:07:28:08","애미인 게지"
"103","00:07:29:03","00:07:31:17","연속극을 너무 보셨어
[나미 모의 한숨]"
"104","00:07:32:08","00:07:34:05","너 클 때는, 어"
"105","00:07:34:20","00:07:38:03","다 알아서 순허게
너 혼자 큰지 아냐"
"106","00:07:39:00","00:07:40:20","난 그 정도는 아니었지"
"107","00:07:41:08","00:07:45:05","그 정도는 아니었지
대박이었지, 넌"
"108","00:07:45:07","00:07:46:06","[어이없는 웃음]"
"109","00:07:46:08","00:07:47:21","(환자)
불치병은 아니겠지"
"110","00:07:47:23","00:07:50:19","얼마 못 산대
[절망적인 음악이 흘러나온다]
[놀란 숨소리]"
"111","00:07:50:21","00:07:53:07","[사람들이 어이없어한다]
(나미 모)
아, 뭐여, 뭐여"
"112","00:07:53:08","00:07:56:06","저러니 짜증 나 갖고 안 본다니까
한심하고 정말 열받네"
"113","00:07:56:17","00:08:00:04","아, 아, 안, 안 먹어야
안 먹어야, 아유, 안 먹어"
"114","00:08:00:06","00:08:01:05","[아파하는 나미 모]"
"115","00:08:12:12","00:08:13:17","[나미의 한숨]"
"116","00:08:15:24","00:08:17:01","계세요?"
"117","00:08:23:00","00:08:25:06","안 계시나요"
"118","00:08:32:21","00:08:34:22","(춘화)
♪ 그저 ♪
[놀란 숨을 들이켠다]"
"119","00:08:34:24","00:08:37:19","♪ 바라만 보고 있지 ♪"
"120","00:08:43:18","00:08:45:03","♪ 그저 ♪"
"121","00:08:46:07","00:08:49:16","♪ 눈치만 보고 있지 ♪"
"122","00:08:51:20","00:08:52:18","[웃음]"
"123","00:08:53:13","00:08:54:16","[반가운 숨을 내뱉는다]"
"124","00:08:55:11","00:08:57:07","[창밖의 소음]"
"125","00:08:57:14","00:08:59:00","(나미)
뭐래, 병원에선?"
"126","00:08:59:22","00:09:04:07","어, 한 두 달 남았다나?"
"127","00:09:06:10","00:09:07:11","많이 아파?"
"128","00:09:08:14","00:09:10:11","[고민하는 숨을 내뱉으며]
글쎄"
"129","00:09:11:04","00:09:14:16","씁, 한 바늘 천 개 정도가"
"130","00:09:15:15","00:09:17:04","동시에 그냥 훅!
[놀란 나미]"
"131","00:09:17:13","00:09:18:13","[나미의 놀란 숨소리]"
"132","00:09:18:16","00:09:20:10","[웃으며]
이렇게 찌르는 느낌?"
"133","00:09:20:12","00:09:22:00","[춘화의 웃음]"
"134","00:09:26:08","00:09:27:06","[웃음]"
"135","00:09:29:15","00:09:30:12","임나미"
"136","00:09:32:05","00:09:33:09","나잇값도 못 하고"
"137","00:09:33:23","00:09:36:01","아직까지도
누가 이렇게 이쁘래, 어?"
"138","00:09:37:15","00:09:38:13","하춘화"
"139","00:09:39:08","00:09:40:10","[춘화의 옅은 숨소리]"
"140","00:09:41:19","00:09:43:14","너도 암 환자치고는 이뻐"
"141","00:09:45:02","00:09:47:16","[춘화와 나미의 웃음]"
"142","00:09:48:21","00:09:50:01","[휴대전화 벨 소리]"
"143","00:09:54:02","00:09:56:06","[휴대전화 조작음]
어, 네"
"144","00:09:58:02","00:09:59:00","내일?"
"145","00:10:00:02","00:10:01:06","얼마나 가는데?"
"146","00:10:02:17","00:10:03:21","두 달이나 걸려?"
"147","00:10:06:10","00:10:10:11","아, 아, 어, 알았어요"
"148","00:10:14:12","00:10:15:18","갑자기
[웃음]"
"149","00:10:15:20","00:10:18:07","출장 간다네, 남편?"
"150","00:10:18:20","00:10:21:13","어, 가 봐야지?"
"151","00:10:22:05","00:10:25:20","자주 올게
저, 내가 뭐 도와줄 거 없어?"
"152","00:10:27:06","00:10:28:07","얼른 가"
"153","00:10:29:13","00:10:30:22","[옅은 한숨]"
"154","00:10:34:24","00:10:36:10","[멀어지는 발걸음]"
"155","00:10:36:12","00:10:38:13","도와줄 거 생각났는데"
"156","00:10:39:05","00:10:40:13","어, 얘기해"
"157","00:10:41:22","00:10:42:23","음..."
"158","00:10:44:22","00:10:47:14","너 보니까 보고 싶다"
"159","00:10:49:00","00:10:49:22","누구?"
"160","00:10:51:20","00:10:52:18","써니"
"161","00:10:55:03","00:10:59:00","죽기 전에 꼭 한번 보고 싶어"
"162","00:11:01:00","00:11:01:24","[울음 섞인 웃음]"
"163","00:11:02:24","00:11:05:13","(나미)
혈압약 거르지 말고
무서운 데 가지 말고"
"164","00:11:05:21","00:11:08:12","예빈이 건 따로 챙겨 줬으니까
당신 다 써"
"165","00:11:09:06","00:11:11:09","[안내 방송이 흘러나온다]"
"166","00:11:11:13","00:11:12:15","돈 있어"
"167","00:11:13:11","00:11:16:03","(나미 남편)
친구하고도 좀 놀아 주고
얼마 안 남았다며"
"168","00:11:17:10","00:11:19:12","예빈이 시험 얼마 남았다고"
"169","00:11:22:11","00:11:24:04","(나미 남편)
응, 다녀올게"
"170","00:11:27:05","00:11:28:19","(봉 기사)
조심히 다녀오십시오"
"171","00:11:31:06","00:11:34:05","(봉 기사)
아, 이 길이 원래
막히는 길이 아닌데, 참"
"172","00:11:34:07","00:11:36:14","[봉 기사가 중얼거린다]"
"173","00:11:36:16","00:11:38:24","이 시내가 원래
이 시간에 참 잘 빠지거든요"
"174","00:11:39:01","00:11:41:16","[창밖이 시끌벅적하다]
[봉 기사의 멋쩍은 웃음]"
"175","00:11:42:02","00:11:43:18","아니, 또 왜 껴들고 난리야"
"176","00:11:44:16","00:11:45:16","[라디오 교통방송]
봉 기사님?"
"177","00:11:46:23","00:11:49:04","[학생들이 시끌벅적하다]"
"178","00:11:49:09","00:11:51:09","[부드러운 음악]"
"179","00:12:01:05","00:12:02:14","죄송합니다"
"180","00:12:05:07","00:12:06:10","[나미의 아파하는 신음]"
"181","00:12:06:12","00:12:07:22","아, 뭐야"
"182","00:12:08:21","00:12:10:23","[학생들이 시끌벅적하다]"
"183","00:12:32:18","00:12:33:22","(학생1)
내가 갖네"
