No.,Timecode In,Timecode Out,Subtitle
"1","00:00:17:18","00:00:20:11","[무거운 음악]"
"2","00:01:09:19","00:01:12:23","[시장이 시끌벅적하다]"
"3","00:01:14:04","00:01:15:10","(형민)
누가 죽였다는데?"
"4","00:01:15:15","00:01:17:09","(정봉)
그런 말은 안 하지요, 헹님"
"5","00:01:17:11","00:01:18:08","[오토바이 경적]"
"6","00:01:18:16","00:01:20:15","아이, 씨발, 오토바이, 진짜"
"7","00:01:20:22","00:01:22:14","(형민)
그라믄 내한테는 말한다드나?"
"8","00:01:22:16","00:01:25:01","(정봉)
아, 그럴 가능성이 있으니까
보자는 거 아이겠는교?"
"9","00:01:31:08","00:01:32:04","(정봉)
일마 안 왔나?"
"10","00:01:35:21","00:01:37:24","(식당 주인)
곱빼기? 아니면 보통?"
"11","00:01:38:06","00:01:39:20","(정봉)
좀 있다 한 사람 더 올 긴데, 아지매"
"12","00:01:40:12","00:01:42:01","(식당 주인)
여기 곱빼기 세 개"
"13","00:01:42:03","00:01:43:02","(정봉)
아, 오네"
"14","00:01:49:22","00:01:50:21","[코를 훌쩍인다]"
"15","00:01:51:13","00:01:52:14","(태오)
강태오입니다"
"16","00:01:53:17","00:01:54:17","어, 앉아라"
"17","00:01:57:19","00:01:58:17","[코를 훌쩍인다]"
"18","00:02:05:10","00:02:07:12","(형민)
무슨 소리고? 시체를 옮겼다는 게"
"19","00:02:08:06","00:02:10:07","(태오)
아, 한 육칠 년 전에"
"20","00:02:10:09","00:02:14:04","산에다가 시커먼 비닐봉다리 하나를
묻은 적이 있거든예"
"21","00:02:14:11","00:02:15:21","(형민)
근데 그게 사람 같드나?"
"22","00:02:18:18","00:02:22:13","(태오)
묵직하고 물컹거리가
던지려고 딱 잡는데"
"23","00:02:22:18","00:02:26:04","여기, 여기가 딱 잡히는 것 같드라고예"
"24","00:02:26:06","00:02:27:02","[태오가 코를 훌쩍인다]"
"25","00:02:28:05","00:02:29:06","몸이 접히가?"
"26","00:02:29:16","00:02:31:16","아니예, 토막예"
"27","00:02:36:14","00:02:37:10","[태오가 코를 훌쩍인다]"
"28","00:02:42:18","00:02:44:03","[태오가 국수를 후루룩 먹는다]
혼자 옮겼나?"
"29","00:02:44:06","00:02:45:05","(태오)
예"
"30","00:02:46:21","00:02:48:00","무거웠을 긴데"
"31","00:02:48:08","00:02:49:08","무거웠지예"
"32","00:02:51:09","00:02:52:15","와 니가 옮겼는데?"
"33","00:02:53:18","00:02:57:11","그때 노름빚이 좀 있어가
돈 준다 캐서"
"34","00:02:57:13","00:02:58:14","[태오가 국수를 후루룩 먹는다]"
"35","00:02:58:16","00:02:59:22","시킨 놈은 누군데?"
"36","00:03:06:09","00:03:09:09","에이, 아무리 그래도"
"37","00:03:09:19","00:03:12:24","저 믿고 일 준 사람을
우째 팔아먹습니까?"
"38","00:03:13:01","00:03:14:00","[태오가 코를 훌쩍인다]"
"39","00:03:14:06","00:03:15:23","한 육칠 년 됐다매?"
"40","00:03:16:19","00:03:18:01","묻은 장소는 어데고?"
"41","00:03:19:14","00:03:20:24","골프 친다면서요?"
"42","00:03:27:06","00:03:28:04","그래, 와?"
"43","00:03:28:17","00:03:30:19","혹시 돈 좀 있습니까?"
"44","00:03:30:21","00:03:31:20","(배달원)
밀가루 배달 왔습니다"
"45","00:03:31:23","00:03:32:18","얼마나?"
"46","00:03:32:24","00:03:35:12","그거야 뭐, 헹님이 알아서..."
"47","00:03:36:08","00:03:37:05","[태오가 코를 훌쩍인다]"
"48","00:03:41:19","00:03:46:22","(형민)
마, 니 몸에서
젓국 냄새 난다, 이 새끼야, 어?"
"49","00:03:47:05","00:03:50:04","목욕 좀 하고
말하고 싶을 때 연락해라"
"50","00:03:52:14","00:03:55:04","아, 이거로 말이 나옵니까?"
"51","00:03:55:12","00:03:56:10","[헛웃음]"
"52","00:03:56:20","00:03:58:19","(형민)
그럼 얼마를 더 줘야
니 비싼 주둥이가..."
"53","00:03:58:21","00:03:59:18","[태오의 놀라는 신음]"
"54","00:03:59:20","00:04:00:19","[사람들의 놀라는 신음]"
"55","00:04:00:21","00:04:01:21","(태오)
새끼야!"
"56","00:04:04:02","00:04:05:11","[태오의 힘주는 신음]"
"57","00:04:05:13","00:04:07:11","놔! 너 뭐야!"
"58","00:04:07:13","00:04:08:18","(형사1)
야, 새끼야!"
"59","00:04:09:20","00:04:11:05","[형사들의 힘주는 신음]"
"60","00:04:11:08","00:04:12:19","[태오의 힘주는 신음]
(형사2)
야, 가만있어, 이 새끼야"
"61","00:04:12:21","00:04:14:02","이 또라이, 이거!
[형사1의 비명]"
"62","00:04:15:12","00:04:16:20","[소란스럽다]"
"63","00:04:20:05","00:04:21:15","[태오의 힘주는 신음]
(형사1)
그거 안 돼"
"64","00:04:21:17","00:04:23:17","- (형사2) 개새끼가 진짜
- (형사1) 가만있어
[태오의 애쓰는 신음]"
"65","00:04:23:19","00:04:25:01","(형사2)
가만있어, 새끼야, 가만있어라"
"66","00:04:25:03","00:04:26:21","[태오의 분한 숨소리]"
"67","00:04:26:23","00:04:27:19","(한 형사)
강태오"
"68","00:04:28:01","00:04:30:09","허수진의 살해 및 사체 유기 혐의로
체포한다"
"69","00:04:30:13","00:04:32:00","묵비권 행사할 수 있고
[태오의 아파하는 신음]"
"70","00:04:32:02","00:04:34:15","- (한 형사) 변호사 선임할 수 있다
- 좆을 까라, 씨발"
"71","00:04:35:14","00:04:37:19","[사람들이 웅성거린다]"
"72","00:04:37:21","00:04:39:10","- 마수대에 계십니까?
- (형민) 예"
"73","00:04:39:18","00:04:41:00","[명함을 탁 받으며]
뭡니까?"
"74","00:04:41:02","00:04:43:00","(한 형사)
작년부터 쫓아댕겼습니다
[형사2가 양해를 구한다]"
"75","00:04:43:02","00:04:45:14","허수진이라고
자기 여자 친구를 죽여가"
"76","00:04:46:13","00:04:49:09","(정봉)
와, 글마 그런 놈이었나, 진짜
희한하네"
"77","00:04:49:16","00:04:52:15","[자동차 리모컨 작동음]
오? 와, 헹님, 차 바꿨네예, 예?"
"78","00:04:52:17","00:04:54:13","[형민의 못마땅한 신음]
어, 헹님, 헹님
나 진짜 몰랐다니까예"
"79","00:04:54:15","00:04:55:23","아유, 아이고, 아파라!
[우산을 탁 떨어뜨린다]"
"80","00:04:56:00","00:04:57:10","[울먹이며]
아, 헹님, 여기 뼈가 억수로 약한데..."
"81","00:04:57:12","00:04:59:05","니가 내 골프 친다고 씨불였지?"
"82","00:04:59:12","00:05:01:20","(형민)
하여튼 뽕쟁이 말을 믿은
내가 잘못이지, 씨"
"83","00:05:01:22","00:05:02:19","(정봉)
아, 헹님"
"84","00:05:02:21","00:05:05:09","아, 진짜 나도
글마가 사람 죽였는지는 몰랐다니까!"
"85","00:05:05:11","00:05:06:07","[정봉이 울먹인다]"
"86","00:05:06:09","00:05:09:04","[무거운 음악]"
"87","00:05:25:13","00:05:27:11","[새가 지저귄다]"
"88","00:05:28:05","00:05:31:09","(형민 부)
결혼이라 카는 기
그래 귀찮고 불편하기만 하믄"
"89","00:05:31:11","00:05:34:19","와 애초부터 남자캉 여자캉
다 따로 맹글어졌겠냐꼬"
"90","00:05:35:18","00:05:37:17","(형민 부)
조상들이 다 살아 보니까"
"91","00:05:38:04","00:05:40:08","안 하는 거보다 하는 기 좋고
[휴대전화 진동음]"
"92","00:05:40:10","00:05:43:02","그래가 새끼도 낳아서
대도 잇고, 어이?"
"93","00:05:43:07","00:05:44:06","그래 사는 기지"
"94","00:05:44:20","00:05:46:08","(형민 형수)
맞습니더, 맞아예"
"95","00:05:46:10","00:05:47:07","(형민)
예"
"96","00:05:47:09","00:05:49:00","(태오)
아, 헹님, 접니다"
"97","00:05:50:03","00:05:51:04","(형민)
어, 누고?"
"98","00:05:51:06","00:05:53:04","(태오)
아, 그, 몇 달 전에"
"99","00:05:53:07","00:05:55:14","칼국숫집에서 잡혀갈 때
봤다 아입니까?"
"100","00:05:55:23","00:05:57:04","강태오라꼬"
"101","00:05:57:23","00:05:59:14","(형민)
뭐고? 니 어디서 전화하노?"
"102","00:05:59:17","00:06:02:17","(태오)
어, 여기 주례구치소입니더"
"103","00:06:04:07","00:06:05:03","(형민)
야..."
"104","00:06:05:21","00:06:07:10","저, 잠깐만, 잠깐..."
"105","00:06:07:18","00:06:10:20","형님, 아버지 모시고 먼저 가세요
내 따라갈게, 어?"
"106","00:06:13:14","00:06:15:01","참, 와?"
"107","00:06:15:06","00:06:17:01","(태오)
그때 전화해라 했다 아입니꺼?"
"108","00:06:17:20","00:06:20:01","(형민)
벌써 잡혀갔다 아이가? 딴 놈들한테"
"109","00:06:20:03","00:06:22:16","(태오)
그, 헹님이 접견 좀 와 주이소"
"110","00:06:23:09","00:06:24:20","수진이 말고"
"111","00:06:25:20","00:06:26:21","딴게 더 있어가"
"112","00:06:26:23","00:06:28:09","(형민)
관심 없고, 앞으로 전화하지 마라"
"113","00:06:28:11","00:06:29:13","(태오)
일곱 명예"
"114","00:06:31:20","00:06:32:17","뭐?"
"115","00:06:32:24","00:06:34:15","(태오)
총 일곱 명입니다"
"116","00:06:34:17","00:06:36:06","[무거운 음악]
제가 죽인 사람들예"
"117","00:06:38:12","00:06:39:12","무슨 소리고?"
"118","00:06:39:19","00:06:41:17","(태오)
그, 암매장도 하고"
"119","00:06:42:12","00:06:44:22","또 광안대교 위에서도
버리고 그랬습니다"
"120","00:06:45:04","00:06:48:11","(태오)
아, 그 말씀 좀 드릴라꼬
일부러 전화드린 긴데"
"121","00:06:48:13","00:06:50:15","- 진짜가?
- (태오) 예"
"122","00:06:51:02","00:06:52:00","언제?"
"123","00:06:52:20","00:06:55:12","(태오)
인자 좀 관심이 생깁니까?"
"124","00:06:56:06","00:06:58:04","니 담당 형사한테 말하지, 와?"
"125","00:06:58:09","00:07:01:17","(태오)
아, 그 새끼들 하는 짓이
하도 추접어서"
"126","00:07:02:00","00:07:04:14","싹 다 접견 기피 신청을 해 뿟습니다"
"127","00:07:05:08","00:07:06:05","(한 형사)
와예?"
"128","00:07:06:07","00:07:09:16","[멀리서 사이렌이 울린다]
자기가 뭐, 사람 토막 내가
광안대교에서 버렸다 카던교?"
"129","00:07:11:12","00:07:13:20","일주일 동안 입을 딱 닫고 있다가"
"130","00:07:14:19","00:07:17:17","피해자 혈흔이 발견돼가
빼도 박도 못하게 되니까"
"131","00:07:18:01","00:07:19:17","고마 딱 전체를 내불더라고"
"132","00:07:20:09","00:07:22:03","자기가 쥑인 놈이
뭐, 세 놈이 더 있다나?"
"133","00:07:22:13","00:07:24:07","(한 형사)
이쪽에, 이쪽 한번 파 봐, 어?
[사람들이 분주하다]"
"134","00:07:24:18","00:07:26:04","아니, 거기 말이야"
"135","00:07:26:06","00:07:29:15","(한 형사)
황령산, 대신공원, 광안대교 앞바다"
"136","00:07:30:00","00:07:32:04","에라이, 씨발, 좆뺑이만 치고"
"137","00:07:32:11","00:07:34:03","사체는 코빼기도 못 찾고"
"138","00:07:34:08","00:07:36:19","검찰에 송치할 시간은
시간대로 다 까묵고
[형민이 사진을 탁탁 정리한다]"
"139","00:07:36:24","00:07:39:00","그 새끼 때문에
우리만 뺑뺑이 돌았다 아입니까?"
"140","00:07:42:06","00:07:44:10","[시끌벅적하다]"
"141","00:07:51:09","00:07:52:06","[문이 탁 닫힌다]"
"142","00:08:02:20","00:08:03:20","[물을 조르르 받는다]"
"143","00:08:04:22","00:08:07:02","(형사3)
숨긴다고 해서 이게 문제가 아니에요"
"144","00:08:07:04","00:08:09:09","[형사3이 계속 말한다]"
"145","00:08:10:01","00:08:11:00","[컵을 탁 던진다]"
"146","00:08:16:00","00:08:18:24","[의자를 탁 빼며]
요새도 증거를 조작하는
경찰이 있습니까?"
"147","00:08:19:16","00:08:20:17","무슨 증거?"
"148","00:08:21:00","00:08:23:04","형사들이 특진에 눈이 멀어가"
"149","00:08:23:12","00:08:27:21","제가 수진이를 죽일 때 썼던 증거들을
싹 다 조작했다 이 말입니다"
"150","00:08:27:23","00:08:29:06","니가 안 죽였다 말이가?"
"151","00:08:29:08","00:08:30:04","[어이없는 신음]"
"152","00:08:31:17","00:08:33:16","아, 내가 죽인 거는 맞습니다"
"153","00:08:34:00","00:08:37:17","그란데 형사들이 제출한
옷하고 테이프는"
"154","00:08:37:22","00:08:38:23","전부 가짜입니다"
"155","00:08:40:02","00:08:41:10","니 변호사랑 얘기해라"
"156","00:08:42:06","00:08:43:09","[펜을 탁 집으며]
이거 한번 보이소"
"157","00:08:52:14","00:08:53:10","[종이를 쓱 민다]"
"158","00:08:53:18","00:08:54:19","여기 한번 가 보이소"
"159","00:08:55:05","00:08:57:14","(태오)
거 가면 수진이 옷하고"
"160","00:08:57:21","00:09:00:00","팔다리를 묶었던 청 테이프가
다 있을 깁니다"
"161","00:09:00:03","00:09:00:24","내가 왜?"
"162","00:09:01:05","00:09:05:08","나머지 여섯 명
그기 궁금해서 찾아온 거 아입니까?"
"163","00:09:05:12","00:09:06:09","참 나"
"164","00:09:07:15","00:09:08:12","[형민의 한숨]"
"165","00:09:09:08","00:09:12:22","(태오)
사람이 일곱 토막 납니까? 안 납니까?"
"166","00:09:12:24","00:09:14:00","(형민)
뭐?
[수첩을 탁 내려놓는다]"
"167","00:09:15:11","00:09:17:14","[태오가 펜으로 쓱쓱 그린다]"
"168","00:09:20:09","00:09:23:13","(태오)
이래, 이래, 이래"
"169","00:09:23:19","00:09:26:01","이, 이, 안 잘라 본 사람은
모른다니까?"
"170","00:09:26:03","00:09:27:07","여섯 개네, 인마"
"171","00:09:29:18","00:09:34:00","(태오)
요 감자는 칼 손잡이로 탁탁 치면
쑥 빠집니다"
"172","00:09:36:00","00:09:38:04","근데 허수진이는 왜 토막을 안 냈노?"
"173","00:09:38:07","00:09:39:12","[한숨]"
"174","00:09:42:09","00:09:44:10","마, 처음에 팔을 자르고 있는데"
"175","00:09:45:02","00:09:47:16","가시나 눈까리가
내를 빤히 쳐다보는 기라요"
"176","00:09:48:04","00:09:50:21","(태오)
와, 고마 비는 억수로 내리지"
"177","00:09:51:03","00:09:54:11","가시나 그기 반항이 하도 심해가
나도 많이 지쳤지"
