No.,Timecode In,Timecode Out,Subtitle
"1","00:00:01:03","00:00:03:09","[찬우] 야, 원래 접수는
마감 직전에 하는 거야"
"2","00:00:03:11","00:00:04:24","- [발소리]
- 그래야 쫄리는 맛이 있지, 씨"
"3","00:00:05:13","00:00:07:07","알아, 내일인 거 6시"
"4","00:00:07:09","00:00:09:14","야, 내가 몇 년 차인데, 18시!"
"5","00:00:09:24","00:00:13:01","[웃으며] 아, 뭔 욕이야
18시라니까, 18시"
"6","00:00:13:15","00:00:17:01","아, 알았어, 어, 들어가 [한숨]"
"7","00:00:17:23","00:00:19:06","♪ 난 슈퍼 플렉스 ♪"
"8","00:00:19:12","00:00:21:03","♪ 알잖아, 내 클래스 ♪"
"9","00:00:21:17","00:00:22:17","♪ 예 ♪"
"10","00:00:23:23","00:00:27:06","♪ 돈 없으면 전화하지 마
돈 콜 미 ♪"
"11","00:00:27:09","00:00:29:10","- ♪ 돈 콜 미 ♪
- [도어 록 조작음]"
"12","00:00:29:12","00:00:30:24","- ♪ 돈 콜 미 ♪
- [도어 록 작동음]"
"13","00:00:31:19","00:00:32:20","[힘겨운 탄성]"
"14","00:00:33:03","00:00:34:19","- [도어 록 작동음]
- [찬우의 헛기침]"
"15","00:00:34:21","00:00:35:21","[도어 록 작동음]"
"16","00:00:39:13","00:00:40:13","[도어 록 작동음]"
"17","00:00:45:05","00:00:46:11","[익살스러운 음악]"
"18","00:00:46:19","00:00:47:19","합격한다, 너"
"19","00:00:48:15","00:00:50:02","합격! 이 자식아"
"20","00:00:52:03","00:00:53:03","[기침하며 코를 훌쩍이는 소리]"
"21","00:00:54:04","00:00:55:04","아, 씨발, 차가워"
"22","00:00:55:19","00:00:57:12","[찬우] 예, 예
지금 너무 추워 가지고"
"23","00:00:57:14","00:00:59:08","[집주인, 찬우]
- 그래?
- 예, 빨리 좀 부탁드릴게요, 예"
"24","00:00:59:10","00:01:00:17","[집주인] 걱정 마, 해 줄게"
"25","00:01:00:19","00:01:01:18","아, 그리고"
"26","00:01:02:04","00:01:04:20","그, 옆집이 그
아직도 너무 시끄러운데…"
"27","00:01:04:22","00:01:07:01","- [집주인] 아직도?
- 예, 아니, 제가 매번 부탁드려서"
"28","00:01:07:03","00:01:08:03","- 죄송하…
- [집주인] 404호 말이지?"
"29","00:01:08:05","00:01:09:15","예, 404호요, 404호"
"30","00:01:10:00","00:01:12:00","[집주인이 한숨 쉬며] 이따가
가서 얘기해 볼게요
[호응]"
"31","00:01:12:02","00:01:13:04","어휴, 예, 감사합니다"
"32","00:01:13:07","00:01:14:10","[집주인] 이번에도 시험 보지?"
"33","00:01:14:16","00:01:16:13","아, 시험이요? 시험 보죠"
"34","00:01:16:21","00:01:18:05","아, 이번에 제가 시험 붙고"
"35","00:01:18:13","00:01:20:05","예, 방에도
프리미엄 제가 붙여 드릴게요"
"36","00:01:20:07","00:01:21:18","- [집주인이 웃으며] 어휴, 진짜?
- 예 [웃음]"
"37","00:01:22:03","00:01:23:19","- 아, 진짜요
- [집주인] 꼭 붙어"
"38","00:01:23:21","00:01:25:16","- 어휴, 감사합니다, 네
- [집주인] 그래, 또 불편한 거"
"39","00:01:25:18","00:01:27:07","- 있으면 얘기해 줘요
- [찬우] 아, 예, 알겠습니다"
"40","00:01:27:20","00:01:29:02","- [배달원의 흥얼거리는 소리]
- [도어 록 작동음]"
"41","00:01:29:04","00:01:30:04","- [찬우] 어서 오십시오
- [놀란 숨소리]"
"42","00:01:30:06","00:01:31:14","[배달원이 웃으며] 아이고
어떻게 알았어?
[찬우의 웃음]"
"43","00:01:31:16","00:01:33:06","- [찬우] 어휴, 척하면 척이죠
- [부스럭거리는 소리]"
"44","00:01:33:08","00:01:35:22","[배달원] 오늘도 볶음밥이다"
"45","00:01:35:24","00:01:38:02","[찬우] 아이고
볶음밥이 제일 맛있습니다"
"46","00:01:38:04","00:01:40:20","[배달원이 웃으며] 아이고
이제 정시철이라 바쁘겠소
[찬우의 옅은 한숨]"
"47","00:01:41:01","00:01:42:01","- [철커덩거리는 소리]
- 아이, 뭐"
"48","00:01:42:15","00:01:44:06","- 맨날 하는 건데요, 뭐
- [배달원] 아이고, 고마워
[잘그랑거리는 소리]"
"49","00:01:44:08","00:01:46:07","- [찬우] 씁, 아이고
- [배달원] 아, 근데"
"50","00:01:46:09","00:01:48:23","학생 붙으면
매출 떨어져서 어쩌나?"
"51","00:01:49:10","00:01:50:10","네?"
"52","00:01:50:18","00:01:51:17","[배달원] 농담이야"
"53","00:01:51:19","00:01:53:08","- [배달원의 웃음]
- [어색한 웃음]"
"54","00:01:53:10","00:01:54:24","꼭 붙어야지, 파이팅!"
"55","00:01:55:22","00:01:56:23","- 예
- [배달원] 갈게"
"56","00:01:57:13","00:01:58:23","- [배달원의 발소리]
- 예, 조심히 가세요"
"57","00:01:59:00","00:02:00:00","- [문 닫히는 소리]
- [도어 록 작동음]"
"58","00:02:00:16","00:02:01:19","[도어 록 작동음]"
