No.,Timecode In,Timecode Out,Subtitle
"1","00:00:49:21","00:00:52:16","[사람들이 웅성거린다]"
"2","00:00:54:00","00:00:55:04","[카메라 셔터음]"
"3","00:01:01:17","00:01:04:13","잠시 주목해 주시기 바랍니다"
"4","00:01:04:20","00:01:05:20","[조용해진다]"
"5","00:01:06:17","00:01:09:19","(주희)
지금부터 신입생 후보생 여러분은"
"6","00:01:10:00","00:01:13:04","이발을 위해
학생회관으로 향하겠습니다"
"7","00:01:13:09","00:01:17:24","가족과 지인분들은 신속히 작별 인사를
나눠 주시기 바랍니다"
"8","00:01:18:04","00:01:19:10","[사람들이 웅성거린다]
(재호)
충성!"
"9","00:01:19:12","00:01:20:08","(재호 부)
충성"
"10","00:01:20:17","00:01:22:10","(기준 모)
선배님들 말씀 잘 듣고"
"11","00:01:22:21","00:01:25:15","밥도 잘 챙겨 먹고 이불도 잘 덮고"
"12","00:01:26:11","00:01:28:04","아들, 아프면 안 돼"
"13","00:01:28:10","00:01:31:23","[잔잔한 음악]
힘들면 그냥 집으로 와, 알았지, 어?"
"14","00:01:32:10","00:01:34:20","아, 잘할 수 있어, 걱정도 팔자야"
"15","00:01:35:04","00:01:36:12","엄마나 아프지 마"
"16","00:01:37:02","00:01:37:24","[기준 모의 아쉬운 신음]"
"17","00:01:41:01","00:01:41:22","(기준)
갈게"
"18","00:01:41:24","00:01:42:21","(기준 모)
그래"
"19","00:01:44:15","00:01:45:14","뭐 해?"
"20","00:01:46:01","00:01:47:00","엄마, 엄마"
"21","00:01:48:19","00:01:50:09","우리도 안아 볼까?"
"22","00:01:51:09","00:01:52:09","[거부하는 신음]"
"23","00:01:53:04","00:01:55:10","어, 그래, 나도 뭐, 그런 거 같다"
"24","00:01:56:22","00:01:58:08","(훈련단원1)
신입생들 집합하겠습니다!"
"25","00:01:58:10","00:01:59:13","- (희열) 가
- (희열 부) 희열아"
"26","00:02:00:20","00:02:02:10","[밝은 음악]
나는 너 자랑스럽다"
"27","00:02:05:15","00:02:07:04","추우니까 앞에 잠그고 가"
"28","00:02:10:19","00:02:12:08","(주희)
전체 차렷!"
"29","00:02:14:02","00:02:15:10","열중쉬어!"
"30","00:02:16:19","00:02:17:15","차렷!"
"31","00:02:19:15","00:02:21:11","부모님께 대하여 경례!"
"32","00:02:24:08","00:02:25:09","[사람들의 박수]
바로"
"33","00:02:26:17","00:02:27:21","좌향좌"
"34","00:02:30:11","00:02:32:01","앞으로가!"
