No.,Timecode In,Timecode Out,Subtitle
"1","00:00:37:07","00:00:39:13","[무거운 음악]"
"2","00:00:43:18","00:00:45:17","[병사들의 육중한 발걸음]"
"3","00:00:46:11","00:00:47:14","[천둥이 우르릉 울린다]"
"4","00:00:51:10","00:00:52:22","망국에 이르렀다고"
"5","00:00:52:24","00:00:55:04","(무관1) 군인 된 자가
황실의 귀물을"
"6","00:00:55:06","00:00:56:14","도둑질하려 하십니까?"
"7","00:00:57:02","00:00:58:13","(주방) 고려는 쓰러지지 않는다"
"8","00:00:59:06","00:01:00:23","진정한 충신이라면"
"9","00:01:01:20","00:01:03:13","[천둥이 우르릉거린다]
나를 막지 말라"
"10","00:01:04:06","00:01:05:02","(무관1) 장군"
"11","00:01:07:13","00:01:09:09","[무관1의 비명]
[천둥이 쾅 친다]"
"12","00:01:10:23","00:01:11:21","[칼이 허공을 휙 가른다]"
"13","00:01:16:24","00:01:18:02","[천둥이 콰르릉 친다]"
"14","00:01:22:22","00:01:24:10","[천둥이 연신 우르릉거린다]"
"15","00:01:49:04","00:01:50:05","[천둥이 쾅 친다]"
"16","00:01:56:07","00:01:57:15","[갈매기가 끼룩거린다]"
"17","00:01:58:10","00:01:59:15","(불출이) [울먹이며] 근데 말이여"
"18","00:02:00:08","00:02:02:10","우리가 도적인 거는 알겄는디
[달표의 신음]"
"19","00:02:03:02","00:02:05:03","왜 역적으로다 쫓기는 거여?"
"20","00:02:05:05","00:02:06:03","(무치) 했다"
"21","00:02:06:17","00:02:08:13","역적질
[강섭의 의아한 신음]"
"22","00:02:10:07","00:02:11:12","뭔 소리요, 두목?"
"23","00:02:12:00","00:02:15:03","황천이 가까우니 진실을 말하마"
"24","00:02:15:05","00:02:16:15","[의적들의 힘겨운 신음]"
"25","00:02:18:07","00:02:19:04","기억하냐?"
"26","00:02:20:05","00:02:21:08","삼척목"
"27","00:02:21:10","00:02:24:01","기억하지, 이 숟가락 만들었잖아"
"28","00:02:24:03","00:02:26:15","[불출이의 신음]
(달표) 그런 나무는 처음 봤지"
"29","00:02:26:17","00:02:29:12","그게 새 궁성의 대들보였다"
"30","00:02:29:14","00:02:31:15","[경쾌한 음악]"
"31","00:02:31:17","00:02:32:13","대들보?"
"32","00:02:32:15","00:02:33:12","[불출이의 힘주는 신음]"
"33","00:02:33:14","00:02:34:19","(불출이) 새 궁성이면"
"34","00:02:35:10","00:02:36:22","이성계가 한양 천도를 한다고 짓는"
"35","00:02:37:12","00:02:38:15","그 경복궁을 말하는 겨?"
"36","00:02:39:06","00:02:41:16","그 경복궁을 떠받칠 대들보를 찾아"
