No.,Timecode In,Timecode Out,Subtitle
"1","00:00:23:09","00:00:25:16","[연달아 들리는 총소리]"
"2","00:00:35:17","00:00:37:13","[표적판 다가오는 소리]"
"3","00:00:38:08","00:00:39:23","(해준) 살인 사건이 좀 뜸하네"
"4","00:00:41:08","00:00:43:11","요즘 날씨가 좋아 그런가?"
"5","00:00:43:13","00:00:44:16","[수완의 호응]"
"6","00:00:55:20","00:00:57:07","질곡동 사건 말이야"
"7","00:00:57:09","00:00:58:10","[탄환을 쏟는다]"
"8","00:00:59:01","00:01:00:03",""경찰""
"9","00:01:00:05","00:01:01:23","(해준) 두 놈 중 하나는
잡아야 되는데"
"10","00:01:03:00","00:01:04:24","소장님하고 1팀은 들은 척도 안 해"
"11","00:01:07:11","00:01:08:24","(수완) 어떡해요?"
"12","00:01:13:17","00:01:14:21","[해준의 한숨]"
"13","00:01:21:03","00:01:22:08","(해준) 우리가 해야지"
"14","00:01:24:12","00:01:26:04","- (수완) 우리?
- (해준) 응"
"15","00:01:26:19","00:01:27:20","너랑 나랑"
"16","00:01:28:12","00:01:30:12","[주변이 시끌벅적하다]
(해준) 이지구가 혼자 와서"
"17","00:01:31:06","00:01:33:14","작년에 산 선불권을
환불해 달라고?"
"18","00:01:33:16","00:01:36:05","(알바) 네, 그렇죠
원래는 안 되는데요"
"19","00:01:36:07","00:01:38:10","제가 사장님한테
여쭤봐야 된다 해놓고"
"20","00:01:38:12","00:01:40:00","형사님한테 문자를 한 거예요"
"21","00:01:40:16","00:01:42:03","아주 잘하셨습니다"
"22","00:01:42:05","00:01:44:08","(알바) 사진 보여주신 게
한참 전인데"
"23","00:01:45:01","00:01:46:23","어떻게 그게 딱 기억이 나서"
"24","00:01:48:06","00:01:49:10","다시 온다던가요?"
"25","00:01:50:06","00:01:51:18","[도로 소음]"
"26","00:01:51:20","00:01:55:23","(수완) 주말에 나만 버리고
집에 가니까 좋냐고요
[안마기 작동음]"
"27","00:01:57:03","00:02:01:06","이게 '너랑 나랑'이냐고요"
"28","00:02:01:22","00:02:04:22","(수완) 나도 빨리 장가를 가든가
아이, 참…"
"29","00:02:05:00","00:02:06:12","[자동차 경적]"
