No.,Timecode In,Timecode Out,Subtitle
"1","00:00:42:06","00:00:44:24","[음산한 음악]"
"2","00:01:10:00","00:01:12:07","[장면 강조 효과음]
[첨벙]"
"3","00:01:13:13","00:01:17:22","(소리꾼)
일국의 왕이
어찌 이리 망가졌을꼬 하니"
"4","00:01:18:24","00:01:21:13","자, 한번 들어 보소"
"5","00:01:23:06","00:01:26:19","때는 융이 제위에 올라
10년 되던 해"
"6","00:01:28:03","00:01:30:09","핏빛 월식이 있던 어느 밤"
"7","00:01:31:13","00:01:35:04","두 사내가
폐비 윤 씨의 생모를 만났고"
"8","00:01:36:22","00:01:39:13","그들 손을 거쳐 임금에게"
"9","00:01:39:22","00:01:44:11","[판소리 가락]
♪ 피로 얼룩진 적삼 하나 ♪"
"10","00:01:45:14","00:01:47:05","당도하였으니"
"11","00:01:48:20","00:01:51:09","이것이 진정 내 어머님이"
"12","00:01:53:17","00:01:55:19","마지막 입으셨던 옷인가?"
"13","00:01:55:21","00:01:56:21","(사홍)
전하"
"14","00:01:56:23","00:02:01:01","선왕께옵서 일체의 언급을 말라는
유지를 남기셨기에"
"15","00:02:01:17","00:02:04:09","이 노신이 죽는 순간까지
묻어 두려 하였사온데..."
"16","00:02:04:11","00:02:05:22","허면 왜 보여 주는 것이오?"
"17","00:02:07:06","00:02:08:08","자객을 보내"
"18","00:02:08:10","00:02:11:02","이 적삼을
탈취하려 한 자들이 있었사옵니다"
"19","00:02:12:04","00:02:13:06","누구의 짓인가?"
"20","00:02:13:11","00:02:15:17","[울먹이며]
조정의 절반이
폐위에 찬동한 무리들이라"
"21","00:02:15:20","00:02:18:01","누군지 짐작조차 할 수 없사오나"
"22","00:02:18:12","00:02:21:09","마지막 유품마저 없애려 한
그 불충함이"
"23","00:02:22:15","00:02:24:00","종국에 향하는 곳이"
"24","00:02:24:05","00:02:26:18","어디겠습니까, 전하"
"25","00:02:27:05","00:02:28:21","(소리꾼)
그 누구 알았으랴"
"26","00:02:28:23","00:02:31:15","고작 그 천 쪼가리에 궐이"
"27","00:02:31:23","00:02:35:13","[판소리 가락]
♪ 피바다로... ♪"
"28","00:02:36:09","00:02:37:09","변할 줄이야"
"29","00:02:37:11","00:02:38:14","[장면 전환 효과음]"
"30","00:02:38:16","00:02:41:23","(소리꾼)
분기탱천한 융이
맨 먼저 찾은 곳이 어디냐"
"31","00:02:43:00","00:02:46:03","[판소리]
제 애비 성종의 두 후궁을
질시로 음해했다 하여"
"32","00:02:46:05","00:02:47:17","맨손으로 때려죽이고"
"33","00:02:49:03","00:02:50:21","철퇴로 박살 내고!"
"34","00:02:51:24","00:02:56:11","시체를 모두 찢어
젓갈로 담가 산과 들에 흩뿌렸다"
"35","00:02:58:24","00:03:02:18","제 할미인 인수대비 또한
모함에 앞장섰다 하여"
"36","00:03:02:20","00:03:05:00","겁박당해 횡사했으며"
"37","00:03:05:16","00:03:08:05","제 어미를 음탕하다 고자질한 놈"
"38","00:03:08:18","00:03:10:16","폐위시켜 마땅하다 찬동한 놈"
"39","00:03:11:07","00:03:13:22","사약 나른 놈까지 죄다 잡아다가"
"40","00:03:14:11","00:03:16:24","하루가 멀다 하고 칼침 세례"
"41","00:03:17:19","00:03:19:06","사약 잔치에"
"42","00:03:20:06","00:03:22:07","참수, 교수, 효수"
"43","00:03:22:19","00:03:26:11","거열에 능지처참으로
산산조각을 내고"
"44","00:03:27:04","00:03:29:03","이 묘, 저 묘를 다 파비하고"
"45","00:03:29:13","00:03:32:08","이놈 관, 저놈 관 마구 파헤쳐"
"46","00:03:32:24","00:03:36:00","부관하고 참시하여"
"47","00:03:37:04","00:03:39:12","가루가 되도록 분골하고"
"48","00:03:39:14","00:03:42:09","먼지가 되도록 쇄신하여"
"49","00:03:43:07","00:03:45:17","바람에 실어
돼지 먹이로 날린 이가"
"50","00:03:45:19","00:03:49:06","200을 훌쩍"
"51","00:03:49:08","00:03:52:01","♪ 넘었으니 ♪"
"52","00:03:54:00","00:03:56:19","갑자년에 사림들이
화를 당했다 하여"
"53","00:03:56:21","00:03:59:11","이를 갑자사화라 칭하였다"
"54","00:04:00:21","00:04:05:14","헌데, 이 참사로 웃는 소인 놈이
딱 둘 있었으니"
"55","00:04:07:03","00:04:09:02","작은 소인은 숭재요"
"56","00:04:10:05","00:04:12:05","큰 소인은 사홍이라"
"57","00:04:13:13","00:04:16:03","천 년 이래 으뜸가는 간흉이로구나"
"58","00:04:17:14","00:04:21:02","모든 게 돌고 돌아
마땅히 보복이 있으리니"
"59","00:04:22:02","00:04:24:18","♪ 어찌 모르느냐 ♪"
"60","00:04:25:23","00:04:28:01","♪ 네 뼈 또한 ♪"
"61","00:04:28:03","00:04:30:11","[장면 강조 효과음]
바람에 날려질 것을..."
"62","00:04:37:07","00:04:39:12","[궁녀들의 신음]"
"63","00:04:44:03","00:04:45:05","(궁녀1)
전하..."
"64","00:04:45:13","00:04:46:15","더 이상은..."
"65","00:04:46:17","00:04:48:07","(융)
거의 다 됐다, 움직이지 마라!"
"66","00:04:50:03","00:04:53:13","이 붓은 한 번 잡으면
내 손을 놔주지를 않으니"
"67","00:04:54:05","00:04:55:05","(융)
병판"
"68","00:04:55:07","00:04:56:06","헉..."
"69","00:04:56:11","00:04:57:15","[떨리는 목소리로]
(사홍)
예, 전하"
"70","00:04:58:15","00:05:02:05","(융)
이제 사악한 잡초들이
거의 정리된 듯하오만 어떻소?"
"71","00:05:03:01","00:05:04:20","능상을 척결코자 하는"
"72","00:05:05:10","00:05:08:23","전하의 뜻이
하늘에 닿은 것으로 사료되옵니다"
"73","00:05:09:00","00:05:09:23","[웃음]"
"74","00:05:10:00","00:05:11:05","(융)
그게 어디 내 덕이겠는가"
"75","00:05:11:20","00:05:12:23","병판의 덕분이지"
"76","00:05:13:00","00:05:13:24","[탁]"
"77","00:05:14:01","00:05:14:24","다 됐다"
"78","00:05:15:01","00:05:16:09","[궁녀들의 신음]"
"79","00:05:16:12","00:05:17:20","(융)
들어오시게"
"80","00:05:21:12","00:05:23:07","[궁녀들의 서두르는 발걸음]"
"81","00:05:28:01","00:05:29:04","앉으시게들"
"82","00:05:32:06","00:05:33:06","멋지구나"
"83","00:05:34:06","00:05:35:19","참으로 멋져, 응?"
"84","00:05:35:21","00:05:39:18","과인에게는 이 은장도라는 칼이
그리도 매력적이더이다"
"85","00:05:39:20","00:05:42:16","칼날에 맺힌 욕망과 절개"
"86","00:05:42:18","00:05:45:03","범하려는 자와 지키려는 자"
"87","00:05:45:24","00:05:49:11","두 개의 피가 섞인
이 오묘한 매력이란"
"88","00:05:50:16","00:05:52:03","아주 마음에 드는구려"
"89","00:05:52:11","00:05:54:19","(함께)
망극하옵니다, 전하"
"90","00:05:54:21","00:05:57:19","내 그대들 부자의 살신성인이
항상 큰 힘이 되니"
"91","00:05:57:21","00:05:59:07","뭔가 답례를 해야 하겠는데"
"92","00:06:00:21","00:06:02:08","마음에 들지 모르겠소"
"93","00:06:03:03","00:06:04:05","[떨리는 목소리로]
아..."
"94","00:06:04:22","00:06:06:24","작금의 혼란스러운 정세에 대한"
"95","00:06:07:08","00:06:08:14","전하의 통한을"
"96","00:06:08:16","00:06:09:21","이 미인도에서"
"97","00:06:09:23","00:06:11:20","확실히 보았나이다"
"98","00:06:13:14","00:06:14:20","제조는 어떠한가?"
"99","00:06:16:23","00:06:20:19","(숭재)
농염한 몸짓의 생동감은
욕정을 자극하기에는 충분하나"
"100","00:06:21:22","00:06:23:07","표정이 진실되지 못하니"
"101","00:06:24:12","00:06:26:06","걸작은 못 될 듯하옵니다"
"102","00:06:26:08","00:06:28:23","허면 이 그림은 버려야겠군"
"103","00:06:29:20","00:06:31:23","버리지 않으셔도
걸작이 될 방법이 있사온데"
"104","00:06:39:18","00:06:41:16","이로써 그림이
소신의 것이 되었으니"
"105","00:06:41:18","00:06:43:16","전하의 명성에는
누가 되지 않을 것이고"
"106","00:06:44:05","00:06:46:15","제 실력에 비하면 충분히 걸작이니"
"107","00:06:47:17","00:06:49:17","버릴 필요가 없사옵니다"
"108","00:06:50:18","00:06:53:00","이게, 이게, 이게...
에이, 헛소리!"
"109","00:06:54:00","00:06:55:22","[융과 숭재의 웃음]"
"110","00:06:57:03","00:06:59:08","역시 제조답다, 응?"
"111","00:06:59:10","00:07:00:19","[융과 숭재의 웃음]"
"112","00:07:00:21","00:07:03:18","(기생1)
대감, 이거이 참말로
전하가 주신 것 맞습네까?"
"113","00:07:04:09","00:07:06:09","(숭재)
거기에 내 이름 석 자
보이지 않느냐, 이것아"
"114","00:07:07:07","00:07:08:05","자, 자!"
"115","00:07:08:07","00:07:10:04","그 그림과 똑같이 해 보이면"
"116","00:07:11:05","00:07:14:03","내가 이 금두꺼비를
상으로 내리겠노라"
"117","00:07:14:05","00:07:15:19","[기생들의 웃음]
[서두르는 발걸음]"
"118","00:07:20:11","00:07:21:11","(용봉각 주인)
대감"
"119","00:07:21:17","00:07:23:05","이번에 새로 들어온 관비는"
"120","00:07:24:00","00:07:25:01","저 아이뿐입니다"
"121","00:07:27:21","00:07:29:00","저년도 역시..."
"122","00:07:29:02","00:07:30:03","아닙니까?"
"123","00:07:31:01","00:07:32:13","저 그림을 제게 주시면"
"124","00:07:33:19","00:07:35:04","더한 것도 보여 드리지요"
"125","00:07:35:09","00:07:36:11","뭐라?"
"126","00:07:37:07","00:07:39:00","대감께선 새로 들어온 관비는"
"127","00:07:39:02","00:07:41:00","빠짐없이 확인하는
기벽이 있다지요?"
"128","00:07:43:06","00:07:44:04","헌데..."
"129","00:07:44:24","00:07:46:05","누굴 그리 찾으시는지요?"
"130","00:07:46:10","00:07:47:21","내 누굴 찾는지는 모르겠다만"
"131","00:07:49:07","00:07:50:19","네년이 아닌 건 확실하구나"
"132","00:07:50:21","00:07:52:01","[살짝 웃음]"
"133","00:07:54:23","00:07:58:06","대감은 전하를 가장 측근에서
보필하는 충신이라지요?"
"134","00:07:59:13","00:08:00:15","허나..."
"135","00:08:00:23","00:08:02:15","오늘 밤 대감께선"
"136","00:08:02:17","00:08:04:05","저의 전하시옵니다"
"137","00:08:04:24","00:08:05:23","[설중매의 놀라는 숨소리]"
"138","00:08:06:13","00:08:09:04","그럼 내 친히
임금이 노는 법을 보여 주마"
"139","00:08:12:00","00:08:14:00","이 술을 비울 때마다
한 장씩 벗거라"
"140","00:08:15:11","00:08:17:13","네가 벌거숭이가 되기 전에
내가 뻗는다면"
"141","00:08:18:20","00:08:20:03","저 그림은 물론이고"
"142","00:08:20:05","00:08:22:15","널 궁에 천거하여
호의호식하게 해 주마"
"143","00:08:22:17","00:08:24:14","단, 내가 멀쩡하다면"
"144","00:08:25:13","00:08:27:11","당장 알몸으로
저잣거리를 돌아야 한다"
"145","00:08:28:10","00:08:29:12","하겠느냐?"
"146","00:08:29:17","00:08:30:17","좋사옵니다"
"147","00:08:34:05","00:08:36:07","[잔잔한 음악]"
"148","00:08:39:08","00:08:40:09","[꿀꺽]"
"149","00:08:40:11","00:08:41:11","[달그락]"
"150","00:08:45:06","00:08:46:14","[그릇끼리 쨍 부딪힌다]"
"151","00:08:48:17","00:08:49:13","[첨벙]"
"152","00:08:54:03","00:08:55:07","아..."
"153","00:08:55:12","00:08:57:01","[숭재의 웃음]"
"154","00:09:01:06","00:09:02:04","크아..."
"155","00:09:08:05","00:09:09:08","으아..."
"156","00:09:10:10","00:09:11:12","[그릇들이 달그락거린다]"
"157","00:09:18:12","00:09:20:04","으아...
[숭재의 웃음]"
"158","00:09:25:00","00:09:26:06","음..."
"159","00:09:29:06","00:09:30:07","[기침]"
"160","00:09:35:08","00:09:36:20","(숭재)
서두르거라"
"161","00:09:38:15","00:09:39:23","[거친 숨소리]"
"162","00:09:40:23","00:09:41:24","(숭재)
옳지"
"163","00:09:49:08","00:09:50:17","[기침]"
"164","00:09:50:19","00:09:52:00","[웃음]"
"165","00:09:52:02","00:09:53:22","(숭재)
이게 마지막 술병이다"
"166","00:09:53:24","00:09:56:02","[숭재가 크게 웃는다]"
"167","00:09:58:11","00:09:59:22","- 대감, 진정...
- 뭣하느냐"
"168","00:09:59:24","00:10:01:22","방금 다 마시지 않았느냐!"
"169","00:10:02:11","00:10:03:09","[한숨]"
"170","00:10:03:15","00:10:04:14","대감..."
"171","00:10:04:22","00:10:05:23","정녕..."
"172","00:10:06:00","00:10:07:08","[기생들의 비명]
[쨍그랑]"
"173","00:10:09:05","00:10:11:17","- 살려 주십시오, 대감
- 누가 널 죽이기라도 한다더냐"
"174","00:10:12:09","00:10:14:02","그저 왕처럼 놀아 보고 있거늘"
"175","00:10:14:04","00:10:16:20","소첩, 주제넘게 농을 좀 쳤으나
진정 저를..."
"176","00:10:16:22","00:10:17:22","[촤악]
[기생들의 비명]"
"177","00:10:17:24","00:10:19:09","이 싸구려 창기 년이"
"178","00:10:20:06","00:10:21:18","어느 안전이라고 여우 짓이더냐"
"179","00:10:22:17","00:10:24:03","빨리 벗지 못하겠느냐"
"180","00:10:24:05","00:10:25:14","뭣들 하는 게냐, 이놈들"
"181","00:10:25:19","00:10:27:02","(사홍)
당장 멈추지 못할까!"
