No.,Timecode In,Timecode Out,Subtitle
"1","00:00:58:13","00:01:00:10","[우아한 음악]"
"2","00:01:11:00","00:01:13:21","[오페라 아리아가 흘러나온다]
[매 울음소리가 들린다]"
"3","00:01:41:09","00:01:42:09","[매의 날갯짓 소리]"
"4","00:01:45:22","00:01:47:04","[매 울음소리]"
"5","00:01:50:17","00:01:51:19","[기적 소리]"
"6","00:02:01:12","00:02:02:23","[기차 소리가 멀어진다]"
"7","00:02:20:11","00:02:22:02","[매 울음소리]"
"8","00:02:54:04","00:02:55:07","안 피곤해?"
"9","00:02:56:11","00:02:58:12","아니요, 좋기만 한데요"
"10","00:03:00:18","00:03:03:15","(영선) 피곤하면 잠시 쉬었다 가자"
"11","00:03:04:18","00:03:06:11","(인정) 식당에서 많이 쉬었잖아요"
"12","00:03:07:04","00:03:09:02","교수님, 우리 다른 음악 들어요"
"13","00:03:09:04","00:03:10:21","(영선) 왜? 아리아 싫어?"
"14","00:03:10:23","00:03:12:24","(인정) 아니요, 너무 오래 들었잖아요"
"15","00:03:13:13","00:03:16:09","하긴, 장어 먹고 오페라 듣는 건
좀 그렇다, 그렇지?"
"16","00:03:23:12","00:03:24:21","[경쾌한 음악]"
"17","00:03:30:17","00:03:32:03","[휴대 전화 벨 소리]"
"18","00:03:34:16","00:03:35:16","(영선) 여보세요?"
"19","00:03:35:18","00:03:37:16","(전화 속 수진) 오빠, 나야, 수진이"
"20","00:03:38:06","00:03:41:11","나 호텔 커피숍인데 왜 안 와?
[영선이 외국어로 말한다]"
"21","00:03:42:20","00:03:44:05","(전화 속 선영) 아, 왜 장난치고 그래
오빠"
"22","00:03:44:07","00:03:47:03","[영선이 외국어로 말한다]"
"23","00:03:50:15","00:03:52:11","(전화 속 수진)
[머뭇거리며]
교수님 아니세요?"
"24","00:03:52:16","00:03:54:05","[영선이 계속 외국어로 말한다]"
"25","00:03:57:13","00:03:58:13","(전화 속 선영) '아이 엠 소리…'"
"26","00:03:58:15","00:03:59:15","[외국어로 말한다]"
"27","00:04:05:22","00:04:08:05","빨간 불인데 그냥 가요?"
"28","00:04:08:07","00:04:10:04","저런 건 지키는 게 바보야"
"29","00:04:11:09","00:04:13:14","그래도 신호등은 지키라고 있는 건데"
"30","00:04:16:09","00:04:18:02","[경쾌한 음악이 계속된다]"
"31","00:04:21:13","00:04:23:01","[사이렌 소리]"
"32","00:04:45:09","00:04:46:22","[다가오는 발소리]"
"33","00:04:49:05","00:04:50:06","왜요?"
"34","00:04:54:14","00:04:56:00","뭐가 잘못됐나요?"
"35","00:04:57:14","00:04:59:15","그 신호를 위반하셨는데요"
"36","00:05:00:08","00:05:01:16","면허증 주세요"
"37","00:05:01:18","00:05:03:06","내가요? 언제?"
"38","00:05:07:20","00:05:08:22","[콧바람을 분다]"
"39","00:05:12:13","00:05:14:09","(문재) 자, 면허증 주세요"
"40","00:05:15:12","00:05:18:15","[웃음]
경찰 아저씨가 뭘 잘못 본 모양인데"
"41","00:05:19:00","00:05:20:18","난 위반 같은 거 안 했다니까"
"42","00:05:23:03","00:05:24:09","[한숨]"
"43","00:05:28:17","00:05:30:00","[긴장된 한숨]"
"44","00:05:31:05","00:05:32:13","[휴대 전화 조작음]
[한숨]"
"45","00:05:33:13","00:05:34:22","(문재) 예"
"46","00:05:38:23","00:05:39:23","[웃음]"
"47","00:05:41:03","00:05:42:10","싼 걸로 끊어 주실 거죠?"
"48","00:05:44:10","00:05:45:10","(문재) 주세요"
"49","00:05:45:15","00:05:46:15","[옅은 웃음]"
"50","00:05:48:09","00:05:50:07","[영선의 멋쩍은 웃음]"
"51","00:05:57:18","00:05:59:14","자, 사인하세요"
"52","00:06:01:16","00:06:03:14","(영선) 에이, 너무한다, 정말"
"53","00:06:03:16","00:06:05:22","[웃으며]
빨리 사인하세요"
"54","00:06:06:15","00:06:09:22","그러지 말고 안전벨트 미착용
같은 걸로 하나 끊어 줘요"
"55","00:06:10:02","00:06:11:14","사람이 융통성이 있어야지"
"56","00:06:11:23","00:06:12:24","[옅은 미소]"
"57","00:06:14:24","00:06:17:05","아, 이거, 안전벨트도 안 하셨네"
"58","00:06:19:01","00:06:20:01","(영선) 아이고"
"59","00:06:21:12","00:06:22:24","[기가 찬 웃음]"
"60","00:06:25:06","00:06:27:03","(문재) 자, 사인하세요"
"61","00:06:30:22","00:06:32:21","진짜 너무한다, 한국 경찰"
"62","00:06:33:23","00:06:36:18","[웃음]
빨리 사인을 하세요"
"63","00:06:37:08","00:06:38:19","사인하라는 말뿐이 몰라?"
"64","00:06:39:20","00:06:41:11","사인을 해요, 빨리"
"65","00:06:41:13","00:06:42:15","사인하잖아, 지금"
"66","00:06:44:02","00:06:45:16","[종이를 부스럭댄다]"
"67","00:06:47:07","00:06:48:15","[부스럭거리는 소리]"
"68","00:06:55:06","00:06:56:06","고맙습니다"
"69","00:06:58:19","00:07:00:09","[차창이 스르르 닫힌다]"
"70","00:07:02:14","00:07:04:22","(인정) 그래도 운이 좋네요
[오토바이 엔진음]"
"71","00:07:06:03","00:07:07:03","뭐가?"
"72","00:07:08:19","00:07:10:04","술도 드셨잖아요"
"73","00:07:13:16","00:07:15:01","[경쾌한 음악]"
"74","00:07:41:21","00:07:43:18","교수님, 뭐 하시게요?"
"75","00:07:43:20","00:07:45:03","(인정) 빨간 불이잖아요"
"76","00:07:47:10","00:07:48:11","에이, 호로자식아!"
"77","00:07:49:15","00:07:52:09","[충격 효과음]
평생 짭새나 해 먹고 살아라"
"78","00:07:54:09","00:07:55:22","(문재) 너 이 씨팔놈아, 이리 와"
"79","00:07:56:17","00:07:57:23","저 개새끼"
"80","00:07:58:15","00:07:59:21","진짜 죽었어"
"81","00:08:01:14","00:08:03:01","[경쾌한 음악이 계속된다]"
"82","00:08:12:06","00:08:13:17","[사이렌 소리]"
"83","00:08:24:24","00:08:26:08","[자동차 주행음]"
"84","00:08:39:12","00:08:40:11","[덜컹거리는 소리]"
"85","00:08:41:19","00:08:43:01","[의미심장한 음악]"
"86","00:08:45:00","00:08:46:10","이리로 가도 서울 나와요?"
"87","00:08:47:06","00:08:48:11","왜? 걱정돼?"
"88","00:08:48:20","00:08:50:19","(인정) 아니요, 그건 아니고요"
"89","00:08:50:21","00:08:52:16","뭐 바쁜 일이라도 있어?"
"90","00:08:53:18","00:08:56:01","오늘은 저녁때까지만 가면 돼요"
"91","00:09:04:22","00:09:06:02","(영선) 왜? 뭔데?"
"92","00:09:06:17","00:09:07:20","짭새라도 날아와?"
"93","00:09:09:02","00:09:10:16","막 움직였는데?"
"94","00:09:10:18","00:09:12:14","(인정) 자루가 막 움직였어요"
"95","00:09:15:16","00:09:17:02","(영선) 개라도 잡을 모양이지, 뭐"
"96","00:09:17:18","00:09:19:09","촌놈들은 복날이 따로 없잖아
[자루 안 낑낑거리는 소리]"
"97","00:09:22:19","00:09:23:19","[힘 주는 신음]"
"98","00:09:38:17","00:09:40:04","[시동 종료음]
[덜컥 문 여는 소리]"
"99","00:09:41:13","00:09:42:20","[영선의 한숨]"
"100","00:09:47:20","00:09:49:00","길 없는데"
"101","00:09:53:01","00:09:54:01","[입김을 후 분다]"
"102","00:09:59:06","00:10:01:06","(영선) 잠시 쉬었다 가자고
술 깰 때까지만"
"103","00:10:02:17","00:10:03:17","우이야!"
"104","00:10:04:06","00:10:06:21","[성악 발성음]
[메아리 소리]"
"105","00:10:07:14","00:10:09:08","나와나 봐, 여기 얼마나 죽이는데"
"106","00:10:11:02","00:10:14:21","너무 조용해서
사람이 죽어도 모르겠네요"
"107","00:10:16:21","00:10:18:11","걱정 마, 안 죽여"
"108","00:10:20:14","00:10:21:22","[웃음]"
"109","00:10:21:24","00:10:23:10","[자동차 문이 탁 닫힌다]"
"110","00:10:28:03","00:10:29:03","와!"
"111","00:10:40:20","00:10:42:16","[오토바이 경적과 엔진음이 들린다]"
"112","00:10:52:00","00:10:53:03","[나뭇가지를 툭 놓는다]"
"113","00:10:56:24","00:10:58:22","(영선) 뭐 하냐? 뇌호흡하냐?"
"114","00:11:00:22","00:11:02:17","[길게 숨을 쉰다]"
"115","00:11:04:15","00:11:06:08","[나뭇가지 부스럭대는 소리]"
"116","00:11:08:19","00:11:09:24","뭐 하세요?"
"117","00:11:11:16","00:11:12:16","기다려 봐"
"118","00:11:21:19","00:11:23:14","[흥미로운 음악]
[모닥불이 탁탁 튄다]"
"119","00:11:38:11","00:11:39:18","[입소리]
치"
"120","00:11:40:09","00:11:41:09","고구마나 먹자"
"121","00:11:41:17","00:11:42:17","[손을 비빈다]"
"122","00:11:45:08","00:11:46:09","그거 아세요?"
"123","00:11:46:11","00:11:47:19","뭐?"
"124","00:11:49:06","00:11:53:19","저 학교 다닐 때
교수님 되게 좋아했었는데"
"125","00:11:53:21","00:11:55:12","그렇게 좋았어?"
"126","00:11:55:14","00:11:56:17","네"
"127","00:11:56:19","00:11:57:20","[인정의 웃음]"
"128","00:11:58:04","00:11:59:08","나도 좋았는데"
