No.,Timecode In,Timecode Out,Subtitle
"1","00:00:26:10","00:00:27:20","[부스럭 소리가 난다]"
"2","00:00:27:22","00:00:30:01","[잔잔한 음악]"
"3","00:00:33:23","00:00:35:24","(순정)
민아야, 유민아!"
"4","00:00:39:00","00:00:42:01","새벽같이 일어나더니 안 나오고 뭐 해?"
"5","00:00:42:15","00:00:44:18","아이, 그러다가 또 지각한다니까!"
"6","00:00:46:13","00:00:47:22","[문이 달칵 열린다]
(민아)
나가요, 나가!"
"7","00:00:50:16","00:00:52:00","야"
"8","00:00:52:13","00:00:54:02","(순정)
너 또 화장했지?"
"9","00:00:54:04","00:00:55:13","[약 올리는 신음]"
"10","00:00:55:15","00:00:57:16","아이, 계집애
아, 이놈의 계집애!"
"11","00:00:58:19","00:01:00:23","[새가 지저귄다]"
"12","00:01:06:09","00:01:07:16","[기어 조작음]"
"13","00:01:08:17","00:01:09:15","[안전벨트를 달칵 푼다]"
"14","00:01:29:03","00:01:31:22","[민아의 웃음]"
"15","00:01:34:04","00:01:35:00","(민아)
아, 늦겠다"
"16","00:01:35:02","00:01:35:23","[민아의 다급한 신음]"
"17","00:01:36:00","00:01:37:21","야, 학교 끝나면 엄마 일 좀 도와!"
"18","00:01:37:23","00:01:39:14","친구랑 약속 있어!"
"19","00:01:39:17","00:01:41:01","(순정)
어떤 친구!"
"20","00:01:41:03","00:01:43:11","[학생들이 저마다 대화한다]"
"21","00:01:43:14","00:01:44:16","(학생들)
안녕"
"22","00:01:47:02","00:01:48:14","- (민아) 야
- (학생1) 어?"
"23","00:01:49:07","00:01:50:15","(학생2)
오늘은 왜 늦었어?"
"24","00:01:52:16","00:01:53:24","또 밤새 채팅했냐?"
"25","00:01:54:01","00:01:55:08","(민아)
아니거든?"
"26","00:01:55:10","00:01:57:07","(학생1)
채팅으로 만난 애 요즘도 연락해?"
"27","00:01:57:09","00:02:00:08","(민아)
응, 오늘 저녁에도
또 만나기로 했는데?"
"28","00:02:00:10","00:02:02:14","[학생1의 탄성]
(학생3)
누구? 유민아 남친 생겼어?"
"29","00:02:02:16","00:02:04:18","야, 너 몰랐어? 상일고 3학년"
"30","00:02:04:20","00:02:06:21","(학생3)
아, 좋겠다! 얼짱이야?"
"31","00:02:06:24","00:02:08:10","(학생2)
생각보다 오래가네?"
"32","00:02:08:12","00:02:10:00","이제 며칠이나 됐지?"
"33","00:02:10:14","00:02:11:12","한 한 달?"
"34","00:02:11:14","00:02:13:17","(학생3)
좋겠다, 키스는 했어?"
"35","00:02:13:20","00:02:15:12","야, 그런 거 아니야"
"36","00:02:15:14","00:02:17:04","- (학생3) 에이!
- (학생1) 아니긴 뭘 아니야?"
"37","00:02:17:06","00:02:18:14","(학생1)
아직 안 했으면
오늘 밤에 하는 거 아니야?"
"38","00:02:18:17","00:02:20:10","- (학생3) 아, 뭐야!
- (민아) 아니야
[학생들의 탄성]"
"39","00:02:20:12","00:02:22:23","- (민아) 진짜 안 했어
- (학생3) 진짜로 해? 어, 대박!
[학생들이 저마다 말한다]"
"40","00:02:23:00","00:02:23:23","[수업 종이 울린다]
(학생1)
어?"
"41","00:02:28:13","00:02:30:05",""할 일""
"42","00:02:30:07","00:02:32:22","[학생들의 탄성과 박수]"
"43","00:02:35:00","00:02:36:12","[서린의 놀란 신음]"
"44","00:02:37:04","00:02:38:15","[서린의 웃음]"
"45","00:02:38:17","00:02:39:18","이게 다 뭐야?"
"46","00:02:39:20","00:02:42:21","(학생들)
선생님, 결혼 축하드려요!"
"47","00:02:43:19","00:02:44:21","(서린)
어떻게 알았어?"
"48","00:02:44:23","00:02:47:09","반장이 교무실 앞에서 들었대요"
"49","00:02:47:11","00:02:48:12","(서린)
반장이?"
"50","00:02:49:15","00:02:51:15","으이구, 하여튼"
"51","00:02:52:03","00:02:53:17","(학생4)
사귄 지 얼마나 되셨어요?"
"52","00:02:53:19","00:02:54:24","남편분 잘생겼어요?"
"53","00:02:55:01","00:02:56:02","신혼여행 어디로 가요?"
"54","00:02:56:04","00:02:57:00","(학생4)
결혼식은 어디서 해요?"
"55","00:02:57:02","00:02:59:13","[학생들이 저마다 묻는다]"
"56","00:02:59:15","00:03:01:21","[새가 지저귄다]"
"57","00:03:04:16","00:03:05:17","[민아의 한숨]"
"58","00:03:14:00","00:03:15:00","[웃음]"
"59","00:03:15:22","00:03:16:20","오래 기다렸어?"
"60","00:03:16:22","00:03:18:00","아니"
"61","00:03:18:15","00:03:19:15","우리 어디 갈까?"
"62","00:03:20:06","00:03:21:24","어, 글쎄"
"63","00:03:24:10","00:03:26:00","- (진호) 햄버거 좋아해?
- (민아) 응"
"64","00:03:26:03","00:03:27:06","[민아의 옅은 웃음]
갈까?"
"65","00:03:27:08","00:03:28:09","그래"
"66","00:03:34:06","00:03:35:18","[감성적인 반주가 흘러나온다]
(진호)
♪ 그저 멍하니 ♪"
"67","00:03:35:21","00:03:37:11","♪ 지금 너의 사진만 바라봐 ♪"
"68","00:03:37:13","00:03:39:14","♪ 똑같은 미소, 똑같은 모습 ♪"
"69","00:03:39:16","00:03:42:09","♪ 똑같은 옷차림에
널 잊지 못한 채 멍하니 ♪"
"70","00:03:42:11","00:03:44:20","[잔잔한 반주가 흘러나온다]
(진호)
♪ 부탁에 ♪"
"71","00:03:44:22","00:03:47:14","♪ 고개를 저으며 ♪"
"72","00:03:47:16","00:03:52:16","♪ 뒤돌아 가 버린 너 ♪"
"73","00:03:52:18","00:03:55:14","♪ 냉정했던 거니 ♪"
"74","00:03:56:06","00:04:01:11","♪ 너의 모습이 아니잖아 ♪"
"75","00:04:17:19","00:04:19:24","[학생들이 떠들썩하다]"
"76","00:04:22:24","00:04:25:05","(서린)
어, 이제 야자 끝나서 들어가려고"
"77","00:04:26:04","00:04:27:23","[웃으며]
아니"
