No.,Timecode In,Timecode Out,Subtitle
"1","00:00:29:10","00:00:32:02","[잔잔한 기타 선율]"
"2","00:00:38:11","00:00:40:21","[새 지저귀는 소리]"
"3","00:00:51:06","00:00:53:18","[바람 소리]"
"4","00:01:15:17","00:01:18:09","[갈대밭에서 거니는 소리]
[새 지저귀는 소리]"
"5","00:01:53:08","00:01:55:08","[쿵쿵쿵 둥 쿵~]"
"6","00:02:02:17","00:02:04:17","[밝지만 구슬픈 기타 선율]"
"7","00:03:23:20","00:03:25:20","[바람 소리]"
"8","00:03:35:21","00:03:38:12","[싹둑]"
"9","00:03:39:13","00:03:40:14","[싹둑]"
"10","00:03:42:15","00:03:43:17","[차 지나가는 소리]"
"11","00:03:43:19","00:03:46:04","[두 남자가 대화를 나눈다]"
"12","00:03:48:04","00:03:49:02","[싹둑]"
"13","00:03:51:08","00:03:54:20","[부우웅 차가 지나간다]
[싹둑]"
"14","00:03:54:22","00:03:55:18","[싹둑]"
"15","00:03:56:09","00:03:57:09","[싹둑]"
"16","00:03:58:09","00:03:59:10","[싹둑]"
"17","00:04:00:18","00:04:03:06","[자르려는 순간 개가 짖는다]
[부우웅 차가 지나간다]"
"18","00:04:06:21","00:04:07:17","[싹둑]"
"19","00:04:11:21","00:04:13:19","(도준) 훈련! 충성!
[차 지나가는 소리]"
"20","00:04:18:12","00:04:19:08","(진태) 어어"
"21","00:04:19:16","00:04:21:10","[차에 치이는 소리]
[놀라서 비명을 지른다]"
"22","00:04:21:12","00:04:23:02","[찢어질 듯]
도준아!
[탁! 탁!]"
"23","00:04:23:04","00:04:25:06","(진태)
가만히 있어, 이 개새끼야
[뛰어가는 소리]"
"24","00:04:25:14","00:04:27:09","(도준 모) [뛰어가며]
도준아, 괜찮아?"
"25","00:04:27:11","00:04:28:16","괜찮아?"
"26","00:04:28:18","00:04:30:07","[귀찮아하는 도준]
[놀라서 뛰어나오는 미선]"
"27","00:04:30:10","00:04:32:05","- (도준 모) 도준아, 너 피 난다
- (미선) 도준아!"
"28","00:04:32:08","00:04:35:11","- (도준) 아씨, 엄마는 들어가
- (도준 모) 어디야, 도대체"
"29","00:04:35:13","00:04:37:12","- 아줌마!
- 도준아, 너 피 나잖아"
"30","00:04:37:14","00:04:39:17","- (도준 모) 도준아!
- (미선) 어우, 아줌마! 잠깐"
"31","00:04:39:20","00:04:42:11","(미선) [놀라며]
아줌마 손!"
"32","00:04:42:23","00:04:44:11","- (도준 모) 쟤 피 나잖아
- (미선) 아이고"
"33","00:04:44:16","00:04:47:11","내 이럴 줄 알았어
이거 아줌마 피잖아"
"34","00:04:47:13","00:04:48:11","[도준이 진태를 소리쳐 부른다]
(미선) 아이, 참"
"35","00:04:48:13","00:04:51:10","아저씨, 골프장!
로얄팰리스 칸츄리
[숨차하며 문을 닫는 도준]"
"36","00:04:51:23","00:04:54:03","- 거기로 갔어?
- [숨을 헐떡이며] 새끼야"
"37","00:04:54:09","00:04:57:00","이 동네에서 벤츠가 갈 데가
거기뿐이 더 있어?"
"38","00:04:58:03","00:05:00:10","손님, 뺑소니 사고입니까?"
"39","00:05:00:12","00:05:02:09","사람 치고 액셀 밟는 새끼들은
[딸깍하고 벨트를 채우는 도준]"
"40","00:05:02:11","00:05:04:11","면상부터 밟아야 돼
이 개 같은 새끼들"
"41","00:05:05:21","00:05:07:21","으어, 피여!"
"42","00:05:08:18","00:05:10:21","- 피!
- 알았어, 알았어"
"43","00:05:10:23","00:05:14:00","5362...
5362, 흰 벤츠, 흰 벤츠"
"44","00:05:15:08","00:05:18:05","5293, 새끼야
까만 벤츠"
"45","00:05:18:07","00:05:21:09","아, 까만 벤츠
까만색... 까만색"
"46","00:05:21:20","00:05:24:21","(진태) 이야, 넌 어떻게
까만색하고 흰색을"
"47","00:05:24:23","00:05:26:14","뭐 헷갈릴 수도 있겠다, 너라면"
"48","00:05:27:07","00:05:28:15","(진태) 정말 특이한 새끼"
"49","00:05:29:07","00:05:33:23","어! 저기...
저거다, 저기"
"50","00:05:36:10","00:05:40:07","[전력 질주 해서 달려가는 진태]"
"51","00:05:40:09","00:05:41:10","[팍! 우당탕]"
"52","00:05:41:13","00:05:43:12","[소리 지르며 달려오는 도준]"
"53","00:05:43:14","00:05:44:21","[넘어지며 외마디 비명]"
"54","00:05:46:00","00:05:47:05","[아파하는 도준]"
"55","00:05:48:21","00:05:51:05","아프겠다
[아파하는 도준]"
"56","00:05:52:04","00:05:53:01","[덜렁]"
"57","00:05:53:07","00:05:56:16","[신음하는 도준]
따라와, 새끼야"
"58","00:06:00:14","00:06:02:03","(도준) 아오 궁디야, 아~"
"59","00:06:03:05","00:06:04:10","[연신 아파하는 도준]"
"60","00:06:05:08","00:06:08:22","[풀 밟는 소리]"
"61","00:06:11:00","00:06:12:03","[뚝]"
"62","00:06:12:19","00:06:16:18","- (도준 모) 대충해요, 대충
- (약사) 아이, 시끄러워"
"63","00:06:16:21","00:06:18:05","당신이 약사야?"
"64","00:06:18:18","00:06:22:00","어어이, 움직이지 마, 손가락
어어이, 이게 뭐야, 에이"
"65","00:06:23:08","00:06:25:19","어, 정말 미치겠네"
"66","00:06:25:23","00:06:29:12","[반창고 찢는 소리]
(도준 모) 어딜 간 거야, 대체"
"67","00:06:30:11","00:06:32:11","여기... 골프장"
"68","00:06:34:04","00:06:35:13","(진태) 그래, 골프장이지"
"69","00:06:36:14","00:06:39:23","(진태) [어이없는 듯]
근데 너 우리 여기 왜 왔는지
생각 안 나지?"
"70","00:06:40:06","00:06:43:14","[천진난만하게] 우와, 또!
[즐거워하는 도준]"
"71","00:06:43:22","00:06:47:04","앗싸! 12개"
"72","00:06:47:07","00:06:48:11","[한숨을 내쉰다]"
"73","00:06:50:14","00:06:53:23","네 어디가 그렇게 좋으실까
너희 엄마는
[찰랑]"
"74","00:06:56:03","00:06:57:12","아 맞다, 엄마"
"75","00:06:58:17","00:07:01:10","자동차 부우~웅, 퍽"
"76","00:07:02:15","00:07:03:15","내 피, 찍"
"77","00:07:07:03","00:07:08:05","복... 복순데"
"78","00:07:08:23","00:07:11:04","그래, 이 새끼야
복수"
"79","00:07:11:23","00:07:13:03","[자세를 바꾸며] 아이고"
"80","00:07:14:19","00:07:19:24","근데 벤츠 이 씹새들은 왜 안 와
슬슬 지나갈 때도 됐는데"
"81","00:07:20:02","00:07:22:02","[잔디 밟는 소리]
(도준) 어?"
"82","00:07:22:23","00:07:25:14","우와, 되게 많다
[찰랑]"
"83","00:07:27:24","00:07:29:19","골프공은 뭐에 쓰려 그러냐?"
"84","00:07:31:08","00:07:32:06","어?"
"85","00:07:36:05","00:07:37:16","여자한테 선물"
"86","00:07:39:22","00:07:41:14","줄 여자는 있냐?"
"87","00:07:42:24","00:07:44:01","어, 응"
"88","00:07:44:11","00:07:45:14","너 여자랑 자봤어?"
"89","00:07:49:00","00:07:53:07","아휴, 병신아
얼굴은 이쁘장하게 생겨가지고"
"90","00:07:53:09","00:07:54:17","나 여자랑 잤어"
"91","00:07:56:05","00:07:57:02","여자 누구?"
"92","00:07:58:17","00:07:59:14","엄마"
"93","00:08:02:07","00:08:04:23","얘네들은 왜 안 오니
이 씨발, 아휴"
"94","00:08:05:03","00:08:07:03","[조용한 피리 소리]
[잔디 밟는 소리]"
"95","00:08:17:12","00:08:18:16","[잔디 밟는 소리]"
"96","00:08:18:18","00:08:20:18","[계속 흐르는 음악 소리]"
