No.,Timecode In,Timecode Out,Subtitle
"1","00:00:15:00","00:00:18:12","‪"넷플릭스 제공"‬"
"2","00:00:18:15","00:00:20:15","‪[신비로운 음악]‬"
"3","00:00:27:18","00:00:30:16","‪(내레이터) 이 세상에‬
‪완벽하게 평등한 관계는 없습니다‬"
"4","00:00:31:11","00:00:35:22","‪두 사람이 만나면 의도했든 아니든‬
‪권력은 한쪽으로 기울죠‬"
"5","00:00:36:22","00:00:38:08","‪어쩌면 우리 마음속엔‬"
"6","00:00:38:10","00:00:40:12","‪본능적으로 누굴 지배하거나‬"
"7","00:00:40:14","00:00:43:06","‪아님 누군가에게‬
‪복종하고픈 무의식이‬"
"8","00:00:43:08","00:00:44:19","‪숨어 있을지도 모르죠‬"
"9","00:00:46:09","00:00:49:04","‪그리고 바로 당신 마음속에도‬"
"10","00:00:49:06","00:00:51:19","‪남들에겐 말할 수 없는 욕망이‬"
"11","00:00:51:21","00:00:53:22","‪하나쯤은 숨어 있지 않나요?‬"
"12","00:00:55:00","00:00:56:09","‪[흥미진진한 음악]‬"
"13","00:01:48:20","00:01:49:23","‪(황 팀장) 정지후 씨!‬"
"14","00:01:50:00","00:01:51:04","‪예?‬"
"15","00:01:52:11","00:01:55:06","‪(황 팀장) 오, 발령받자마자‬
‪1등으로 출근쓰?‬"
"16","00:01:55:18","00:01:56:18","‪(지후) 안녕하세요?‬"
"17","00:01:57:19","00:01:58:18","‪아‬"
"18","00:01:58:20","00:01:59:24","‪지우 씨 말고‬"
"19","00:02:00:01","00:02:01:04","‪지후 씨‬"
"20","00:02:03:12","00:02:05:10","‪[지후가 피식 웃는다]‬
‪(지후) 안녕하세요?‬"
"21","00:02:07:07","00:02:08:09","‪(황 팀장) 양 대리는 갔지만‬"
"22","00:02:08:11","00:02:11:07","‪어, 대신에 우리 사업팀의‬
‪소문난 엄친아‬"
"23","00:02:11:09","00:02:13:03","‪정지후 대리가‬
‪우리 홍보팀에 왔어요‬"
"24","00:02:13:17","00:02:14:20","‪(지후) 잘 부탁드리겠습니다!‬"
"25","00:02:15:09","00:02:16:13","‪자, 박수‬"
"26","00:02:19:01","00:02:20:04","‪(과장) 근데‬"
"27","00:02:20:06","00:02:22:02","‪정지후, 정지우‬"
"28","00:02:22:04","00:02:23:11","‪정말 점 하나 차이네‬"
"29","00:02:23:14","00:02:26:05","‪(과장) 그 성까지 똑같아서‬
‪이름 부를 때 헷갈리겠다‬"
"30","00:02:26:07","00:02:29:13","‪에이, 직급 자체가 다르잖아‬
‪헷갈릴 게 뭐가 있어?‬"
"31","00:02:29:15","00:02:31:20","‪됐고, 회식이나 하자구‬"
"32","00:02:31:22","00:02:35:17","‪그러면 메뉴는 양고기랑‬
‪양고기 중에 뭐가 좋을까?‬"
"33","00:02:36:07","00:02:37:04","‪양고기요‬"
"34","00:02:37:07","00:02:41:10","‪[황 팀장이 헤헤 웃는다]‬
‪팀장님, 저도 양고기지만‬
‪법인카드가 한도 초과인데요‬"
