No.,Timecode In,Timecode Out,Subtitle
"1","00:00:56:08","00:00:58:09","[공사장 소음]"
"2","00:01:12:13","00:01:13:13","[자동차 리모컨 작동음]"
"3","00:01:14:20","00:01:16:21","[어두운 음악]"
"4","00:02:15:17","00:02:17:19","[준길의 떨리는 숨소리]"
"5","00:02:21:04","00:02:22:15","[도어 록 조작음]"
"6","00:02:22:20","00:02:24:20","[문이 철컥 열린다]"
"7","00:02:28:05","00:02:29:06","[문이 달칵 닫힌다]"
"8","00:02:30:23","00:02:31:23","(준길)
불 켜지 마"
"9","00:02:33:05","00:02:34:05","[준길의 떨리는 숨소리]"
"10","00:02:39:04","00:02:41:14","[혜경의 가쁜 숨소리]
[준길의 힘주는 신음]"
"11","00:02:42:16","00:02:44:06","[혜경의 신음]"
"12","00:02:44:08","00:02:45:08","[준길의 가쁜 숨소리]"
"13","00:02:45:16","00:02:47:17","[혜경의 거친 숨소리]"
"14","00:02:48:10","00:02:49:21","[준길의 떨리는 숨소리]"
"15","00:02:52:01","00:02:55:22","[준길과 혜경의 가쁜 숨소리]"
"16","00:03:04:05","00:03:05:13","(준길)
미안하다, 혜경아"
"17","00:03:08:17","00:03:10:09","황충남을 죽였다"
"18","00:03:12:09","00:03:13:15","[준길이 숨을 깊게 내뱉는다]"
"19","00:03:16:12","00:03:17:12","[혜경의 옅은 신음]"
"20","00:03:17:14","00:03:19:15","[불길한 음악]"
"21","00:03:31:04","00:03:33:19","(경찰1)
그 이불은 피해자 애인이 와서
덮어 준 겁니다"
"22","00:03:34:16","00:03:36:10","처음 피해자를 발견했을 때"
"23","00:03:36:12","00:03:38:22","이쪽에서 고개를 숙이고
주저앉아 있었는데"
"24","00:03:39:07","00:03:42:02","피해자 애인이 반듯하게 눕히고
이불을 덮어 줬습니다"
"25","00:03:43:10","00:03:45:18","현장을 건드리면 안 된다고 말렸는데"
"26","00:03:46:13","00:03:48:07","여자가 너무 사납게 굴어 가지고"
"27","00:03:52:09","00:03:53:10","[재곤의 옅은 한숨]"
"28","00:03:54:21","00:03:55:22","(재곤)
피해자 애인은?"
"29","00:03:56:14","00:03:57:15","(경찰1)
저쪽에..."
"30","00:03:59:11","00:04:01:07","[다가오는 발걸음]"
"31","00:04:09:07","00:04:10:12","(재곤)
어떻게 된 겁니까?"
"32","00:04:13:18","00:04:14:22","이 사람 이름은"
"33","00:04:15:17","00:04:16:21","황충남이에요"
"34","00:04:17:12","00:04:18:13","(충남 애인)
오늘 새벽에"
"35","00:04:19:09","00:04:21:19","같이 일하는
박준길이라는 사람이 찾아와서"
"36","00:04:22:04","00:04:24:06","칼을 들고 죽이겠다고 난리를 쳤어요"
"37","00:04:24:12","00:04:28:13","(경찰1)
처음 신고를 받고 한 30분 정도
찾아다니다가 여기서 발견했습니다"
"38","00:04:39:21","00:04:40:22","[숨을 깊게 내뱉는다]"
"39","00:04:46:10","00:04:48:05","[문이 딸깍 열린다]
(종업원)
정재곤 형사님"
"40","00:04:48:21","00:04:50:06","빨리 오시라는데요, 지금?"
"41","00:04:54:14","00:04:56:05","[새가 지저귄다]"
"42","00:05:00:10","00:05:01:07","(재곤)
무슨 일이야?"
"43","00:05:01:09","00:05:04:02","(진형)
20분 전에 박준길 애인하고
젊은 남자가 집으로 들어갔습니다"
"44","00:05:04:20","00:05:06:01","- (재곤) 남자?
- (진형) 네"
"45","00:05:06:11","00:05:07:10","(재곤)
박준길이는 아니고?"
"46","00:05:07:12","00:05:09:17","(진형)
어... 잘 모르겠습니다"
"47","00:05:10:05","00:05:12:02","박준길인 것 같기도 하고..."
"48","00:05:12:17","00:05:13:18","죄송합니다"
"49","00:05:15:15","00:05:19:06","(기범)
야, 이런 새벽에 같이 온 남자면
박준길이 아니면 손님인데"
"50","00:05:20:11","00:05:21:12","[기범의 멋쩍은 헛기침]"
"51","00:05:23:04","00:05:25:07","정재곤이, 네 생각은 어떤 것 같으냐?"
"52","00:05:27:21","00:05:29:15","(재곤)
박준길이면 너무 쉽지"
"53","00:05:31:15","00:05:33:07","이렇게 쉬울 리가 있겠어요?"
"54","00:05:35:13","00:05:36:13","(진형)
어?"
"55","00:05:37:11","00:05:39:11","박준길이 애인이 나오는데요?
[기범이 의자를 달칵 조작한다]"
"56","00:05:40:09","00:05:41:12","어떻게 합니까?"
"57","00:05:41:21","00:05:45:07","(기범)
가만있어 봐, 가만있어, 가만있어
괜찮아, 괜찮아"
"58","00:05:53:21","00:05:55:05","[새가 지저귄다]"
"59","00:05:56:10","00:05:58:00","(재곤)
문 선배, 나 쟤 뒤따라갈게"
"60","00:05:58:02","00:05:59:12","(기범)
야, 야, 이씨, 야"
"61","00:05:59:17","00:06:02:03","이씨, 너 가면
이거 이 새끼하고 둘이 치라고?"
"62","00:06:02:10","00:06:04:04","쟤 눈치 깠다니까
[재곤이 차 문을 탁 닫는다]"
"63","00:06:05:06","00:06:07:02","(재곤)
아까 그 남자
박준길이 아닐지도 모르잖아"
"64","00:06:07:04","00:06:08:01","그럼 누군데?"
"65","00:06:09:22","00:06:10:23","(기범)
아이씨"
"66","00:06:12:02","00:06:12:23","야, 치자"
"67","00:06:23:15","00:06:25:20","야, 칼잡이다, 조심해라"
"68","00:06:29:20","00:06:31:05","[초인종이 딩동 울린다]"
"69","00:06:32:20","00:06:34:01","[다가오는 발걸음]"
"70","00:06:34:06","00:06:35:06","(남자1)
누구세요?"
"71","00:06:36:05","00:06:37:15","(기범)
저, 욕실 쓰셨죠?"
"72","00:06:37:22","00:06:38:22","(남자1)
뭐라고요?"
"73","00:06:39:07","00:06:40:18","(기범)
저 아래층에서 왔는데요"
"74","00:06:40:20","00:06:43:21","아, 밑에 지금 물이 장난이...
열어 봐요"
"75","00:06:43:23","00:06:44:23","(남자1)
예?"
"76","00:06:51:00","00:06:52:01","(기범)
어?"
"77","00:07:02:07","00:07:03:07","[기범의 한숨]"
"78","00:07:04:10","00:07:05:21","(기범)
너 박준길이 진짜 몰라?"
"79","00:07:05:23","00:07:07:03","(남자1)
예, 정말이에요"
"80","00:07:07:13","00:07:10:14","마담 누나 애인이라면서 가게 왔을 때
그때 딱 한 번 봤어요"
"81","00:07:10:22","00:07:11:22","(기범)
근데"
"82","00:07:12:10","00:07:14:03","근데 네가 왜 여기 와 있어?"
"83","00:07:14:05","00:07:15:15","(남자1)
오늘부터 여기에 살려고요"
"84","00:07:17:18","00:07:20:19","아, 마담 누나가 급하게
집 뺀다 그러길래"
"85","00:07:21:13","00:07:23:02","제가 그냥 들어오기로 한 건데요"
"86","00:07:24:07","00:07:25:12","이 집 보증금은?"
"87","00:07:27:04","00:07:28:14","마담 누나가 아까 가져갔습니다"
"88","00:07:28:21","00:07:32:11","(기범)
지금쯤 박준길 이 새끼
신나게 돈 세고 있겠네, 이거"
"89","00:07:34:03","00:07:36:04","[의미심장한 음악]"
"90","00:08:08:06","00:08:11:12","[남자들이 코를 드르릉 곤다]"
"91","00:08:16:15","00:08:18:21","[남자들의 힘겨운 신음]"
"92","00:08:19:06","00:08:20:07","[작은 목소리로]
손경수"
"93","00:08:20:09","00:08:22:10","[남자들이 코를 드르릉 곤다]"
"94","00:08:23:15","00:08:24:19","[남자2의 신음]"
"95","00:08:24:21","00:08:25:22","(재곤)
[작은 목소리로]
손경수?"
"96","00:08:28:08","00:08:29:10","[작은 목소리로]
아이, 씨발"
"97","00:08:29:12","00:08:30:22","[남자2가 콜록거린다]"
"98","00:08:33:04","00:08:34:05","[남자3의 신음]"
"99","00:08:34:23","00:08:35:23","(재곤)
[작은 목소리로]
손경수"
"100","00:08:36:02","00:08:37:18","(남자3)
[짜증 섞인 목소리로]
아이, 씨발"
"101","00:08:39:01","00:08:40:07","(재곤)
[작은 목소리로]
손경수"
"102","00:08:40:13","00:08:41:22","(남자4)
뭐야, 씨발"
"103","00:08:47:09","00:08:50:06","형님, 경수 형님
[경수가 코를 드르릉 곤다]"
"104","00:08:52:10","00:08:54:05","[경수의 귀찮은 신음]"
"105","00:08:55:06","00:08:57:15","(경수)
아, 아이씨"
"106","00:08:58:15","00:09:00:16","[남자들의 못마땅한 신음]
(남자5)
걷지 마"
"107","00:09:00:23","00:09:02:13","(경수)
아이씨, 뭐야"
"108","00:09:08:09","00:09:09:15","(경수)
박준길이가"
"109","00:09:10:21","00:09:13:10","이 바닥에서 위아래로
평판이 꽤 좋더라고요?"
"110","00:09:17:18","00:09:21:02","제이 인베스트먼트 이사장하고는
홍은동 뽀빠이파 원년 멤버였고"
"111","00:09:22:17","00:09:24:20","김혜경이 원래는 이사장 깔치였는데"
"112","00:09:25:09","00:09:27:23","박준길하고 몰래 눈이 맞은 게
들켜 버렸습니다"
"113","00:09:29:01","00:09:31:01","열받은 이사장이 박준길이한테"
"114","00:09:31:18","00:09:34:06","김혜경이 진 빚을 모두 갚고
떠나라고 한 모양입니다"
"115","00:09:35:06","00:09:38:18","죽은 황충남이가
김혜경을 공갈 협박 한 모양인데"
"116","00:09:38:23","00:09:41:06","박준길이, 씨, 빡 돌았고"
"117","00:09:41:21","00:09:43:11","여자 때문에 칼부림 난 거죠"
"118","00:09:49:05","00:09:50:16","박준길이 애인은 어떤 년이야?"
"119","00:09:52:11","00:09:53:13","(경수)
김혜경이..."
"120","00:09:55:13","00:09:57:04","걔가 지금은 퇴물이지만"
"121","00:09:57:15","00:09:59:14","몇 년 전까지는 텐프로였답니다"
"122","00:10:00:22","00:10:02:22","주식에 손대서 다 날리고"
"123","00:10:03:08","00:10:05:07","룸살롱 새끼 마담 하면서 빚지고"
"124","00:10:05:20","00:10:07:23","나이는 먹고, 뭐, 씨, 그런 거죠"
"125","00:10:09:16","00:10:12:02","텐프로였을 때
이사장 첩으로 들어갔나 봐요"
"126","00:10:15:04","00:10:16:05","(경수)
저기..."
"127","00:10:18:03","00:10:21:06","제이 인베스트먼트 상무라는 사람이
좀 보자는데?"
"128","00:10:25:07","00:10:26:05","날 왜 봐?"
"129","00:10:26:07","00:10:28:08","[의미심장한 음악]"
"130","00:10:30:13","00:10:31:18","(식당 주인1)
어서 오세요"
"131","00:10:44:16","00:10:45:14","(경수)
잘 먹었습니다"
"132","00:10:45:16","00:10:47:02","(식당 주인1)
네, 고맙습니다"
"133","00:10:52:20","00:10:55:01","(재곤)
야, 너 누구한테 잘 먹었다고 한 거냐?"
"134","00:10:56:02","00:10:56:23","(경수)
예?"
"135","00:10:58:03","00:10:59:17","(재곤)
나야, 식당 주인이야?"
"136","00:11:00:19","00:11:01:23","(경수)
형님, 왜 이러십니까?"
"137","00:11:03:23","00:11:05:14","당연히 형님한테 한 거죠!"
"138","00:11:19:16","00:11:20:22","(재곤)
날 보자고 한 게 쟤냐?"
"139","00:11:21:22","00:11:22:20","(경수)
예"
"140","00:11:28:04","00:11:29:02","(재곤)
내려"
"141","00:11:31:18","00:11:32:23","(경수)
예
[차 문이 달칵 열린다]"
"142","00:11:34:13","00:11:35:23","[차 문이 탁 닫힌다]
[자동차 시동음]"
"143","00:12:04:03","00:12:06:02","뭐야, 이 병신 새끼는"
"144","00:12:06:16","00:12:08:17","[자동차 가속음]"
"145","00:12:09:14","00:12:10:11","(영기)
씨발"
"146","00:12:10:13","00:12:13:04","[보닛을 탁탁 두드리며]
아파, 아프다고"
"147","00:12:15:03","00:12:16:14","[영기의 힘겨운 숨소리]"
"148","00:12:17:21","00:12:18:17","(영기)
아"
"149","00:12:19:03","00:12:20:14","[영기의 가쁜 숨소리]"
