No.,Timecode In,Timecode Out,Subtitle
"1","00:00:06:02","00:00:10:21","[피리 소리]
[새 소리]"
"2","00:01:25:17","00:01:27:14","[새 소리]
[바람 소리]"
"3","00:01:32:09","00:01:34:02","[나뭇잎 스치는 소리]"
"4","00:01:48:02","00:01:50:11","(효성)
[숨을 몰아쉬며]
그러고서"
"5","00:01:50:13","00:01:52:19","딱 꺼내는데"
"6","00:01:53:13","00:01:57:02","거의 이만...
[숨을 몰아쉬는 효성]"
"7","00:01:57:15","00:01:59:00","이만했어요"
"8","00:01:59:11","00:02:03:12","노랗고
구멍도 숭숭 나고"
"9","00:02:03:14","00:02:05:19","어찌나 맛있어 보이던지"
"10","00:02:06:05","00:02:08:10","그걸 품에 넣고 다니는데"
"11","00:02:09:01","00:02:10:13","[숨을 몰아쉬는 효성]"
"12","00:02:10:15","00:02:12:02","길에"
"13","00:02:12:04","00:02:15:04","여자애가
동생을 업고 앉은 거예요"
"14","00:02:15:21","00:02:19:07","딱 보니까
밥을 못 먹었더라고
[숨을 내쉬는 효성]"
"15","00:02:19:09","00:02:21:18","얼굴이 노랗고"
"16","00:02:22:00","00:02:24:02","동생도 축 처져서
[병원 안내 방송이 들린다]"
"17","00:02:24:04","00:02:25:15","울지도 않고"
"18","00:02:25:24","00:02:27:02","[힘겹게 숨 쉬는 효성]"
"19","00:02:27:04","00:02:30:02","그래서
딴 데 가서 먹으려고"
"20","00:02:30:04","00:02:32:01","딴 데로 가다가"
"21","00:02:32:06","00:02:33:11","가다가"
"22","00:02:34:05","00:02:37:12","가서 줘버렸어요
[숨을 몰아쉬는 효성]"
"23","00:02:37:14","00:02:41:14","하루 종일
품에 넣고 다녔으니까"
"24","00:02:41:16","00:02:44:22","그게 또 따뜻하잖아요?"
"25","00:02:44:24","00:02:47:05","[힘겹게 숨 쉬는 효성]"
"26","00:02:47:07","00:02:48:14","제가 또"
"27","00:02:49:05","00:02:51:11","언제 그런 카스텔라를"
"28","00:02:51:13","00:02:54:13","보게 될지 모르는데
[거친 숨소리]"
"29","00:02:54:24","00:02:57:09","[힘겹게 숨 쉬는 효성]"
"30","00:02:57:11","00:02:59:21","정신없이 먹더라고요"
"31","00:03:00:05","00:03:02:11","동생 입에도 막 찔러넣고"
"32","00:03:02:21","00:03:05:05","[숨을 몰아쉬는 효성]
그거"
"33","00:03:05:07","00:03:07:10","하나님이 기억하시려나요?"
"34","00:03:07:13","00:03:09:12","(효성)
30년 전 일인데"
"35","00:03:12:02","00:03:13:11","당근이죠"
"36","00:03:14:03","00:03:15:22","기억은 그분 장기예요"
"37","00:03:16:24","00:03:18:09","그럼요"
"38","00:03:18:21","00:03:22:21","그때 그
피리 불어주신 노래요"
"39","00:03:23:14","00:03:27:15","그거 한 번만
더 들을 수 있으려나요?"
"40","00:03:39:10","00:03:43:10","[가빠지는 효성의 숨소리]
[의료 기기 경보음]"
"41","00:03:43:14","00:03:48:05","[효성의 가쁜 숨소리]"
"42","00:03:49:06","00:03:51:20","[숨이 막힌 효성]
(간호사)
심장 마사지 할 줄 아시죠?"
"43","00:03:52:12","00:03:55:02","[인공호흡 하는 간호사]"
"44","00:03:55:15","00:03:58:16","(간호사)
하세요
[힘주는 상현]"
"45","00:03:59:03","00:04:00:09","(간호사)
그만"
"46","00:04:00:13","00:04:03:03","[문 열리는 소리]
[계속되는 의료 기기 경보음]"
"47","00:04:03:12","00:04:07:10","(간호사)
다시요
[힘주는 상현]"
"48","00:04:16:10","00:04:17:13","(의사)
200줄"
"49","00:04:29:23","00:04:31:03","(의사)
차징"
"50","00:04:32:06","00:04:33:05","[심장충격기 소리]"
"51","00:04:34:07","00:04:36:03","(상현)
신하고 직접
소통하고 싶어 하는 이들은"
"52","00:04:36:05","00:04:37:12","자기 혐오에 빠지기 쉽고"
"53","00:04:37:14","00:04:40:09","저도 모르게 불행을
격려하는 성향이 있기 때문에"
"54","00:04:40:11","00:04:42:18","악마가 잘 파고들죠"
"55","00:04:42:20","00:04:46:06","성 브루노 말씀대로
자살은 사탄을 위한 순교거든"
"56","00:04:47:05","00:04:49:12","살인 중에서도
제일 죄질이 나빠요"
"57","00:04:49:14","00:04:50:18","[멀리서 들리는 파이프 오르간]"
"58","00:04:50:20","00:04:52:21","무기징역감이야, 지옥에서"
"59","00:04:53:00","00:04:54:04","[피식 웃는 유 간호사]"
"60","00:04:55:20","00:04:58:01","(상현)
성모송 스무 번 드리고
햇볕을 많이 쬐고"
"61","00:04:58:03","00:04:59:19","찬물로 샤워하시고요"
"62","00:04:59:22","00:05:02:08","과학의 이름으로 베푸시는
신의 도움을 받아야죠"
"63","00:05:02:10","00:05:03:16","[유 간호사의 옅은 한숨]"
"64","00:05:03:19","00:05:06:10","(상현)
의사 상담하고
항우울증약 먹어요"
"65","00:05:08:12","00:05:11:04","자살 생각은 제발 그만하고
그리고"
"66","00:05:12:03","00:05:14:13","떠난 놈은 잊어버려
이제 좀"
"67","00:05:21:14","00:05:22:19","신부님"
"68","00:05:23:23","00:05:27:05","남자 문제나 세상일은
제가 알아서 할 테니까"
"69","00:05:28:08","00:05:30:17","신부님은
그냥 기도나 해주세요"
"70","00:05:31:20","00:05:35:14","(상현)
에마누엘 연구소 갈 수 있게
말씀 좀 해주세요, 원장님께"
"71","00:05:36:22","00:05:38:05","(노신부)
아"
"72","00:05:38:07","00:05:42:05","바티칸에서 인정한 실험이
아니라고 들었습니다"
"73","00:05:43:07","00:05:45:11","(상현)
사라 씨가 월요일에 죽었어요"
"74","00:05:45:13","00:05:47:19","수술을 여덟 번이나 했는데"
"75","00:05:48:02","00:05:50:11","어젠 효성 씨가
코마에 들어갔고요"
"76","00:05:52:00","00:05:55:04","이렇게 자꾸 보내기만 하자니
괴로워 죽겠습니다"
"77","00:05:55:24","00:05:58:16","그 연구소에서
무슨 일이 벌어지는지"
"78","00:05:58:18","00:06:01:14","아는 사람이 아무도 없어요
[전동 휠체어 모터 소리]"
"79","00:06:02:22","00:06:05:05","사람 살리는 일을 하고 싶어요"
"80","00:06:05:08","00:06:06:21","(노신부)
하, 참"
"81","00:06:07:19","00:06:11:01","(노신부)
요만할 때부터
내가 의대 가라 그랬잖아요"
"82","00:06:11:07","00:06:14:08","안과 가 가지고 내 눈도
좀 봐주고 그랬으면 좀 좋니?"
"83","00:06:14:10","00:06:15:17","신부님"
"84","00:06:15:19","00:06:18:00","- 에마누엘 연구소 갈 수 있...
- (노신부) 야, 야"
"85","00:06:18:02","00:06:20:02","(노신부)
잡담 그만하고 사죄경 드리자"
"86","00:06:21:19","00:06:23:01","[한숨 쉬는 상현]"
"87","00:06:23:15","00:06:26:12","(노신부)
고해성사하랬더니 웬... 쯧"
"88","00:06:28:05","00:06:29:22","[영어로 나오는 기내 방송]"
"89","00:06:29:24","00:06:33:12","[상현 내레이션]
환우 여러분께 제대로
인사 못 드리고 떠나 죄송합니다"
"90","00:06:34:17","00:06:37:13","하도 갑자기 받은 휴가라
정신이 없었어요"
"91","00:06:39:03","00:06:42:01","이것저것 산더미같이
챙겼는데
[이국적인 새 소리]"
"92","00:06:42:09","00:06:44:03","다들 몸만 가면 된다 그러네요"
"93","00:06:44:05","00:06:46:12","수도회에서 준비해준
호텔이 워낙 고급이라"
"94","00:06:46:20","00:06:50:06","[웃으며]
이럴 땐 정말 신부 되길 잘했다는
생각이 듭니다"
"95","00:06:50:09","00:06:52:23","[정체 모를 굉음이
멀리서 들린다]"
"96","00:06:54:13","00:06:55:10","[슬라이드 넘어가는 소리]"
"97","00:06:55:12","00:06:58:01","[영어로 말하는 연구소장]
이브, 즉 에마누엘 바이러스"
"98","00:06:58:03","00:07:01:09","감염되면 나타나는 증상은"
"99","00:07:01:19","00:07:04:19","먼저 사지의 끝에
수포가 형성되는 겁니다"
"100","00:07:05:01","00:07:08:06","그다음 입술 주변, 눈꺼풀
콧속에 번지고"
"101","00:07:08:08","00:07:12:20","호흡기와 소화기관을 타고
결국 몸의 중심부까지 퍼집니다"
"102","00:07:13:17","00:07:18:03","수포들은 뭉쳐서
크기가 커지고 결국 터지는데"
"103","00:07:18:10","00:07:20:12","이 병변이 근육에 생길 경우"
"104","00:07:20:14","00:07:23:11","큰 궤양이 만들어져
출혈이 생기고"
"105","00:07:23:19","00:07:25:22","장기 내부까지 이르면"
"106","00:07:25:24","00:07:30:08","피를 토하다 결국
과다 출혈로 죽게 됩니다"
"107","00:07:31:03","00:07:32:12","치료법이 없으니"
"108","00:07:32:24","00:07:35:18","실험 과정에서 감염되면"
"109","00:07:36:12","00:07:37:13","[슬라이드 끄는 소리]"
"110","00:07:38:10","00:07:39:23","손쓸 수가 없습니다"
"111","00:07:41:21","00:07:42:24","자..."
"112","00:07:43:01","00:07:44:01","[캠코더 켜는 소리]"
"113","00:07:44:09","00:07:46:10","이제 뻔한 대답 말고"
"114","00:07:47:03","00:07:50:09","실험에 자원한 진짜 이유를
말해보세요"
"115","00:07:52:00","00:07:55:13","가끔 기도에 무력감을
느끼는 분들이"
"116","00:07:55:19","00:07:58:15","극적인 자살을 꾀하러
오는 경우도 있는데"
"117","00:07:59:14","00:08:02:01","우리한테는
정말 난감한 일입니다"
"118","00:08:03:19","00:08:05:04","원래"
