No.,Timecode In,Timecode Out,Subtitle
"1","00:00:09:15","00:00:12:11","[사람들의 말소리가 들린다]"
"2","00:00:14:24","00:00:17:00","[자동차 경적이 울린다]"
"3","00:00:17:22","00:00:19:14","[자동차 경적이 울린다]"
"4","00:00:24:01","00:00:26:12","[자동차 경적이 울린다]"
"5","00:00:30:16","00:00:31:22","[종수가 숨을 후 내뱉는다]"
"6","00:00:35:06","00:00:37:04","[종수가 숨을 후 내뱉는다]"
"7","00:00:39:11","00:00:40:22","[종수의 힘주는 신음]"
"8","00:00:46:14","00:00:48:12","[거리가 시끌벅적하다]"
"9","00:00:52:01","00:00:54:09","(상인1)
여러분, 그동안의 성원에 감사드리며"
"10","00:00:54:14","00:00:57:11","자, 오늘 여덟 시까지만
장사하는 마지막 날입니다"
"11","00:00:57:20","00:00:59:07","여덟 시 이후에는"
"12","00:00:59:09","00:01:00:05","(종수)
잠시만요"
"13","00:01:00:07","00:01:01:21","(상인1)
교환이나 구매 자체도 불가능하고요"
"14","00:01:01:23","00:01:04:02","[신나는 음악이 들려온다]
자, 마지막 여덟 시까지만"
"15","00:01:04:04","00:01:05:19","기존에 판매되었던 모든 제품들을..."
"16","00:01:05:21","00:01:08:00","(손님)
아, 이렇게 줘요
이거, 이거 얼마예요?"
"17","00:01:10:10","00:01:12:07","[자동차 경적이 연신 울린다]"
"18","00:01:16:17","00:01:19:01","[내레이터1의 음성이 들려온다]"
"19","00:01:29:18","00:01:31:21","(내레이터1)
네, 안녕하십니까, 어서 오십시오"
"20","00:01:31:23","00:01:34:10","(상인2)
안녕하세요, 어서 오세요, 어서 오세요"
"21","00:01:34:12","00:01:38:02","(내레이터1)
네, 파격 세일
백화점에서 파는 고급 상품들"
"22","00:01:38:04","00:01:41:16","여러분들께 단돈 몇만 원에
가장 저렴한 가격에 드리고 있습니다"
"23","00:01:41:18","00:01:43:15","네, 안녕하십니까, 어서 오십시오"
"24","00:01:43:17","00:01:46:07","네, 방문만 하셔도
다양한 상품 드리고 있으니까요"
"25","00:01:46:09","00:01:50:01","안쪽에 들어오셔서 방문해 보시고
선물도 받아 가시기 바랍니다"
"26","00:01:51:22","00:01:53:10","네, 잠시 후 10분 뒤면"
"27","00:01:53:12","00:01:55:09","[해미가 안내한다]
경품 추첨을 진행하도록 하겠습니다"
"28","00:01:55:11","00:01:57:11","네, 감사합니다, 안녕히 가십시오"
"29","00:01:57:13","00:02:01:01","네, 잠시 후 10분 뒤면은
경품 추첨을 진행하도록 하겠습니다"
"30","00:02:01:04","00:02:02:06","안쪽에 들어오셔서요"
"31","00:02:02:08","00:02:03:24","백화점에서 만나 보실 수 있는
[사장과 종수가 대화한다]"
"32","00:02:04:02","00:02:06:05","최고급 상품도 만나 보시고 가시고요"
"33","00:02:06:07","00:02:08:24","네, 그리고 경품도
받아 가시기를 바랍니다"
"34","00:02:09:01","00:02:10:19","네, 안녕하십니까, 어서 오십시오"
"35","00:02:11:03","00:02:12:19","(상인2)
안녕하세요, 네"
"36","00:02:12:22","00:02:14:20","- (상인2) 사이즈 없는 거 말씀하세요
- (사장) 가서 갖고 와"
