No.,Timecode In,Timecode Out,Subtitle
"1","00:00:22:01","00:00:24:04","[어두운 음악]"
"2","00:00:50:24","00:00:55:03","(DJ)
'전 착한 사람입니다
성실한 근로자지요'"
"3","00:00:55:13","00:00:58:01","'피붙이라곤 누나밖에 없는데요'"
"4","00:00:58:12","00:01:00:09","'절 미대에 보내려고'"
"5","00:01:00:22","00:01:04:01","'누나는 진학도 포기하고
공장에 들어갔습니다'"
"6","00:01:04:18","00:01:09:11","'하지만 몹쓸 병에 걸리는 바람에
그것도 그만둬야 했고'"
"7","00:01:09:17","00:01:13:02","'그래서 저도 미대는 잊어버리고
취직을 했지요'"
"8","00:01:13:24","00:01:18:07","'그런데
제가 요즘 어떤 결심을 했거든요'"
"9","00:01:19:19","00:01:23:09","'이걸 누나한테
얘기해야 할지 말아야 할지'"
"10","00:01:23:11","00:01:26:16","'이 편지를 쓰는
지금도 망설이고 있습니다'"
"11","00:01:27:21","00:01:31:04","'만약에 털어놓기로
마음을 먹게 되면'"
"12","00:01:31:06","00:01:33:21","'누나와 함께
방송을 들으려고 합니다'"
"13","00:01:35:16","00:01:37:23","'제 입으론 말할 수 없어요'"
"14","00:01:39:06","00:01:40:12","[어린 류의 웃음]"
"15","00:01:41:01","00:01:44:10","[염소 울음]
'전 듣지도 말하지도 못하는'"
"16","00:01:44:13","00:01:46:07","'청각 장애인이니까요'"
"17","00:01:50:01","00:01:51:18","'말 못 하는 절 위해서'"
"18","00:01:51:20","00:01:55:06","'대신 누나한테
이 편지를 읽어 주세요'"
"19","00:01:58:03","00:02:00:19","[달칵]
'누나, 듣고 있지?'"
"20","00:02:01:19","00:02:02:19","'누나 죽으면'"
"21","00:02:02:21","00:02:06:03","'우리가 놀던 강가에
묻어 달라 그랬던 거 생각나?'"
"22","00:02:07:01","00:02:09:17","'그래, 알았어
그렇게 해 줄게'"
"23","00:02:10:03","00:02:13:24","'하지만 그건
40년, 50년 후의 일이야'"
"24","00:02:14:07","00:02:17:16","'나, 무조건 누나 살릴 거야'"
"25","00:02:17:19","00:02:19:19","'정말이야, 맹세해'"
"26","00:02:20:18","00:02:26:00","'사실은 오늘
신장 이식 수술 신청했어'"
"27","00:02:26:17","00:02:31:10","'누난 절대 그러지 말랬지만
짐 되는 건 죽기보다 싫댔지만'"
