No.,Timecode In,Timecode Out,Subtitle
"1","00:00:33:22","00:00:38:07","[긴장감 돌고 웅장한 음악]"
"2","00:00:51:11","00:00:53:03","(남자 기자1)
YTN 9시 뉴스입니다"
"3","00:00:53:05","00:00:56:15","한 달간의
검경 합동 수색작업에도 불구하고"
"4","00:00:56:18","00:01:00:08","실종됐던 김나리 양이
결국 싸늘한 주검으로 발견돼..."
"5","00:01:00:11","00:01:03:07","(여자 기자1)
경찰은 사체의 훼손 정도나
범행 수법 등이"
"6","00:01:03:09","00:01:05:11","앞서 발생한 사건들과
유사점이 많다고 보고 연쇄살인..."
"7","00:01:05:13","00:01:08:16","(여자 기자2)
경찰에 대한 불신과
두려움으로 가득 찬 주민들은"
"8","00:01:08:18","00:01:11:15","특별 수사본부가 만들어진 지
3개월이 흘렀음에도..."
"9","00:01:11:24","00:01:15:07","(남자 기자2)
오늘 오전 7시쯤 서울 중랑천
하류 부근에서 발견됐습니다"
"10","00:01:15:09","00:01:18:08","(여자 기자3)
현재까지 김 양의 사체는
일부만을 찾은 상태며"
"11","00:01:18:10","00:01:19:23","경찰은 아직까지 발견되지 않은"
"12","00:01:20:00","00:01:21:24","사체 부위를 찾기 위한
100여 명의 병력을..."
"13","00:01:22:02","00:01:24:10","(여자 기자4)
현재 이곳에서는
피해자 가족들뿐 아니라"
"14","00:01:24:12","00:01:26:04","주민들까지도 모두 나와..."
"15","00:01:26:06","00:01:27:18","(여자 기자5)
예, 그렇습니다
경찰은 지금"
"16","00:01:27:20","00:01:29:09","총체적 난국이라고
볼 수 있습니다"
"17","00:01:29:11","00:01:33:07","(여자 기자6)
경찰청에 도착한 대통령은
곧바로 수사본부로 향했습니다"
"18","00:01:33:10","00:01:35:22","이번 사건에 대한
진행 상황을 보고하는"
"19","00:01:35:24","00:01:37:15","경찰청장의 브리핑이
이어졌습니다"
"20","00:01:37:18","00:01:40:00","(남자 기자3)
오늘 오전
어, 바로 몇 시간 전이죠"
"21","00:01:40:02","00:01:43:08","김성모 대통령이 경찰청을 방문했습니다
대통령의..."
"22","00:01:43:10","00:01:44:20","(여자 기자7)
...정치권에서는"
"23","00:01:44:22","00:01:47:24","발 빠르게 아동 대상 성범죄를
중벌로 다스리자는..."
"24","00:01:48:01","00:01:51:10","(여자 기자8)
대통령의 말 한마디에 경찰청이
부랴부랴 대책을 내놓고..."
"25","00:01:51:12","00:01:53:16","(남자 기자4)
이번 사건에 대한
진행 상황을 보고하는"
"26","00:01:53:18","00:01:56:03","경찰청장의
브리핑이 이어졌습니다"
"27","00:01:56:06","00:01:58:07","엄충수 경찰청장은
범인을..."
"28","00:01:58:09","00:02:01:20","(여자 기자9)
많은 희생자를 낸 것에 대해
대국민 사과를 하며"
"29","00:02:01:22","00:02:04:17","하루빨리 사건을
해결하겠다고 말했습니다"
"30","00:02:04:22","00:02:08:09","보고 내용을 들은 대통령의 표정이
내내 굳어 있었습니다"
"31","00:02:08:11","00:02:12:01","보고가 끝나자 기다렸다는 듯이
사건을 아직까지 처리하지 못..."
"32","00:02:12:06","00:02:15:06","[탕]
[긴박한 음악]"
"33","00:02:15:12","00:02:18:06","[총 겨누며 경고하는 형사1]
[민철의 거친 숨소리]"
"34","00:02:18:08","00:02:20:09","(형사2)
유민철!
야, 이 병신새끼야!"
"35","00:02:20:11","00:02:21:22","너, 이 새끼야!
좆 되고 싶어?"
"36","00:02:23:04","00:02:25:14","너 이 새끼야!
그 총은 또 어디서 났어!"
"37","00:02:25:20","00:02:27:17","제가 지금
저 새끼 머리통 날려도"
"38","00:02:27:18","00:02:29:06","분명히 정당 행위입니다"
"39","00:02:29:16","00:02:32:09","야야, 김 형사야
흥분하지 마라, 응?"
"40","00:02:32:13","00:02:35:04","(형사2)
야, 유민철!
너, 이 새끼야, 그 총 내려놔!"
"41","00:02:35:10","00:02:37:11","야, 우리 좀
좋게 좋게 가자, 좀!"
"42","00:02:38:06","00:02:41:05","자, 내가
'하나, 둘, 셋' 하면"
"43","00:02:41:17","00:02:43:13","둘 다
총 내려놓는 거야"
"44","00:02:45:05","00:02:47:03","- 하나!
- (민철) 야, 이 새끼들아!"
"45","00:02:47:05","00:02:48:03","나 진짜 아니라고!"
"46","00:02:48:05","00:02:49:05","[총성]"
"47","00:02:52:11","00:02:53:15","(충수)
그놈 범인인 건 확실해?"
"48","00:02:53:23","00:02:56:01","(강 국장)
수사팀들 전부
확신하고 있습니다"
"49","00:02:56:14","00:02:58:16","[쾅]
화, 확실합니다"
"50","00:02:59:16","00:03:01:10","그런데 증거는 없고"
"51","00:03:01:23","00:03:03:10","근데 덜컥 죽여버렸어?"
"52","00:03:04:08","00:03:06:16","그리고 그 애 쏜
그 김 형사란 놈은"
"53","00:03:06:18","00:03:08:22","또, 유민철이한테 당한 애
삼촌이라며"
"54","00:03:09:04","00:03:12:05","야, 인마!
사람들이 뭐라 그러겠냐?"
"55","00:03:14:05","00:03:18:20","그래서 그놈이 범인이라는 걸
입증할 길은 하나도 없다는 거야?"
"56","00:03:18:22","00:03:21:13","(강 국장)
그게, 저
두, 두 번째 시체에서"
"57","00:03:21:15","00:03:23:17","혈흔이 하나
나오긴 나왔는데"
"58","00:03:23:19","00:03:26:23","국과수 말로는
훼손 정도가 너무 심해서..."
"59","00:03:27:05","00:03:28:17","에잇!"
"60","00:03:29:07","00:03:30:15","[한숨 소리]"
"61","00:03:31:20","00:03:34:10","DNA 떠낼 확률이
제로에 가깝다?"
