No.,Timecode In,Timecode Out,Subtitle
"1","00:00:56:12","00:00:59:10","[콧노래가 들린다]"
"2","00:01:36:15","00:01:39:12","(뉴스 속 앵커1)
젊은 앵커 출신 한국당 김종찬 후보"
"3","00:01:39:14","00:01:43:16","그리고 무소속으로 출마한
신성구 4선 의원 노재순 후보"
"4","00:01:43:18","00:01:47:09","전통적으로 여당이 강세를 보여 왔던
이곳 대산시에서"
"5","00:01:47:12","00:01:49:00","올해 21대 총선에서는"
"6","00:01:49:02","00:01:53:17","세대교체 혹은 정당 교체를
이루어낼 수 있을지 귀추가 주목됩니다"
"7","00:01:58:01","00:01:59:24","(시 의원)
야, 좋다
[사람들의 반가운 탄성]"
"8","00:02:00:01","00:02:01:07","네, 고생들 많아요"
"9","00:02:01:09","00:02:02:12","- (의원1) 아, 욕본다
- (의원2) 고생 많다"
"10","00:02:02:14","00:02:04:24","[시끌벅적하다]
- (의원2) 얼쑤
- (의원1) 아이고, 좋다!"
"11","00:02:06:06","00:02:08:03","- (종찬) 아이고, 오셨습니까?
- (시 의원) 좋은 꿈 꾸셨습니까?"
"12","00:02:08:05","00:02:10:00","[시 의원의 웃음]
- (종찬) 아, 어서 오이소
- (의원1) 놀러 왔습니다"
"13","00:02:10:02","00:02:11:23","(종찬)
드가이소, 드가이소, 드가이소
[의원들이 저마다 인사한다]"
"14","00:02:12:00","00:02:14:02","- (사무국장) 안녕하십니까?
- (시 의원) 이야, 사무국장
[문이 탁 닫힌다]"
"15","00:02:14:10","00:02:16:14","- (시 의원) 파이팅이다!
- (의원1) 고생이 많네"
"16","00:02:16:16","00:02:18:13","(종찬)
의원님, 저희 어머니십니다"
"17","00:02:18:15","00:02:20:18","(시 의원)
아이고, 어머니, 안녕하십니까
[전화벨이 울린다]"
"18","00:02:20:20","00:02:21:18","(종찬 모)
예
[의원들의 웃음]"
"19","00:02:21:20","00:02:25:08","[전화벨이 울린다]
[사람들이 시끌벅적하다]"
"20","00:02:25:17","00:02:28:05","(종찬)
앉으이소, 앉으이소, 앉으이소
예, 앉으이소"
"21","00:02:28:07","00:02:30:13","(민진)
아빠, 또 노재순이야"
"22","00:02:30:15","00:02:33:02","(사무국장)
이야, 이거 뭐
멈추질 않네, 멈추질 않아"
"23","00:02:33:04","00:02:34:02","(여자1)
민진아"
"24","00:02:35:00","00:02:38:11","어떻게 저런 사람 밑에서
16년을 있었어요?"
"25","00:02:39:15","00:02:42:10","(재순)
16년을 내 옆에서 붙어먹던 것들이
[연홍이 피식한다]"
"26","00:02:42:12","00:02:45:00","그새 느그 집으로 다 가 부렀어"
"27","00:02:45:03","00:02:47:11","이게 우리 동네 의원들 수준이다"
"28","00:02:47:13","00:02:48:10","[의원들의 웃음]"
"29","00:02:48:13","00:02:50:13","방심하지 마라, 종찬이, 으이?"
"30","00:02:50:15","00:02:51:15","(시 의원)
우리 영감님"
"31","00:02:52:04","00:02:56:15","아침마다 그래 모닝콜을 하신다 카더만
사실이네예?"
"32","00:02:56:17","00:02:58:06","[의원들의 웃음]"
"33","00:02:58:08","00:03:01:04","- (재순) 이게 누구고, 이거? 응?
- (종찬) 마, 인사 나누시라꼬"
"34","00:03:01:06","00:03:03:22","(종찬)
제가 스피커폰으로
듣고 있었습니다, 선배님"
"35","00:03:04:00","00:03:05:09","- (재순) 어?
- (의원2) 안녕하십니까, 의원님"
"36","00:03:05:11","00:03:06:24","[의원들이 저마다 인사한다]"
"37","00:03:07:01","00:03:08:21","[민진이 흥얼거린다]
[의원들의 웃음]"
"38","00:03:08:23","00:03:10:00","(민진)
엄마"
"39","00:03:10:22","00:03:12:21","나 오늘 많이 늦는데"
"40","00:03:12:23","00:03:15:15","(연홍)
어? 오늘 늦으신다고요?"
"41","00:03:15:21","00:03:18:18","(민진)
미술 조별 과제 마쳐야 돼서"
"42","00:03:19:18","00:03:21:01","너 엄마 눈 똑바로 봐"
"43","00:03:21:03","00:03:22:24","[의원들이 즐겁게 떠든다]"
"44","00:03:23:02","00:03:24:23","자혜랑 같이 할 건데?"
"45","00:03:28:16","00:03:29:12","(연홍)
아"
"46","00:03:31:07","00:03:34:15","(민진)
오늘부터는 엄마, 아빠 둘 다 바쁘니까"
"47","00:03:36:06","00:03:40:01","이럴 때일수록
나도 정신 똑바로 차리고 생활할 거야"
"48","00:03:40:20","00:03:44:24","(연홍)
응, 자혜 전화번호 적어서
메모판에 붙여 놔"
"49","00:03:45:09","00:03:46:22","[연홍이 김밥을 쓱쓱 썬다]"
"50","00:03:46:24","00:03:48:01","[연홍이 살짝 웃는다]"
"51","00:03:49:07","00:03:50:08","(종찬 모)
우리 강아지"
"52","00:03:50:14","00:03:52:16","[그릇을 달그락 놓으며]
이번 생일 선물 할미가 뭐 해 줄꼬?"
"53","00:03:52:18","00:03:55:03","(연홍)
아유, 어머니, 괜찮아요
해 주지 마세요"
"54","00:03:55:13","00:03:58:11","저 생일 선물로 1억 주세요, 할머니"
"55","00:03:58:13","00:04:00:12","[연홍과 종찬 모의 웃음]"
"56","00:04:00:14","00:04:03:16","(연홍)
안 그래도 제가 그날
생일 파티 해 주려고요"
"57","00:04:07:17","00:04:09:24","[연홍이 흥얼거린다]"
"58","00:04:15:23","00:04:17:08","당신이 이길 거야"
"59","00:04:17:10","00:04:19:13","[밝은 음악이 흘러나온다]"
"60","00:04:19:15","00:04:24:05","(뉴스 속 앵커2)
대산은 한국당 공천이 끝나는 순간
선거도 끝난다는 말이 있죠"
"61","00:04:24:13","00:04:28:08","그래서 선거 운동 자체를
별로 하지 않는 도시입니다만"
"62","00:04:28:10","00:04:30:17","올해는 이곳의 사정이 다릅니다"
"63","00:04:30:24","00:04:33:10","경북 대산 신성구로 가 보겠습니다
[신나는 음악이 흘러나온다]"
"64","00:04:33:19","00:04:35:24","(뉴스 속 앵커3)
이곳은 유명 언론 방송인 출신"
"65","00:04:36:01","00:04:38:21","[밝은 음악이 흘러나온다]
김종찬 후보가 공천을 받는
이변이 일어나면서"
"66","00:04:38:23","00:04:39:24","주목받고 있는 지역입니다"
"67","00:04:40:01","00:04:42:09","(뉴스 속 앵커4)
특히 신성구는 무려 4선을 해 온"
"68","00:04:42:11","00:04:45:15","한국당 노재순 의원의
안정적인 표밭이었습니다"
"69","00:04:45:17","00:04:47:20","(뉴스 속 앵커5)
이번 총선 한국당의 공천 결과는"
"70","00:04:47:22","00:04:49:16","예상대로 파격적이었습니다
[운동원들이 구호를 외친다]"
"71","00:04:49:18","00:04:52:09","내년 대선을 염두에 둔
문현성 비대위원장의"
"72","00:04:52:11","00:04:55:12","전략적인 행보라는 분석이
지배적입니다
[운동원들이 구호를 외친다]"
"73","00:04:55:19","00:04:57:24","- (운동원) 기호 1번!
- (운동원들) 김종찬입니다!
[재순이 시민과 인사한다]"
"74","00:04:58:01","00:04:59:23","- (운동원) 세대교체!
- (운동원들) 김종찬입니다!
[저마다 인사한다]"
"75","00:05:00:00","00:05:02:03","- (운동원) 새 정치!
- (운동원들) 김종찬입니다!"
"76","00:05:02:06","00:05:04:10","- (운동원) 기호 1번!
- (운동원들) 김종찬입니다!"
"77","00:05:04:12","00:05:06:11","- (운동원) 세대교체!
- (운동원들) 김종찬입니다!"
"78","00:05:06:13","00:05:08:18","- (운동원) 새 정치!
- (운동원들) 김종찬입니다!
[재순이 휘파람을 분다]"
"79","00:05:08:20","00:05:11:00","- (운동원) 기호 1번!
- (운동원들) 김종찬입니다!"
"80","00:05:11:02","00:05:13:04","- (운동원) 세대교체!
- (운동원들) 김종찬입니다!"
"81","00:05:13:06","00:05:15:13","[민진이 콧노래를 부른다]"
"82","00:05:31:13","00:05:33:17","[민진의 콧노래가 계속된다]"
"83","00:05:42:14","00:05:44:24","[민진이 콧노래를 부른다]"
"84","00:05:48:10","00:05:51:02","[무거운 음악]
[하늘이 콰르릉거린다]"
"85","00:06:10:21","00:06:12:07","[문이 탁 닫힌다]
[도어 록 작동음]"
"86","00:06:12:09","00:06:14:15","[빗소리가 요란하다]"
"87","00:06:15:19","00:06:17:06","[힘주는 신음]"
"88","00:06:19:10","00:06:20:07","어?"
"89","00:06:21:23","00:06:24:00","[연홍의 짜증 섞인 신음]"
"90","00:06:30:01","00:06:32:08","[하늘이 콰르릉거린다]"
"91","00:06:42:22","00:06:44:20","[그네가 삐걱거린다]
[통화 연결음]"
"92","00:06:45:06","00:06:47:24","[하늘이 콰르릉거린다]"
"93","00:06:49:11","00:06:53:01","[안내 음성]
연결이 되지 않아 삐 소리 후
소리샘으로 연결되오며"
"94","00:06:53:04","00:06:54:19","통화료가 부과됩니다"
"95","00:06:54:21","00:06:56:01","[음성 사서함 연결음]"
"96","00:06:56:23","00:06:59:04","(여자2)
전화 잘못 거셨다니까요"
"97","00:06:59:24","00:07:04:23","혹시 자혜...
자혜라는 애는 모르시나요?"
"98","00:07:05:00","00:07:06:01","(여자2)
아유, 몰라요"
"99","00:07:06:03","00:07:08:06","자혜라는 애는 여기 안 살아요"
"100","00:07:08:08","00:07:09:05","[한숨]"
"101","00:07:10:02","00:07:11:24","[빗소리가 요란하다]"
"102","00:07:14:08","00:07:15:05","[리드미컬한 음악이 흘러나온다]"
"103","00:07:15:07","00:07:17:09","[휴대전화 진동음]
(학생1)
5, 4, 3..."
"104","00:07:17:11","00:07:20:12","(학생2)
아, 없는데요, 아이, 없다니까요!
[학생1이 계속 카운트한다]"
"105","00:07:20:14","00:07:22:08","아, 진짜...
[학생들이 시끌벅적하다]"
"106","00:07:22:11","00:07:23:22","(학생3)
가 여기 없다니까요"
"107","00:07:23:24","00:07:26:02","가랑 우리랑 안 만난 지
일 년이 넘었거든요?"
"108","00:07:26:04","00:07:27:07","[학생들이 함께 흥얼거린다]"
"109","00:07:27:09","00:07:29:07","(학생4)
가 지금 자기 애인이랑 놀고 있어요"
"110","00:07:29:09","00:07:31:21","(학생5)
자혜요? 자혜?
[학생들의 웃음]"
"111","00:07:31:23","00:07:34:11","[학생들이 시끌벅적하다]
(학생5)
자혜? 몰라요"
"112","00:07:34:16","00:07:35:13","여보세요?"
"113","00:07:35:15","00:07:37:04","[학생들이 시끌벅적하다]"
