No.,Timecode In,Timecode Out,Subtitle
"1","00:01:01:24","00:01:05:13","[빗소리]"
"2","00:01:05:15","00:01:08:15","[어두운 음악]"
"3","00:01:30:08","00:01:34:22","[남자1이 흥얼거린다]"
"4","00:02:04:11","00:02:07:00","[멀리서 개가 짖는다]"
"5","00:02:07:02","00:02:09:17","[여자의 다급한 숨소리]"
"6","00:02:18:09","00:02:20:04","[안도하는 숨소리]"
"7","00:02:31:06","00:02:34:06","[여자의 떨리는 숨소리]"
"8","00:02:40:01","00:02:41:09","[쇠가 달그락거리는 소리]"
"9","00:02:49:05","00:02:52:03","[무거운 음악]"
"10","00:04:16:12","00:04:18:12","[자동차 경적]"
"11","00:04:21:07","00:04:23:13","[자동차 엔진음]"
"12","00:04:23:15","00:04:24:15","[타이어 마찰음]"
"13","00:04:26:17","00:04:28:03","- (배달원) 안녕하세요
- (형사1) 응, 수고"
"14","00:04:34:17","00:04:35:17","(형사1) 안녕"
"15","00:04:41:04","00:04:42:16","[전화벨 소리]"
"16","00:04:44:07","00:04:45:07","(경찰1) 충성"
"17","00:04:46:12","00:04:53:06","(형사2) 신 형사님
여기 말씀하신 자료 가져왔어요
[소란스럽다]"
"18","00:04:53:08","00:04:55:08","[전화벨이 연신 울린다]"
"19","00:05:02:03","00:05:05:10","아, 예, 이번에도 흔적은 없습니다"
"20","00:05:05:24","00:05:08:01","아, 씨발, 누구 전화 좀 받아라!"
"21","00:05:08:03","00:05:11:05","에잇, 이 새끼 정말!
[남 형사의 아픈 신음]"
"22","00:05:12:17","00:05:14:14","[남 형사가 전화를 받는소리]
(최 계장) 지랄을 하네"
"23","00:05:14:16","00:05:16:17","- (남 형사) 여보세요? 여보세요?
- (최 계장) 아니, 백 검사님한테"
"24","00:05:16:19","00:05:19:10","(최 계장) 그런 게 아니고요
예, 죄송합니다, 알겠습니다"
"25","00:05:20:02","00:05:22:09","아, 이것들이
귓구멍에 공구리 쳤냐"
"26","00:05:22:11","00:05:24:17","- (태수) 짬뽕을, 아, 이 새끼
- (최 계장) 전화 안 받아?
[기석이 트림한다]"
"27","00:05:24:19","00:05:26:03","(최 계장) 야, 민태수"
"28","00:05:26:09","00:05:28:06","또 어슬렁거리지, 빨리 안 튀어?"
"29","00:05:28:08","00:05:29:11","(기석) 아, 예"
"30","00:05:30:06","00:05:33:06","(최 계장) 야
넌 이런 분위기에서 잠이 오냐?
[기석이 전화를 받는다]"
"31","00:05:33:08","00:05:34:21","[최 계장의 한숨]
새끼들"
"32","00:05:34:23","00:05:36:00","너희들 왜 들어왔어?"
"33","00:05:36:09","00:05:37:14","뭐라도 찾은 거야?"
"34","00:05:38:03","00:05:40:17","(태수) 아니, 비가 너무 오고요"
"35","00:05:41:00","00:05:43:02","잠깐, 그
휴식이라도 취해야지, 이게…"
"36","00:05:43:04","00:05:44:09","(최 계장) 휴식?"
"37","00:05:44:20","00:05:47:12","단서 찾기 전엔
사무실 들어올 생각도 하지 말랬지"
"38","00:05:48:02","00:05:50:18","빨리 나가서
범인 비슷한 놈이라도 잡아 와"
"39","00:05:50:20","00:05:51:20","- (기석) 예
- (태수) 아니요"
"40","00:05:51:22","00:05:54:06","(태수) 그, 무식하게 다닌다고
그게 뭐가 되겠습니까"
"41","00:05:54:08","00:05:55:15","그게 아니고, 저, 이럴 때일수록…"
"42","00:05:55:17","00:05:57:02","- (기석) 충성
- (최 계장) 야, 너희들"
"43","00:05:57:04","00:05:58:17","이번 사건 해결하지 못하면"
"44","00:05:58:19","00:06:00:03","너희들 좋아하는 집구석에서"
"45","00:06:00:05","00:06:02:04","평생 휴식하게 해 줄 테니까"
"46","00:06:02:06","00:06:03:06","그리 알아라!"
"47","00:06:03:09","00:06:06:06","[기석의 짜증 난 탄성]"
"48","00:06:08:01","00:06:10:16","(태수) 으이구, 진짜
좀생이 영감탱이 하여튼"
"49","00:06:10:18","00:06:12:20","유두리가 없어요, 유두리가, 응?
[기석의 개운한 숨소리]"
