No.,Timecode In,Timecode Out,Subtitle
"1","00:00:40:12","00:00:43:18","[최 이사의 힘겨운 신음]"
"2","00:00:44:19","00:00:46:01","(조직원1)
씨..."
"3","00:00:53:02","00:00:55:00","[최 이사의 떨리는 숨소리]"
"4","00:00:57:14","00:00:59:19","[힘겨운 숨소리]"
"5","00:01:01:22","00:01:04:06","최 이사님
[석무가 라이터를 달칵 켠다]"
"6","00:01:05:24","00:01:07:04","[석무가 라이터를 탁 닫는다]"
"7","00:01:09:15","00:01:11:04","이제 그만하십시다"
"8","00:01:12:03","00:01:13:09","(최 이사)
[힘겨운 목소리로]
아니야"
"9","00:01:14:08","00:01:17:14","나, 나 아니라고"
"10","00:01:18:11","00:01:23:09","이 이사, 믿어 줘, 진짜 아니라고"
"11","00:01:23:17","00:01:25:01","아니, 생각해 봐"
"12","00:01:25:07","00:01:28:07","내가 지금껏 회장님 모신 게 몇 년인데"
"13","00:01:28:13","00:01:33:14","아이, 그런 내가 뭐가 아쉬워서
짭새들 프락치 노릇을 해, 응?"
"14","00:01:34:11","00:01:35:15","이 이사..."
"15","00:01:35:21","00:01:39:19","아, 나 이 아저씨
진짜 끝까지 이러시네"
"16","00:01:41:17","00:01:44:10","(최 이사)
[흐느끼며]
이 이사, 이 이사..."
"17","00:01:46:12","00:01:47:16","이 이사"
"18","00:01:48:04","00:01:51:04","[최 이사의 겁먹은 신음]
이 이사, 안 돼, 안 돼"
"19","00:01:51:06","00:01:53:06","[조직원1이 망치로 퍽 내려친다]
[최 이사의 비명]"
"20","00:01:54:01","00:01:55:07","[최 이사의 비명]"
"21","00:01:55:09","00:01:57:03","[어두운 음악]"
"22","00:02:11:04","00:02:12:12","[최 이사의 힘겨운 신음]"
"23","00:02:28:02","00:02:29:12","(석무)
마무리됐습니다, 형님"
"24","00:02:34:05","00:02:35:08","(자성)
나가자"
"25","00:02:36:11","00:02:37:09","(석무)
예"
"26","00:03:26:02","00:03:29:08","(영상 속 앵커1)
검찰이 오늘 횡령과 탈세
외환 관리법 위반 및"
"27","00:03:29:10","00:03:31:08","[영상 속 기자들의 질문이 빗발친다]
주가 조작 등의 혐의를 받고 있던"
"28","00:03:31:10","00:03:34:11","골드문 그룹 석동출 회장에 대해
일괄 무혐의 처분을 내렸습니다"
"29","00:03:34:13","00:03:36:04","(앵커2)
석 회장의 불기소 처분 방침으로"
"30","00:03:36:06","00:03:39:08","이번 수사는 1년 만에
사실상 마무리됐습니다"
"31","00:03:39:11","00:03:41:16","검찰은 석동출 회장 혐의에 대해"
"32","00:03:41:19","00:03:43:17","석 회장 측의 소명이 충분하고"
"33","00:03:43:19","00:03:46:02","혐의를 입증할 만한 근거가 부족하다며"
"34","00:03:46:04","00:03:48:19","무혐의 처분 결정에 대한
배경을 설명했습니다
[라디오에서 뉴스가 흘러나온다]"
"35","00:03:48:21","00:03:50:21","(라디오 속 앵커3)
그동안 수사를 진행해 오던 경찰은"
"36","00:03:51:01","00:03:53:12","도저히 납득하기 어려운 결정이라며"
"37","00:03:53:14","00:03:57:15","특정 피해자를 봐주기 위한
의도적인 결정으로밖에 볼 수 없다고"
"38","00:03:57:17","00:03:59:15","강력히 반발하고 있습니다"
"39","00:04:00:08","00:04:04:15","인천항, 상해항 간 항로에
내달 20일부터 카페리선이 다니게..."
"40","00:04:10:01","00:04:13:07","(라디오 속 앵커3)
취항을 위해 신청한
해상 여객 운송 사업 면허증은"
"41","00:04:13:09","00:04:14:18","지난 6일...
[라디오 뉴스가 멈춘다]"
"42","00:04:55:01","00:04:56:10","[쿵 소리가 들린다]"
"43","00:04:59:12","00:05:00:11","[긴장되는 음악]"
"44","00:05:00:13","00:05:02:05","[사이렌이 울린다]"
"45","00:05:03:15","00:05:05:09","[기계 작동음]"
"46","00:05:20:20","00:05:22:06","[사이렌이 울린다]"
"47","00:05:23:14","00:05:27:07","(무전기 속 경찰)
48구 8367, 48구 8367
차량 조회 부탁드립니다"
"48","00:05:43:11","00:05:44:22","(자성)
상해 큰형님은?"
"49","00:05:45:11","00:05:47:01","(석무)
아침 첫 비행기로 들어오신답니다"
"50","00:05:50:23","00:05:52:06","[안내 방송이 흘러나온다]"
"51","00:05:58:07","00:06:01:24","(청)
아따, 이 씨부럴, 이게 뭔 일이래, 응?"
"52","00:06:02:01","00:06:04:13","이 이사님께서
직접 마중을 다 나오시고잉"
"53","00:06:04:15","00:06:05:20","어여 가기나 합시다"
"54","00:06:05:22","00:06:07:11","(청)
엄마, 어이, 브라더"
"55","00:06:07:23","00:06:09:05","뭔 반응이 이렇게 건조해?"
"56","00:06:09:07","00:06:11:14","오랜만에 보는 형인데
너무 퍽퍽한 거 아니냐?"
"57","00:06:11:16","00:06:12:22","아, 거, 며칠이나 됐다고"
"58","00:06:12:24","00:06:14:22","아, 어여 가요
지금 이러고 한가히 있을 때 아니오"
"59","00:06:14:24","00:06:18:13","(청)
아이, 모기 좆물만큼이라도
반가운 척은 해 줘야지, 이씨"
"60","00:06:18:15","00:06:20:23","어이, 석무, 일로 와, 이 씨발 놈아"
"61","00:06:21:17","00:06:24:08","싸가지 없는 느그 형 대신
니가 처맞아, 이 씨발 놈아"
"62","00:06:24:10","00:06:27:06","야, 꽃다발이라도
개새끼야, 씨발 새..."
"63","00:06:27:08","00:06:28:15","가져와야지, 엄마"
"64","00:06:28:18","00:06:30:11","어이, 어이!"
"65","00:06:30:13","00:06:32:01","[중국어]
까칠한 새끼야!"
"66","00:06:32:03","00:06:33:08","같이 가!"
"67","00:06:33:24","00:06:35:14","브라더!"
"68","00:06:35:16","00:06:37:08","[한국어]
야, 이 씨부럴탱아!"
"69","00:06:38:04","00:06:39:08","가자"
"70","00:06:44:02","00:06:44:24","[청이 입바람을 하 분다]"
"71","00:06:45:01","00:06:45:23","[청의 웃음]"
"72","00:06:46:00","00:06:49:09","(청)
요놈이 따끈따끈한 신상이거든"
"73","00:06:50:01","00:06:53:09","브랜드가 브랜드라 그런지
겁나 비싸요, 이 씨부럴"
"74","00:06:54:09","00:06:57:16","어떠냐, 응? 좋아 뵈냐?
연예인 같냐?"
"75","00:07:00:05","00:07:03:08","개가 짖는구나, 씨발, 쯧"
"76","00:07:03:24","00:07:05:00","[청이 혀를 찬다]"
"77","00:07:06:02","00:07:08:03","영감님 상태는 좀 어떠시다냐?"
"78","00:07:08:08","00:07:10:06","뭐, 오늘내일하는 모양인데"
"79","00:07:10:22","00:07:12:22","병원에서도 뭐라 장담은 못 한다네"
"80","00:07:12:24","00:07:14:22","하여간 니미, 씨발"
"81","00:07:14:24","00:07:15:22","[자성의 한숨]"
"82","00:07:15:24","00:07:17:09","아, 노친네 힘도 좋아"
"83","00:07:17:24","00:07:22:10","그 새벽에 기지배 따먹으려고
뭐 하러 거기까지 처가요, 응?
[자성의 한숨]"
"84","00:07:22:21","00:07:24:19","평소에 또 뭘 처드시는 거여?"
"85","00:07:24:21","00:07:27:19","좋은 거 있으면
나눠 먹고 그러지, 이씨, 쯧"
"86","00:07:30:14","00:07:35:04","어디서 작정하고 작업 들어온 건
아닐 것이고잉"
"87","00:07:38:08","00:07:39:16","아휴"
"88","00:07:40:17","00:07:43:12","쯧, 아이, 좋아"
"89","00:07:44:02","00:07:47:07","역시 명품이 좋긴 좋아, 이 씨발"
"90","00:07:47:12","00:07:50:03","시커먼 게 존내 안 보여, 씨"
"91","00:07:51:16","00:07:53:07","아이고, 야, 잠깐만"
"92","00:07:53:20","00:07:55:24","야, 아가, 봉다리 어디 갔냐?"
"93","00:07:56:18","00:07:58:00","어, 여기 있다, 여기 있다"
"94","00:07:58:02","00:08:01:03","[봉투를 부스럭거리며]
야, 자, 네 선물"
"95","00:08:02:08","00:08:03:15","웬 거요?"
"96","00:08:03:17","00:08:04:23","[청의 웃음]"
