No.,Timecode In,Timecode Out,Subtitle
"1","00:00:47:07","00:00:49:24","(아이들)
♪ 동무, 동무, 어깨동무 ♪"
"2","00:00:50:06","00:00:52:19","♪ 어디든지 같이 가고 ♪"
"3","00:00:52:23","00:00:55:10","[빗소리가 들린다]
♪ 동무, 동무, 어깨동무 ♪"
"4","00:00:55:15","00:00:58:02","♪ 언제든지 같이 놀고 ♪"
"5","00:00:58:06","00:01:00:22","♪ 동무, 동무, 어깨동무 ♪"
"6","00:01:00:24","00:01:03:17","♪ 어디든지 같이 가고 ♪"
"7","00:01:03:19","00:01:06:07","[군인들이 구호를 외친다]
♪ 동무, 동무, 어깨동무 ♪"
"8","00:01:06:09","00:01:09:10","♪ 언제든지 같이 놀고 ♪"
"9","00:01:09:12","00:01:11:23","♪ 동무, 동무, 어깨동무 ♪"
"10","00:01:12:00","00:01:14:05","♪ 어디든지 같이 가고 ♪"
"11","00:01:14:08","00:01:16:02","♪ 동무, 동무, 어깨동무 ♪"
"12","00:01:16:05","00:01:17:07","(군인)
[일본어]
이놈들"
"13","00:01:17:09","00:01:18:19","[칼을 챙 뽑으며]
썩 꺼지지 못해!"
"14","00:01:18:21","00:01:22:12","[아이들의 비명]"
"15","00:01:22:15","00:01:23:11","[숙희의 아파하는 신음]"
"16","00:01:23:15","00:01:24:19","[아기1의 울음]"
"17","00:01:25:01","00:01:26:04","(숙희)
[한국어]
저, 이씨..."
"18","00:01:27:04","00:01:28:00","[숙희가 아기1을 어른다]"
"19","00:01:28:15","00:01:30:18","[아기들의 울음]"
"20","00:01:45:22","00:01:48:13","[복순이 울먹인다]"
"21","00:01:49:03","00:01:50:23","[끝단이가 울먹인다]"
"22","00:02:00:01","00:02:01:17","(끝단이)
[울먹이며]
내가 가야 되는데"
"23","00:02:02:08","00:02:05:21","그 왜놈 집엔 내가 가야 되는데!"
"24","00:02:06:03","00:02:08:05","아, 어떡해"
"25","00:02:09:17","00:02:11:11","[기차 종이 땡땡 울린다]
(복순)
기차 놓칠라"
"26","00:02:13:03","00:02:14:01","서둘러"
"27","00:02:21:16","00:02:26:19",""제1부""
"28","00:02:32:10","00:02:33:21","[거친 숨소리]"
"29","00:02:43:12","00:02:45:12","[풀벌레 울음]"
"30","00:02:46:16","00:02:48:16",""코우즈키 노리아키""
"31","00:02:49:05","00:02:50:12","[놀라는 신음]
[자동차 경적]"
"32","00:02:51:13","00:02:52:09","[숙희의 피곤한 신음]"
"33","00:02:56:13","00:02:58:00","(기사)
[일본어]
더 자"
"34","00:02:58:13","00:03:00:02","집은 한참 더 가야 나와"
"35","00:03:04:04","00:03:05:19","[산새 울음]"
"36","00:03:26:03","00:03:26:23","[차 문이 탁 닫힌다]"
"37","00:03:31:16","00:03:34:00","(숙희)
처음 뵙겠습니다, 옥주라고 합니다"
"38","00:03:34:08","00:03:35:21","(사사키)
[한국어]
이 집엔 건물이 셋이야"
"39","00:03:36:04","00:03:40:19","영국 건축가가 설계한 양관하고
이 일본식 화관을 합쳐서 본채라고 해"
"40","00:03:41:15","00:03:44:22","양식, 일식이 하나로 붙은 건물은
일본에도 없다지?"
"41","00:03:46:15","00:03:50:02","나리 마님이 일본하고 영국을 존경해서"
"42","00:03:50:04","00:03:51:22","이렇게 지어 달라고 하신 거야"
"43","00:03:53:11","00:03:57:13","그다음은 별채인데 나리 마님이
거기다 서재를 꾸며 놓으셨어"
"44","00:03:57:24","00:03:59:10","세 번째는 하인 숙소야"
"45","00:03:59:20","00:04:02:23","넌 아가씨 몸종이라 게서는 안 자고
[숙희의 가쁜 숨소리]"
"46","00:04:03:00","00:04:04:24","아가씨가 남긴 음식은 먹어도 좋지만"
"47","00:04:05:04","00:04:07:08","찻잎 남은 건 주방 아이들 몫이야
[숙희의 힘겨운 숨소리]"
"48","00:04:07:18","00:04:09:22","기름하고 비누 남은 건 집사님 드리고"
"49","00:04:10:10","00:04:12:16","도둑질이 밝혀지면 그날로 떠나야 한다"
"50","00:04:13:01","00:04:15:04","물론 타마코는 그런 사람이 아니겠지만"
"51","00:04:15:22","00:04:18:14","아, 타마코는 너야"
"52","00:04:18:16","00:04:21:05","네 이름 '옥주'에서 따서"
"53","00:04:22:05","00:04:23:21","(사사키)
나는 사사키라고 불러"
"54","00:04:23:23","00:04:24:20","(숙희)
예"
"55","00:04:28:23","00:04:30:21","[숙희의 놀란 숨소리]
(사사키)
아가씨 일과는 간단해"
"56","00:04:31:06","00:04:32:22","[흥미로운 음악]
뒷동산에 산책 가거나"
"57","00:04:32:24","00:04:35:03","나리 마님하고 낭독 연습하거나"
"58","00:04:36:17","00:04:40:12","우리 나리 마님은 세상 부자 중에서
제일 서책을 사랑하는 분이셔"
"59","00:04:40:14","00:04:43:06","세상의 서책 애호가 중에
제일 부자시고"
"60","00:04:43:19","00:04:46:19","총독부에도 연줄이 있어서
전기까지 끌어다 쓰는데"
"61","00:04:46:21","00:04:48:04","이런 댁에 왔으니"
"62","00:04:49:22","00:04:52:23","네가 얼마나
싹싹한 하녀가 되어야겠니?"
"63","00:04:56:08","00:04:58:11","가끔 전기 나갈 때 놀라지 말고"
"64","00:05:06:24","00:05:07:20","[숙희의 놀라는 신음]"
"65","00:05:09:04","00:05:10:07","[사사키가 등불을 달그락거린다]"
"66","00:05:11:20","00:05:13:10","[숙희의 놀라는 숨소리]"
"67","00:05:23:21","00:05:25:03","(숙희)
이런 데서 자요?"
"68","00:05:26:21","00:05:29:14","(사사키)
히데코 아가씨는 신경 쇠약이라
잠이 잘 깨셔"
"69","00:05:30:10","00:05:31:17","(숙희)
아가씨가 저기 계신다고요?"
"70","00:05:31:19","00:05:32:15","(사사키)
쉿"
"71","00:05:39:10","00:05:41:10","[문이 스르륵 닫힌다]"
"72","00:05:53:22","00:05:55:00","[쿵 소리가 들린다]
[숙희의 놀란 숨소리]"
"73","00:05:55:10","00:05:56:17","[숙희의 다급한 숨소리]"
"74","00:05:56:19","00:05:57:16","[숙희의 힘주는 신음]"
"75","00:06:00:01","00:06:02:04","(숙희)
아이씨
[숙희의 다급한 숨소리]"
"76","00:06:06:08","00:06:07:03","[히데코의 비명]"
"77","00:06:07:06","00:06:08:01","[숙희의 놀란 신음]"
"78","00:06:08:03","00:06:09:07","(히데코)
[일본어]
엄마!"
"79","00:06:09:09","00:06:13:02","[숙희의 아파하는 신음]
[히데코의 비명]"
"80","00:06:13:04","00:06:14:05","[흥미로운 음악]"
"81","00:06:14:07","00:06:16:05","엄마!
[숙희의 힘주는 신음]"
"82","00:06:16:09","00:06:17:18","아, 엄마!"
"83","00:06:17:20","00:06:19:21","[히데코의 겁먹은 신음]"
"84","00:06:19:24","00:06:20:20","(숙희)
아가씨"
"85","00:06:21:05","00:06:23:02","아가씨, 괜찮으세요?"
"86","00:06:23:15","00:06:25:11","(히데코)
준코, 준코니?"
"87","00:06:26:04","00:06:29:20","[히데코의 거친 숨소리]
(숙희)
준코는 쫓겨났고요, 제가 새로 왔어요"
"88","00:06:29:22","00:06:32:05","나쁜 꿈 꾸셨나 봐요"
