No.,Timecode In,Timecode Out,Subtitle
"1","00:01:24:02","00:01:26:02","[리듬감 있는 음악]"
"2","00:01:32:08","00:01:34:08","[감성적인 음악]"
"3","00:03:22:18","00:03:25:23","(주연) 오늘 신부님이랑
수녀님 뵈었어요"
"4","00:03:26:12","00:03:28:01","매번 하는 일인데 뭐"
"5","00:03:29:19","00:03:31:15","[와이퍼 작동음]
난 애들이 이뻐서 좋아"
"6","00:03:32:09","00:03:34:18","나도 애 낳으면
이런 데서 키울까 봐"
"7","00:03:35:12","00:03:38:19","들꽃도 보게 하고
나무도 보게 하고"
"8","00:03:38:21","00:03:40:13","서울도 가깝고"
"9","00:03:40:15","00:03:42:13","응? 견인차?"
"10","00:03:42:15","00:03:45:10","아, 오는 데 좀 걸린댔어"
"11","00:03:45:12","00:03:47:24","[자동차 엔진음]"
"12","00:03:51:13","00:03:53:24","흠, 목소리 좋다"
"13","00:03:54:17","00:03:56:05","여기 눈도 오고"
"14","00:03:56:07","00:03:59:13","오빠 목소리까지 들으니까
분위기 사는데?"
"15","00:04:07:04","00:04:08:22","(주연) 어? 오빠 잠깐만
[경철이 차창을 똑똑 두드린다]"
"16","00:04:11:12","00:04:12:24","(경철) 차 빵꾸 났어요?"
"17","00:04:13:01","00:04:15:03","예, 견인차 불렀거든요?"
"18","00:04:15:22","00:04:18:24","(경철) 어, 눈길에 견인차 오려면
시간이 좀 걸릴 텐데?"
"19","00:04:19:14","00:04:21:09","가만있어 봐요
내가 바퀴 좀 봐줄게요"
"20","00:04:23:20","00:04:26:08","[와이퍼 작동음]"
"21","00:04:26:10","00:04:27:22","[탕탕 두드리는 소리가 들린다]"
"22","00:04:28:13","00:04:31:05","괜찮다는데
잠깐 바퀴를 봐주겠다네"
"23","00:04:32:23","00:04:33:22","어, 그래?"
"24","00:04:35:23","00:04:38:09","그냥 그 견인차 기다리는 게
좋을 거 같은데?"
"25","00:04:40:03","00:04:40:24","(수현) 어?"
"26","00:04:41:23","00:04:45:07","아니, 뭐 그 바퀴 갈아 끼우는 게
그렇게 어려운 건 아니지만"
"27","00:04:46:16","00:04:47:18","[힘주는 숨소리]"
"28","00:04:48:10","00:04:49:08","응?"
"29","00:04:49:24","00:04:55:01","이상하잖아, 견인차 불렀다는데
굳이 그 바퀴 갈아 끼워 준다는 게"
"30","00:04:55:03","00:04:56:17","아, 잠깐만, 잠깐만"
"31","00:04:57:18","00:04:58:15","진행은?"
"32","00:05:02:05","00:05:03:13","어, 그래, 알았어"
"33","00:05:03:15","00:05:05:17","여보세요, 주연아
나 지금 나가야 될 거 같거든?"
"34","00:05:08:04","00:05:10:16","문 열어주지 말고
그냥 견인차 기다려, 알았지?"
"35","00:05:12:21","00:05:13:20","어?"
"36","00:05:18:10","00:05:19:09","잠깐만"
"37","00:05:24:21","00:05:25:20","[문을 끼익 닫는다]"
"38","00:05:26:21","00:05:28:00","[목을 가다듬는다]"
"39","00:05:29:17","00:05:30:16","[헛기침]"
"40","00:05:32:22","00:05:35:10","♪ 사랑은 ♪"
"41","00:05:36:13","00:05:39:08","♪ 달콤하고 ♪"
"42","00:05:41:07","00:05:42:11","♪ 엄마처럼 ♪"
"43","00:05:42:13","00:05:43:10","[문이 덜컥 열린다]"
"44","00:05:43:12","00:05:45:05","아니, 견인차를 불렀는데 왜"
"45","00:05:46:15","00:05:48:24","왜 바퀴를, 왜 갈아 끼워 준대?"
"46","00:05:50:22","00:05:51:19","[문이 탁 닫힌다]"
"47","00:05:52:24","00:05:54:15","아니, 여기 사람들이 많네"
"48","00:05:54:17","00:05:56:07","왔다 갔다
[멋쩍은 웃음]"
"49","00:05:56:09","00:05:57:06","[혀를 쯧 찬다]"
"50","00:05:57:24","00:05:59:18","[한숨]
미안해"
"51","00:05:59:20","00:06:01:21","매번 생일날 챙겨 주지도 못하고"
"52","00:06:03:04","00:06:04:11","알았어, 빨리 갈게"
"53","00:06:05:20","00:06:06:17","응"
"54","00:06:09:09","00:06:11:17","[와이퍼 작동음]
[휴대전화를 탁 닫는다]"
"55","00:06:12:08","00:06:14:08","[부스럭거린다]"
"56","00:06:15:19","00:06:16:18","[경철이 차창을 똑똑 두드린다]"
"57","00:06:16:20","00:06:18:06","[와이퍼 작동음]"
"58","00:06:18:08","00:06:20:10","차가 완전히 다 주저앉았네요"
"59","00:06:21:12","00:06:23:01","아, 감사한데요"
"60","00:06:23:03","00:06:25:23","그냥 견인차 기다리는 게
좋을 거 같아요"
"61","00:06:26:00","00:06:27:06","고맙습니다"
"62","00:06:30:10","00:06:32:10","[주연이 달그락거린다]"
"63","00:06:48:20","00:06:51:04","[와이퍼 작동음]"
"64","00:06:54:11","00:06:55:14","[문이 철컥 닫힌다]"
"65","00:07:08:15","00:07:10:15","[불안한 음악]
[와이퍼 작동음]"
"66","00:07:13:21","00:07:15:21","왜 안 가고 있지?"
"67","00:07:29:06","00:07:31:06","[와이퍼 작동음]"
"68","00:07:37:16","00:07:38:19","[긴박한 음악]
[괴성]"
