No.,Timecode In,Timecode Out,Subtitle
"1","00:00:28:02","00:00:29:19","[성냥불이 탁 켜진다]
[무거운 음악]"
"2","00:01:02:10","00:01:04:06","[의미심장한 음악]"
"3","00:01:15:10","00:01:16:24","[음악이 고조된다]"
"4","00:01:36:12","00:01:38:09","[긴장감 있는 음악]"
"5","00:01:53:17","00:01:55:07","[자동차 경적]"
"6","00:01:56:17","00:01:58:16","[사람들의 발소리]"
"7","00:02:01:01","00:02:03:02","[학교 종소리]
[아이들의 소란스러운 소리]"
"8","00:02:11:04","00:02:13:13","[아이들이 저마다 말한다]"
"9","00:02:33:12","00:02:35:11","[아이들의 말소리가 계속된다]"
"10","00:02:39:17","00:02:41:06","자, 다들 그렸어요?"
"11","00:02:41:08","00:02:42:15","(아이들) 네"
"12","00:02:42:17","00:02:44:18","음, 그럼 누구부터 발표해 볼까요?"
"13","00:02:47:11","00:02:49:03","그래, 현준이부터 해 보자"
"14","00:02:56:06","00:02:59:06","안녕하세요, 황현준입니다"
"15","00:02:59:08","00:03:01:19","저희 가족을 소개합니다"
"16","00:03:01:21","00:03:05:14","(현준) 우리 아빠는 여의도에 있는
증권 회사에서"
"17","00:03:05:22","00:03:08:09","펀드 매니저를 하고 있습니다"
"18","00:03:08:22","00:03:10:21","증권 회사가 뭘 하는 곳인지는"
"19","00:03:10:23","00:03:13:04","현준이는 모르지만"
"20","00:03:13:17","00:03:18:14","엄청 똑똑하고 공부를 잘해야
갈 수 있는 곳이라고"
"21","00:03:18:16","00:03:20:08","엄마가 그랬습니다"
"22","00:03:20:19","00:03:25:16","그래서 사람들이 엄청 아빠를
부러워한다고 합니다"
"23","00:03:27:09","00:03:33:16","그리고 저희 엄마는 우리 아파트
최고 미스 코리아 공주입니다"
"24","00:03:33:18","00:03:35:22","아줌마들이 엄마 보고"
"25","00:03:35:24","00:03:39:15","'연예인 하지 그랬냐'며
아깝다고 합니다"
"26","00:03:39:22","00:03:43:05","그러면 엄마는
현준이를 보고 웃으며"
"27","00:03:43:07","00:03:46:23","'그럼 이렇게 잘생긴 현준이가
안 태어났잖아요'"
"28","00:03:47:00","00:03:49:00","(아이들) 에이
[선생님이 탁자를 탁탁 두드린다]"
"29","00:03:49:02","00:03:50:02","(선생님) 조용!"
"30","00:03:51:08","00:03:54:08","그래, 그럼 현준이는 나중에
커서 뭐가 되고 싶니?"
"31","00:03:54:11","00:03:58:04","어, 나도 공부 열심히 하고"
"32","00:03:58:12","00:04:00:10","운동도 열심히 해서"
"33","00:04:00:12","00:04:04:07","아빠처럼 돈 많이 버는 사람이
되고 싶어요"
"34","00:04:06:14","00:04:07:23","[전화벨 소리]"
"35","00:04:09:07","00:04:10:12","(조 부장) 황 과장님"
"36","00:04:13:04","00:04:14:07","황 과장"
"37","00:04:16:13","00:04:19:20","- (우진) 예, 부장님
- (조 부장) 지금 뭐 하는 겁니까?"
"38","00:04:19:22","00:04:21:23","[전화벨 소리]"
