No.,Timecode In,Timecode Out,Subtitle
"1","00:01:07:24","00:01:10:04","[긴장감 있는 빠른 비트의 음악]"
"2","00:01:12:17","00:01:13:15","(남자)
뭐요?"
"3","00:01:14:16","00:01:19:04","(대수)
얘기를 하고 싶다고 했다"
"4","00:01:20:08","00:01:23:15","(남자)
뭐야, 말투도 좆같고"
"5","00:01:25:08","00:01:28:15","당신 도대체 누구야, 씨발!"
"6","00:01:28:17","00:01:30:15","[남자의 흐느끼는 소리]"
"7","00:01:37:02","00:01:38:00","내..."
"8","00:01:40:02","00:01:40:23","이름은..."
"9","00:01:44:03","00:01:48:04","오... 대수
[바깥의 빗소리]"
"10","00:01:48:20","00:01:50:15","(순경)
왜 남의 여자 집적대고 그래요?"
"11","00:01:51:12","00:01:52:09","아니, 잠깐, 잠깐만"
"12","00:01:52:21","00:01:54:10","- 내가 집적댔냐?
- (순경) 오대수 씨"
"13","00:01:54:17","00:01:57:06","집적댔어? 어? 아, 씨~"
"14","00:01:57:08","00:01:59:08","- (순경) 아, 그만 좀...
- (대수) 알았어요, 알았어"
"15","00:01:59:10","00:02:01:14","(대수)
잠깐만! 잠깐만, 알았어요
좋아요"
"16","00:02:03:24","00:02:05:06","(순경)
오대수 씨, 오대수 씨
[툭]"
"17","00:02:05:22","00:02:07:18","(순경)
거, 앉고요
[달그락]"
"18","00:02:08:04","00:02:09:07","(순경)
어?"
"19","00:02:09:09","00:02:11:10","(순경)
아 참, 거 진짜
많이 먹은 모양이네"
"20","00:02:11:24","00:02:14:05","(대수)
아~ 내...
야, 내가 집적댔..."
"21","00:02:14:07","00:02:16:00","아~ 나 저...
오줌 좀 누고"
"22","00:02:16:02","00:02:18:06","- (순경) 여기 파출소야
- (대수) 내가 뭘 집적댔냐고!"
"23","00:02:18:08","00:02:20:01","- (순경) 아저씨!
- 이 씨발 놈이!"
"24","00:02:20:03","00:02:21:13","(순경)
진짜 저 사람 안 되겠구먼, 거"
"25","00:02:21:16","00:02:23:17","- 씨발 놈아!
- (순경) 오대수 씨!"
"26","00:02:23:21","00:02:25:09","- (대수) 아이구
- (순경) 앉아요, 앉아!"
"27","00:02:25:11","00:02:26:15","아이고, 죄송합니다"
"28","00:02:27:22","00:02:29:11","아, 씨발
오줌 마려워 죽겠네..."
"29","00:02:29:13","00:02:30:21","(순경)
아~휴~ 진짜"
"30","00:02:31:08","00:02:33:14","- 야, 이쁘지?
- (순경) 아, 봤어요, 봤어"
"31","00:02:33:16","00:02:34:14","(순경)
가서 앉아"
"32","00:02:34:19","00:02:36:20","우리 딸내미가 오늘 생일이거든요"
"33","00:02:36:22","00:02:40:02","생일, 생일이래서 내가 선물 샀는데
한번 보여 줄게"
"34","00:02:41:17","00:02:45:00","- ♪ 하늘엔 조각구름 떠 있고 ♪
- (순경) 내, 참..."
"35","00:02:45:07","00:02:47:22","♪ 강물엔 유람선이 떠 있고 ♪"
"36","00:02:48:00","00:02:50:16","내 이름이 왜 오대수냐면은"
"37","00:02:52:19","00:02:56:03","오늘만 대충 수습하면서 살자"
"38","00:02:56:11","00:02:58:13","이래서 오대수인 거거든"
"39","00:02:59:08","00:03:00:14","근데 씨발"
