No.,Timecode In,Timecode Out,Subtitle
"1","00:00:06:15","00:00:08:24","‪"넷플릭스 스페셜 에피소드"‬"
"2","00:00:15:04","00:00:17:04","‪[주제곡]‬"
"3","00:01:37:03","00:01:39:03","‪[어두운 음악]‬"
"4","00:02:40:00","00:02:41:18","‪[무거운 음악]‬"
"5","00:02:42:13","00:02:45:04","‪[다가오는 발걸음]‬"
"6","00:03:55:13","00:03:57:19","‪[산새들이 지저귄다]‬"
"7","00:04:04:20","00:04:06:15","‪[어두운 음악]‬"
"8","00:04:12:02","00:04:13:03","‪[짐승 울음이 들린다]‬"
"9","00:04:13:15","00:04:14:17","‪[노루의 거친 숨소리]‬"
"10","00:04:21:03","00:04:22:10","‪[노루가 투레질한다]‬"
"11","00:04:24:11","00:04:25:12","‪[물이 찰랑거린다]‬"
"12","00:04:25:14","00:04:27:01","‪[탁 소리가 난다]‬
‪[노루의 신음]‬"
"13","00:04:55:18","00:04:57:20","‪[노루가 그르렁거린다]‬"
"14","00:04:59:12","00:05:01:20","‪[노루가 꿱꿱거린다]‬"
"15","00:05:05:18","00:05:07:12","‪[긴장되는 음악]‬
‪[노루의 비명]‬"
"16","00:05:10:20","00:05:13:06","‪[노루가 연신 그르렁거린다]‬"
"17","00:05:31:21","00:05:33:11","‪[긴장되는 효과음]‬"
"18","00:05:37:07","00:05:38:16","‪[산새 울음]‬"
"19","00:05:40:06","00:05:42:07","‪[노루의 거친 신음]‬"
"20","00:05:43:16","00:05:45:02","‪[의미심장한 음악]‬"
"21","00:05:46:01","00:05:47:20","‪[그르렁거린다]‬"
"22","00:05:50:12","00:05:52:07","‪[으르렁거리는 소리가 들린다]‬
‪[노루 울음]‬"
"23","00:05:57:00","00:05:58:23","‪[수풀이 사락거린다]‬"
"24","00:06:00:00","00:06:01:18","‪[노루가 그르렁거린다]‬"
"25","00:06:04:14","00:06:06:04","‪[그르렁거린다]‬"
"26","00:06:11:18","00:06:13:00","‪[으르렁거리는 소리가 들린다]‬"
"27","00:06:13:03","00:06:14:12","‪[노루의 괴성]‬"
"28","00:06:15:03","00:06:16:15","‪[노루의 괴성]‬
‪[으르렁거리는 소리가 들린다]‬"
"29","00:06:17:09","00:06:19:04","‪[호랑이가 으르렁거린다]‬
‪[노루의 비명]‬"
"30","00:06:23:14","00:06:25:11","‪[노루가 꿱꿱거린다]‬"
"31","00:06:30:18","00:06:32:18","‪[노루의 괴성]‬"
"32","00:06:35:03","00:06:36:02","‪[노루의 신음]‬"
"33","00:06:37:01","00:06:38:20","‪[노루의 비명]‬"
"34","00:06:40:15","00:06:42:00","‪[호랑이의 거친 신음]‬"
"35","00:06:42:14","00:06:44:15","‪[의미심장한 음악]‬"
"36","00:07:20:14","00:07:22:10","‪[분위기가 고조되는 음악]‬"
"37","00:07:48:01","00:07:50:02","‪[어두운 음악]‬
‪[종이 땡땡 울린다]‬"
"38","00:07:50:14","00:07:52:04","‪[산새 울음]‬"
"39","00:07:58:10","00:07:59:10","‪[군졸1의 가쁜 숨소리]‬"
"40","00:08:02:18","00:08:04:06","‪[으르렁거리는 소리가 들린다]‬"
"41","00:08:10:22","00:08:12:20","‪[산새 울음]‬"
"42","00:08:13:14","00:08:15:09","‪[군졸2의 재촉하는 신음]‬
‪[군졸2가 군졸1을 탁탁 친다]‬"
"43","00:08:15:11","00:08:17:22","‪[긴장되는 효과음]‬
‪[종이 땡땡 울린다]‬"
"44","00:08:26:01","00:08:27:03","‪(군졸2) 저게 뭐야?‬"
"45","00:08:28:02","00:08:30:00","‪[군졸들의 긴장한 숨소리]‬
‪[의미심장한 음악]‬"
"46","00:08:53:07","00:08:56:17","‪[군관들의 기합]‬
‪[말 울음]‬"
"47","00:09:02:02","00:09:05:13","‪[군관들의 기합]‬"
"48","00:09:05:15","00:09:08:17","‪(백성1) 아니, 저분은‬
‪추파진의 첨사님이 아니신가?‬"
"49","00:09:09:23","00:09:12:20","‪아니, 이러다가 또‬
‪뭔 난리가 나는 거 아니에요, 형님?‬"
"50","00:09:12:22","00:09:15:16","‪(백성2) 사실인가 보네‬
‪그 소문 말이야‬"
"51","00:09:15:19","00:09:16:19","‪(백성1) 뭔 소문이요?‬"
"52","00:09:18:20","00:09:23:23","‪(백성2) 그, 산삼을 탐해‬
‪폐사군 땅에 들어간 여진족들이‬"
"53","00:09:24:00","00:09:25:02","‪몰살을 당했대‬"
"54","00:09:25:04","00:09:26:03","‪[백성2가 코를 훌쩍인다]‬"
"55","00:09:26:05","00:09:30:23","‪(백성1) 아니, 폐사군이라 하면은‬
‪그, 국법으로 엄히 출입을 금한 곳인데‬"
"56","00:09:31:00","00:09:33:16","‪아니, 그런 곳에서‬
‪그런 끔찍한 일이 일어난다고요?‬"
"57","00:09:33:18","00:09:36:24","‪(백성2) 아, 무시무시한 것이 산다잖아‬
‪그곳에 말이야‬"
"58","00:09:37:20","00:09:40:21","‪산삼 캐러 들어간 자들‬
‪싹 다 무사하지 못했다네‬"
"59","00:09:42:20","00:09:45:13","‪백 년 동안‬
‪사람이 들어가지 못한 곳이야‬"
"60","00:09:45:15","00:09:48:13","‪그 어떤 흉악한 괴물이 산다 해도‬
‪누가 알겠어?‬"
"61","00:09:50:06","00:09:51:22","‪[음산한 음악]‬"
"62","00:10:23:02","00:10:24:19","‪(동첨절제사) 모두‬
‪같은 문신이 있습니다‬"
"63","00:10:25:16","00:10:27:06","‪파저위 여진족들이에요‬"
"64","00:10:28:02","00:10:29:08","‪이미 읍성에 소문이 퍼졌으니‬"
"65","00:10:29:10","00:10:31:09","‪파저위가 알게 되는 건‬
‪시간문제일 겁니다‬"
"66","00:10:32:03","00:10:33:04","‪어찌할까요?‬"
"67","00:10:33:24","00:10:35:10","‪번호부락으로 갈 것이다‬"
"68","00:10:39:10","00:10:41:00","‪[타합의 힘주는 신음]‬"
"69","00:10:41:02","00:10:42:07","‪[타합의 한숨]‬"
"70","00:10:42:09","00:10:43:18","‪[까마귀 울음]‬"
"71","00:10:43:20","00:10:45:22","‪[타합의 힘주는 신음]‬
‪[칼로 쓱쓱 벤다]‬"
"72","00:10:47:09","00:10:48:20","‪[칼로 쓱쓱 벤다]‬"
"73","00:10:50:24","00:10:52:17","‪[힘주는 신음]‬
‪[우두둑 소리가 난다]‬"
"74","00:10:52:19","00:10:54:17","‪[사람들의 웃음]‬"
"75","00:10:54:19","00:10:56:00","‪[타합의 가쁜 숨소리]‬
‪(부락민1) 어여 이리 와!‬"
"76","00:11:03:16","00:11:06:19","‪보지도 말거라‬
‪짐승의 피와 내장은 천한 것이다‬"
"77","00:11:10:07","00:11:11:09","‪[타합의 힘주는 신음]‬"
"78","00:11:11:11","00:11:12:18","‪[아이들의 환호]‬"
"79","00:11:13:24","00:11:16:01","‪[아이들이 소란스럽다]‬"
"80","00:11:16:03","00:11:17:08","‪[아이1의 기합]‬"
"81","00:11:17:10","00:11:18:10","‪[아이1의 웃음]‬"
"82","00:11:19:05","00:11:21:22","‪[아이2의 힘주는 신음]‬
‪(타합) 자, 다 됐습니다‬"
"83","00:11:21:24","00:11:23:04","‪[아이3의 웃음]‬"
"84","00:11:27:08","00:11:29:02","‪[지게꾼의 힘겨운 신음]‬
‪[타합의 놀란 신음]‬"
"85","00:11:29:04","00:11:30:04","‪[침을 퉤 뱉는다]‬"
"86","00:11:31:12","00:11:33:00","‪더러운 손 치우거라‬"
"87","00:11:36:12","00:11:38:00","‪[아낙의 헛기침]‬"
"88","00:11:38:02","00:11:39:11","‪[아이들의 웃음]‬"
"89","00:11:40:18","00:11:41:24","‪[고깃덩이가 툭 떨어진다]‬"
"90","00:11:44:08","00:11:45:16","‪(아낙) 가자‬
‪[아이들의 환호]‬"
"91","00:11:49:17","00:11:51:09","‪[쓸쓸한 음악]‬"
"92","00:11:56:07","00:11:57:12","‪[타합의 힘주는 신음]‬"
"93","00:12:05:10","00:12:06:17","‪어이!‬"
"94","00:12:08:21","00:12:09:23","‪고기 먹자!‬"
"95","00:12:10:00","00:12:12:06","‪[아이들의 환호]‬"
"96","00:12:12:22","00:12:14:19","‪[사람들의 웃음]‬"
"97","00:12:15:11","00:12:17:01","‪(부락민2) 야, 이거 실하네‬"
"98","00:12:17:03","00:12:18:22","‪[사람들이 소란스럽다]‬"
"99","00:12:18:24","00:12:21:01","‪[사람들의 웃음]‬"
"100","00:12:22:12","00:12:23:18","‪(부락민3) 좋다!‬"
"101","00:12:23:20","00:12:25:23","‪[사람들의 웃음]‬"
"102","00:12:27:11","00:12:29:13","‪(아이4) 어? 아신 누이다‬"
"103","00:12:30:03","00:12:31:13","‪(아이5) 아신 누이!‬"
"104","00:12:33:22","00:12:36:17","‪(부락민4) 어? 아신아‬
‪빨리 와, 밥 먹자‬"
"105","00:12:37:11","00:12:39:11","‪[사람들의 웃음]‬"
"106","00:12:40:15","00:12:42:04","‪[사람들이 소란스럽다]‬"
"107","00:12:42:06","00:12:44:15","‪이거 좀 더 줄까? 맛있지?‬"
"108","00:12:48:20","00:12:50:05","‪[타합이 신발을 툭 던진다]‬"
"109","00:12:50:07","00:12:51:20","‪[못마땅한 숨을 들이켠다]‬"
"110","00:12:51:22","00:12:53:24","‪(타합) 어허, 너 이게 무슨 짓이야‬"
"111","00:12:55:00","00:12:55:21","‪얼른 그거 못 내놔?‬"
"112","00:12:57:21","00:12:59:04","‪- (타합) 너…‬
‪- 아, 잘못했어요‬"
"113","00:13:02:13","00:13:03:21","‪[한숨]‬"
"114","00:13:04:11","00:13:06:09","‪폐사군 가지 말라고 몇 번을 그랬어!‬"
"115","00:13:06:11","00:13:08:17","‪거기 위험하다는 거‬
‪다 거짓말이라면서요‬"
"116","00:13:09:15","00:13:11:06","‪거기서 나는 산삼들‬"
"117","00:13:11:08","00:13:13:07","‪저 위의 높으신 분들이 꿀꺽하려고‬"
"118","00:13:13:09","00:13:15:13","‪일부러 헛소문 낸 거라고‬
‪아버지가 그랬잖아요‬"
"119","00:13:15:15","00:13:17:05","‪그래서 더 안 된다니까‬"
"120","00:13:19:01","00:13:21:05","‪괴물보다 무서운 게 군졸이다‬"
"121","00:13:21:07","00:13:22:12","‪그럼 어떡해요?‬"
"122","00:13:23:17","00:13:25:10","‪엄마 저렇게 죽게 놔둘 거예요?‬"
"123","00:13:33:05","00:13:34:22","‪[무거운 음악]‬
‪[아신 모의 옅은 숨소리]‬"
"124","00:13:35:14","00:13:36:09","‪[힘겨운 숨소리]‬"
"125","00:13:36:12","00:13:39:05","‪(어린 아신) 폐사군의 산삼은‬
‪죽은 사람도 살리는 영약이라는데…‬"
"126","00:13:39:07","00:13:41:04","‪(타합) 네가 심마니도 아니고‬"
"127","00:13:42:11","00:13:43:22","‪저 넓은 산에서‬"
"128","00:13:44:16","00:13:45:12","‪산삼을 어떻게 찾아?‬"
"129","00:13:45:14","00:13:48:16","‪산삼인지는 모르겠지만‬
‪이상한 풀을 봤어요‬"
"130","00:13:49:22","00:13:51:22","‪버려진 국시당에 그려진 풀이었는데‬"
"131","00:13:52:12","00:13:53:14","‪죽은 사람을 살린대요‬"
"132","00:13:54:06","00:13:55:16","‪말도 안 되는 소리‬"
"133","00:13:57:12","00:13:59:15","‪거기에 국시당이 남아 있을 리 없다‬"
"134","00:13:59:17","00:14:00:18","‪제 눈으로 확실히 봤어요‬"
"135","00:14:00:20","00:14:02:05","‪(타합) 쓸데없는 소리 하지 말고‬"
"136","00:14:02:07","00:14:03:22","‪안 된다면 안 되는 줄 알아!‬"
"137","00:14:05:05","00:14:07:18","‪그곳에 몰래 들어갔다가 걸린 자들‬"
"138","00:14:08:07","00:14:10:12","‪혓바닥이 잘리는 형벌을 당했지‬"
"139","00:14:13:03","00:14:16:15","‪난 너까지 그렇게 되는 꼴은‬
‪절대 못 본다‬"
"140","00:14:18:19","00:14:20:14","‪[말 울음이 들린다]‬"
"141","00:14:20:16","00:14:22:12","‪[말발굽 소리가 요란하다]‬"
"142","00:14:29:14","00:14:30:20","‪[말 울음]‬"
"143","00:14:33:05","00:14:34:11","‪[말 울음]‬"
"144","00:14:37:20","00:14:39:10","‪[말 울음]‬"
"145","00:14:51:02","00:14:54:05","‪(타합) 안 그래도 진상품 올리려‬"
"146","00:14:54:21","00:14:57:06","‪추파진으로 찾아뵈려 했습니다‬"
"147","00:14:59:15","00:15:01:19","‪폐사군의 산삼을 탐해 도강한‬"
"148","00:15:02:12","00:15:05:23","‪파저위 여진족 열다섯 명이 몰살당했다‬"
"149","00:15:08:03","00:15:11:15","‪파저위 여진족, 확실합니까?‬"
"150","00:15:13:14","00:15:14:15","‪대체‬"
"151","00:15:15:19","00:15:17:04","‪누가 그런 짓을…‬"
"152","00:15:18:21","00:15:20:16","‪호랑이다‬
‪[어두운 음악]‬"
"153","00:15:22:19","00:15:24:15","‪(치록) 네가 강을 건너 다녀와야겠다‬"
"154","00:15:25:05","00:15:27:20","‪호환에 파저위 여진족들이‬
‪모두 죽었다고‬"
"155","00:15:29:02","00:15:30:07","‪소문을 내거라‬"
"156","00:15:37:00","00:15:38:06","‪알겠습니다‬"
"157","00:15:42:07","00:15:45:06","‪(타합) 언제면 저희 번호부락에‬"
"158","00:15:46:02","00:15:48:09","‪관직이 내려질 수 있겠습니까?‬"
"159","00:15:49:09","00:15:51:06","‪너의 충심을 모르는 바 아니다‬"
"160","00:15:51:20","00:15:53:22","‪조급히 생각지 말고 자리를 지키며‬"
"161","00:15:54:16","00:15:55:20","‪기다려 보거라‬"
"162","00:16:03:16","00:16:05:06","‪[문이 달그락 열린다]‬"
"163","00:16:05:08","00:16:07:07","‪(치록) 출발한다, 채비를 갖추어라‬"
"164","00:16:07:09","00:16:08:10","‪[한숨]‬"
"165","00:16:08:12","00:16:09:20","‪[문이 달그락 닫힌다]‬"
"166","00:16:20:21","00:16:22:04","‪[말 울음]‬"
"167","00:16:22:06","00:16:24:17","‪(동첨절제사) 분부대로‬
‪폐사군에서 발견된 모든 시신들을‬"
"168","00:16:25:04","00:16:26:06","‪이곳으로 옮겼습니다‬"
"169","00:16:26:09","00:16:27:21","‪[말이 투레질한다]‬"
"170","00:16:28:14","00:16:29:17","‪[말 울음]‬"
"171","00:16:33:21","00:16:35:10","‪[스산한 음악]‬"
"172","00:16:37:08","00:16:38:18","‪[밤새 울음]‬"
"173","00:16:49:05","00:16:50:22","‪(동첨절제사) 팔이 뜯기고‬
‪다리가 뜯긴 상처들은‬"
"174","00:16:51:15","00:16:53:15","‪들짐승들에게 당한 것이 맞긴 하나‬"
"175","00:16:53:18","00:16:55:10","‪모두 죽은 후에 생긴 것이라 합니다‬"
"176","00:16:56:10","00:16:57:13","‪호환이 아닙니다‬"
"177","00:16:58:08","00:17:00:20","‪이들을 죽인 건 사람입니다‬"
"178","00:17:02:15","00:17:03:21","‪알고 있다‬"
"179","00:17:11:02","00:17:12:22","‪(치록) 여진족 만 명이 모이면‬"
"180","00:17:14:16","00:17:16:02","‪천하가 위험해진다‬"
"181","00:17:17:20","00:17:19:19","‪[분위기가 고조되는 음악]‬"
"182","00:17:20:16","00:17:22:18","‪[파저위 전사들의 기합]‬"
"183","00:17:31:24","00:17:34:09","‪[말 울음]‬
‪[사람들의 비명]‬"
"184","00:17:36:17","00:17:39:06","‪[사람들이 소란스럽다]‬"
"185","00:17:50:14","00:17:55:16","‪(아이다간) [여진어]‬"
"186","00:18:00:14","00:18:02:14","‪[사람들의 비명]‬"
"187","00:18:04:01","00:18:05:11","‪[매 울음]‬"
"188","00:18:07:11","00:18:10:06","‪(치록) [한국어] 조선이‬
‪한 번의 큰 왜란으로 어지러운 동안‬
‪[무거운 음악]‬"
"189","00:18:11:07","00:18:13:11","‪파저위의 족장인 아이다간이‬"
"190","00:18:13:13","00:18:16:10","‪자신의 밑으로 여진족을 결속시켰네‬"
"191","00:18:16:12","00:18:18:17","‪(치록) 남측의 왜구가‬
‪또다시 도발하고 있어‬"
"192","00:18:19:05","00:18:20:12","‪이 일을 빌미로‬"
"193","00:18:21:10","00:18:24:07","‪북쪽의 파저위마저 조선을 침공한다면‬"
"194","00:18:24:09","00:18:26:06","‪이 나라의 명운은 어찌 되겠는가‬"
"195","00:18:26:23","00:18:28:24","‪저들이 조선인에게 살해됐다는 건‬"
"196","00:18:29:17","00:18:31:02","‪절대 알려져선 안 되네‬"
"197","00:18:33:16","00:18:35:09","‪이 일은 반드시‬"
"198","00:18:37:09","00:18:38:18","‪호환이어야만 하네‬"
"199","00:18:42:19","00:18:44:10","‪[고풍스러운 연주가 들린다]‬"
"200","00:18:44:12","00:18:45:18","‪[밤새 울음]‬"
"201","00:18:47:09","00:18:49:15","‪(호위병1) 추파진의‬
‪첨사님께서 드셨습니다‬"
