No.,Timecode In,Timecode Out,Subtitle
"1","00:00:16:08","00:00:19:06","[애달픈 음악]"
"2","00:00:49:09","00:00:51:12","[아득히 들리는 자동차 엔진음]"
"3","00:01:06:03","00:01:08:15","[또각거리는 발걸음]"
"4","00:01:28:01","00:01:29:07","[엘리베이터 도착음]"
"5","00:01:29:23","00:01:30:23","[문이 끼익 열린다]"
"6","00:01:31:24","00:01:32:22","[문이 쾅 닫힌다]"
"7","00:02:01:10","00:02:03:06","[초인종이 딩동 울린다]"
"8","00:02:11:14","00:02:12:16","어, 왔어?"
"9","00:02:12:24","00:02:13:24","(보라)
누구 왔었어?"
"10","00:02:14:14","00:02:15:10","(일범)
아니"
"11","00:02:28:19","00:02:30:05","[보라의 신음]"
"12","00:02:33:00","00:02:36:04","[보라의 거친 숨소리]"
"13","00:02:37:09","00:02:38:11","(보라)
[신음하며]
좋아"
"14","00:02:39:01","00:02:41:24","[보라와 일범의 거친 숨소리]"
"15","00:02:42:21","00:02:44:11","[보라의 신음]"
"16","00:02:46:21","00:02:48:13","[보라의 신음]"
"17","00:02:50:18","00:02:52:08","[보라의 거친 숨소리]"
"18","00:03:00:09","00:03:02:17","[보라의 거친 숨소리]"
"19","00:03:11:05","00:03:12:12","(보라)
지금 해 줘"
"20","00:03:12:23","00:03:13:23","[보라의 신음]"
"21","00:03:26:05","00:03:27:06","(보라)
해 줘"
"22","00:03:28:12","00:03:30:05","[보라의 신음]"
"23","00:03:30:07","00:03:31:11","[일범의 거친 숨소리]"
"24","00:03:32:20","00:03:33:20","[신음하며]
해 줘"
"25","00:03:38:14","00:03:39:22","지금 해 줘"
"26","00:03:40:22","00:03:42:09","[보라와 일범의 신음]"
"27","00:03:56:12","00:03:58:17","[보라와 일범의 신음]"
"28","00:04:09:08","00:04:11:02","난 네 힘이 너무 좋아"
"29","00:04:15:15","00:04:17:14","[보라의 신음]"
"30","00:04:22:15","00:04:23:21","(일범)
난 잊을 수가 없어"
"31","00:04:28:08","00:04:29:18","[보라와 일범의 거친 숨소리]"
"32","00:04:32:08","00:04:34:02","[보라의 거친 신음]"
"33","00:04:52:09","00:04:55:13","[보라와 일범의 신음]"
"34","00:05:09:04","00:05:10:22","(일범)
난 혼자 있기가 싫어"
"35","00:05:12:04","00:05:13:02","알아?"
"36","00:05:13:05","00:05:15:12","[일범과 보라의 거친 숨소리]"
"37","00:05:17:01","00:05:19:15","[보라의 신음]"
"38","00:05:25:13","00:05:28:05","[보라와 일범의 거친 숨소리]"
"39","00:05:36:21","00:05:39:18","[보라와 일범의 신음]"
"40","00:05:47:15","00:05:49:04",""입춘대길""
"41","00:05:50:21","00:05:52:02","[책방 주인의 애쓰는 신음]"
"42","00:05:56:07","00:05:57:07","[힘겨운 신음]"
"43","00:06:05:03","00:06:06:03","[책방 주인이 라이터를 칙 켠다]"
"44","00:06:09:16","00:06:11:01","[부스럭거리는 소리가 난다]"
"45","00:06:19:10","00:06:21:15","아, 거, 이제 좀 고만 봐"
"46","00:06:24:09","00:06:25:09","예"
"47","00:06:30:21","00:06:32:16","아, 거, 그만 보라니께?"
"48","00:06:33:03","00:06:34:23","여기가 도서관이여, 뭐여?"
"49","00:06:35:20","00:06:36:20","[혀를 쯧 찬다]"
"50","00:06:40:17","00:06:41:19","[책방 주인이 헛기침한다]"
"51","00:06:43:10","00:06:44:14","[책방 주인이 중얼거린다]"
"52","00:06:45:15","00:06:47:24","파지 주워다가 뭐, 책 장사 하는 거여?"
"53","00:06:49:18","00:06:51:11","양복은 멀쩡히 입고 다니면서"
"54","00:06:51:24","00:06:54:14","여기가 구멍가게여, 뭐, 만홧가게여?"
"55","00:06:59:20","00:07:01:05","[깊은 한숨]"
"56","00:07:07:05","00:07:08:06","(민기)
이거 어디다 둘까요?"
"57","00:07:11:12","00:07:12:18","맴이 바뀌었어?"
"58","00:07:13:10","00:07:14:13","(민기)
예"
"59","00:07:15:22","00:07:16:22","재미없어?"
"60","00:07:17:11","00:07:20:07","글쎄 뭐, 연애 소설보다는
추리 소설에 가까워서요"
"61","00:07:20:21","00:07:22:19","그, 있잖아요, 그, 애절하고"
"62","00:07:23:21","00:07:28:03","가슴이 찢어질 정도로 고통스러워하는
그런 진짜 연애 소설이 재미나죠"
"63","00:07:29:06","00:07:31:16","어이구, 이거, 까다롭기는, 어이구"
"64","00:07:32:06","00:07:35:19","아, 사람 사는 인생살이가 뭐
다 그렇고 그런 것이지, 뭐"
"65","00:07:35:21","00:07:36:18","아, 이리 줘"
"66","00:07:40:21","00:07:43:10","저기 중앙 직진으로 들어와서"
"67","00:07:43:17","00:07:46:24","중앙 우측으로다가
고등학교 참고서 쌓아 놓은 데 알지?"
"68","00:07:47:01","00:07:47:22","예"
"69","00:07:47:24","00:07:52:03","거기서 옆으로다가 네 발짝 더 가면
추리 소설 모아 놓은 데가 있어"
"70","00:07:52:11","00:07:53:15","거기다 갖다 놔"
"71","00:07:53:24","00:07:55:06","예, 알겠습니다, 선생님"
"72","00:07:55:08","00:07:58:10","그리고 아까 골라낸 책
그거 한 권만 사 가는 것이여?"
"73","00:07:59:01","00:08:01:06","저기서 쭉 보던 거, 그건 안 사고?"
"74","00:08:02:00","00:08:03:20","그건 좀 더 읽어 봐야 될 거 같은데요"
"75","00:08:04:19","00:08:06:15","아주 다 읽어 보고 가, 그럼"
"76","00:08:07:23","00:08:10:00","의자가 없어 어쩌나? 다리가 아플 텐디"
"77","00:08:12:00","00:08:14:13","[사람들이 저마다 이야기한다]"
"78","00:08:29:17","00:08:30:19","[새가 지저귄다]"
"79","00:08:39:23","00:08:41:24","[아이들이 떠드는 소리가 난다]"
"80","00:08:48:06","00:08:49:19","(보육 교사)
연이 아빠!"
"81","00:08:51:14","00:08:53:13","아, 내가 깜빡했네"
"82","00:08:53:24","00:08:58:09","연이 우유 먹일 시간 지났는데
여기서 잠깐 먹이고 가지"
"83","00:08:58:20","00:08:59:20","(민기)
집에 가서요"
"84","00:08:59:22","00:09:01:12","아, 금방인데"
"85","00:09:02:17","00:09:04:07","(보육 교사)
아이, 그럼 가요!"
"86","00:09:04:09","00:09:07:00","(민기)
얼른 가서 우유 먹고 축구 보자"
"87","00:09:13:06","00:09:14:21","(미영)
어머, 잠깐만요"
"88","00:09:24:00","00:09:25:06","(미영)
민기 형 아니에요?"
"89","00:09:26:13","00:09:27:14","[웃음]"
"90","00:09:27:16","00:09:29:00","(민기)
이미영?
[미영의 놀라는 숨소리]"
"91","00:09:29:02","00:09:30:03","너 미영이 맞지?"
"92","00:09:30:05","00:09:31:02","(미영)
[웃으며]
응"
"93","00:09:31:04","00:09:32:04","너 여기 사니?"
"94","00:09:32:17","00:09:34:13","(미영)
[웃으며]
어, 나 몇 달 됐어"
"95","00:09:35:07","00:09:36:17","- 여기 살아?
- (민기) 응"
"96","00:09:36:19","00:09:37:17","몇 호?"
"97","00:09:37:19","00:09:39:06","[민기의 웃음]
우아"
"98","00:09:39:19","00:09:40:24","어유, 세상에"
"99","00:09:41:19","00:09:43:14","- 아들이야?
- 아니야, 딸이야"
"100","00:09:43:20","00:09:46:08","[미영의 탄성]
나 여기 산 지 몇 년 됐어"
"101","00:09:46:10","00:09:47:15","909호 살아"
"102","00:09:47:17","00:09:49:11","이야, 정말 세상 좁다"
