No.,Timecode In,Timecode Out,Subtitle
"1","00:00:49:16","00:00:51:08","[나뭇잎 흔들리는 소리]"
"2","00:00:53:18","00:00:56:13","[잔잔한 음악]"
"3","00:01:37:06","00:01:39:10","[와이퍼 소리]
[흥얼대는 경선]"
"4","00:01:52:20","00:01:54:01","안 자?"
"5","00:01:54:20","00:01:56:19","(문호)
피곤하다며, 좀 자"
"6","00:01:58:05","00:01:59:09","(경선)
있잖아, 문호 씨"
"7","00:02:00:18","00:02:02:10","스카프 진짜 마음에 드실까?"
"8","00:02:05:21","00:02:07:22","너 아직도 그 생각
하고 있는 거야?"
"9","00:02:08:00","00:02:10:08","(문호)
하여간 쓸데없는 생각하는 데
뭐 있다니까"
"10","00:02:10:16","00:02:12:10","야, 당연히 좋아하시지"
"11","00:02:12:23","00:02:14:12","딱 좋아, 지금 딱 좋아
걱정하지 마"
"12","00:02:14:14","00:02:15:13","딱 좋아, 어?"
"13","00:02:16:13","00:02:17:18","어떻게 알아?"
"14","00:02:18:06","00:02:20:11","어머니 무슨 색깔
좋아하시는지 진짜 알아?"
"15","00:02:21:19","00:02:22:15","물어봤어?"
"16","00:02:22:17","00:02:24:11","아니, 뭐
그걸 꼭 물어봐야 되나"
"17","00:02:24:23","00:02:28:01","어? 화사하고 안 늙어 보이고
그런 거 좋아하지"
"18","00:02:29:03","00:02:30:04","엄마들 다 그렇잖아"
"19","00:02:31:00","00:02:33:13","왜 이렇게 맨날 대충 넘어가?"
"20","00:02:33:23","00:02:36:05","아니, 뭐가 대충 넘어가
진짜야"
"21","00:02:36:08","00:02:37:24","진짜 우리 엄마
화사한 거 좋아해"
"22","00:02:41:19","00:02:44:09","아, 진짜라니까, 왜 이렇게
사람 말을 못 믿어?"
"23","00:02:44:17","00:02:45:13","믿어"
"24","00:02:48:00","00:02:49:06","진짜!"
"25","00:02:49:19","00:02:51:17","야, 좀 믿고 살자, 좀
[웃는 경선]"
"26","00:02:51:19","00:02:53:05","(문호)
진짜라니까"
"27","00:02:53:16","00:02:55:15","[웃는 문호, 선영]"
"28","00:02:58:10","00:02:59:14","(선영)
비 맞지 마"
"29","00:02:59:19","00:03:01:02","아니, 괜찮아
뛰어갔다 오면 돼"
"30","00:03:01:21","00:03:03:01","아, 문호 씨"
"31","00:03:03:06","00:03:05:15","나 커피 좀
감기약 먹었더니 좀 졸려"
"32","00:03:06:12","00:03:07:19","피곤하면 그냥 좀 자"
"33","00:03:08:07","00:03:09:14","빈속에 커피 마시면 멀미하는데"
"34","00:03:10:02","00:03:11:03","(문호)
딴거는?"
"35","00:03:11:14","00:03:13:18","금방 갔다 올게"
"36","00:03:16:01","00:03:17:20","[휴대폰 진동 소리]"
"37","00:03:19:23","00:03:21:09","여보세요?"
"38","00:03:21:20","00:03:23:07","[휴게소 장내 방송]"
"39","00:03:24:09","00:03:26:09","[웅성대는 사람들]"
"40","00:03:26:19","00:03:29:21","[휴게소 장내 방송]
저희 휴게소에서는
고객 여러분의 편의를 위하여..."
"41","00:03:33:17","00:03:35:16","[문호의 음미하는 소리]
[차 지나다니는 소리]"
"42","00:03:42:06","00:03:43:05","어?"
"43","00:03:49:02","00:03:51:17","얘는 이래 놓고 어디 간 거야?
큰일 날 뻔했네"
"44","00:03:52:20","00:03:53:22","[차 키를 빼는 문호]"
"45","00:03:57:04","00:03:58:22","[휴대폰 번호 누르는 소리]"
"46","00:04:01:06","00:04:02:15","[통화 연결음]"
"47","00:04:03:08","00:04:05:08","[불안한 음악]"
"48","00:04:09:08","00:04:10:13","[통화 연결음]"
"49","00:04:10:16","00:04:12:16","[휴게소 장내 방송]
잠시 안내 방송 드리겠습니다"
"50","00:04:13:04","00:04:16:12","서울 성산동에 사시는
강선영 씨께서는"
"51","00:04:17:02","00:04:19:06","안내 데스크로
와주시기 바랍니다"
"52","00:04:19:08","00:04:20:22","[휴대폰 벨 소리]
[웅성대는 사람들]"
"53","00:04:23:23","00:04:25:20","야, 동우야 미안한데
내가 좀만 있다 전화할게"
"54","00:04:25:22","00:04:27:10","[웅성대는 장내 소음]"
"55","00:04:34:11","00:04:35:16","- (여자) 악!
- (문호) 아잇"
"56","00:04:35:18","00:04:36:14","[바닥에 떨어진 수저]"
"57","00:04:36:16","00:04:38:15","(여자)
아, 이게 뭐예요!
어딜 보고 다니시는 거예요"
"58","00:04:38:17","00:04:39:18","(문호)
미안해요, 미안합니다"
"59","00:04:40:10","00:04:45:09","[통화 연결음]"
"60","00:04:50:05","00:04:51:08","- (문호) 아 저, 아주머니
- (청소부) 아, 예"
"61","00:04:51:10","00:04:52:06","화장실 여기 말고 또 없나요?"
"62","00:04:52:08","00:04:53:19","아, 저기요"
"63","00:04:54:20","00:04:56:21","[긴박한 음악]
[빗소리]"
"64","00:04:59:21","00:05:01:18","[헉헉대는 문호]"
"65","00:05:01:22","00:05:02:20","[쾅]"
"66","00:05:04:15","00:05:05:18","[웅얼대는 문호]"
"67","00:05:06:05","00:05:07:14","- 어머
- (문호) 아휴"
"68","00:05:07:17","00:05:09:01","(여자)
안 돼, 지지야"
"69","00:05:25:00","00:05:27:00","[프린터 출력음]
[파출소 소음]"
"70","00:05:29:06","00:05:31:02","[키보드 조작음]"
"71","00:05:31:04","00:05:32:08","안동에 가던 중이셨고"
"72","00:05:32:10","00:05:33:21","예, 안동에 부모님이 계십니다"
"73","00:05:33:23","00:05:34:22","[휴대폰 진동 소리]"
"74","00:05:35:00","00:05:36:02","[키보드 조작음]"
"75","00:05:36:04","00:05:37:14","(경찰)
강선영 씨 부모님이?"
"76","00:05:38:03","00:05:40:16","아, 아니요
저, 저희 부모님요"
"77","00:05:40:18","00:05:42:16","선영이 쪽은
부모님이 안 계시거든요"
"78","00:05:42:18","00:05:44:20","- (경찰) 신고인 장문호 씨
- (문호) 예"
"79","00:05:44:22","00:05:47:01","- (경찰) 연락처가?
- 아, 예, 여기 동물병원인데요"
"80","00:05:47:03","00:05:48:13","아무 때나 이리로
전화하시면 됩니다"
"81","00:05:48:15","00:05:50:03","이 밑에
핸드폰 번호 있고요, 예"
"82","00:05:50:10","00:05:52:01","예, 됐습니다"
"83","00:05:52:06","00:05:54:11","아니, 저기, 이거
같이 넣으셔야 할 거 같은데"
"84","00:05:54:14","00:05:56:06","(경찰)
그냥 가지고 가시면 돼요"
"85","00:05:57:03","00:05:59:19","(문호)
아, 다, 다 끝난 건가요?
저 이제 뭐 하면 되죠?"
"86","00:06:00:04","00:06:02:18","(경찰)
아, 진척 있으면
저희가 연락을 드리긴 할 건데"
"87","00:06:02:20","00:06:04:15","또, 어쩌면 며칠 내로
강선영 씨가"
"88","00:06:04:17","00:06:06:16","친구분들한테
연락을 할 수도 있거든요"
"89","00:06:06:24","00:06:08:17","의외로 그런 경우가 많습니다"
"90","00:06:09:09","00:06:11:16","아니
[의자 밀어 넣는 소리]"
"91","00:06:13:04","00:06:15:09","아니, 차에 시동이
켜져 있었다니까요"
"92","00:06:16:20","00:06:18:05","비가 왔고요"
"93","00:06:18:07","00:06:19:23","차 문은 열려 있었고요"
"94","00:06:20:00","00:06:21:09","오늘 시댁에 인사 간다고"
"95","00:06:21:11","00:06:23:02","옷도 새 옷 입고"
"96","00:06:23:06","00:06:24:08","옷에 뭐 묻을까 봐"
"97","00:06:24:10","00:06:26:20","점심도 빵으로 때웠다고
얘기했잖아요, 아까, 그렇죠?"
"98","00:06:27:02","00:06:28:02","(문호)
그런 사람이"
"99","00:06:28:04","00:06:29:17","[흥분한 호흡]
이제 다음 달이면
결혼할 사람이"
"100","00:06:29:19","00:06:31:19","자기 머리에 꽂고 있던
머리핀이"
"101","00:06:31:21","00:06:32:23","땅에 떨어진 줄도 모르고"
"102","00:06:33:00","00:06:34:18","비 오는데 우산도 없이 그냥
고속도로를 이렇게"
"103","00:06:34:20","00:06:37:00","걸, 걸어갔다고요?
이게 말이 돼요, 지금?"
"104","00:06:38:01","00:06:39:02","이 머리핀이요"
"105","00:06:39:04","00:06:43:00","[큰 소리로]
주유소 화장실 바닥에
떨어져 있었다니까요, 지금!"
"106","00:06:43:20","00:06:45:15","[열차 소리]"
"107","00:06:47:07","00:06:48:18","(문호)
예, 아버지"
"108","00:06:49:17","00:06:52:14","선영이가 오늘 몸이
좀 안 좋아가지고요, 예"
"109","00:06:53:08","00:06:55:15","예, 죄송해요
미리 연락 못 드려 가지고"
"110","00:06:55:22","00:06:57:22","네, 아버지
그, 하"
"111","00:06:59:09","00:07:01:17","청첩장요, 제가 이렇게
택배로 보내드릴게요"
"112","00:07:01:19","00:07:03:01","예"
"113","00:07:04:02","00:07:05:20","예, 예, 죄송해요
아버지"
"114","00:07:08:06","00:07:12:02","[현관문 비밀번호 누르는 소리]"
"115","00:07:12:04","00:07:13:16","[문 열리는 소리]"
"116","00:07:17:11","00:07:19:13","[긴장감 있는 음악]"
"117","00:07:42:15","00:07:44:15","[휴대폰 진동 소리]"
"118","00:07:49:06","00:07:50:24","- 어, 동우야
- (동우) 어, 어디야?"
