No.,Timecode In,Timecode Out,Subtitle
"1","00:00:40:09","00:00:42:11","[부드러운 음악]"
"2","00:01:51:13","00:01:53:00","[공주의 가쁜 숨소리]"
"3","00:01:53:02","00:01:54:01","[진주가 딸꾹질한다]"
"4","00:01:56:03","00:01:58:02","[동광의 가쁜 숨소리]"
"5","00:01:58:17","00:01:59:13","[동광의 지친 신음]"
"6","00:02:03:18","00:02:06:10","(동광) 야, 야, 아도 버거운데
보따리 하나 도"
"7","00:02:09:16","00:02:10:13","아이"
"8","00:02:11:04","00:02:12:24","고집 보니 말순 할매 손녀 맞네"
"9","00:02:14:24","00:02:16:17","[동광의 거친 숨소리]"
"10","00:02:20:09","00:02:21:08","[동광이 숨을 후 내뱉는다]"
"11","00:02:25:17","00:02:27:14","(동광) 니 안 덥나? 이리 온나"
"12","00:02:27:16","00:02:29:01","[개가 컹컹 짖는다]"
"13","00:02:31:08","00:02:32:07","(슈퍼 할매) 똥광아"
"14","00:02:32:20","00:02:36:24","어휴, 사회 복지사 돼 갖고
욕본다, 잉?"
"15","00:02:37:01","00:02:38:00","어데 가노?"
"16","00:02:39:00","00:02:41:02","(동광) 말순 할매 집에 간다 아입니꺼"
"17","00:02:41:05","00:02:42:10","그라고 내 이름 동광입니더"
"18","00:02:42:12","00:02:45:00","엄마가 돼 갖고
아들 이름 좀 제대로 부르이소"
"19","00:02:45:03","00:02:46:12","[슈퍼 할매의 웃음]
[슈퍼 할매의 장난스러운 신음]"
"20","00:02:47:12","00:02:48:12","(슈퍼 할매) 자는 누고?"
"21","00:02:49:07","00:02:51:18","(동광) 아, 효선이 누님 딸이라던데예"
"22","00:02:51:20","00:02:52:19","효선이?"
"23","00:02:53:14","00:02:56:01","아, 가수 된다 카믄서 집 나간 가?"
"24","00:02:57:06","00:02:58:12","(동광) 어머니, 중요한 건 나중에예"
"25","00:02:58:14","00:03:00:06","[슈퍼 할매의 의아한 신음]
[동광의 지친 숨소리]"
"26","00:03:02:08","00:03:04:07","(동광) [숨을 헐떡이며] 아, 다 왔다"
"27","00:03:04:09","00:03:06:01","[공주의 가쁜 숨소리]"
"28","00:03:07:02","00:03:08:24","할매 곧 장사 마칠 시간이다"
"29","00:03:09:13","00:03:12:06","여 들어가 기다리면 금방 오실 기다"
"30","00:03:12:22","00:03:14:13","내는 바빠가
[동광의 거친 숨소리]"
"31","00:03:17:04","00:03:18:14","[동광이 숨을 헐떡인다]"
"32","00:03:21:06","00:03:22:01","와"
"33","00:03:22:22","00:03:25:04","산동네 마이 높네"
"34","00:03:34:19","00:03:36:01","[진주가 딸꾹질한다]"
"35","00:03:39:04","00:03:40:14","[진주가 연신 딸꾹질한다]"
"36","00:04:03:06","00:04:07:05","(슈퍼 할매) 옴마야, 시상에, 시상에
우짜면 좋노? 잉?"
"37","00:04:07:07","00:04:09:09","아, 집 나간 효선인 우짜고"
"38","00:04:09:11","00:04:11:15","알라 둘이 기어들어 왔노? 으잉?"
"39","00:04:12:11","00:04:13:12","아이고, 새키"
"40","00:04:13:14","00:04:14:14","그만 좀 처묵으라!"
"41","00:04:38:05","00:04:39:02","니 누꼬?"
"42","00:04:42:01","00:04:43:08","(말순) 와 여기서 자고 있노?"
"43","00:04:44:10","00:04:45:23","[공주를 툭툭 두드리며] 야"
"44","00:04:46:00","00:04:47:07","어?
[공주의 놀란 숨소리]"
"45","00:04:49:09","00:04:50:18","뭐꼬?"
"46","00:04:59:19","00:05:01:09","설마 니 그거 훔친 기가?"
"47","00:05:01:11","00:05:04:04","예? 아, 아, 아인데요"
"48","00:05:04:06","00:05:05:15","그, 그게 아이고…"
"49","00:05:05:18","00:05:08:09","아이고, 야, 야, 그라믄 안 되는 기라"
"50","00:05:08:11","00:05:10:23","뭘 훔쳐가 여기 숨어든 기고?
[공주의 머뭇거리는 신음]"
"51","00:05:11:00","00:05:12:07","이리 도, 함 보자"
"52","00:05:12:09","00:05:13:17","(말순) 줘 봐라, 언능, 이리 도"
"53","00:05:13:19","00:05:16:22","(공주) 아이, 그, 그게 아이라
마음의 준비를 좀…"
"54","00:05:16:24","00:05:19:07","(말순) 내 늙어가
그런 거 준비할 시간 없다"
"55","00:05:19:10","00:05:20:21","빨리 줘 봐라, 언능!"
"56","00:05:22:00","00:05:24:14","[공주의 힘주는 신음]
야가 와 이리 기운이 세노? 언능"
"57","00:05:24:16","00:05:25:24","[쨍그랑 깨지는 소리가 난다]
[공주의 놀란 신음]"
"58","00:05:31:20","00:05:33:07","[떨리는 숨소리]"
"59","00:05:38:18","00:05:40:23","[애잔한 음악]"
"60","00:05:42:14","00:05:44:07","[유골함을 달그락거리며]
우, 우, 우리 엄마 이름이"
"61","00:05:44:22","00:05:46:00","김효선입니더"
"62","00:05:48:03","00:05:49:02","누구라꼬?"
"63","00:05:50:12","00:05:51:23","(공주) [떨리는 목소리로] 김효선"
"64","00:06:12:00","00:06:12:21","(말순) 내가"
"65","00:06:14:10","00:06:15:18","느그 엄마"
"66","00:06:17:05","00:06:19:03","유골함을 깨트린 기가?"
"67","00:06:20:20","00:06:21:16","예"
"68","00:06:22:08","00:06:23:08","할매가"
"69","00:06:24:01","00:06:27:04","할매 딸내미 유골함을 깨트린 깁니더"
"70","00:06:29:06","00:06:30:03","[한숨]"
"71","00:06:31:16","00:06:33:23","난중에 느 엄마한테는 비밀이다"
"72","00:06:35:22","00:06:38:20","(공주) 좋은 엄마니까 혹시 알게 돼도"
"73","00:06:39:18","00:06:41:03","이해해 줄 겁니더"
"74","00:06:47:23","00:06:49:07","(말순) 니 이름이 뭐꼬?"
"75","00:06:52:16","00:06:53:12","공주요"
"76","00:06:54:09","00:06:56:07","내는 나공주고요"
"77","00:06:57:16","00:07:00:05","자는 나진주라고 합니더"
"78","00:07:02:14","00:07:03:10","공주?"
"79","00:07:05:02","00:07:06:00","진주?"
"80","00:07:08:11","00:07:10:03","절대 안 잊어뿔 이름이네"
"81","00:07:27:00","00:07:27:22","(말순) 밥 묵자"
"82","00:07:29:14","00:07:30:14","배 안 고프나?"
"83","00:07:32:13","00:07:35:10","(공주) 쫌 있으면 깜깜해질 건데"
"84","00:07:35:12","00:07:37:02","참았다가 저녁 묵지요?"
"85","00:07:37:17","00:07:40:12","(말순) 아이고, 걱정 마라
내 손이 느려가"
"86","00:07:40:14","00:07:42:17","까딱하면 니 새벽밥 묵을 기다"
"87","00:07:44:00","00:07:46:17","(공주) 그라믄 제가 도와드릴까예?"
"88","00:07:46:19","00:07:49:17","(말순) 아이고, 됐다
오지랖 접고 앉아 있으라"
"89","00:07:49:20","00:07:50:19","[말순이 문을 스르륵 연다]"
"90","00:07:51:16","00:07:53:05","[말순의 한숨]
[말순이 문을 스르륵 닫는다]"
"91","00:08:03:13","00:08:04:15","뭐 하니? 안 들어오고"
"92","00:08:05:16","00:08:07:01","(공주) 어? 어어?
[박 선생의 놀란 신음]"
"93","00:08:07:03","00:08:08:14","(박 선생) 어머!
[아이들의 다급한 신음]"
"94","00:08:08:16","00:08:12:09","[발랄한 음악]
(아이들) 우와! 쥑이네!"
"95","00:08:12:11","00:08:14:11","(공주) 아이고, 괜찮습니꺼?"
"96","00:08:15:08","00:08:16:14","[안도하는 숨소리]"
"97","00:08:17:19","00:08:19:13","(박 선생) 고맙다
[공주의 웃음]"
"98","00:08:20:05","00:08:22:20","아, 오늘부터 같이 생활할 친구다"
"99","00:08:22:22","00:08:23:18","이름이?"
"100","00:08:24:06","00:08:27:10","내는 청송에서 온 나공주라 캅니더"
"101","00:08:27:12","00:08:29:23","촌에서는 내내 일등했지만서도"
"102","00:08:30:00","00:08:32:09","(공주) 도시인 여서는
우얄지 잘 모르겠습니더"
"103","00:08:32:11","00:08:35:01","그래도 이쁘게 봐 주면 좋겠습니더"
"104","00:08:35:03","00:08:37:08","(박 선생) 박수
[아이들의 박수]"
"105","00:08:40:00","00:08:41:15","(우람) 저요, 저요, 저요, 저요, 저요
저요, 저요!"
"106","00:08:41:17","00:08:44:08","선생님! 여기 자리 비었는데요?"
"107","00:08:44:11","00:08:45:12","(황숙) 아이, 씨"
"108","00:08:46:11","00:08:48:00","(박 선생) 아, 공주야, 가라"
"109","00:08:48:20","00:08:50:16","우리가 구해야 할 꼴등이다?"
"110","00:08:50:18","00:08:52:04","[아이들의 웃음]"
"111","00:08:52:07","00:08:53:12","[의자를 드르륵 뺀다]"
"112","00:08:56:16","00:08:58:06","[종을 땡땡 치며] 자, 주목"
"113","00:08:58:19","00:09:01:01","8단원 지구 자전과 공전에 대해…"
"114","00:09:01:03","00:09:02:17","일등만 했다는 게 진짜가?"
"115","00:09:02:19","00:09:04:04","[박 선생이 분필로 탁탁 쓴다]"
"116","00:09:04:06","00:09:05:06","뻥이다"
"117","00:09:05:08","00:09:06:08","[공주의 웃음]
[흥미로운 음악]"
"118","00:09:06:10","00:09:07:08","(우람) 뻥 좋지"
"119","00:09:10:12","00:09:11:12","(공주) 아!"
"120","00:09:12:05","00:09:13:13","[공주의 아픈 신음]"
"121","00:09:13:15","00:09:14:14","[황숙 패거리의 놀란 신음]"
"122","00:09:14:16","00:09:15:21","(황숙 패거리) 어머, 어머, 어머, 어머"
"123","00:09:16:08","00:09:20:16","(황숙) 마, 한 번만 더
잘생긴 우람이 꼬시가 붙어 댕기 봐라"
"124","00:09:21:04","00:09:23:06","그때가 바로 니 제삿날이데이"
"125","00:09:23:08","00:09:24:19","알았나, 몰랐나?"
"126","00:09:24:21","00:09:26:18","[코웃음 치며] 가가 잘생긴 게 맞나?"
"127","00:09:26:20","00:09:30:00","어쭈, 지금 센 척하는 기가?"
"128","00:09:30:02","00:09:33:02","우와, 이 가스나 마이 컸다?"
"129","00:09:33:04","00:09:35:03","[익살스러운 음악]"
"130","00:09:36:19","00:09:38:01","[공주가 손을 탁탁 턴다]"
"131","00:09:39:16","00:09:41:11","니가 날 언제 봤다고 컸다 카노?"
"132","00:09:42:06","00:09:44:21","(경숙) 느그 엄마
집 나가서 죽었다는 소문"
"133","00:09:45:11","00:09:47:05","동네에 자자하데?"
"134","00:09:48:01","00:09:52:09","(기숙) 결론은 느그 엄마가
불량소녀였다, 이 말이제?
[어이없는 한숨]"
"135","00:09:52:11","00:09:54:10","[공주가 숨을 후 내뱉는다]
그 엄마에"
"136","00:09:54:12","00:09:56:02","[힘주며] 그 딸…"
"137","00:09:57:19","00:09:58:19","[힘주며] 그…"
"138","00:10:00:12","00:10:01:09","딸 아이가?"
"139","00:10:02:06","00:10:03:02","그게 다 그기지!"
"140","00:10:03:17","00:10:04:23","(황숙) 아!
[경숙과 기숙의 놀란 신음]"
"141","00:10:05:00","00:10:06:13","[황숙의 아픈 신음]
(기숙) 어머, 황숙아!"
"142","00:10:07:02","00:10:08:23","(경숙) 어? 피다, 괜찮나?
[황숙이 울음을 터뜨린다]"
"143","00:10:09:00","00:10:11:00","한 번만 더 재롱부려 봐라이"
"144","00:10:11:14","00:10:13:02","다음번엔 쌍코피다"
"145","00:10:14:03","00:10:15:24","(기숙) 좌우 균형 깨졌다, 황숙아
[황숙이 엉엉 운다]"
"146","00:10:17:10","00:10:20:23","공주 저 가스나
갈수록 매력 돋네, 돋아"
"147","00:10:25:01","00:10:28:20","(말순) 아이고, 혼자 살다가
여기저기 아 손 타니까 진짜 미치겠네"
"148","00:10:29:24","00:10:31:02","(공주) 와 그라는데예?"
"149","00:10:32:02","00:10:33:06","(말순) 이것도, 어?"
"150","00:10:33:08","00:10:35:21","어, 또 이것도, 또 이것도"
"151","00:10:35:23","00:10:37:23","그라고 이것도 다 니 작품이제?"
"152","00:10:38:00","00:10:40:00","(공주) 예, 지가 애 좀 썼습니더"
"153","00:10:40:02","00:10:43:05","근데 할매는 칭찬을
윽박으로 대신합니꺼?"
"154","00:10:43:07","00:10:45:14","아, 수놓을 실을
이래 짧게 망쳐 놓으면 우짜노!"
"155","00:10:47:23","00:10:52:05","앞으로 내 집에서는
절대 앞서 나가지 마라, 알긋나?"
"156","00:10:52:19","00:10:53:16","(공주) 예"
"157","00:10:53:18","00:10:57:07","지는 그럼 똥 기저귀나 좀
빨아야겠습니더"
"158","00:10:57:09","00:11:00:13","우리 진주는
똥 기저귀도 억수로 예쁘지예?"
"159","00:11:00:15","00:11:02:04","앞서 나가지 말라 안 했나?"
"160","00:11:02:06","00:11:03:06","(공주) 예?"
"161","00:11:03:19","00:11:06:10","(말순) 쯧, 천 기저귀는
쓰면 안 되겠더라"
"162","00:11:07:21","00:11:11:19","우리 진주 엉덩이가 원숭이맹키로
좀 짓무르긴 했지예?"
"163","00:11:11:21","00:11:13:01","[멀리서 개가 짖는다]"
"164","00:11:13:17","00:11:15:07","[마트가 시끌시끌하다]"
"165","00:11:16:10","00:11:18:08","[부드러운 음악]"
"166","00:11:29:08","00:11:30:16","(점원1) 사은품 받아 가이소"
"167","00:11:31:14","00:11:32:21","사은품 받아 가이소"
"168","00:11:32:23","00:11:33:19","(말순) 예"
"169","00:11:36:02","00:11:37:12","(점원1) 감사합니다"
"170","00:11:37:14","00:11:38:16","감사합니다"
"171","00:11:38:18","00:11:39:24","[공주가 사은품을 북북 뜯는다]"
"172","00:11:43:10","00:11:44:20","(말순) 계산이요"
"173","00:11:49:14","00:11:50:15","(말순) 반품이요"
"174","00:11:57:23","00:12:00:12","(말순) 내는 아까
둥당거려 죽는 줄 알았다"
"175","00:12:01:09","00:12:03:09","익숙해지면 좀 괴않아질 겁니더"
"176","00:12:04:01","00:12:06:24","하이고, 마이 떼다 붙인 거 같은데
요 을마 안 되네?"
"177","00:12:07:01","00:12:10:09","좋은 분유라 카니까 때 놓치지 말고
먹여야 합니더"
"178","00:12:10:23","00:12:13:07","(말순) 야, 잔소리 그만하고
먼저 가 있어라"
"179","00:12:13:09","00:12:14:22","내는 응?"
"180","00:12:14:24","00:12:17:22","손수건 한 장이라도 더 팔고 올 테니까"
"181","00:12:20:02","00:12:21:16","- (공주) 맞는다!
- 와?"
"182","00:12:21:18","00:12:23:23","우람이네 가는 거 깜빡했습니더"
"183","00:12:24:13","00:12:26:17","아, 팍팍 좀 짜 봐라, 팍팍!"
"184","00:12:27:06","00:12:28:14","짜고 있는 거 안 보이나!"
"185","00:12:28:16","00:12:30:03","(우람) 더 팍팍 하라고!"
"186","00:12:30:05","00:12:31:11","(우람 모) 이, 씨! 아, 진짜!"
"187","00:12:31:13","00:12:32:12","(우람) 이리 도! 내가 짜 볼게!"
"188","00:12:32:14","00:12:33:24","(우람 모) 아유, 와 이라노!"
"189","00:12:34:01","00:12:36:12","- (우람) 내가 짜 본다니까!
- (우람 모) 아이, 미칬나!"
"190","00:12:36:14","00:12:38:04","[출입문 종이 딸랑거린다]"
"191","00:12:39:21","00:12:40:21","안녕하세요"
"192","00:12:40:23","00:12:41:22","공주야"
"193","00:12:43:06","00:12:44:08","[우람의 헛기침]
(우람 모) 아이!"
"194","00:12:47:09","00:12:48:22","(우람) 진주 식사 준비 다 됐다"
"195","00:12:49:09","00:12:50:24","엄마! 빨리 쫌!"
"196","00:12:51:01","00:12:51:24","(우람 모) 알았다"
"197","00:12:52:01","00:12:53:16","[웃으며] 왔나?"
"198","00:12:53:18","00:12:54:19","(우람) 내가 줄 거다"
"199","00:12:54:21","00:12:57:00","으이구, 니 동생 금실이 생각을
그래 끔찍이 해 봐라"
"200","00:12:57:02","00:12:58:14","- (공주) 고맙습니더
- (우람 모) 그래
[우람 모의 웃음]"
"201","00:12:58:16","00:13:02:03","(우람) 고마울 거 없다
울 엄마 소문난 젖소 부인이다"
"202","00:13:02:05","00:13:04:13","금실이 묵다 남은 거 안 짜내면"
"203","00:13:05:07","00:13:06:09","우리 엄마 젖이 억수로 아파…"
"204","00:13:06:11","00:13:07:22","- (우람 모) 이게 돌았나!
- (우람) 아!"
