No.,Timecode In,Timecode Out,Subtitle
"1","00:00:21:23","00:00:23:01","[주제곡]"
"2","00:01:32:10","00:01:34:06","(기영) 우리 집은 서울 마포다"
"3","00:01:34:21","00:01:36:13","동네엔 긴 철둑이 있는데"
"4","00:01:36:15","00:01:40:02","[아이들이 노래 부른다]
용산역에서
당인리 화력 발전소까지"
"5","00:01:40:04","00:01:41:23","석탄을 나르는 기찻길이다"
"6","00:01:42:14","00:01:45:08","[종이 땡땡 울린다]
기차가 동네를 지날 때면
종을 울린다"
"7","00:01:46:18","00:01:50:04","커다란 앞바퀴에선 김이 칙칙"
"8","00:01:50:15","00:01:54:07","굴뚝에선 시커먼 연기가
푹푹 솟는 게"
"9","00:01:54:21","00:01:56:12","하늘을 뒤덮을 것 같다
[화부의 힘주는 숨소리]"
"10","00:01:56:18","00:01:58:22","[화부의 힘주는 숨소리]
석탄을 태우는 연기다"
"11","00:01:59:00","00:02:00:09","[화부의 힘주는 소리]"
"12","00:02:00:11","00:02:02:01","[종소리가 들린다]
[기영의 의아한 탄성]"
"13","00:02:02:03","00:02:04:05","(기영) 어, 저기 기차 온다, 기차!"
"14","00:02:04:07","00:02:06:05","[기차 주행 소음]"
"15","00:02:06:07","00:02:08:17","[아이들의 긴장한 숨소리]"
"16","00:02:08:19","00:02:10:04","[의아한 탄성]"
"17","00:02:10:06","00:02:13:03","[종이 땡땡 울린다]
(기관사) 이 녀석들아
아이, 위험해!"
"18","00:02:13:13","00:02:16:03","[기차 바퀴 마찰음]
[아이들의 겁먹은 숨소리]"
"19","00:02:19:20","00:02:22:03","와우, 와우
와우, 와우, 와우, 와우
[기차 소음이 끊기며 들린다]"
"20","00:02:22:05","00:02:25:15","(기영) 와우, 와우, 와우, 와우
와우, 와우, 와우, 와우"
"21","00:02:25:17","00:02:26:21","와우, 와우, 와우, 와우
[기차 소음이 끊기며 들린다]"
"22","00:02:26:23","00:02:28:15","(아이들) 와우, 와우
와우, 와우, 와우, 와우"
"23","00:02:28:17","00:02:31:11","(아이들) 와우, 와우, 와우, 와우
[기차 소음이 끊기며 들린다]"
"24","00:02:31:13","00:02:33:03","재밌다!
[웃음]"
"25","00:02:33:05","00:02:36:03","[아이들의 웃음]"
"26","00:02:36:17","00:02:39:07","[부드러운 음악]
[아이들의 즐거운 웃음]"
"27","00:02:41:21","00:02:44:03","[성철의 신난 탄성]"
"28","00:02:44:15","00:02:47:15","[아이들이 계속 웃는다]"
"29","00:02:53:02","00:02:55:03","[개구리 울음]
[성철의 의아한 숨소리]"
"30","00:02:56:07","00:02:57:21","(성철) 에이, 이야!
[개구리 울음]"
"31","00:02:58:19","00:03:01:08","[성철의 아쉬운 숨소리]"
"32","00:03:01:18","00:03:03:08","(성철) 아, 놓쳤네"
"33","00:03:03:10","00:03:05:12","(도승) 개구리 뒷다리
구워 먹으면 맛있는데"
"34","00:03:05:14","00:03:06:14","[기영의 옅은 탄성]"
"35","00:03:07:05","00:03:09:08","(기영) 와, 여기 송사리 많다
송사리 잡자"
"36","00:03:10:13","00:03:12:20","[성철의 탄성]"
"37","00:03:12:22","00:03:16:20","(기영) 좋아, 몰아, 몰아, 몰아
좋아, 좋아, 좋아, 몰아, 몰아
[도승의 기합]"
"38","00:03:21:17","00:03:26:15","[시계가 째깍거린다]
[종이 댕댕 울린다]"
"39","00:03:26:17","00:03:28:08","[종소리가 들린다]
다섯, 여섯"
"40","00:03:29:10","00:03:30:14","일곱, 여덟"
