No.,Timecode In,Timecode Out,Subtitle
"1","00:00:32:07","00:00:33:16","“만약 당신이”"
"2","00:00:33:18","00:00:35:10","“조금은 신기하면서도”"
"3","00:00:35:12","00:00:37:08","“곤란한 일을 만나게 되면”"
"4","00:00:37:10","00:00:39:21","“그곳을 찾아가 보세요”"
"5","00:00:39:23","00:00:41:23","“그곳에는…”"
"6","00:01:02:05","00:01:03:10","늦었다!"
"7","00:01:04:00","00:01:06:14","- 하루, 일어났니?
- 지금 일어났어"
"8","00:01:15:14","00:01:16:20","됐어"
"9","00:01:20:07","00:01:21:12","엄마, 안녕"
"10","00:01:21:14","00:01:23:02","늦잠꾸러기!"
"11","00:01:23:04","00:01:25:06","자명종은 장식이야?"
"12","00:01:25:15","00:01:28:06","- 갈게
- 아침은? 맛있는데"
"13","00:01:32:07","00:01:33:20","진짜 맛있네"
"14","00:01:35:06","00:01:36:12","미워!"
"15","00:01:36:14","00:01:38:03","잘 다녀와"
"16","00:02:01:01","00:02:02:04","내 신발!"
"17","00:02:06:08","00:02:08:11","잠깐…
미치겠네!"
"18","00:02:13:24","00:02:16:01","나라가 패망하니
산과 강만 남아있고"
"19","00:02:16:03","00:02:18:11","성 안에 봄이 와도
초목만 우거져있네"
"20","00:02:18:13","00:02:21:05","나라 꼴이 이러하니
꽃을 보아도 눈물이 나고"
"21","00:02:21:07","00:02:24:00","이별이 한스러워
새소리에도 놀라네"
"22","00:02:24:16","00:02:28:00","하루!
다 보이니까 어서 앉아"
"23","00:02:28:08","00:02:29:04","넵!"
"24","00:02:31:08","00:02:32:22","또 지각?"
"25","00:02:52:16","00:02:58:04","“고양이의 보은”"
"26","00:03:07:08","00:03:08:21","항상 꼬인단 말이야"
"27","00:03:09:06","00:03:12:02","또 지각하고
웃음거리가 됐잖아"
"28","00:03:12:13","00:03:14:11","마치다도 웃었다고"
"29","00:03:14:13","00:03:15:19","나도 봤어"
"30","00:03:16:14","00:03:19:15","뭐지?
왜 나만 꼬이는 거야?"
"31","00:03:21:23","00:03:23:24","뭔가 전조인 것 같아"
"32","00:03:24:01","00:03:27:05","더 무서운 일이
일어날 수도 있어"
"33","00:03:27:18","00:03:29:09","너 친구 맞아?"
"34","00:03:32:06","00:03:33:17","“수제 케이크”"
"35","00:03:35:14","00:03:38:03","“모리피”"
"36","00:03:38:05","00:03:39:13","못 보던 고양이네"
"37","00:03:42:14","00:03:44:13","마치다가 왜 그렇게 좋아?"
"38","00:03:45:03","00:03:47:23","- 잘 생겼잖아!
- 고백은 했어?"
"39","00:03:48:00","00:03:49:17","여자친구 있대"
"40","00:03:49:19","00:03:52:07","엄청 예쁜 1학년생?"
"41","00:03:52:09","00:03:53:06","알면서 날 놀려?"
"42","00:03:53:21","00:03:56:20","네가 차이면
위로할 생각이었어"
"43","00:03:56:22","00:03:58:05","너무해, 정말!"
"44","00:03:58:18","00:04:01:17","내 눈엔 츠게가 훨씬 멋져"
"45","00:04:01:19","00:04:03:06","너야말로 빨리 차이고…"
"46","00:04:10:19","00:04:13:02","- 입에 뭘 물고 있었지?
- 훔친 건가?"
"47","00:04:13:04","00:04:14:00","글쎄?"
"48","00:04:21:15","00:04:23:01","뭐 하는 걸까?"
"49","00:04:23:03","00:04:27:02","야옹아, 위험해!"
"50","00:04:30:15","00:04:33:15","- 냅둬, 그냥 길냥이야
- 저러다 다치겠어"
"51","00:04:41:15","00:04:42:12","뭐 하는 거야?"
"52","00:04:43:15","00:04:44:21","하루야, 안 돼!"
"53","00:04:52:16","00:04:53:16","해냈어, 멋지다!"
"54","00:05:01:10","00:05:03:22","거기서, 트럭!"
"55","00:05:09:24","00:05:12:01","야옹아… 괜찮니?"
"56","00:05:27:04","00:05:31:18","위험한 상황에서
구해줘서 감사합니다"
"57","00:05:32:10","00:05:34:02","다친 곳은 없으신지요?"
"58","00:05:37:11","00:05:40:05","죄송합니다만
좀 바쁜 관계로…"
"59","00:05:40:15","00:05:42:05","보답은 따로 하겠습니다"
"60","00:05:42:14","00:05:44:04","보답은 무슨…"
"61","00:05:47:22","00:05:49:01","하루!"
"62","00:05:56:00","00:05:58:02","두 동강 났네"
"63","00:05:58:04","00:06:01:02","고양이 목숨을
구했으니 할 수 없지"
"64","00:06:01:04","00:06:02:19","- 너도 봤니?
- 뭘?"
"65","00:06:03:15","00:06:04:19","야옹이가 인사를 했어"
"66","00:06:06:23","00:06:08:07","너 제정신이야?"
"67","00:06:16:21","00:06:18:01","다녀왔어요"
"68","00:06:20:09","00:06:21:18","바닥 조심해!"
"69","00:06:22:19","00:06:25:10","어떤 무늬로
해야 할지 모르겠네"
"70","00:06:26:02","00:06:27:21","네가 밥 좀 해"
"71","00:06:28:15","00:06:29:20","엄마"
"72","00:06:31:05","00:06:32:18","고양이가 말도 해?"
"73","00:06:35:09","00:06:36:11","글쎄…"
"74","00:06:42:03","00:06:43:04","뭐라고?"
"75","00:06:43:24","00:06:46:15","- 너 예전에도 그랬어
- 내가?"
"76","00:06:46:17","00:06:48:12","아주 어릴 때 이랬지"
"77","00:06:48:14","00:06:51:14","‘나 야옹이랑 말한다’"
"78","00:06:52:00","00:06:54:19","- 정말?
- 생각 안 나니?"
"79","00:07:18:19","00:07:19:20","왜 그래?"
"80","00:07:22:13","00:07:24:13","배고프구나"
"81","00:07:25:03","00:07:26:02","물고기 좋아해?"
"82","00:07:27:19","00:07:30:03","알았어, 어서 먹어"
"83","00:07:31:19","00:07:33:21","가여워라"
"84","00:07:34:11","00:07:35:13","맛있어?"
"85","00:07:38:16","00:07:40:01","엄청 맛있다고?"
"86","00:07:41:12","00:07:42:12","더 먹을래?"
"87","00:07:43:11","00:07:45:16","좋아, 다 먹어"
"88","00:07:52:07","00:07:54:16","괜찮아, 고마울 것 없어"
"89","00:07:54:18","00:07:57:07","- 하루!
- 엄마!"
"90","00:07:58:24","00:08:02:04","- 뭐 하고 있었니?
- 야옹이랑 얘기했어"
"91","00:08:04:07","00:08:07:17","고양이랑 어떤 이야기
했나 물었더니…"
"92","00:08:09:03","00:08:13:07","‘세상 사는 게 힘들대’"
"93","00:08:13:09","00:08:14:18","그러질 않겠니?"
"94","00:08:14:20","00:08:16:06","어찌나 우습던지"
"95","00:08:22:14","00:08:24:08","그런 적도 있었구나"
"96","00:08:26:04","00:08:28:01","어쨌든 내일은 일찍 일어나서"
"97","00:08:28:03","00:08:29:08","아침 먹고 가야지"
"98","00:09:56:07","00:09:58:20","“요시오카”"
"99","00:10:26:16","00:10:28:20","“요시오카
아오이시 와카바다이 1-5”"
"100","00:10:29:09","00:10:30:23","저기요, 나오세옹"
"101","00:10:36:15","00:10:37:20","가까이 오시지옹"
"102","00:10:45:07","00:10:46:22","소개하겠습니다옹"
"103","00:10:46:24","00:10:49:07","이분은 고양이 왕국을
다스리시는"
"104","00:10:49:09","00:10:51:03","왕 중의 왕고양이!"
"105","00:10:51:15","00:10:53:17","고양이 대왕님이십니다옹"
"106","00:10:58:03","00:10:59:00","거참, 쑥스럽다옹"
"107","00:11:01:12","00:11:04:06","오늘 구해주신 분은"
"108","00:11:04:08","00:11:07:07","대왕님의 아들
룬왕자입니다옹"
"109","00:11:07:22","00:11:10:06","너무 큰 은혜를 입어서"
"110","00:11:10:08","00:11:13:07","대왕님이 직접
인사드리러 왔습니다옹"
"111","00:11:21:08","00:11:22:12","고마워옹!"
"112","00:11:26:24","00:11:28:05","보은 목록이에옹"
"113","00:11:34:09","00:11:35:24","내일부터 하루 님은"
"114","00:11:36:01","00:11:39:16","불행 끝
행복 시작입니다옹!"
"115","00:11:42:17","00:11:43:13","고마워요"
"116","00:11:46:05","00:11:47:00","그럼, 또 봐옹!"
"117","00:12:21:24","00:12:23:06","꿈이었나?"
"118","00:12:27:21","00:12:29:05","그렇다면…"
"119","00:12:29:07","00:12:30:22","진짜 네 짓이 아니라고?"
"120","00:12:33:09","00:12:34:19","장난치지 마"
"121","00:12:35:07","00:12:37:01","그럼 누가 이런 거야?"
"122","00:12:43:10","00:12:45:23","하루, 어서 와봐!"
"123","00:12:46:14","00:12:49:03","이게 어찌 된 일이니?"
"124","00:12:51:01","00:12:52:22","강아지풀!"
"125","00:12:52:24","00:12:56:00","과로했나 봐
더 자야겠어"
"126","00:13:06:18","00:13:10:00","“일시 정지”"
"127","00:13:10:12","00:13:12:19","세상에!
이게 무슨 일이야?"
"128","00:13:14:21","00:13:17:08","하루! 이게 내가 말한
라크로스 채 중 하나야"
"129","00:13:17:20","00:13:19:09","미안, 먼저 갈게"
"130","00:13:23:19","00:13:24:24","뭐 하는 거지?"
"131","00:13:25:01","00:13:26:23","개박하를 가지고 가나?"
"132","00:13:27:00","00:13:29:15","- 개박하를 왜?
- 글쎄…"
"133","00:13:31:08","00:13:34:00","하루! 학교에
고양이를 왜 데려와?"
"134","00:13:34:02","00:13:36:02","제가 데려온 거 아니에요"
"135","00:13:38:08","00:13:40:03","대체 어찌 된 거람?"
"136","00:14:07:07","00:14:10:12","꿈이 아니었어
역시 그 고양이들 짓이군"
"137","00:14:11:07","00:14:13:16","고양이 따위를
괜히 구해줬나?"
"138","00:14:24:12","00:14:26:10","- 하루
- 왜, 왜 그래?"
"139","00:14:27:02","00:14:28:18","개박하 냄새 없어졌니?"
"140","00:14:29:11","00:14:33:18","괜찮은 것 같아
고양이도 이젠 안 따라와"
"141","00:14:33:20","00:14:35:16","다행이다"
"142","00:14:37:18","00:14:40:03","부탁이 하나 있는데…"
"143","00:14:40:05","00:14:42:12","오늘 청소 당번
대신 좀 해줄래?"
"144","00:14:42:19","00:14:46:13","늦게 가면 츠게 시합이
다 끝날 것 같아서"
"145","00:14:46:23","00:14:47:21","부탁이야!"
"146","00:14:48:12","00:14:50:15","알았어"
"147","00:14:51:10","00:14:54:11","- 청소 당번 말이지?
- 고마워!"
"148","00:15:05:03","00:15:06:15","츠게 파이팅!"
"149","00:15:10:02","00:15:12:09","역시 잘해! 츠게 멋져!"
"150","00:15:38:06","00:15:41:00","- 계단이야, 조심해
- 고마워, 오빠"
"151","00:15:42:11","00:15:44:12","아이고 아파!"
"152","00:15:46:14","00:15:50:01","이걸 어째…
또 사고 쳤네"
"153","00:15:50:03","00:15:51:13","사방에 흩어졌어!"
"154","00:16:04:06","00:16:06:21","나 지금 뭐 하는 거니?"
"155","00:16:06:23","00:16:09:13","찾았다옹! 하루 님!"
"156","00:16:19:05","00:16:22:15","너희들 말이야
아침부터 계속…"
"157","00:16:22:17","00:16:24:17","즐거우셨냐옹?"
"158","00:16:25:01","00:16:25:22","즐겁긴!"
"159","00:16:26:04","00:16:30:02","왜 화를 내시냐옹?
역대급 프로젝트!"
"160","00:16:30:13","00:16:32:24","최고의 보답을
제공하는 거예옹!"
"161","00:16:33:13","00:16:37:03","보답 좋아하네
난 쥐도 안 먹고"
"162","00:16:37:05","00:16:39:15","강아지풀, 개박하도 다 싫어"
"163","00:16:39:23","00:16:42:10","그러셨냐옹?"
"164","00:16:42:19","00:16:44:14","정말 송구하네옹"
"165","00:16:44:21","00:16:47:12","이건 생각지도 못 했네옹"
"166","00:16:47:14","00:16:50:07","대왕님께 뭐라고
보고를 한다냥…"
"167","00:16:50:16","00:16:54:13","미안, 화난 거야?
말이 좀 심했나 봐"
"168","00:16:56:17","00:17:00:07","사실 나도 요즘
일들이 꼬여서…"
"169","00:17:01:02","00:17:02:15","꼬인다니옹?"
"170","00:17:03:08","00:17:05:24","모든 게 뒤죽박죽이야"
"171","00:17:06:01","00:17:07:24","유감스럽게도 그랬네옹"
"172","00:17:08:01","00:17:11:21","하루 님처럼 예쁜 여성도
고민이 있다냐옹"
"173","00:17:14:00","00:17:17:10","- 예쁘긴, 그만 해
- 아뇨, 이대론 안 돼옹!"
"174","00:17:17:12","00:17:19:08","우린 한다면
끝까지 하는 고양이!"
"175","00:17:19:10","00:17:21:22","반드시 하루 님을
만족시킬 거예옹"
"176","00:17:21:24","00:17:23:11","또 할 게 남았어?"
"177","00:17:23:21","00:17:24:21","물론이죠옹!"
"178","00:17:25:07","00:17:29:13","우리의 고양이 왕국에
꼭 오셨으면 해옹"
"179","00:17:30:02","00:17:31:09","고양이 왕국?"
"180","00:17:32:01","00:17:34:02","거긴 천국입니다옹"
"181","00:17:34:04","00:17:37:04","풍요로운 자연과
맛난 음식이 있지옹"
"182","00:17:37:06","00:17:41:01","모든 고양이가 네발 들고
환영합니다옹"
"183","00:17:42:18","00:17:43:16","게다가!"
"184","00:17:44:08","00:17:46:04","대왕님 말씀이"
"185","00:17:46:06","00:17:49:17","왕자님을 구한
하루 님을…"
"186","00:17:49:19","00:17:52:23","며느리로
맞아들인다고 합니다옹"
"187","00:17:56:07","00:17:59:15","말도 안 돼!
절대로 그건 아니지"
"188","00:17:59:17","00:18:01:07","왕자님은 고양이잖니!"
"189","00:18:01:18","00:18:03:09","잘 모르시는 말씀"
"190","00:18:03:11","00:18:06:21","룬 왕자님은 고양이지만
대박 멋지세옹"
"191","00:18:08:23","00:18:10:01","- 대박?
- 네"
"192","00:18:21:19","00:18:23:01","생각해보니…"
"193","00:18:23:15","00:18:25:20","고양이 왕국도 괜찮을 듯해"
"194","00:18:27:10","00:18:29:12","온종일 빈둥댈 거잖아"
"195","00:18:29:14","00:18:32:04","- 당연하지옹
- 천국이겠지"
"196","00:18:32:22","00:18:35:15","맛난 거 배불리 먹고
낮잠 자고"
"197","00:18:35:17","00:18:38:00","고민은 모두 잊고…"
"198","00:18:38:17","00:18:40:18","그래도 고양이 색시는 아니다"
"199","00:18:40:20","00:18:43:03","아무리 왕자라도 그건…
엥?"
"200","00:18:45:06","00:18:47:09","그럼 오늘 밤
모시러 가겠습니다옹"
"201","00:18:48:22","00:18:51:01","뭐? 무슨 말이야?
기다려!"
"202","00:18:53:08","00:18:55:00","아얏!"
"203","00:18:56:00","00:18:58:05","이번엔 진짜 아프다"
"204","00:18:58:20","00:19:00:10","어쨌든 정신 차리자"
"205","00:19:01:07","00:19:03:06","그러니까
그 고양이 말은…"
"206","00:19:03:16","00:19:06:06","어쩜 좋아
그놈들은 꼭 올 거야"
"207","00:19:06:08","00:19:08:05","고양이 왕국에 잡혀간다"
"208","00:19:08:07","00:19:10:05","고양이의 색시가 돼!"
"209","00:19:16:11","00:19:19:23","싫어, 절대 안 돼!"
"210","00:19:20:24","00:19:23:05","하루 양!"
"211","00:19:24:16","00:19:25:12","누구야?"
"212","00:19:25:22","00:19:29:13","고양이 사무소에 가세요"
"213","00:19:31:10","00:19:32:06","그 고양이가 아닌데!"
"214","00:19:32:20","00:19:34:10","누구야?"
"215","00:19:34:12","00:19:36:01","고양이 사무소가 뭔데?"
"216","00:19:36:11","00:19:38:09","그들이 도와줄 거예요"
"217","00:19:38:11","00:19:41:23","사거리에 가서 크고 흰
고양이의 안내를 받아요"
"218","00:19:42:18","00:19:44:12","크고 흰 고양이?"
"219","00:19:45:21","00:19:50:08","사거리로 가세요
고양이 사무소를 찾아요"
"220","00:19:53:00","00:19:54:06","‪“카지노야”‬"
"221","00:19:55:19","00:19:58:01","‪“사거리”‬"
"222","00:20:04:10","00:20:06:14","‪“사거리 맥주‬
‪3층”‬"
"223","00:20:08:03","00:20:10:13","고양이 사무소는 처음 들어"
"224","00:20:12:05","00:20:13:13","‪“우니시로”‬"
"225","00:20:15:05","00:20:17:18","커다란 흰 고양이라니…"
"226","00:20:18:17","00:20:22:06","예쁜 목소리였으니
예쁜 흰 고양이일까?"
"227","00:20:24:00","00:20:26:20","이젠 지쳤어"
"228","00:20:28:01","00:20:30:03","좀 쉬어야지"
"229","00:20:31:19","00:20:33:19","뭐야, 이게?"
