No.,Timecode In,Timecode Out,Subtitle
"1","00:00:16:00","00:00:18:07","‪"넷플릭스 제공"‬"
"2","00:00:28:19","00:00:31:01","‪"실화를 바탕으로 함"‬"
"3","00:00:32:24","00:00:35:09","‪"로드아일랜드, 워릭"‬"
"4","00:01:14:13","00:01:15:15","‪루비!‬"
"5","00:01:32:01","00:01:33:10","‪핫도그다!‬"
"6","00:01:34:16","00:01:35:21","‪루비, 와서 먹어!‬"
"7","00:01:36:15","00:01:37:21","‪핫도그!‬"
"8","00:01:45:02","00:01:48:05","‪착하지!‬"
"9","00:01:48:07","00:01:50:17","‪그래, 어서 와‬
‪루비!‬"
"10","00:01:51:17","00:01:53:23","‪널 보고 싶단 가족이 있어‬"
"11","00:01:55:14","00:01:57:21","‪너도 입양 갈 수 있어‬"
"12","00:01:57:23","00:01:59:23","‪그래, 너도 갈 수 있어‬"
"13","00:02:00:00","00:02:02:00","‪좋아, 착하지‬
‪가자‬"
"14","00:02:21:24","00:02:24:20","‪세상에!‬
‪스컹크 냄새 씻는 비누 써요‬"
"15","00:02:24:22","00:02:27:08","‪잘됐네요, 고마워요‬
‪가자, 루비‬"
"16","00:02:27:10","00:02:30:19","‪- 데려가겠단 가족 있는 건 알죠?‬
‪- 우릴 떠나기 싫어해요‬"
"17","00:02:30:21","00:02:32:12","‪아뇨, 당신을 떠나기 싫어하죠‬"
"18","00:02:33:01","00:02:35:07","‪데려가고 싶지만‬
‪그랬다간 이혼당할 거예요‬"
"19","00:02:36:18","00:02:37:20","‪빨리 씻겨요‬"
"20","00:02:40:22","00:02:42:22","‪이번엔 잘해야 해‬"
"21","00:02:42:24","00:02:45:11","‪여기 6개월이나 있었잖아‬"
"22","00:02:45:13","00:02:47:06","‪이번 기회 놓치면 안 돼‬"
"23","00:02:47:08","00:02:49:10","‪벌써 일곱 집이나 다녀왔잖니‬"
"24","00:02:49:12","00:02:50:20","‪나쁜 녀석!‬"
"25","00:02:53:04","00:02:54:11","‪루비!‬"
"26","00:02:56:05","00:02:57:22","‪당장 나와, 루비!‬"
"27","00:03:01:14","00:03:04:06","‪이제 얌전히 지내야 해‬"
"28","00:03:04:08","00:03:06:17","‪좋아, 냄새쟁이 아가씨‬
‪헹구자‬"
"29","00:03:23:21","00:03:25:22","‪이번 입양은 오래가면 좋겠네요‬"
"30","00:03:26:16","00:03:27:12","‪진정해‬"
"31","00:04:17:15","00:04:20:03","‪- 씻은 거야‬
‪- 양파 조각이 보여서‬"
"32","00:04:21:21","00:04:22:21","‪냠냠‬"
"33","00:04:22:23","00:04:26:01","‪앉아, 난 3학년짜리도‬
‪서서 먹는 건 못 봐줘‬"
"34","00:04:26:03","00:04:28:02","‪난 3학년 낙제였거든, 4학년도‬"
"35","00:04:28:04","00:04:31:00","‪- 과장하기는‬
‪- 자기라도 낙제시켰을걸‬"
"36","00:04:31:02","00:04:34:12","‪그럴 리가, 제일 아끼는‬
‪학생이었을걸‬"
"37","00:04:35:24","00:04:36:22","‪안녕‬"
"38","00:04:42:09","00:04:43:12","‪몸조심해‬"
"39","00:04:45:22","00:04:46:20","‪여부가 있겠어‬"
"40","00:04:49:05","00:04:51:08","‪- '아빠, 안녕'해‬
‪- 아빠, 안녕‬"
"41","00:04:57:06","00:04:59:05","‪보트가 위치를 잘 잡았어‬"
"42","00:05:04:19","00:05:07:02","‪- 물을 따라가라‬
‪- 찾으러 가자!‬"
"43","00:05:07:04","00:05:08:01","‪안녕하세요‬"
"44","00:05:08:24","00:05:09:20","‪안녕하시오‬"
"45","00:05:10:20","00:05:15:02","‪K9 팀이오, 어젯밤‬
‪유기된 마약을 찾고 있지‬"
"46","00:05:15:04","00:05:17:15","‪맷 자렐라의 팀이네요‬
‪최고죠‬"
"47","00:05:17:17","00:05:19:14","‪네이비씰 특수작전팀처럼요‬"
"48","00:05:19:16","00:05:23:21","‪개의 후각 수용체는 3억 개고‬
‪인간은 6백만 개죠‬"
"49","00:05:23:23","00:05:26:13","‪개의 후각이 10만 배‬
‪더 정확하고요‬"
"50","00:05:26:15","00:05:30:11","‪우리가 커피 한 잔 속‬
‪설탕 한 스푼을 감지한다면 개는…‬"
"51","00:05:30:13","00:05:32:20","‪올림픽 수영장 2개의‬
‪물에서도 찾지‬"
"52","00:05:34:21","00:05:35:22","‪맞습니다‬"
"53","00:05:36:00","00:05:39:10","‪대니얼 오닐‬
‪로드아일랜드 주경찰입니다‬"
"54","00:05:39:12","00:05:42:17","‪셰이머스 브레이디‬
‪본청 지원 팀에서 퇴직했네‬"
"55","00:05:42:20","00:05:44:11","‪반갑습니다‬"
"56","00:05:46:10","00:05:47:12","‪저기 봐, 찾았어‬"
"57","00:05:47:14","00:05:48:22","‪끌어올려‬"
"58","00:05:48:24","00:05:50:24","‪살살 올려, 잘했어!‬"
"59","00:05:51:01","00:05:51:22","‪훌륭해!‬"
"60","00:05:51:24","00:05:54:07","‪저도 저 대원들처럼 될 거예요‬"
